Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 7d 2h,6c5c,0.997,16.47,-0.00128,-0.12973,0.18,-0.58,0.03,-0.87,99.79,0.00
Jh 7d 2h,7c6c,0.990,52.39,1.47691,46.9832,14.63,1.48,85.27,1.48,0.09,0.00
Jh 7d 2h,8c7c,0.996,54.36,1.65098,50.6159,0.06,1.41,99.87,1.65,0.07,0.00
Jh 7d 2h,9c8c,0.981,28.08,1.06091,62.9638,11.15,1.06,88.72,1.06,0.13,0.00
Jh 7d 2h,Tc8c,0.987,29.03,1.11262,63.8698,4.41,1.11,95.47,1.11,0.13,0.00
Jh 7d 2h,Tc9c,0.984,32.30,1.18353,61.0649,9.27,1.18,90.61,1.19,0.12,0.00
Jh 7d 2h,Jc8c,0.993,65.83,3.88615,98.3842,0.08,3.88,99.88,3.89,0.03,0.00
Jh 7d 2h,Jc9c,0.991,66.75,4.09394,102.223,1.00,4.09,98.97,4.10,0.03,0.00
Jh 7d 2h,JcTc,0.990,68.01,4.30212,105.434,4.19,4.30,95.78,4.30,0.03,0.00
Jh 7d 2h,JcTd,0.991,67.98,4.33179,106.206,0.52,4.25,99.46,4.33,0.02,0.00
Jh 7d 2h,JcTh,0.987,70.40,4.96397,117.521,11.02,4.96,88.96,4.97,0.02,0.00
Jh 7d 2h,JcTs,0.990,68.01,4.3021,105.433,4.18,4.30,95.79,4.30,0.03,0.00
Jh 7d 2h,Qc8c,0.996,22.41,-0.00135,-0.10002,0.19,-0.62,0.03,-0.59,99.78,0.00
Jh 7d 2h,Qc9c,0.995,25.69,-0.00125,-0.08138,0.30,-0.36,0.06,-0.26,99.64,0.00
Jh 7d 2h,QcTc,0.995,28.75,-0.00139,-0.08043,0.30,-0.38,0.11,-0.26,99.60,0.00
Jh 7d 2h,QcJc,0.985,70.62,5.1686,121.983,2.07,5.17,97.91,5.17,0.02,0.00
Jh 7d 2h,QcTd,0.994,28.76,-0.00147,-0.08545,0.26,-0.45,0.10,-0.32,99.64,0.00
Jh 7d 2h,QcJd,0.988,70.56,5.17647,122.267,0.38,5.05,99.60,5.18,0.01,0.00
Jh 7d 2h,QcTh,0.973,31.71,-0.00013,-0.00668,15.13,0.00,68.23,0.00,16.64,0.00
Jh 7d 2h,QcTs,0.995,28.75,-0.00139,-0.08044,0.30,-0.38,0.11,-0.26,99.60,0.00
Jh 7d 2h,QcJs,0.985,70.62,5.16845,121.982,2.05,5.17,97.94,5.17,0.02,0.00
Jh 7d 2h,Kc2c,0.992,48.53,1.07313,36.8507,4.49,1.07,95.38,1.07,0.13,0.00
Jh 7d 2h,Kc3c,0.997,25.88,-0.00138,-0.08909,0.15,-0.81,0.02,-0.84,99.83,0.00
Jh 7d 2h,Kc4c,0.997,25.98,-0.00138,-0.08862,0.15,-0.79,0.02,-0.82,99.83,0.00
Jh 7d 2h,Kc5c,0.997,26.17,-0.00137,-0.08739,0.15,-0.77,0.02,-0.80,99.82,0.00
Jh 7d 2h,Kc6c,0.997,26.53,-0.00136,-0.08516,0.16,-0.74,0.03,-0.76,99.82,0.00
Jh 7d 2h,Kc7c,0.996,55.55,2.0098,60.2974,0.06,1.73,99.88,2.01,0.06,0.00
Jh 7d 2h,Kc8c,0.996,29.81,-0.00134,-0.07492,0.19,-0.62,0.03,-0.54,99.78,0.00
Jh 7d 2h,Kc9c,0.995,33.14,-0.00126,-0.06354,0.29,-0.38,0.06,-0.25,99.65,0.00
Jh 7d 2h,KcTc,0.994,36.17,-0.00139,-0.06396,0.31,-0.35,0.16,-0.19,99.53,0.00
Jh 7d 2h,KcJc,0.980,72.54,5.82176,133.768,4.24,5.82,95.75,5.82,0.01,0.00
Jh 7d 2h,KcQc,0.990,39.16,0.08065,3.43238,2.58,0.08,95.54,0.08,1.87,0.00
Jh 7d 2h,KcTd,0.994,36.12,-0.00147,-0.06793,0.27,-0.40,0.15,-0.25,99.58,0.00
Jh 7d 2h,KcJd,0.984,72.44,5.81045,133.679,1.17,5.78,98.82,5.81,0.01,0.00
Jh 7d 2h,KcQd,0.989,39.08,0.07602,3.24251,0.32,0.04,97.69,0.08,1.99,0.00
Jh 7d 2h,KcTh,0.982,38.96,0.07124,3.04733,11.78,0.07,85.76,0.07,2.46,0.00
Jh 7d 2h,KcQh,0.986,42.17,0.60117,23.7573,19.39,0.60,80.38,0.60,0.23,0.00
Jh 7d 2h,KcTs,0.994,36.17,-0.00139,-0.06395,0.31,-0.35,0.16,-0.19,99.53,0.00
Jh 7d 2h,KcJs,0.980,72.54,5.82204,133.774,3.93,5.82,96.05,5.82,0.01,0.00
Jh 7d 2h,KcQs,0.990,39.16,0.08061,3.43081,2.53,0.08,95.60,0.08,1.87,0.00
Jh 7d 2h,Ac2c,0.993,49.74,0.95838,32.1138,11.77,0.96,88.09,0.96,0.14,0.00
Jh 7d 2h,Ac3c,0.997,38.26,-0.00126,-0.05494,0.21,-0.49,0.05,-0.55,99.75,0.00
Jh 7d 2h,Ac4c,0.997,38.34,-0.00125,-0.05441,0.21,-0.47,0.05,-0.53,99.74,0.00
Jh 7d 2h,Ac5c,0.997,38.99,-0.00121,-0.0518,0.23,-0.42,0.05,-0.47,99.72,0.00
Jh 7d 2h,Ac6c,0.998,38.99,-0.00129,-0.05494,0.17,-0.65,0.04,-0.59,99.80,0.00
Jh 7d 2h,Ac7c,0.994,57.33,2.12755,61.8499,0.06,2.11,99.88,2.13,0.06,0.00
Jh 7d 2h,Ac8c,0.998,43.81,-0.00128,-0.04875,0.21,-0.53,0.08,-0.21,99.71,0.00
Jh 7d 2h,Ac9c,0.997,44.73,-0.00157,-0.05837,0.14,-0.40,1.48,-0.07,98.38,0.00
Jh 7d 2h,AcTc,0.996,46.48,0.01104,0.3959,0.29,-0.31,96.22,0.01,3.49,0.00
Jh 7d 2h,Ac2d,0.993,49.77,0.98258,32.9043,14.17,0.98,85.69,0.98,0.14,0.00
Jh 7d 2h,Ac3d,0.997,38.27,-0.00126,-0.05483,0.21,-0.49,0.05,-0.55,99.75,0.00
Jh 7d 2h,Ac4d,0.997,38.35,-0.00125,-0.05444,0.21,-0.47,0.05,-0.53,99.74,0.00
