Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 7d 2h,6c5c,0.997,16.47,0.00087,0.08768,0.18,0.59,0.03,-0.87,99.79,0.00
Jh 7d 2h,7c6c,0.990,52.39,1.55453,49.4524,14.63,2.01,85.27,1.48,0.09,0.00
Jh 7d 2h,8c7c,0.996,54.36,1.65155,50.6334,0.06,2.39,99.87,1.65,0.07,0.00
Jh 7d 2h,9c8c,0.981,28.08,1.15084,68.3011,11.15,1.87,88.72,1.06,0.13,0.00
Jh 7d 2h,Tc8c,0.987,29.03,1.13964,65.4205,4.41,1.72,95.47,1.11,0.13,0.00
Jh 7d 2h,Tc9c,0.984,32.30,1.25024,64.5067,9.27,1.90,90.61,1.19,0.12,0.00
Jh 7d 2h,Jc8c,0.993,65.83,3.88626,98.387,0.08,4.01,99.88,3.89,0.03,0.00
Jh 7d 2h,Jc9c,0.991,66.75,4.09908,102.352,1.00,4.61,98.97,4.10,0.03,0.00
Jh 7d 2h,JcTc,0.990,68.01,4.31231,105.683,4.19,4.54,95.78,4.30,0.03,0.00
Jh 7d 2h,JcTd,0.991,67.98,4.33315,106.239,0.52,4.51,99.46,4.33,0.02,0.00
Jh 7d 2h,JcTh,0.987,70.40,4.93413,116.814,11.02,4.69,88.96,4.97,0.02,0.00
Jh 7d 2h,JcTs,0.990,68.01,4.31225,105.682,4.18,4.54,95.79,4.30,0.03,0.00
Jh 7d 2h,Qc8c,0.996,22.41,0.00157,0.11669,0.19,0.93,0.03,-0.59,99.78,0.00
Jh 7d 2h,Qc9c,0.995,25.69,0.00342,0.22217,0.30,1.18,0.06,-0.26,99.64,0.00
Jh 7d 2h,QcTc,0.995,28.75,0.00268,0.15561,0.30,1.00,0.11,-0.26,99.60,0.00
Jh 7d 2h,QcJc,0.985,70.62,5.15818,121.737,2.07,4.66,97.91,5.17,0.02,0.00
Jh 7d 2h,QcTd,0.994,28.76,0.00199,0.11559,0.26,0.90,0.10,-0.32,99.64,0.00
Jh 7d 2h,QcJd,0.988,70.56,5.17637,122.264,0.38,5.02,99.60,5.18,0.01,0.00
Jh 7d 2h,QcTh,0.973,31.71,0.21098,11.0876,15.13,1.40,68.23,0.00,16.64,0.00
Jh 7d 2h,QcTs,0.995,28.75,0.00268,0.15564,0.30,1.00,0.11,-0.26,99.60,0.00
Jh 7d 2h,QcJs,0.985,70.62,5.15813,121.738,2.05,4.66,97.94,5.17,0.02,0.00
