Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Jh 7d 2h,5c4c,1.000,14.79,4.14855,116.901,84.29,4.15,15.71,4.15
Jh 7d 2h,6c5c,1.000,14.59,3.62602,103.544,70.80,3.63,29.20,3.63
Jh 7d 2h,7c6c,1.000,44.69,8.71191,81.2306,18.75,8.72,81.25,8.71
Jh 7d 2h,8c7c,1.000,46.69,9.15468,81.691,2.39,8.99,97.61,9.16
Jh 7d 2h,9c8c,1.000,26.65,9.0777,141.941,34.01,9.08,65.99,9.08
Jh 7d 2h,Tc8c,1.000,24.73,8.10537,136.567,60.56,8.10,39.44,8.11
Jh 7d 2h,Tc9c,1.000,26.56,8.68629,136.278,58.63,8.69,41.37,8.69
Jh 7d 2h,Jc9c,1.000,65.39,17.2384,109.844,3.15,17.22,96.85,17.24
Jh 7d 2h,JcTc,1.000,64.42,16.5579,107.092,26.67,16.56,73.33,16.56
Jh 7d 2h,Qc9c,1.000,15.47,3.89776,104.949,24.81,3.90,75.19,3.90
Jh 7d 2h,QcTc,1.000,16.49,4.11398,103.945,13.93,4.11,86.07,4.11
Jh 7d 2h,QcJc,1.000,69.42,18.9982,114.029,3.65,18.97,96.35,19.00
Jh 7d 2h,QcJd,1.000,69.67,19.2067,114.868,3.11,19.16,96.89,19.21
Jh 7d 2h,QcJs,1.000,69.53,19.035,114.073,3.46,19.01,96.54,19.04
Jh 7d 2h,Kc9c,1.000,17.85,4.67144,109.063,73.36,4.67,26.64,4.67
Jh 7d 2h,KcTc,1.000,18.52,4.90004,110.234,40.43,4.90,59.57,4.90
Jh 7d 2h,KcJc,1.000,73.15,22.2124,126.517,27.43,22.21,72.57,22.21
Jh 7d 2h,KcQc,1.000,22.17,5.61534,105.513,70.32,5.62,29.68,5.59
Jh 7d 2h,KcJd,1.000,73.39,22.4088,127.223,18.41,22.39,81.59,22.41
Jh 7d 2h,KcQd,1.000,22.52,6.02338,111.43,82.15,6.03,17.85,6.01
Jh 7d 2h,KcQh,1.000,26.08,8.13584,129.99,86.67,8.14,13.33,8.14
Jh 7d 2h,KcJs,1.000,73.24,22.2472,126.566,25.43,22.25,74.57,22.25
Jh 7d 2h,KcQs,1.000,22.04,5.56349,105.201,29.09,5.53,70.91,5.58
Jh 7d 2h,Ac2c,1.000,42.06,7.38796,73.1946,1.39,7.19,98.61,7.39
Jh 7d 2h,Ac3c,1.000,19.42,3.00195,64.4174,71.36,3.00,28.64,3.00
Jh 7d 2h,Ac4c,1.000,19.42,2.97496,63.8383,70.51,2.98,29.49,2.97
Jh 7d 2h,Ac5c,1.000,19.42,2.944,63.1739,73.94,2.95,26.06,2.93
Jh 7d 2h,Ac6c,1.000,18.13,2.33376,53.6214,2.39,2.05,97.61,2.34
Jh 7d 2h,Ac7c,1.000,45.26,7.69209,70.8107,5.78,7.70,94.22,7.69
Jh 7d 2h,Ac8c,1.000,19.70,2.69163,56.9393,25.71,2.70,74.29,2.69
Jh 7d 2h,Ac9c,1.000,20.88,2.92331,58.3307,24.47,2.92,75.53,2.92
Jh 7d 2h,AcTc,1.000,26.12,3.03394,48.4052,2.79,2.85,97.21,3.04
Jh 7d 2h,AcJc,1.000,78.90,28.0282,148.012,85.22,28.03,14.78,28.03
Jh 7d 2h,AcQc,1.000,36.62,5.23445,59.5574,0.84,4.70,99.16,5.24
Jh 7d 2h,AcKc,1.000,43.13,6.68352,64.5675,2.02,6.59,97.98,6.69
Jh 7d 2h,AcTd,1.000,27.34,3.4305,52.2906,50.77,3.44,49.23,3.42
Jh 7d 2h,AcJd,1.000,79.02,28.1416,148.393,80.67,28.14,19.33,28.14
Jh 7d 2h,AcQd,1.000,37.35,5.36086,59.8074,2.34,5.13,97.66,5.37
Jh 7d 2h,AcKd,1.000,43.75,6.83538,65.0921,4.07,6.83,95.93,6.84
Jh 7d 2h,AcTh,1.000,30.09,4.67542,64.7318,53.23,4.67,46.77,4.68
Jh 7d 2h,AcQh,1.000,41.28,7.17351,72.4115,62.19,7.18,37.81,7.17
Jh 7d 2h,AcKh,1.000,46.78,8.66137,77.148,49.13,8.67,50.87,8.66
Jh 7d 2h,AcTs,1.000,26.12,3.0339,48.4047,2.79,2.85,97.21,3.04
Jh 7d 2h,AcJs,1.000,78.90,28.0289,148.017,85.20,28.03,14.80,28.03
Jh 7d 2h,AcQs,1.000,36.62,5.23426,59.5557,0.84,4.70,99.16,5.24
Jh 7d 2h,AcKs,1.000,43.13,6.68361,64.5683,2.01,6.59,97.99,6.69
Jh 7d 2h,2d2c,1.000,89.00,43.2563,202.513,99.81,43.26,0.19,41.07
Jh 7d 2h,3d3c,1.000,36.92,5.32363,60.0784,53.97,5.33,46.03,5.32
Jh 7d 2h,4d4c,1.000,36.92,5.35223,60.4011,58.36,5.36,41.64,5.34
Jh 7d 2h,5d5c,1.000,36.92,5.36209,60.5123,61.47,5.37,38.53,5.35
Jh 7d 2h,5d4d,1.000,18.42,5.3253,120.433,46.87,5.31,53.13,5.34
Jh 7d 2h,6d6c,1.000,37.90,5.27488,57.9919,4.31,5.11,95.69,5.28
Jh 7d 2h,6d5d,1.000,18.28,4.80909,109.615,44.66,4.80,55.34,4.81
Jh 7d 2h,8d8c,1.000,43.08,6.66962,64.5034,4.72,6.60,95.28,6.67
Jh 7d 2h,9d9c,1.000,48.43,8.64758,74.3944,17.19,8.65,82.81,8.65
Jh 7d 2h,9d8d,1.000,29.82,10.2738,143.55,16.20,10.26,83.80,10.28
Jh 7d 2h,TdTc,1.000,54.37,10.9444,83.8774,2.44,10.77,97.56,10.95
Jh 7d 2h,Td8d,1.000,27.99,9.58437,142.677,58.63,9.58,41.37,9.59
Jh 7d 2h,Td9d,1.000,29.73,10.2623,143.812,49.25,10.27,50.75,10.26
Jh 7d 2h,JdJc,1.000,95.58,47.1664,205.61,36.84,47.17,63.16,47.17
Jh 7d 2h,Jd9d,1.000,67.09,18.7521,116.456,2.42,18.62,97.58,18.76
Jh 7d 2h,JdTd,1.000,66.65,18.2034,113.793,22.93,18.21,77.07,18.20
Jh 7d 2h,QdJc,1.000,69.97,19.2161,114.423,1.65,19.07,98.35,19.22
Jh 7d 2h,QdQc,1.000,75.27,27.5538,152.531,99.20,27.56,0.80,27.35
Jh 7d 2h,Qd9d,1.000,19.30,5.65368,122.059,60.75,5.65,39.25,5.66
Jh 7d 2h,QdTd,1.000,20.33,6.24445,127.968,49.12,6.25,50.88,6.24
Jh 7d 2h,QdJd,1.000,71.37,20.5518,119.992,1.99,20.42,98.01,20.55
Jh 7d 2h,QdJs,1.000,69.97,19.216,114.424,1.65,19.07,98.35,19.22
Jh 7d 2h,KdJc,1.000,73.49,22.3799,126.886,7.55,22.33,92.45,22.38
Jh 7d 2h,KdQc,1.000,22.74,5.86511,107.479,87.08,5.87,12.92,5.82
Jh 7d 2h,KdKc,1.000,78.37,30.073,159.885,99.37,30.08,0.63,29.74
Jh 7d 2h,Kd9d,1.000,21.64,6.27447,120.826,83.86,6.28,16.14,6.27
Jh 7d 2h,KdTd,1.000,22.73,6.82511,125.124,68.08,6.83,31.92,6.83
Jh 7d 2h,KdJd,1.000,74.71,23.5898,131.569,26.44,23.60,73.56,23.59
Jh 7d 2h,KdQd,1.000,26.58,7.63014,119.611,15.84,7.57,84.16,7.64
Jh 7d 2h,KdQh,1.000,26.65,8.39303,131.225,93.10,8.39,6.90,8.38
Jh 7d 2h,KdJs,1.000,73.49,22.3798,126.886,7.55,22.33,92.45,22.38
Jh 7d 2h,KdQs,1.000,22.74,5.86428,107.464,87.08,5.87,12.92,5.82
Jh 7d 2h,AdTc,1.000,26.67,3.42837,53.5538,5.72,3.34,94.28,3.43
Jh 7d 2h,AdJc,1.000,79.22,27.9142,146.809,81.17,27.91,18.83,27.91
Jh 7d 2h,AdQc,1.000,37.58,5.67142,62.8768,0.93,5.15,99.07,5.68
Jh 7d 2h,AdKc,1.000,44.10,7.07208,66.8157,1.39,6.82,98.61,7.08
Jh 7d 2h,AdAc,1.000,82.56,36.0615,181.987,99.70,36.06,0.30,34.90
Jh 7d 2h,Ad2d,1.000,45.76,9.7704,88.9663,0.79,9.33,99.21,9.77
Jh 7d 2h,Ad3d,1.000,22.96,4.80883,87.2688,86.28,4.81,13.72,4.79
Jh 7d 2h,Ad4d,1.000,22.96,4.79304,86.9822,87.61,4.80,12.39,4.76
Jh 7d 2h,Ad5d,1.000,22.96,4.76076,86.3964,88.72,4.77,11.28,4.72
Jh 7d 2h,Ad6d,1.000,21.77,3.95823,75.771,13.91,3.91,86.09,3.97
Jh 7d 2h,Ad8d,1.000,23.22,4.50311,80.8051,74.51,4.51,25.49,4.50
Jh 7d 2h,Ad9d,1.000,24.54,4.73241,80.3581,62.85,4.73,37.15,4.73
Jh 7d 2h,AdTd,1.000,30.72,5.0942,69.1034,8.97,5.02,91.03,5.10
Jh 7d 2h,AdJd,1.000,80.15,29.0014,150.773,95.44,29.00,4.56,28.99
Jh 7d 2h,AdQd,1.000,41.02,7.33357,74.4998,0.88,6.83,99.12,7.34
Jh 7d 2h,AdKd,1.000,47.24,8.89216,78.4254,1.94,8.78,98.06,8.89
Jh 7d 2h,AdTh,1.000,30.63,5.16611,70.2745,68.01,5.17,31.99,5.17
Jh 7d 2h,AdQh,1.000,42.10,7.51921,74.4211,37.83,7.50,62.17,7.53
Jh 7d 2h,AdKh,1.000,47.66,8.93581,78.1214,16.12,8.91,83.88,8.94
Jh 7d 2h,AdTs,1.000,26.67,3.42837,53.5539,5.72,3.34,94.28,3.43
Jh 7d 2h,AdJs,1.000,79.22,27.9148,146.812,81.12,27.91,18.88,27.91
Jh 7d 2h,AdQs,1.000,37.58,5.67141,62.8769,0.93,5.14,99.07,5.68
Jh 7d 2h,AdKs,1.000,44.10,7.07208,66.8157,1.39,6.82,98.61,7.08
Jh 7d 2h,3h3c,1.000,39.39,6.25397,66.1588,12.25,6.23,87.75,6.26
Jh 7d 2h,3h3d,1.000,39.42,6.32245,66.8309,10.91,6.29,89.09,6.33
Jh 7d 2h,4h4c,1.000,39.39,6.26886,66.3164,15.36,6.25,84.64,6.27
Jh 7d 2h,4h4d,1.000,39.42,6.33613,66.9756,14.16,6.32,85.84,6.34
Jh 7d 2h,5h5c,1.000,39.39,6.27031,66.3317,18.17,6.25,81.83,6.27
Jh 7d 2h,5h5d,1.000,39.42,6.33621,66.9764,16.65,6.32,83.35,6.34
Jh 7d 2h,5h4h,1.000,43.94,16.6383,157.787,37.04,16.64,62.96,16.63
Jh 7d 2h,6h6c,1.000,40.40,6.20002,63.9501,5.83,6.15,94.17,6.20
Jh 7d 2h,6h6d,1.000,40.43,6.29903,64.9196,4.42,6.21,95.58,6.30
Jh 7d 2h,6h5h,1.000,43.86,16.3412,155.251,48.25,16.34,51.75,16.34
Jh 7d 2h,7h7c,1.000,90.79,45.4764,208.705,99.79,45.48,0.21,43.49
Jh 7d 2h,7h6h,1.000,64.96,22.9646,147.296,87.46,22.97,12.54,22.90
Jh 7d 2h,8h8c,1.000,45.46,7.66607,70.2619,2.53,7.55,97.47,7.67
Jh 7d 2h,8h8d,1.000,45.47,7.80937,71.5643,1.71,7.58,98.29,7.81
Jh 7d 2h,8h7h,1.000,66.19,23.0718,145.243,42.53,23.07,57.47,23.07
Jh 7d 2h,9h9c,1.000,50.90,9.88969,80.9496,6.52,9.86,93.48,9.89
Jh 7d 2h,9h9d,1.000,51.14,10.0924,82.2206,3.65,9.97,96.35,10.10
Jh 7d 2h,9h8h,1.000,51.78,21.0386,169.304,31.09,21.03,68.91,21.04
Jh 7d 2h,ThTc,1.000,56.63,12.3021,90.5103,28.48,12.29,71.52,12.31
Jh 7d 2h,ThTd,1.000,57.43,12.6388,91.7005,45.10,12.64,54.90,12.64
Jh 7d 2h,Th8h,1.000,50.87,21.0292,172.234,77.02,21.03,22.98,21.02
Jh 7d 2h,Th9h,1.000,52.14,21.569,172.356,66.33,21.57,33.67,21.57
Jh 7d 2h,QhJc,1.000,73.14,21.5012,122.483,9.69,21.50,90.31,21.50
Jh 7d 2h,QhQc,1.000,78.08,29.6389,158.174,99.23,29.64,0.77,29.44
Jh 7d 2h,QhJd,1.000,73.27,21.6645,123.192,6.61,21.64,93.39,21.67
Jh 7d 2h,QhQd,1.000,78.42,29.7743,158.199,99.19,29.78,0.81,29.48
Jh 7d 2h,Qh9h,1.000,46.00,18.3681,166.375,67.65,18.37,32.35,18.37
Jh 7d 2h,QhTh,1.000,46.69,19.0327,169.836,84.38,19.04,15.62,19.02
Jh 7d 2h,QhJs,1.000,73.14,21.5011,122.483,9.68,21.49,90.32,21.50
Jh 7d 2h,KhJc,1.000,75.78,24.0704,132.356,32.62,24.07,67.38,24.07
Jh 7d 2h,KhQc,1.000,26.29,7.73832,122.63,74.20,7.74,25.80,7.73
Jh 7d 2h,KhKc,1.000,80.65,31.6757,163.644,99.29,31.68,0.71,31.48
