Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Jh 7d 2h,5c4c,1.000,14.79,5.50672,155.173,84.29,5.76,15.71,4.15
Jh 7d 2h,6c5c,1.000,14.59,5.0138,143.173,70.80,5.59,29.20,3.63
Jh 7d 2h,7c6c,1.000,44.69,8.63834,80.5447,18.75,8.32,81.25,8.71
Jh 7d 2h,8c7c,1.000,46.69,9.13925,81.5533,2.39,8.35,97.61,9.16
Jh 7d 2h,9c8c,1.000,26.65,9.40975,147.133,34.01,10.05,65.99,9.08
Jh 7d 2h,Tc8c,1.000,24.73,9.08397,153.056,60.56,9.72,39.44,8.11
Jh 7d 2h,Tc9c,1.000,26.56,9.54247,149.71,58.63,10.15,41.37,8.69
Jh 7d 2h,Jc9c,1.000,65.39,17.2204,109.729,3.15,16.65,96.85,17.24
Jh 7d 2h,JcTc,1.000,64.42,16.4123,106.15,26.67,16.02,73.33,16.56
Jh 7d 2h,Qc9c,1.000,15.47,4.40098,118.499,24.81,5.93,75.19,3.90
Jh 7d 2h,QcTc,1.000,16.49,4.36384,110.259,13.93,5.91,86.07,4.11
Jh 7d 2h,QcJc,1.000,69.42,18.9786,113.911,3.65,18.43,96.35,19.00
Jh 7d 2h,QcJd,1.000,69.67,19.1882,114.758,3.11,18.57,96.89,19.21
Jh 7d 2h,QcJs,1.000,69.53,19.0167,113.964,3.46,18.48,96.54,19.04
Jh 7d 2h,Kc9c,1.000,17.85,6.22064,145.232,73.36,6.78,26.64,4.67
Jh 7d 2h,KcTc,1.000,18.52,5.67439,127.654,40.43,6.81,59.57,4.90
Jh 7d 2h,KcJc,1.000,73.15,22.0375,125.521,27.43,21.58,72.57,22.21
Jh 7d 2h,KcQc,1.000,22.17,6.35715,119.452,70.32,6.68,29.68,5.59
Jh 7d 2h,KcJd,1.000,73.39,22.3026,126.621,18.41,21.82,81.59,22.41
Jh 7d 2h,KcQd,1.000,22.52,6.91844,127.988,82.15,7.12,17.85,6.01
Jh 7d 2h,KcQh,1.000,26.08,9.07989,145.073,86.67,9.22,13.33,8.14
Jh 7d 2h,KcJs,1.000,73.24,22.0871,125.655,25.43,21.62,74.57,22.25
Jh 7d 2h,KcQs,1.000,22.04,5.87068,111.01,29.09,6.59,70.91,5.58
Jh 7d 2h,Ac2c,1.000,42.06,7.39201,73.2347,1.39,7.48,98.61,7.39
Jh 7d 2h,Ac3c,1.000,19.42,3.94432,84.6392,71.36,4.32,28.64,3.00
Jh 7d 2h,Ac4c,1.000,19.42,3.92442,84.2124,70.51,4.32,29.49,2.97
Jh 7d 2h,Ac5c,1.000,19.42,3.8689,83.0209,73.94,4.20,26.06,2.93
Jh 7d 2h,Ac6c,1.000,18.13,2.36955,54.4436,2.39,3.54,97.61,2.34
Jh 7d 2h,Ac7c,1.000,45.26,7.67082,70.6149,5.78,7.33,94.22,7.69
Jh 7d 2h,Ac8c,1.000,19.70,3.20798,67.8622,25.71,4.71,74.29,2.69
Jh 7d 2h,Ac9c,1.000,20.88,3.45508,68.9413,24.47,5.10,75.53,2.92
Jh 7d 2h,AcTc,1.000,26.12,3.08685,49.2494,2.79,4.75,97.21,3.04
Jh 7d 2h,AcJc,1.000,78.90,27.0635,142.917,85.22,26.90,14.78,28.03
Jh 7d 2h,AcQc,1.000,36.62,5.23872,59.606,0.84,5.21,99.16,5.24
Jh 7d 2h,AcKc,1.000,43.13,6.67398,64.4753,2.02,6.12,97.98,6.69
Jh 7d 2h,AcTd,1.000,27.34,4.37899,66.7482,50.77,5.31,49.23,3.42
Jh 7d 2h,AcJd,1.000,79.02,27.2164,143.514,80.67,26.99,19.33,28.14
Jh 7d 2h,AcQd,1.000,37.35,5.37561,59.9719,2.34,5.76,97.66,5.37
Jh 7d 2h,AcKd,1.000,43.75,6.81871,64.9333,4.07,6.42,95.93,6.84
Jh 7d 2h,AcTh,1.000,30.09,5.69139,78.7981,53.23,6.58,46.77,4.68
Jh 7d 2h,AcQh,1.000,41.28,7.65668,77.2888,62.19,7.95,37.81,7.17
Jh 7d 2h,AcKh,1.000,46.78,8.61721,76.7547,49.13,8.58,50.87,8.66
Jh 7d 2h,AcTs,1.000,26.12,3.08681,49.2488,2.79,4.75,97.21,3.04
Jh 7d 2h,AcJs,1.000,78.90,27.0647,142.925,85.20,26.90,14.80,28.03
Jh 7d 2h,AcQs,1.000,36.62,5.23854,59.6044,0.84,5.21,99.16,5.24
Jh 7d 2h,AcKs,1.000,43.13,6.67406,64.4761,2.01,6.12,97.99,6.69
Jh 7d 2h,2d2c,1.000,89.00,41.008,191.987,99.81,41.01,0.19,41.07
Jh 7d 2h,3d3c,1.000,36.92,5.81782,65.6554,53.97,6.24,46.03,5.32
Jh 7d 2h,4d4c,1.000,36.92,5.87467,66.297,58.36,6.25,41.64,5.34
Jh 7d 2h,5d5c,1.000,36.92,5.96655,67.3338,61.47,6.35,38.53,5.35
Jh 7d 2h,5d4d,1.000,18.42,6.02478,136.251,46.87,6.81,53.13,5.34
Jh 7d 2h,6d6c,1.000,37.90,5.30754,58.351,4.31,5.87,95.69,5.28
Jh 7d 2h,6d5d,1.000,18.28,5.64178,128.595,44.66,6.67,55.34,4.81
Jh 7d 2h,8d8c,1.000,43.08,6.69143,64.7143,4.72,7.06,95.28,6.67
Jh 7d 2h,9d9c,1.000,48.43,8.72973,75.1012,17.19,9.13,82.81,8.65
Jh 7d 2h,9d8d,1.000,29.82,10.4137,145.505,16.20,11.12,83.80,10.28
Jh 7d 2h,TdTc,1.000,54.37,10.9597,83.9941,2.44,11.40,97.56,10.95
