Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Jh 7d 2h,5c4c,1.000,14.79,-3.5636,-100.418,84.29,-5.00,15.71,4.15
Jh 7d 2h,6c5c,1.000,14.59,-3.23524,-92.385,70.80,-6.06,29.20,3.63
Jh 7d 2h,7c6c,1.000,44.69,8.4563,78.8472,18.75,7.35,81.25,8.71
Jh 7d 2h,8c7c,1.000,46.69,9.15158,81.6634,2.39,8.86,97.61,9.16
Jh 7d 2h,9c8c,1.000,26.65,7.44507,116.413,34.01,4.28,65.99,9.08
Jh 7d 2h,Tc8c,1.000,24.73,1.76787,29.7868,60.56,-2.36,39.44,8.11
Jh 7d 2h,Tc9c,1.000,26.56,3.54703,55.6487,58.63,-0.08,41.37,8.69
Jh 7d 2h,Jc9c,1.000,65.39,17.3277,110.413,3.15,20.06,96.85,17.24
Jh 7d 2h,JcTc,1.000,64.42,17,109.951,26.67,18.22,73.33,16.56
Jh 7d 2h,Qc9c,1.000,15.47,1.22946,33.1039,24.81,-6.85,75.19,3.90
Jh 7d 2h,QcTc,1.000,16.49,2.6842,67.8201,13.93,-6.15,86.07,4.11
Jh 7d 2h,QcJc,1.000,69.42,19.0479,114.327,3.65,20.33,96.35,19.00
Jh 7d 2h,QcJd,1.000,69.67,19.2492,115.122,3.11,20.52,96.89,19.21
Jh 7d 2h,QcJs,1.000,69.53,19.0778,114.33,3.46,20.24,96.54,19.04
Jh 7d 2h,Kc9c,1.000,17.85,-3.51943,-82.1676,73.36,-6.49,26.64,4.67
Jh 7d 2h,KcTc,1.000,18.52,0.44347,9.97647,40.43,-6.13,59.57,4.90
Jh 7d 2h,KcJc,1.000,73.15,23.9429,136.373,27.43,28.52,72.57,22.21
Jh 7d 2h,KcQc,1.000,22.17,0.41957,7.88379,70.32,-1.76,29.68,5.59
Jh 7d 2h,KcJd,1.000,73.39,23.4162,132.943,18.41,27.87,81.59,22.41
