Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,6c5c,1.000,16.09,0.47147,48.8425,0.64,0.36,99.36,0.47
Jh 7d 2h,7c6c,1.000,50.03,1.9788,65.9252,39.08,1.98,60.92,1.98
Jh 7d 2h,8c7c,1.000,52.08,2.10151,67.2569,18.14,2.10,81.86,2.10
Jh 7d 2h,9c8c,1.000,28.02,1.87214,111.351,45.06,1.87,54.94,1.87
Jh 7d 2h,Tc8c,1.000,26.14,1.56384,99.7066,42.44,1.56,57.56,1.56
Jh 7d 2h,Tc9c,1.000,27.89,1.74136,104.077,51.23,1.74,48.77,1.74
Jh 7d 2h,Jc8c,1.000,64.79,3.46568,89.1507,20.08,3.47,79.92,3.47
Jh 7d 2h,Jc9c,1.000,64.87,3.49624,89.8255,12.93,3.50,87.07,3.50
Jh 7d 2h,JcTc,1.000,64.51,3.26158,84.2697,39.24,3.26,60.76,3.26
Jh 7d 2h,JcTd,1.000,64.82,3.29472,84.7183,26.76,3.29,73.24,3.29
Jh 7d 2h,JcTh,1.000,67.44,3.84437,95.0094,32.03,3.84,67.97,3.84
Jh 7d 2h,JcTs,1.000,64.64,3.26211,84.1114,34.44,3.26,65.56,3.26
Jh 7d 2h,Qc8c,1.000,14.63,0.37883,43.1639,0.58,0.26,99.42,0.38
Jh 7d 2h,Qc9c,1.000,16.32,0.45674,46.647,1.61,0.43,98.39,0.46
Jh 7d 2h,QcTc,1.000,17.57,0.44158,41.8841,0.68,0.35,99.32,0.44
Jh 7d 2h,QcJc,1.000,69.26,4.14477,99.743,10.88,4.14,89.12,4.14
Jh 7d 2h,QcTd,1.000,17.34,0.46756,44.9416,0.62,0.34,99.38,0.47
Jh 7d 2h,QcJd,1.000,69.56,4.20895,100.848,10.30,4.21,89.70,4.21
Jh 7d 2h,QcTh,1.000,20.54,0.67162,54.4931,28.87,0.67,71.13,0.67
Jh 7d 2h,QcTs,1.000,17.27,0.44213,42.679,0.46,0.29,99.54,0.44
Jh 7d 2h,QcJs,1.000,69.44,4.15458,99.7201,10.51,4.15,89.49,4.15
Jh 7d 2h,Kc8c,1.000,16.82,0.39344,38.9809,0.56,0.27,99.44,0.39
Jh 7d 2h,Kc9c,1.000,18.47,0.46274,41.7531,1.21,0.42,98.79,0.46
Jh 7d 2h,KcTc,1.000,19.66,0.45562,38.6281,0.59,0.35,99.41,0.46
Jh 7d 2h,KcJc,1.000,69.51,4.19776,100.651,22.58,4.20,77.42,4.20
Jh 7d 2h,KcQc,1.000,24.75,0.6011,40.4833,23.29,0.60,76.71,0.60
Jh 7d 2h,KcTd,1.000,19.48,0.4758,40.7035,0.59,0.35,99.41,0.48
Jh 7d 2h,KcJd,1.000,69.84,4.26359,101.749,21.39,4.26,78.61,4.26
Jh 7d 2h,KcQd,1.000,24.87,0.6484,43.4457,17.41,0.65,82.59,0.65
Jh 7d 2h,KcTh,1.000,22.76,0.66693,48.8415,16.29,0.67,83.71,0.67
Jh 7d 2h,KcQh,1.000,28.30,1.11699,65.7762,48.48,1.12,51.52,1.12
Jh 7d 2h,KcTs,1.000,19.38,0.45518,39.1452,0.42,0.29,99.58,0.46
Jh 7d 2h,KcJs,1.000,69.69,4.20895,100.663,25.26,4.21,74.74,4.21
Jh 7d 2h,KcQs,1.000,24.75,0.60109,40.4826,22.99,0.60,77.01,0.60
Jh 7d 2h,Ac2c,1.000,47.13,1.4263,50.4426,15.41,1.43,84.59,1.43
