Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,6c5c,1.000,16.09,0.47541,49.2498,0.60,1.01,99.40,0.47
Jh 7d 2h,7c6c,1.000,50.03,2.00223,66.7056,38.97,2.04,61.03,1.98
Jh 7d 2h,8c7c,1.000,52.08,2.11225,67.6004,18.15,2.16,81.85,2.10
Jh 7d 2h,9c8c,1.000,28.02,1.98321,117.957,44.93,2.12,55.07,1.87
Jh 7d 2h,Tc8c,1.000,26.14,1.72756,110.145,42.36,1.95,57.64,1.56
Jh 7d 2h,Tc9c,1.000,27.89,1.92017,114.764,51.35,2.09,48.65,1.74
Jh 7d 2h,Jc8c,1.000,64.79,3.37402,86.793,20.14,3.01,79.86,3.47
Jh 7d 2h,Jc9c,1.000,64.87,3.42576,88.0147,12.85,2.95,87.15,3.50
Jh 7d 2h,JcTc,1.000,64.51,3.11314,80.4343,39.15,2.88,60.85,3.26
Jh 7d 2h,JcTd,1.000,64.82,3.25679,83.7429,26.91,3.15,73.09,3.29
Jh 7d 2h,JcTh,1.000,67.44,3.73173,92.2256,32.12,3.49,67.88,3.84
Jh 7d 2h,JcTs,1.000,64.64,3.15776,81.4208,34.27,2.96,65.73,3.26
Jh 7d 2h,Qc8c,1.000,14.63,0.38303,43.6426,0.53,1.01,99.47,0.38
Jh 7d 2h,Qc9c,1.000,16.32,0.46755,47.7516,1.54,1.12,98.46,0.46
Jh 7d 2h,QcTc,1.000,17.57,0.44507,42.2152,0.62,0.89,99.38,0.44
Jh 7d 2h,QcJc,1.000,69.26,4.08396,98.2798,10.80,3.58,89.20,4.14
Jh 7d 2h,QcTd,1.000,17.34,0.47119,45.2911,0.56,0.93,99.44,0.47
Jh 7d 2h,QcJd,1.000,69.56,4.15552,99.5681,10.10,3.68,89.90,4.21
Jh 7d 2h,QcTh,1.000,20.54,0.84014,68.1664,29.06,1.25,70.94,0.67
Jh 7d 2h,QcTs,1.000,17.27,0.44456,42.9139,0.42,0.84,99.58,0.44
Jh 7d 2h,QcJs,1.000,69.44,4.09602,98.3145,10.64,3.60,89.36,4.15
Jh 7d 2h,Kc8c,1.000,16.82,0.39853,39.485,0.52,1.19,99.48,0.39
Jh 7d 2h,Kc9c,1.000,18.47,0.47168,42.5598,1.15,1.15,98.85,0.46
Jh 7d 2h,KcTc,1.000,19.66,0.45965,38.9694,0.54,1.07,99.46,0.46
Jh 7d 2h,KcJc,1.000,69.51,4.15933,99.7299,22.41,4.03,77.59,4.20
Jh 7d 2h,KcQc,1.000,24.75,0.67184,45.2474,23.59,0.90,76.41,0.60
Jh 7d 2h,KcTd,1.000,19.48,0.48072,41.1243,0.54,1.16,99.46,0.48
Jh 7d 2h,KcJd,1.000,69.84,4.24768,101.369,21.37,4.19,78.63,4.26
Jh 7d 2h,KcQd,1.000,24.87,0.72688,48.7041,17.16,1.10,82.84,0.65
Jh 7d 2h,KcTh,1.000,22.76,0.79148,57.9623,16.50,1.42,83.50,0.67
Jh 7d 2h,KcQh,1.000,28.30,1.32654,78.1156,48.76,1.55,51.24,1.12
Jh 7d 2h,KcTs,1.000,19.38,0.45826,39.4098,0.38,1.03,99.62,0.46
Jh 7d 2h,KcJs,1.000,69.69,4.17924,99.9522,25.36,4.09,74.64,4.21
Jh 7d 2h,KcQs,1.000,24.75,0.67135,45.2144,23.22,0.90,76.78,0.60
