Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,6c5c,1.000,16.09,0.45911,47.5621,0.60,-1.70,99.40,0.47
Jh 7d 2h,7c6c,1.000,50.03,2.52423,84.0965,38.97,3.38,61.03,1.98
Jh 7d 2h,8c7c,1.000,52.08,2.41363,77.2458,18.15,3.82,81.85,2.10
Jh 7d 2h,9c8c,1.000,28.02,1.86388,110.86,44.93,1.85,55.07,1.87
Jh 7d 2h,Tc8c,1.000,26.14,1.28498,81.9268,42.36,0.91,57.64,1.56
Jh 7d 2h,Tc9c,1.000,27.89,1.68679,100.816,51.35,1.63,48.65,1.74
Jh 7d 2h,Jc8c,1.000,64.79,3.75804,96.6714,20.14,4.92,79.86,3.47
Jh 7d 2h,Jc9c,1.000,64.87,3.76891,96.831,12.85,5.62,87.15,3.50
Jh 7d 2h,JcTc,1.000,64.51,3.92067,101.299,39.15,4.95,60.85,3.26
Jh 7d 2h,JcTd,1.000,64.82,3.69208,94.9355,26.91,4.77,73.09,3.29
Jh 7d 2h,JcTh,1.000,67.44,4.25433,105.141,32.12,5.12,67.88,3.84
Jh 7d 2h,JcTs,1.000,64.64,3.783,97.5422,34.27,4.78,65.73,3.26
Jh 7d 2h,Qc8c,1.000,14.63,0.36755,41.8783,0.53,-1.91,99.47,0.38
Jh 7d 2h,Qc9c,1.000,16.32,0.42438,43.3419,1.54,-1.68,98.46,0.46
Jh 7d 2h,QcTc,1.000,17.57,0.43008,40.7932,0.62,-1.51,99.38,0.44
Jh 7d 2h,QcJc,1.000,69.26,4.30591,103.621,10.80,5.64,89.20,4.14
Jh 7d 2h,QcTd,1.000,17.34,0.45651,43.8797,0.56,-1.67,99.44,0.47
Jh 7d 2h,QcJd,1.000,69.56,4.37667,104.867,10.10,5.87,89.90,4.21
Jh 7d 2h,QcTh,1.000,20.54,0.09363,7.59694,29.06,-1.32,70.94,0.67
Jh 7d 2h,QcTs,1.000,17.27,0.43452,41.9451,0.42,-1.54,99.58,0.44
Jh 7d 2h,QcJs,1.000,69.44,4.31132,103.482,10.64,5.63,89.36,4.15
Jh 7d 2h,Kc8c,1.000,16.82,0.382,37.8467,0.52,-2.02,99.48,0.39
Jh 7d 2h,Kc9c,1.000,18.47,0.43814,39.5332,1.15,-1.76,98.85,0.46
Jh 7d 2h,KcTc,1.000,19.66,0.44517,37.7424,0.54,-1.62,99.46,0.46
Jh 7d 2h,KcJc,1.000,69.51,4.27016,102.387,22.41,4.52,77.59,4.20
Jh 7d 2h,KcQc,1.000,24.75,0.168,11.3146,23.59,-1.24,76.41,0.60
Jh 7d 2h,KcTd,1.000,19.48,0.46479,39.7618,0.54,-1.81,99.46,0.48
Jh 7d 2h,KcJd,1.000,69.84,4.25976,101.658,21.37,4.25,78.63,4.26
Jh 7d 2h,KcQd,1.000,24.87,0.31248,20.9377,17.16,-1.31,82.84,0.65
Jh 7d 2h,KcTh,1.000,22.76,0.31839,23.3163,16.50,-1.45,83.50,0.67
Jh 7d 2h,KcQh,1.000,28.30,0.16998,10.0098,48.76,-0.82,51.24,1.12
Jh 7d 2h,KcTs,1.000,19.38,0.44792,38.521,0.38,-1.65,99.62,0.46
Jh 7d 2h,KcJs,1.000,69.69,4.23461,101.276,25.36,4.31,74.64,4.21
Jh 7d 2h,KcQs,1.000,24.75,0.17465,11.7625,23.22,-1.24,76.78,0.60
Jh 7d 2h,Ac2c,1.000,47.13,1.1303,39.9745,15.53,-0.48,84.47,1.43
Jh 7d 2h,Ac3c,1.000,24.08,0.32781,22.6907,1.09,-1.64,98.91,0.35
Jh 7d 2h,Ac4c,1.000,24.08,0.32798,22.7024,1.08,-1.64,98.92,0.35
Jh 7d 2h,Ac5c,1.000,24.08,0.32167,22.2659,1.00,-1.69,99.00,0.34
Jh 7d 2h,Ac6c,1.000,23.12,0.24519,17.6784,0.27,-2.05,99.73,0.25
Jh 7d 2h,Ac7c,1.000,51.84,1.89715,60.9987,1.90,2.66,98.10,1.88
Jh 7d 2h,Ac8c,1.000,24.77,0.26959,18.1371,0.57,-2.00,99.43,0.28
Jh 7d 2h,Ac9c,1.000,25.38,0.29696,19.5015,0.52,-1.96,99.48,0.31
Jh 7d 2h,AcTc,1.000,29.50,0.36354,20.5409,0.27,-1.77,99.73,0.37
Jh 7d 2h,AcJc,1.000,73.80,5.91417,133.558,30.53,7.25,69.47,5.33
Jh 7d 2h,AcQc,1.000,38.46,0.58016,25.1389,5.40,-1.06,94.60,0.67
Jh 7d 2h,AcKc,1.000,46.27,1.05427,37.9772,2.59,-0.77,97.41,1.10
