Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,6c5c,1.000,16.09,0.00349,0.36188,0.60,0.36,99.40,0.00
Jh 7d 2h,7c6c,1.000,50.03,2.35031,78.3021,38.97,1.98,61.03,2.59
Jh 7d 2h,8c7c,1.000,52.08,2.56053,81.9471,18.15,2.10,81.85,2.66
Jh 7d 2h,9c8c,1.000,28.02,2.12593,126.445,44.93,1.87,55.07,2.33
Jh 7d 2h,Tc8c,1.000,26.14,1.45702,92.8961,42.36,1.56,57.64,1.38
Jh 7d 2h,Tc9c,1.000,27.89,1.78334,106.586,51.35,1.74,48.65,1.83
Jh 7d 2h,Jc8c,1.000,64.79,3.9689,102.096,20.14,3.47,79.86,4.10
Jh 7d 2h,Jc9c,1.000,64.87,4.11079,105.614,12.85,3.50,87.15,4.20
Jh 7d 2h,JcTc,1.000,64.51,3.52272,91.0168,39.15,3.26,60.85,3.69
Jh 7d 2h,JcTd,1.000,64.82,3.57454,91.9132,26.91,3.29,73.09,3.68
Jh 7d 2h,JcTh,1.000,67.44,4.46305,110.3,32.12,3.84,67.88,4.76
Jh 7d 2h,JcTs,1.000,64.64,3.49718,90.1726,34.27,3.26,65.73,3.62
Jh 7d 2h,Qc8c,1.000,14.63,0.00219,0.24923,0.53,0.26,99.47,0.00
Jh 7d 2h,Qc9c,1.000,16.32,0.00905,0.92477,1.54,0.44,98.46,0.00
Jh 7d 2h,QcTc,1.000,17.57,0.00402,0.38105,0.62,0.35,99.38,0.00
Jh 7d 2h,QcJc,1.000,69.26,4.71332,113.425,10.80,4.15,89.20,4.78
Jh 7d 2h,QcTd,1.000,17.34,0.00375,0.36007,0.56,0.35,99.44,0.00
Jh 7d 2h,QcJd,1.000,69.56,4.82614,115.636,10.10,4.21,89.90,4.90
Jh 7d 2h,QcTh,1.000,20.54,0.48427,39.2922,29.06,0.67,70.94,0.41
Jh 7d 2h,QcTs,1.000,17.27,0.00267,0.25796,0.42,0.29,99.58,0.00
Jh 7d 2h,QcJs,1.000,69.44,4.72786,113.48,10.64,4.15,89.36,4.80
Jh 7d 2h,Kc8c,1.000,16.82,0.00203,0.20109,0.52,0.27,99.48,0.00
Jh 7d 2h,Kc9c,1.000,18.47,0.00635,0.57294,1.15,0.42,98.85,0.00
Jh 7d 2h,KcTc,1.000,19.66,0.00296,0.25129,0.54,0.35,99.46,0.00
Jh 7d 2h,KcJc,1.000,69.51,4.47362,107.266,22.41,4.20,77.59,4.55
Jh 7d 2h,KcQc,1.000,24.75,0.15821,10.6553,23.59,0.60,76.41,0.02
Jh 7d 2h,KcTd,1.000,19.48,0.003,0.25707,0.54,0.35,99.46,0.00
Jh 7d 2h,KcJd,1.000,69.84,4.58351,109.384,21.37,4.26,78.63,4.67
Jh 7d 2h,KcQd,1.000,24.87,0.11821,7.92087,17.16,0.65,82.84,0.01
Jh 7d 2h,KcTh,1.000,22.76,0.15907,11.6493,16.50,0.67,83.50,0.06
Jh 7d 2h,KcQh,1.000,28.30,1.10236,64.9144,48.76,1.12,51.24,1.09
Jh 7d 2h,KcTs,1.000,19.38,0.002,0.17219,0.38,0.29,99.62,0.00
Jh 7d 2h,KcJs,1.000,69.69,4.44002,106.189,25.36,4.21,74.64,4.52
Jh 7d 2h,KcQs,1.000,24.75,0.15486,10.4293,23.22,0.60,76.78,0.02
Jh 7d 2h,Ac2c,1.000,47.13,1.15299,40.7767,15.53,1.43,84.47,1.10
Jh 7d 2h,Ac3c,1.000,24.08,0.00429,0.29678,1.09,0.31,98.91,0.00
Jh 7d 2h,Ac4c,1.000,24.08,0.00424,0.29345,1.08,0.31,98.92,0.00
