Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 7d 2h,6c5c,0.994,15.94,-0.0011,-0.11518,0.16,-0.67,0.01,-0.69,99.84,0.00
Jh 7d 2h,7c6c,0.610,49.43,1.26299,42.5817,42.94,1.26,56.97,1.26,0.08,0.00
Jh 7d 2h,8c7c,0.819,51.21,1.35118,43.9775,42.26,1.35,57.66,1.35,0.08,0.00
Jh 7d 2h,9c8c,0.551,27.39,1.32364,80.5338,85.46,1.32,14.46,1.32,0.08,0.00
Jh 7d 2h,Tc8c,0.576,25.19,0.92688,61.3166,40.82,0.93,59.07,0.93,0.12,0.00
Jh 7d 2h,Tc9c,0.487,26.63,1.09841,68.7433,58.16,1.10,41.74,1.10,0.10,0.00
Jh 7d 2h,Jc8c,0.799,58.54,2.23309,63.578,12.18,2.23,87.77,2.23,0.04,0.00
Jh 7d 2h,Jc9c,0.871,58.71,2.30029,65.3053,18.32,2.30,81.64,2.30,0.04,0.00
Jh 7d 2h,JcTc,0.609,58.45,1.99483,56.8801,14.49,2.00,85.46,2.00,0.05,0.00
Jh 7d 2h,JcTd,0.731,58.65,2.0109,57.147,14.83,2.01,85.13,2.01,0.05,0.00
Jh 7d 2h,JcTh,0.679,60.91,2.6853,73.476,39.38,2.69,60.59,2.69,0.04,0.00
Jh 7d 2h,JcTs,0.657,58.55,1.98343,56.4606,10.04,1.98,89.91,1.98,0.05,0.00
Jh 7d 2h,Qc8c,0.995,13.59,-0.00107,-0.13173,0.16,-0.64,0.01,-0.62,99.83,0.00
Jh 7d 2h,Qc9c,0.985,15.05,-0.00103,-0.11425,0.25,-0.38,0.01,-0.42,99.73,0.00
Jh 7d 2h,QcTc,0.994,16.12,-0.00105,-0.10806,0.20,-0.50,0.01,-0.34,99.79,0.00
Jh 7d 2h,QcJc,0.892,63.34,3.03721,79.9185,0.17,3.02,99.80,3.04,0.03,0.00
Jh 7d 2h,QcTd,0.994,15.78,-0.00106,-0.11189,0.19,-0.52,0.01,-0.36,99.79,0.00
Jh 7d 2h,QcJd,0.899,63.62,3.12465,81.8548,0.22,3.12,99.75,3.13,0.03,0.00
Jh 7d 2h,QcTh,0.709,18.82,-0.0005,-0.04462,26.80,0.00,11.36,0.00,61.84,0.00
Jh 7d 2h,QcTs,0.996,15.78,-0.00106,-0.11161,0.17,-0.60,0.01,-0.40,99.82,0.00
Jh 7d 2h,QcJs,0.894,63.37,3.03758,79.8957,0.18,3.02,99.79,3.04,0.03,0.00
Jh 7d 2h,Kc8c,0.995,16.14,-0.00108,-0.1114,0.13,-0.81,0.01,-0.69,99.87,0.00
Jh 7d 2h,Kc9c,0.988,17.55,-0.00105,-0.10011,0.18,-0.54,0.01,-0.53,99.81,0.00
Jh 7d 2h,KcTc,0.995,18.53,-0.00106,-0.09507,0.15,-0.69,0.01,-0.40,99.84,0.00
Jh 7d 2h,KcJc,0.776,62.70,2.83949,75.4823,3.55,2.84,96.42,2.84,0.04,0.00
