Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 7d 2h,6c5c,0.994,15.94,0.0009,0.09411,0.16,0.60,0.01,-0.69,99.84,0.00
Jh 7d 2h,7c6c,0.610,49.43,1.32732,44.7503,42.94,1.41,56.97,1.26,0.08,0.00
Jh 7d 2h,8c7c,0.819,51.21,1.25998,41.0094,42.26,1.14,57.66,1.35,0.08,0.00
Jh 7d 2h,9c8c,0.551,27.39,2.1813,132.716,85.46,2.33,14.46,1.32,0.08,0.00
Jh 7d 2h,Tc8c,0.576,25.19,1.44379,95.5117,40.82,2.19,59.07,0.93,0.12,0.00
Jh 7d 2h,Tc9c,0.487,26.63,1.81807,113.783,58.16,2.34,41.74,1.10,0.10,0.00
Jh 7d 2h,Jc8c,0.799,58.54,2.22172,63.2544,12.18,2.14,87.77,2.23,0.04,0.00
Jh 7d 2h,Jc9c,0.871,58.71,2.21027,62.7496,18.32,1.81,81.64,2.30,0.04,0.00
Jh 7d 2h,JcTc,0.609,58.45,1.95223,55.6653,14.49,1.70,85.46,2.00,0.05,0.00
Jh 7d 2h,JcTd,0.731,58.65,2.01214,57.1824,14.83,2.02,85.13,2.01,0.05,0.00
Jh 7d 2h,JcTh,0.679,60.91,2.61592,71.5776,39.38,2.51,60.59,2.69,0.04,0.00
Jh 7d 2h,JcTs,0.657,58.55,1.97146,56.1199,10.04,1.86,89.91,1.98,0.05,0.00
Jh 7d 2h,Qc8c,0.995,13.59,0.00147,0.18073,0.16,0.96,0.01,-0.62,99.83,0.00
Jh 7d 2h,Qc9c,0.985,15.05,0.00248,0.27502,0.25,1.00,0.01,-0.42,99.73,0.00
Jh 7d 2h,QcTc,0.994,16.12,0.00166,0.17193,0.20,0.85,0.01,-0.34,99.79,0.00
Jh 7d 2h,QcJc,0.892,63.34,3.03579,79.8812,0.17,2.18,99.80,3.04,0.03,0.00
Jh 7d 2h,QcTd,0.994,15.78,0.0017,0.17947,0.19,0.90,0.01,-0.36,99.79,0.00
Jh 7d 2h,QcJd,0.899,63.62,3.12218,81.7902,0.22,2.00,99.75,3.13,0.03,0.00
Jh 7d 2h,QcTh,0.709,18.82,0.42048,37.2354,26.80,1.57,11.36,0.00,61.84,0.00
Jh 7d 2h,QcTs,0.996,15.78,0.00126,0.13347,0.17,0.77,0.01,-0.40,99.82,0.00
Jh 7d 2h,QcJs,0.894,63.37,3.03609,79.8565,0.18,2.20,99.79,3.04,0.03,0.00
Jh 7d 2h,Kc8c,0.995,16.14,0.0009,0.09333,0.13,0.75,0.01,-0.69,99.87,0.00
Jh 7d 2h,Kc9c,0.988,17.55,0.00156,0.14807,0.18,0.87,0.01,-0.53,99.81,0.00
Jh 7d 2h,KcTc,0.995,18.53,0.00106,0.09532,0.15,0.74,0.01,-0.40,99.84,0.00
Jh 7d 2h,KcJc,0.776,62.70,2.84108,75.5246,3.55,2.88,96.42,2.84,0.04,0.00
Jh 7d 2h,KcQc,0.764,24.68,0.00426,0.28777,0.72,0.68,1.96,-0.03,97.33,0.00
Jh 7d 2h,KcTd,0.995,18.23,0.00102,0.09369,0.15,0.72,0.01,-0.42,99.84,0.00
Jh 7d 2h,KcJd,0.786,62.88,2.87918,76.3154,3.18,3.12,96.78,2.87,0.03,0.00
Jh 7d 2h,KcQd,0.828,24.79,0.00228,0.15355,0.35,0.83,1.08,-0.06,98.58,0.00
Jh 7d 2h,KcTh,0.835,21.35,0.04038,3.15264,3.14,1.29,2.68,0.00,94.19,0.00
Jh 7d 2h,KcQh,0.512,28.31,0.64868,38.1832,24.91,1.54,74.74,0.36,0.36,0.00
Jh 7d 2h,KcTs,0.996,18.22,0.00083,0.07551,0.13,0.66,0.01,-0.46,99.86,0.00
Jh 7d 2h,KcJs,0.746,62.80,2.83878,75.3362,1.38,2.93,98.58,2.84,0.04,0.00
Jh 7d 2h,KcQs,0.768,24.68,0.00376,0.25363,0.64,0.68,1.94,-0.03,97.41,0.00
Jh 7d 2h,Ac2c,0.845,46.42,0.60043,21.5596,0.16,1.05,99.73,0.60,0.10,0.00
Jh 7d 2h,Ac3c,0.989,25.69,0.00065,0.04241,0.13,0.55,0.01,-0.81,99.86,0.00
Jh 7d 2h,Ac4c,0.989,25.69,0.00066,0.04274,0.13,0.55,0.01,-0.81,99.86,0.00
Jh 7d 2h,Ac5c,0.990,25.69,0.00063,0.04076,0.13,0.53,0.01,-0.82,99.86,0.00
Jh 7d 2h,Ac6c,0.997,24.82,0.00031,0.02115,0.09,0.41,0.01,-0.81,99.90,0.00
Jh 7d 2h,Ac7c,0.981,51.41,1.1691,37.9,0.88,1.27,99.04,1.17,0.08,0.00
Jh 7d 2h,Ac8c,0.994,26.25,0.00065,0.0411,0.11,0.64,0.01,-0.77,99.88,0.00
Jh 7d 2h,Ac9c,0.995,26.58,0.00079,0.0496,0.12,0.69,0.01,-0.69,99.87,0.00
