Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 7d 2h,6c5c,0.994,15.94,-0.0051,-0.53296,0.16,-3.21,0.01,-0.69,99.84,0.00
Jh 7d 2h,7c6c,0.610,49.43,0.95763,32.2863,42.94,0.55,56.97,1.26,0.08,0.00
Jh 7d 2h,8c7c,0.819,51.21,2.0259,65.938,42.26,2.95,57.66,1.35,0.08,0.00
Jh 7d 2h,9c8c,0.551,27.39,-0.66389,-40.3926,85.46,-1.00,14.46,1.32,0.08,0.00
Jh 7d 2h,Tc8c,0.576,25.19,-0.05563,-3.6803,40.82,-1.48,59.07,0.93,0.12,0.00
Jh 7d 2h,Tc9c,0.487,26.63,-0.15825,-9.90396,58.16,-1.06,41.74,1.10,0.10,0.00
Jh 7d 2h,Jc8c,0.799,58.54,1.98387,56.4824,12.18,0.19,87.77,2.23,0.04,0.00
Jh 7d 2h,Jc9c,0.871,58.71,2.39251,67.9236,18.32,2.81,81.64,2.30,0.04,0.00
Jh 7d 2h,JcTc,0.609,58.45,1.77541,50.6236,14.49,0.48,85.46,2.00,0.05,0.00
Jh 7d 2h,JcTd,0.731,58.65,2.06335,58.6375,14.83,2.37,85.13,2.01,0.05,0.00
Jh 7d 2h,JcTh,0.679,60.91,2.94458,80.5704,39.38,3.34,60.59,2.69,0.04,0.00
Jh 7d 2h,JcTs,0.657,58.55,1.83303,52.1794,10.04,0.48,89.91,1.98,0.05,0.00
Jh 7d 2h,Qc8c,0.995,13.59,-0.00527,-0.64686,0.16,-3.28,0.01,-0.62,99.83,0.00
Jh 7d 2h,Qc9c,0.985,15.05,-0.00773,-0.85608,0.25,-3.02,0.01,-0.42,99.73,0.00
Jh 7d 2h,QcTc,0.994,16.12,-0.00603,-0.62303,0.20,-3.00,0.01,-0.34,99.79,0.00
Jh 7d 2h,QcJc,0.892,63.34,3.03812,79.9423,0.17,3.54,99.80,3.04,0.03,0.00
Jh 7d 2h,QcTd,0.994,15.78,-0.0062,-0.65523,0.19,-3.16,0.01,-0.36,99.79,0.00
Jh 7d 2h,QcJd,0.899,63.62,3.12905,81.9701,0.22,5.12,99.75,3.13,0.03,0.00
Jh 7d 2h,QcTh,0.709,18.82,-0.6442,-57.0476,26.80,-2.40,11.36,0.00,61.84,0.00
Jh 7d 2h,QcTs,0.996,15.78,-0.00532,-0.56229,0.17,-3.12,0.01,-0.40,99.82,0.00
Jh 7d 2h,QcJs,0.894,63.37,3.03851,79.92,0.18,3.53,99.79,3.04,0.03,0.00
Jh 7d 2h,Kc8c,0.995,16.14,-0.0044,-0.45483,0.13,-3.42,0.01,-0.69,99.87,0.00
Jh 7d 2h,Kc9c,0.988,17.55,-0.00583,-0.55392,0.18,-3.12,0.01,-0.53,99.81,0.00
Jh 7d 2h,KcTc,0.995,18.53,-0.00475,-0.42739,0.15,-3.17,0.01,-0.40,99.84,0.00
Jh 7d 2h,KcJc,0.776,62.70,2.81508,74.8335,3.55,2.15,96.42,2.84,0.04,0.00
Jh 7d 2h,KcQc,0.764,24.68,-0.01894,-1.27895,0.72,-2.56,1.96,-0.03,97.33,0.00
Jh 7d 2h,KcTd,0.995,18.23,-0.00489,-0.4475,0.15,-3.30,0.01,-0.42,99.84,0.00
Jh 7d 2h,KcJd,0.786,62.88,2.7958,74.1054,3.18,0.50,96.78,2.87,0.03,0.00
Jh 7d 2h,KcQd,0.828,24.79,-0.01045,-0.70253,0.35,-2.84,1.08,-0.06,98.58,0.00
Jh 7d 2h,KcTh,0.835,21.35,-0.07355,-5.74261,3.14,-2.34,2.68,0.00,94.19,0.00
Jh 7d 2h,KcQh,0.512,28.31,-0.25658,-15.1028,24.91,-2.09,74.74,0.36,0.36,0.00
Jh 7d 2h,KcTs,0.996,18.22,-0.00437,-0.39976,0.13,-3.29,0.01,-0.46,99.86,0.00
Jh 7d 2h,KcJs,0.746,62.80,2.82766,75.041,1.38,2.12,98.58,2.84,0.04,0.00
Jh 7d 2h,KcQs,0.768,24.68,-0.01711,-1.15531,0.64,-2.56,1.94,-0.03,97.41,0.00
Jh 7d 2h,Ac2c,0.845,46.42,0.59604,21.4023,0.16,-1.63,99.73,0.60,0.10,0.00
Jh 7d 2h,Ac3c,0.989,25.69,-0.00381,-0.24705,0.13,-2.84,0.01,-0.81,99.86,0.00
Jh 7d 2h,Ac4c,0.989,25.69,-0.00382,-0.2476,0.13,-2.84,0.01,-0.81,99.86,0.00
Jh 7d 2h,Ac5c,0.990,25.69,-0.00378,-0.24509,0.13,-2.84,0.01,-0.82,99.86,0.00
Jh 7d 2h,Ac6c,0.997,24.82,-0.00292,-0.19597,0.09,-3.20,0.01,-0.81,99.90,0.00
Jh 7d 2h,Ac7c,0.981,51.41,1.15247,37.3607,0.88,-0.61,99.04,1.17,0.08,0.00
Jh 7d 2h,Ac8c,0.994,26.25,-0.00332,-0.21097,0.11,-2.94,0.01,-0.77,99.88,0.00
Jh 7d 2h,Ac9c,0.995,26.58,-0.00356,-0.22344,0.12,-2.84,0.01,-0.69,99.87,0.00
Jh 7d 2h,AcTc,0.997,30.39,-0.00308,-0.16916,0.11,-2.86,0.01,-0.59,99.88,0.00
Jh 7d 2h,AcJc,0.695,66.89,4.44484,110.757,12.49,6.22,87.49,4.19,0.02,0.00
Jh 7d 2h,AcQc,0.946,39.29,-0.00829,-0.35153,0.35,-2.33,60.78,0.00,38.87,0.00
Jh 7d 2h,AcKc,0.974,45.90,0.20788,7.54844,0.17,-2.03,99.58,0.21,0.25,0.00
Jh 7d 2h,Ac9d,0.996,26.64,-0.00362,-0.22674,0.12,-2.84,0.01,-0.69,99.87,0.00
