Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,6c5c,1.000,8.98,0.15415,28.6222,0.05,-1.25,99.95,0.15
Ah Qd Jc,7c6c,1.000,9.54,0.12604,22.0248,0.05,-1.33,99.95,0.13
Ah Qd Jc,8c7c,1.000,11.10,0.12471,18.7197,0.05,-1.28,99.95,0.13
Ah Qd Jc,9c7c,1.000,11.57,0.12377,17.8232,0.05,-1.29,99.95,0.12
Ah Qd Jc,9c8c,1.000,19.74,0.18925,15.9777,0.07,-0.84,99.93,0.19
Ah Qd Jc,Tc7c,1.000,23.93,0.32619,22.716,0.15,-0.18,99.85,0.33
Ah Qd Jc,Tc8c,1.000,35.14,2.28216,108.25,0.29,2.01,99.71,2.28
Ah Qd Jc,Tc9c,1.000,35.98,2.26573,104.946,0.29,2.00,99.71,2.27
Ah Qd Jc,Qc6c,1.000,44.31,0.51122,19.2295,0.13,-0.07,99.87,0.51
Ah Qd Jc,Qc7c,1.000,44.19,0.49497,18.6703,0.13,-0.10,99.87,0.50
Ah Qd Jc,Qc8c,1.000,44.63,0.48925,18.2704,0.13,-0.09,99.87,0.49
Ah Qd Jc,Qc9c,1.000,44.71,0.48931,18.2419,0.13,-0.11,99.87,0.49
Ah Qd Jc,QcTc,1.000,53.23,1.78399,55.8615,0.14,1.24,99.86,1.78
Ah Qd Jc,QcTd,1.000,51.29,1.09729,35.656,0.13,0.52,99.87,1.10
Ah Qd Jc,QcJd,1.000,66.44,5.05494,126.803,0.13,4.47,99.87,5.06
Ah Qd Jc,QcTh,1.000,51.27,1.09613,35.6298,0.13,0.53,99.87,1.10
Ah Qd Jc,QcJh,1.000,66.44,5.00813,125.629,0.13,4.40,99.87,5.01
Ah Qd Jc,QcTs,1.000,51.22,1.07183,34.8792,0.13,0.48,99.87,1.07
Ah Qd Jc,QcJs,1.000,66.39,5.05201,126.833,0.13,4.45,99.87,5.05
Ah Qd Jc,Kc2c,1.000,22.76,0.31055,22.743,0.14,-0.23,99.86,0.31
Ah Qd Jc,Kc3c,1.000,23.06,0.31097,22.4719,0.14,-0.23,99.86,0.31
Ah Qd Jc,Kc4c,1.000,23.37,0.31146,22.2122,0.14,-0.23,99.86,0.31
Ah Qd Jc,Kc5c,1.000,23.68,0.31023,21.8382,0.14,-0.24,99.86,0.31
Ah Qd Jc,Kc6c,1.000,23.98,0.29558,20.5415,0.15,-0.23,99.85,0.30
Ah Qd Jc,Kc7c,1.000,24.22,0.27987,19.2602,0.15,-0.24,99.85,0.28
Ah Qd Jc,Kc8c,1.000,24.45,0.27133,18.4948,0.14,-0.28,99.86,0.27
Ah Qd Jc,Kc9c,1.000,24.95,0.27689,18.4971,0.13,-0.31,99.87,0.28
Ah Qd Jc,KcTc,1.000,89.40,16.4171,306.047,0.43,16.24,99.57,16.42
Ah Qd Jc,KcQc,1.000,56.02,2.11374,62.8906,0.16,1.65,99.84,2.11
Ah Qd Jc,Kc8d,1.000,21.46,0.21678,16.8381,0.09,-0.62,99.91,0.22
Ah Qd Jc,Kc9d,1.000,21.86,0.22327,17.0188,0.09,-0.61,99.91,0.22
Ah Qd Jc,KcTd,1.000,89.39,16.3559,304.954,0.37,16.14,99.63,16.36
Ah Qd Jc,KcJd,1.000,47.96,0.89408,31.0702,0.12,0.28,99.88,0.89
Ah Qd Jc,Kc8h,1.000,21.42,0.21894,17.0329,0.09,-0.62,99.91,0.22
Ah Qd Jc,Kc9h,1.000,21.84,0.22319,17.0309,0.09,-0.62,99.91,0.22
Ah Qd Jc,KcTh,1.000,89.35,16.3326,304.651,0.38,16.13,99.62,16.33
Ah Qd Jc,KcJh,1.000,47.93,0.90101,31.3314,0.12,0.27,99.88,0.90
Ah Qd Jc,KcQh,1.000,54.24,1.45201,44.6157,0.14,0.91,99.86,1.45
Ah Qd Jc,Kc8s,1.000,21.41,0.20598,16.0334,0.09,-0.65,99.91,0.21
Ah Qd Jc,Kc9s,1.000,21.80,0.21195,16.2004,0.09,-0.65,99.91,0.21
Ah Qd Jc,KcTs,1.000,89.25,16.2459,303.366,0.40,16.05,99.60,16.25
Ah Qd Jc,KcJs,1.000,47.86,0.86097,29.9834,0.12,0.24,99.88,0.86
Ah Qd Jc,KcQs,1.000,54.17,1.42611,43.8769,0.14,0.89,99.86,1.43
Ah Qd Jc,Ac2c,1.000,56.56,1.58151,46.6065,0.14,1.03,99.86,1.58
Ah Qd Jc,Ac3c,1.000,56.57,1.58423,46.6786,0.14,1.03,99.86,1.59
Ah Qd Jc,Ac4c,1.000,56.58,1.58692,46.7495,0.14,1.03,99.86,1.59
Ah Qd Jc,Ac5c,1.000,56.62,1.59245,46.8783,0.14,1.04,99.86,1.59
Ah Qd Jc,Ac6c,1.000,56.72,1.59166,46.7683,0.14,1.05,99.86,1.59
Ah Qd Jc,Ac7c,1.000,56.82,1.60769,47.1534,0.14,1.07,99.86,1.61
Ah Qd Jc,Ac8c,1.000,57.70,1.70945,49.3777,0.13,1.14,99.87,1.71
Ah Qd Jc,Ac9c,1.000,58.74,1.88958,53.6175,0.12,1.27,99.88,1.89
Ah Qd Jc,AcTc,1.000,68.48,4.46594,108.699,0.17,3.98,99.83,4.47
Ah Qd Jc,Ac2d,1.000,54.49,0.7314,22.3722,0.15,0.22,99.85,0.73
Ah Qd Jc,Ac3d,1.000,54.50,0.7338,22.4414,0.15,0.22,99.85,0.73
Ah Qd Jc,Ac4d,1.000,54.51,0.73611,22.5081,0.15,0.22,99.85,0.74
Ah Qd Jc,Ac5d,1.000,54.55,0.74114,22.6436,0.15,0.22,99.85,0.74
Ah Qd Jc,Ac6d,1.000,54.66,0.74018,22.5679,0.14,0.21,99.86,0.74
Ah Qd Jc,Ac7d,1.000,54.78,0.76071,23.1425,0.13,0.20,99.87,0.76
