Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,6c5c,1.000,8.98,0.15516,28.8101,0.05,0.65,99.95,0.15
Ah Qd Jc,7c6c,1.000,9.54,0.12709,22.2074,0.05,0.70,99.95,0.13
Ah Qd Jc,8c7c,1.000,11.10,0.12579,18.8823,0.05,0.75,99.95,0.13
Ah Qd Jc,9c7c,1.000,11.57,0.12484,17.9768,0.05,0.72,99.95,0.12
Ah Qd Jc,9c8c,1.000,19.74,0.19061,16.0925,0.07,1.02,99.93,0.19
Ah Qd Jc,Tc7c,1.000,23.93,0.32856,22.8812,0.15,1.37,99.85,0.33
Ah Qd Jc,Tc8c,1.000,35.14,2.28146,108.217,0.29,1.76,99.71,2.28
Ah Qd Jc,Tc9c,1.000,35.98,2.26527,104.925,0.29,1.84,99.71,2.27
Ah Qd Jc,Qc6c,1.000,44.31,0.51366,19.3211,0.13,1.76,99.87,0.51
Ah Qd Jc,Qc7c,1.000,44.19,0.49737,18.7608,0.13,1.74,99.87,0.50
Ah Qd Jc,Qc8c,1.000,44.63,0.49172,18.3628,0.13,1.77,99.87,0.49
Ah Qd Jc,Qc9c,1.000,44.71,0.49171,18.3313,0.13,1.72,99.87,0.49
Ah Qd Jc,QcTc,1.000,53.23,1.78378,55.8548,0.14,1.09,99.86,1.78
Ah Qd Jc,QcTd,1.000,51.29,1.09805,35.6805,0.13,1.09,99.87,1.10
Ah Qd Jc,QcJd,1.000,66.44,5.05313,126.758,0.13,3.12,99.87,5.06
Ah Qd Jc,QcTh,1.000,51.27,1.09691,35.6551,0.13,1.11,99.87,1.10
Ah Qd Jc,QcJh,1.000,66.44,5.00678,125.595,0.13,3.34,99.87,5.01
Ah Qd Jc,QcTs,1.000,51.22,1.07263,34.905,0.13,1.10,99.87,1.07
Ah Qd Jc,QcJs,1.000,66.39,5.05032,126.791,0.13,3.15,99.87,5.05
Ah Qd Jc,Kc2c,1.000,22.76,0.3128,22.9076,0.14,1.34,99.86,0.31
Ah Qd Jc,Kc3c,1.000,23.06,0.31322,22.6344,0.14,1.35,99.86,0.31
Ah Qd Jc,Kc4c,1.000,23.37,0.31371,22.3726,0.14,1.35,99.86,0.31
Ah Qd Jc,Kc5c,1.000,23.68,0.31219,21.9762,0.14,1.15,99.86,0.31
Ah Qd Jc,Kc6c,1.000,23.98,0.29596,20.5678,0.15,0.03,99.85,0.30
