Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah Qd Jc,6c5c,0.999,8.93,-0.0012,-0.22409,0.05,-1.96,0.02,-1.57,99.94,0.00
Ah Qd Jc,7c6c,0.999,9.56,-0.0012,-0.20862,0.05,-1.93,0.02,-1.55,99.93,0.00
Ah Qd Jc,8c7c,0.999,10.82,-0.0012,-0.1847,0.05,-1.83,0.02,-1.47,99.93,0.00
Ah Qd Jc,9c7c,0.999,11.02,-0.0012,-0.18146,0.05,-1.93,0.02,-1.47,99.93,0.00
Ah Qd Jc,9c8c,0.999,18.96,-0.0012,-0.10534,0.08,-1.22,0.03,-0.73,99.89,0.00
Ah Qd Jc,Tc7c,0.998,23.21,-0.00185,-0.13283,1.06,-0.15,26.64,0.00,72.30,0.00
Ah Qd Jc,Tc8c,0.997,34.35,2.06181,100.041,43.35,2.06,56.60,2.06,0.06,0.00
Ah Qd Jc,Tc9c,0.997,34.96,2.02756,96.6597,41.99,2.03,57.95,2.03,0.06,0.00
Ah Qd Jc,Qc6c,0.999,41.65,0.00654,0.26164,1.45,0.00,87.16,0.01,11.39,0.00
Ah Qd Jc,Qc7c,0.999,41.68,0.01138,0.45495,1.31,0.01,87.63,0.01,11.06,0.00
Ah Qd Jc,Qc8c,0.999,42.14,0.01145,0.45303,4.41,0.01,82.41,0.01,13.18,0.00
Ah Qd Jc,Qc9c,0.999,42.08,-0.00258,-0.102,3.08,0.00,14.09,-0.02,82.83,0.00
Ah Qd Jc,QcTc,0.999,50.49,1.36211,44.9632,5.03,1.36,94.89,1.36,0.09,0.00
Ah Qd Jc,QcTd,0.999,48.43,0.58637,20.1799,0.38,0.57,99.44,0.59,0.19,0.00
Ah Qd Jc,QcJd,0.999,64.20,4.94947,128.501,6.09,4.95,93.89,4.95,0.02,0.00
Ah Qd Jc,QcTh,0.999,48.40,0.58278,20.0693,0.40,0.56,99.41,0.58,0.18,0.00
Ah Qd Jc,QcJh,0.999,64.19,4.89701,127.158,1.18,4.90,98.80,4.90,0.02,0.00
Ah Qd Jc,QcTs,0.999,48.34,0.55699,19.2056,0.29,0.51,99.52,0.56,0.19,0.00
Ah Qd Jc,QcJs,0.999,64.16,4.94684,128.501,8.55,4.95,91.43,4.95,0.02,0.00
Ah Qd Jc,Kc2c,0.999,21.89,-0.00061,-0.04618,6.10,-0.01,29.43,0.00,64.48,0.00
Ah Qd Jc,Kc3c,0.999,22.22,-0.00063,-0.04696,6.23,-0.01,30.16,0.00,63.61,0.00
Ah Qd Jc,Kc4c,0.999,22.56,-0.00058,-0.04315,6.32,-0.01,30.71,0.00,62.97,0.00
Ah Qd Jc,Kc5c,0.999,22.90,-0.00042,-0.03067,6.90,-0.01,31.87,0.00,61.23,0.00
Ah Qd Jc,Kc6c,0.999,23.27,-0.00013,-0.00899,17.88,0.00,27.81,0.00,54.31,0.00
Ah Qd Jc,Kc7c,0.999,23.52,-0.00011,-0.00753,20.38,0.00,24.23,0.00,55.39,0.00
Ah Qd Jc,Kc8c,0.999,23.67,0.00089,0.06269,11.98,0.00,33.37,0.00,54.65,0.00
