Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah Qd Jc,6c5c,0.999,8.93,0.00001,0.00189,0.05,0.56,0.02,-1.57,99.94,0.00
Ah Qd Jc,7c6c,0.999,9.56,0.00004,0.00659,0.05,0.62,0.02,-1.55,99.93,0.00
Ah Qd Jc,8c7c,0.999,10.82,0.00002,0.00357,0.05,0.57,0.02,-1.47,99.93,0.00
Ah Qd Jc,9c7c,0.999,11.02,-0.00003,-0.00434,0.05,0.49,0.02,-1.47,99.93,0.00
Ah Qd Jc,9c8c,0.999,18.96,0.00043,0.03788,0.08,0.81,0.03,-0.73,99.89,0.00
Ah Qd Jc,Tc7c,0.998,23.21,0.01981,1.42288,1.06,1.89,26.64,0.00,72.30,0.00
Ah Qd Jc,Tc8c,0.997,34.35,2.38531,115.737,43.35,2.81,56.60,2.06,0.06,0.00
Ah Qd Jc,Tc9c,0.997,34.96,2.32186,110.69,41.99,2.73,57.95,2.03,0.06,0.00
Ah Qd Jc,Qc6c,0.999,41.65,0.03942,1.57772,1.45,2.27,87.16,0.01,11.39,0.00
Ah Qd Jc,Qc7c,0.999,41.68,0.04118,1.64635,1.31,2.28,87.63,0.01,11.06,0.00
Ah Qd Jc,Qc8c,0.999,42.14,0.11211,4.43396,4.41,2.29,82.41,0.01,13.18,0.00
Ah Qd Jc,Qc9c,0.999,42.08,0.06857,2.71579,3.08,2.31,14.09,-0.02,82.83,0.00
Ah Qd Jc,QcTc,0.999,50.49,1.44572,47.7229,5.03,3.03,94.89,1.36,0.09,0.00
Ah Qd Jc,QcTd,0.999,48.43,0.59386,20.4375,0.38,2.56,99.44,0.59,0.19,0.00
Ah Qd Jc,QcJd,0.999,64.20,4.94077,128.275,6.09,4.81,93.89,4.95,0.02,0.00
Ah Qd Jc,QcTh,0.999,48.40,0.59089,20.3485,0.40,2.58,99.41,0.58,0.18,0.00
Ah Qd Jc,QcJh,0.999,64.19,4.89676,127.151,1.18,4.88,98.80,4.90,0.02,0.00
Ah Qd Jc,QcTs,0.999,48.34,0.56303,19.4137,0.29,2.57,99.52,0.56,0.19,0.00
Ah Qd Jc,QcJs,0.999,64.16,4.92251,127.869,8.55,4.66,91.43,4.95,0.02,0.00
Ah Qd Jc,Kc2c,0.999,21.89,0.06737,5.13064,6.10,1.10,29.43,0.00,64.48,0.00
Ah Qd Jc,Kc3c,0.999,22.22,0.06892,5.16893,6.23,1.11,30.16,0.00,63.61,0.00
Ah Qd Jc,Kc4c,0.999,22.56,0.06979,5.15595,6.32,1.10,30.71,0.00,62.97,0.00
Ah Qd Jc,Kc5c,0.999,22.90,0.07885,5.73838,6.90,1.14,31.87,0.00,61.23,0.00
Ah Qd Jc,Kc6c,0.999,23.27,0.21623,15.4906,17.88,1.21,27.81,0.00,54.31,0.00
Ah Qd Jc,Kc7c,0.999,23.52,0.26176,18.552,20.38,1.28,24.23,0.00,55.39,0.00
Ah Qd Jc,Kc8c,0.999,23.67,0.24942,17.563,11.98,2.08,33.37,0.00,54.65,0.00
Ah Qd Jc,Kc9c,0.999,23.99,0.02568,1.78419,1.33,1.93,69.70,0.00,28.98,0.00
