Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah Qd Jc,6c5c,0.999,8.93,-0.00197,-0.36711,0.05,-3.56,0.02,-1.57,99.94,0.00
Ah Qd Jc,7c6c,0.999,9.56,-0.00196,-0.34097,0.05,-3.51,0.02,-1.55,99.93,0.00
Ah Qd Jc,8c7c,0.999,10.82,-0.00204,-0.31429,0.05,-3.49,0.02,-1.47,99.93,0.00
Ah Qd Jc,9c7c,0.999,11.02,-0.00192,-0.29112,0.05,-3.43,0.02,-1.47,99.93,0.00
Ah Qd Jc,9c8c,0.999,18.96,-0.00256,-0.22534,0.08,-2.92,0.03,-0.73,99.89,0.00
Ah Qd Jc,Tc7c,0.998,23.21,-0.0204,-1.46469,1.06,-1.89,26.64,0.00,72.30,0.00
Ah Qd Jc,Tc8c,0.997,34.35,1.96496,95.3413,43.35,1.84,56.60,2.06,0.06,0.00
Ah Qd Jc,Tc9c,0.997,34.96,1.79213,85.4359,41.99,1.47,57.95,2.03,0.06,0.00
Ah Qd Jc,Qc6c,0.999,41.65,0.04002,1.60159,1.45,2.31,87.16,0.01,11.39,0.00
Ah Qd Jc,Qc7c,0.999,41.68,0.04173,1.66858,1.31,2.33,87.63,0.01,11.06,0.00
Ah Qd Jc,Qc8c,0.999,42.14,0.1144,4.52479,4.41,2.34,82.41,0.01,13.18,0.00
Ah Qd Jc,Qc9c,0.999,42.08,-0.02073,-0.82112,3.08,-0.59,14.09,-0.02,82.83,0.00
Ah Qd Jc,QcTc,0.999,50.49,1.49019,49.1909,5.03,3.91,94.89,1.36,0.09,0.00
Ah Qd Jc,QcTd,0.999,48.43,0.5967,20.5356,0.38,3.32,99.44,0.59,0.19,0.00
Ah Qd Jc,QcJd,0.999,64.20,5.00076,129.832,6.09,5.79,93.89,4.95,0.02,0.00
Ah Qd Jc,QcTh,0.999,48.40,0.59329,20.431,0.40,3.18,99.41,0.58,0.18,0.00
Ah Qd Jc,QcJh,0.999,64.19,4.90952,127.483,1.18,5.96,98.80,4.90,0.02,0.00
Ah Qd Jc,QcTs,0.999,48.34,0.56474,19.4729,0.29,3.15,99.52,0.56,0.19,0.00
Ah Qd Jc,QcJs,0.999,64.16,5.01496,130.27,8.55,5.74,91.43,4.95,0.02,0.00
Ah Qd Jc,Kc2c,0.999,21.89,-0.09008,-6.85988,6.10,-1.48,29.43,0.00,64.48,0.00
Ah Qd Jc,Kc3c,0.999,22.22,-0.09192,-6.89389,6.23,-1.48,30.16,0.00,63.61,0.00
Ah Qd Jc,Kc4c,0.999,22.56,-0.09306,-6.87475,6.32,-1.47,30.71,0.00,62.97,0.00
Ah Qd Jc,Kc5c,0.999,22.90,-0.09919,-7.21814,6.90,-1.44,31.87,0.00,61.23,0.00
Ah Qd Jc,Kc6c,0.999,23.27,-0.08759,-6.27458,17.88,-0.49,27.81,0.00,54.31,0.00
Ah Qd Jc,Kc7c,0.999,23.52,-0.00077,-0.05443,20.38,0.00,24.23,0.00,55.39,0.00
Ah Qd Jc,Kc8c,0.999,23.67,-0.16884,-11.8893,11.98,-1.42,33.37,0.00,54.65,0.00
Ah Qd Jc,Kc9c,0.999,23.99,-0.02182,-1.51648,1.33,-1.65,69.70,0.00,28.98,0.00
Ah Qd Jc,KcTc,0.996,88.50,20.0378,377.354,89.83,20.30,10.17,17.73,0.00,0.00
Ah Qd Jc,KcQc,0.998,53.37,1.71149,53.4501,2.64,1.64,97.29,1.71,0.07,0.00
Ah Qd Jc,Kc8d,0.999,20.69,-0.00463,-0.37276,0.20,-2.21,0.06,-0.49,99.75,0.00
Ah Qd Jc,Kc9d,0.999,20.90,-0.00398,-0.31719,0.16,-2.27,0.06,-0.46,99.78,0.00
Ah Qd Jc,KcTd,0.996,88.50,18.1476,341.748,21.87,19.79,78.12,17.69,0.01,0.00
Ah Qd Jc,KcJd,0.999,45.62,0.64702,23.6392,8.60,2.73,91.13,0.45,0.27,0.00
Ah Qd Jc,Kc8h,0.999,20.65,-0.00497,-0.40111,0.20,-2.38,0.05,-0.51,99.75,0.00
Ah Qd Jc,Kc9h,0.999,20.88,-0.00376,-0.30008,0.15,-2.34,0.05,-0.47,99.80,0.00
Ah Qd Jc,KcTh,0.996,88.46,18.1821,342.56,21.65,20.05,78.34,17.67,0.01,0.00
Ah Qd Jc,KcJh,0.999,45.58,0.55229,20.1938,5.14,2.27,94.60,0.46,0.27,0.00
Ah Qd Jc,KcQh,0.999,51.52,1.06469,34.443,4.05,3.25,95.83,0.97,0.12,0.00
Ah Qd Jc,Kc8s,0.999,20.68,-0.00467,-0.37671,0.18,-2.39,0.06,-0.49,99.76,0.00
Ah Qd Jc,Kc9s,0.999,20.89,-0.00387,-0.309,0.15,-2.44,0.05,-0.43,99.80,0.00
Ah Qd Jc,KcTs,0.996,88.35,18.2303,343.897,29.02,19.87,70.97,17.56,0.01,0.00
Ah Qd Jc,KcJs,0.999,45.54,0.45085,16.4991,1.29,2.75,98.41,0.42,0.29,0.00
Ah Qd Jc,KcQs,0.999,51.45,0.97063,31.4449,1.37,3.18,98.51,0.94,0.12,0.00
Ah Qd Jc,Ac2c,0.999,53.41,0.93257,29.099,6.81,0.10,93.06,0.99,0.13,0.00
Ah Qd Jc,Ac3c,0.999,53.42,0.93302,29.109,7.03,0.10,92.84,1.00,0.13,0.00
Ah Qd Jc,Ac4c,0.999,53.43,0.93549,29.1812,7.07,0.12,92.80,1.00,0.12,0.00
Ah Qd Jc,Ac5c,0.999,53.48,0.95024,29.6153,6.95,0.23,92.93,1.01,0.12,0.00
Ah Qd Jc,Ac6c,0.999,53.69,1.00826,31.3013,9.23,0.94,90.65,1.02,0.12,0.00
Ah Qd Jc,Ac7c,0.999,53.89,1.03049,31.8727,7.82,0.90,92.06,1.04,0.12,0.00
Ah Qd Jc,Ac8c,0.999,54.74,1.25023,38.0624,6.59,2.74,93.30,1.15,0.11,0.00
Ah Qd Jc,Ac9c,0.999,55.72,1.31759,39.4117,0.04,1.17,99.87,1.32,0.09,0.00
Ah Qd Jc,AcTc,0.998,65.70,4.20139,106.58,0.31,6.61,99.68,4.19,0.01,0.00
Ah Qd Jc,Ac2d,0.999,51.20,0.01729,0.56292,0.81,-1.93,96.39,0.03,2.81,0.00
Ah Qd Jc,Ac3d,0.999,51.21,0.01627,0.52965,0.97,-1.93,96.32,0.04,2.71,0.00
Ah Qd Jc,Ac4d,0.999,51.21,0.01738,0.56566,1.01,-1.93,96.38,0.04,2.61,0.00
Ah Qd Jc,Ac5d,0.999,51.27,0.02236,0.72683,1.08,-1.92,96.58,0.04,2.35,0.00
Ah Qd Jc,Ac6d,0.999,51.50,0.04275,1.38354,0.72,-1.97,97.32,0.06,1.97,0.00
Ah Qd Jc,Ac7d,0.999,51.70,0.07376,2.37749,0.56,-2.18,98.00,0.09,1.44,0.00
