Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Ah Qd Jc,2c,6c5c,0.011,19.26,3.85316,166.711,0.47,3.67,95.69,3.86,3.84,3.77
Ah Qd Jc,2c,7c5c,0.007,19.28,3.68459,159.222,0.91,3.53,6.05,3.62,93.04,3.69
Ah Qd Jc,2c,7c6c,0.006,19.28,3.72747,161.096,1.25,3.63,11.98,3.66,86.77,3.74
Ah Qd Jc,2c,8c6c,0.005,19.20,3.78004,164.045,2.54,3.65,4.08,3.73,93.38,3.79
Ah Qd Jc,2c,8c7c,0.004,19.23,3.71209,160.895,0.90,3.54,1.35,3.52,97.76,3.72
Ah Qd Jc,2c,9c6c,0.005,19.21,3.79237,164.474,4.45,3.68,7.27,3.76,88.29,3.80
Ah Qd Jc,2c,9c7c,0.004,19.24,3.72257,161.246,1.56,3.57,1.40,3.55,97.04,3.73
Ah Qd Jc,2c,9c8c,0.132,23.83,4.35407,152.271,12.69,4.28,21.50,4.36,65.81,4.37
Ah Qd Jc,2c,9c8d,0.008,7.01,0.99511,118.297,1.03,0.67,43.81,1.00,55.16,1.00
Ah Qd Jc,2c,9c8h,0.008,7.00,0.98863,117.713,0.94,0.66,41.45,1.00,57.61,0.99
Ah Qd Jc,2c,9c8s,0.007,7.01,0.99707,118.566,1.05,0.67,48.34,1.00,50.61,1.00
Ah Qd Jc,2c,Tc7c,0.980,24.91,4.65131,155.605,41.38,4.65,55.75,4.65,2.87,4.63
Ah Qd Jc,2c,Tc8c,0.949,31.29,6.14511,163.638,75.13,6.15,24.40,6.14,0.48,5.76
Ah Qd Jc,2c,Tc9c,0.934,31.81,6.1654,161.513,76.08,6.17,23.41,6.17,0.50,5.82
Ah Qd Jc,2c,Tc8d,0.904,16.59,2.83685,142.492,83.92,2.84,14.47,2.84,1.60,2.71
Ah Qd Jc,2c,Tc9d,0.893,17.26,2.86257,138.212,84.51,2.87,13.93,2.86,1.56,2.74
Ah Qd Jc,2c,Tc8h,0.890,16.58,2.81306,141.367,87.56,2.82,10.79,2.81,1.65,2.70
Ah Qd Jc,2c,Tc9h,0.888,17.26,2.84362,137.33,85.07,2.85,13.23,2.84,1.70,2.72
Ah Qd Jc,2c,Tc8s,0.893,16.58,2.83372,142.455,77.47,2.84,21.06,2.84,1.47,2.72
Ah Qd Jc,2c,Tc9s,0.845,17.25,2.86257,138.3,79.09,2.86,19.43,2.87,1.48,2.74
Ah Qd Jc,2c,Qc7c,0.664,41.70,5.73534,114.618,13.96,5.69,25.76,5.74,60.28,5.74
Ah Qd Jc,2c,Qc8c,0.799,41.62,5.62989,112.728,43.10,5.63,23.60,5.63,33.29,5.63
Ah Qd Jc,2c,Qc9c,0.734,41.81,5.64707,112.567,36.38,5.65,33.48,5.65,30.14,5.64
Ah Qd Jc,2c,QcTc,0.374,47.37,6.67652,117.45,6.12,6.68,92.25,6.68,1.63,6.57
Ah Qd Jc,2c,Qc8d,0.535,26.72,2.08004,64.8641,2.35,1.99,3.03,2.08,94.63,2.08
Ah Qd Jc,2c,Qc9d,0.574,26.97,2.0812,64.3156,2.09,1.99,1.40,2.08,96.50,2.08
Ah Qd Jc,2c,QcTd,0.158,34.63,3.31376,79.7359,0.72,3.00,0.16,3.09,99.12,3.32
Ah Qd Jc,2c,QcJd,0.860,69.91,9.9962,119.155,10.93,10.00,53.66,9.99,35.42,10.00
Ah Qd Jc,2c,Qc8h,0.404,26.59,2.0652,64.7215,2.01,1.97,2.69,2.07,95.30,2.07
Ah Qd Jc,2c,Qc9h,0.464,26.84,2.06705,64.1857,1.82,1.96,0.88,2.05,97.30,2.07
Ah Qd Jc,2c,QcTh,0.096,34.59,3.29831,79.4621,0.76,2.98,0.17,3.09,99.07,3.30
Ah Qd Jc,2c,QcJh,0.743,70.19,10.094,119.841,8.53,10.09,55.33,10.09,36.13,10.09
Ah Qd Jc,2c,Qc8s,0.461,26.71,2.07717,64.8118,2.86,2.00,10.64,2.07,86.51,2.08
Ah Qd Jc,2c,Qc9s,0.481,26.96,2.0805,64.3061,2.47,1.99,7.43,2.08,90.10,2.08
Ah Qd Jc,2c,QcTs,0.133,34.65,3.31662,79.7735,0.73,3.00,0.17,3.10,99.10,3.32
Ah Qd Jc,2c,QcJs,0.858,69.90,9.99958,119.209,8.26,10.00,52.38,10.00,39.37,10.00
Ah Qd Jc,2c,Kc3c,0.816,27.92,5.24378,156.494,67.08,5.25,32.17,5.24,0.76,5.06
Ah Qd Jc,2c,Kc4c,0.825,27.92,5.24254,156.455,66.02,5.24,33.22,5.24,0.76,5.07
Ah Qd Jc,2c,Kc5c,0.867,28.00,5.24095,155.968,62.52,5.24,36.73,5.24,0.75,5.06
Ah Qd Jc,2c,Kc6c,0.600,28.17,5.29119,156.539,72.15,5.29,27.20,5.29,0.64,5.09
Ah Qd Jc,2c,Kc7c,0.894,28.39,5.25933,154.402,95.59,5.26,3.84,5.25,0.57,5.05
Ah Qd Jc,2c,Kc8c,0.928,28.38,5.12423,150.449,73.10,5.13,25.98,5.12,0.93,4.99
Ah Qd Jc,2c,Kc9c,0.912,28.52,5.16673,150.99,68.95,5.17,30.23,5.17,0.81,4.99
Ah Qd Jc,2c,KcTc,0.974,95.25,23.0598,201.756,99.10,23.06,0.87,22.85,0.03,20.90
Ah Qd Jc,2c,KcQc,0.569,50.28,7.31949,121.322,1.24,7.08,98.60,7.32,0.16,7.05
Ah Qd Jc,2c,Kc7d,0.130,12.17,1.51597,103.789,68.58,1.52,30.16,1.52,1.26,1.36
Ah Qd Jc,2c,Kc8d,0.252,12.30,1.50235,101.826,76.49,1.50,21.99,1.51,1.52,1.37
Ah Qd Jc,2c,Kc9d,0.296,12.47,1.50222,100.412,69.69,1.50,28.88,1.50,1.43,1.35
Ah Qd Jc,2c,KcTd,0.959,94.14,22.4784,198.99,81.96,22.48,17.98,22.48,0.06,20.33
Ah Qd Jc,2c,KcJd,0.282,28.05,2.79083,82.9051,91.59,2.80,3.45,2.77,4.96,2.70
Ah Qd Jc,2c,Kc7h,0.136,12.16,1.53108,104.966,62.86,1.53,35.90,1.53,1.24,1.36
Ah Qd Jc,2c,Kc8h,0.316,12.28,1.49095,101.214,58.23,1.49,39.98,1.50,1.79,1.37
Ah Qd Jc,2c,Kc9h,0.378,12.45,1.48075,99.111,67.41,1.48,31.01,1.49,1.58,1.35
Ah Qd Jc,2c,KcTh,0.963,94.14,22.4877,199.056,81.13,22.49,18.81,22.49,0.06,20.33
Ah Qd Jc,2c,KcJh,0.251,28.16,2.81383,83.2777,89.16,2.82,6.91,2.79,3.92,2.71
Ah Qd Jc,2c,KcQh,0.387,38.10,3.64301,79.6768,7.33,3.55,61.96,3.65,30.70,3.65
Ah Qd Jc,2c,Kc7s,0.156,12.24,1.54363,105.134,67.55,1.55,31.37,1.54,1.08,1.37
Ah Qd Jc,2c,Kc8s,0.176,12.27,1.5052,102.229,84.83,1.51,13.84,1.50,1.33,1.38
Ah Qd Jc,2c,Kc9s,0.208,12.45,1.50832,100.951,71.60,1.51,27.23,1.51,1.17,1.36
Ah Qd Jc,2c,KcTs,0.945,94.13,22.4555,198.796,81.00,22.46,18.94,22.45,0.06,20.31
Ah Qd Jc,2c,KcJs,0.406,28.06,2.77608,82.4412,77.06,2.78,14.10,2.78,8.84,2.73
Ah Qd Jc,2c,KcQs,0.534,38.65,3.73615,80.545,7.73,3.64,55.57,3.74,36.70,3.75
Ah Qd Jc,2c,Ac3c,0.638,62.30,10.0288,134.154,75.58,10.03,23.65,10.03,0.77,9.86
Ah Qd Jc,2c,Ac4c,0.627,62.30,10.0312,134.185,74.45,10.03,24.78,10.03,0.77,9.85
Ah Qd Jc,2c,Ac5c,0.652,62.71,10.0119,133.041,64.15,10.01,34.97,10.01,0.88,9.87
Ah Qd Jc,2c,Ac6c,0.792,63.62,10.06,131.782,33.43,10.06,65.56,10.06,1.01,9.95
Ah Qd Jc,2c,Ac7c,0.795,65.08,10.3012,131.895,7.21,10.26,92.33,10.30,0.46,10.23
Ah Qd Jc,2c,Ac8c,0.684,66.90,10.5592,131.536,7.42,10.54,91.76,10.56,0.82,10.53
Ah Qd Jc,2c,Ac9c,0.558,69.36,11.1037,133.398,2.64,11.00,96.90,11.11,0.46,11.08
Ah Qd Jc,2c,AcTc,0.493,77.23,13.1484,141.867,97.94,13.15,1.89,13.09,0.17,12.51
Ah Qd Jc,2c,AcQc,0.958,88.82,17.6556,165.652,67.42,17.66,32.45,17.65,0.13,17.09
Ah Qd Jc,2c,AcKc,0.838,82.68,13.9621,140.718,56.09,13.96,43.60,13.96,0.31,13.67
Ah Qd Jc,2c,Ac2d,0.274,76.62,11.6407,126.603,91.34,11.64,6.21,11.63,2.45,11.60
Ah Qd Jc,2c,Ac3d,0.252,50.91,5.68708,93.0921,53.30,5.69,33.71,5.69,12.98,5.66
Ah Qd Jc,2c,Ac4d,0.233,50.91,5.68514,93.0623,52.54,5.69,34.13,5.69,13.33,5.66
Ah Qd Jc,2c,Ac5d,0.220,51.47,5.70361,92.3479,25.52,5.70,33.89,5.70,40.59,5.71
Ah Qd Jc,2c,Ac6d,0.305,52.67,5.84256,92.4349,5.08,5.79,21.05,5.84,73.88,5.85
Ah Qd Jc,2c,Ac7d,0.341,54.66,6.1933,94.424,1.66,6.08,23.88,6.19,74.46,6.20
Ah Qd Jc,2c,Ac8d,0.375,57.29,6.72839,97.871,0.71,6.45,22.60,6.73,76.69,6.73
Ah Qd Jc,2c,Ac9d,0.344,60.58,7.46756,102.715,0.39,6.95,1.19,7.43,98.42,7.47
Ah Qd Jc,2c,AcTd,0.375,71.21,9.51555,111.353,2.58,9.36,95.02,9.52,2.40,9.51
Ah Qd Jc,2c,AcJd,0.730,82.75,13.577,136.72,26.47,13.57,59.32,13.58,14.21,13.57
Ah Qd Jc,2c,AcKd,0.410,77.52,10.9832,118.065,1.47,10.78,76.86,10.99,21.67,10.99
Ah Qd Jc,2c,Ac2h,0.384,76.62,11.6442,126.641,92.02,11.65,5.78,11.64,2.20,11.60
Ah Qd Jc,2c,Ac3h,0.360,50.84,5.66952,92.9353,52.76,5.67,34.95,5.67,12.29,5.64
