Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Ah Qd Jc,2c,6c5c,0.011,18.16,1.92953,88.5482,0.47,1.99,95.69,1.88,3.84,3.20
Ah Qd Jc,2c,7c5c,0.007,18.16,3.06402,140.597,0.91,1.91,6.05,1.53,93.04,3.18
Ah Qd Jc,2c,7c6c,0.006,18.16,2.90417,133.289,1.25,1.95,11.98,1.58,86.77,3.10
Ah Qd Jc,2c,8c6c,0.005,18.16,3.20693,147.142,2.54,2.08,4.08,1.64,93.38,3.31
Ah Qd Jc,2c,8c7c,0.004,18.16,3.20496,147.036,0.90,2.00,1.35,1.43,97.76,3.24
Ah Qd Jc,2c,9c6c,0.005,18.16,3.13057,143.645,4.45,2.09,7.27,1.68,88.29,3.30
Ah Qd Jc,2c,9c7c,0.004,18.16,3.18693,146.216,1.56,2.01,1.40,1.48,97.04,3.23
Ah Qd Jc,2c,9c8c,0.132,23.43,3.55687,126.511,12.69,2.81,21.50,2.71,65.81,3.98
Ah Qd Jc,2c,9c8d,0.008,6.93,-0.44546,-53.5965,1.03,-1.77,43.81,-1.50,55.16,0.42
Ah Qd Jc,2c,9c8h,0.008,6.93,-0.38985,-46.9065,0.94,-1.71,41.45,-1.50,57.61,0.43
Ah Qd Jc,2c,9c8s,0.007,6.93,-0.53593,-64.4817,1.05,-1.77,48.34,-1.50,50.61,0.41
Ah Qd Jc,2c,Tc7c,0.980,24.30,3.30027,113.172,41.38,3.30,55.75,3.24,2.87,4.41
Ah Qd Jc,2c,Tc8c,0.949,30.49,5.07147,138.631,75.13,5.03,24.40,5.20,0.48,5.58
Ah Qd Jc,2c,Tc9c,0.934,30.48,5.04246,137.845,76.08,5.00,23.41,5.17,0.50,5.55
Ah Qd Jc,2c,Tc8d,0.904,15.90,1.17019,61.328,83.92,1.13,14.47,1.31,1.60,2.24
Ah Qd Jc,2c,Tc9d,0.893,15.90,1.19432,62.5952,84.51,1.15,13.93,1.32,1.56,2.28
Ah Qd Jc,2c,Tc8h,0.890,15.90,1.17959,61.8213,87.56,1.15,10.79,1.24,1.65,2.26
Ah Qd Jc,2c,Tc9h,0.888,15.90,1.19121,62.4328,85.07,1.17,13.23,1.15,1.70,2.33
Ah Qd Jc,2c,Tc8s,0.893,15.90,1.18249,61.9726,77.47,1.13,21.06,1.30,1.47,2.23
Ah Qd Jc,2c,Tc9s,0.845,15.90,1.20049,62.9186,79.09,1.15,19.43,1.33,1.48,2.27
Ah Qd Jc,2c,Qc7c,0.664,28.39,3.78185,111.009,13.96,3.69,25.76,3.76,60.28,3.81
Ah Qd Jc,2c,Qc8c,0.799,28.37,3.96231,116.394,43.10,3.82,23.60,3.79,33.29,4.26
