Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Ah Qd Jc,2c,6c5c,0.011,20.02,4.22608,175.89,0.47,4.12,95.69,4.25,3.84,3.71
Ah Qd Jc,2c,7c5c,0.007,20.49,3.62134,147.266,0.91,4.00,6.05,3.99,93.04,3.59
Ah Qd Jc,2c,7c6c,0.006,20.50,3.72146,151.286,1.25,4.02,11.98,3.97,86.77,3.68
Ah Qd Jc,2c,8c6c,0.005,20.92,3.66117,145.856,2.54,4.04,4.08,4.02,93.38,3.64
Ah Qd Jc,2c,8c7c,0.004,21.24,3.55244,139.39,0.90,3.99,1.35,3.85,97.76,3.54
Ah Qd Jc,2c,9c6c,0.005,21.56,3.70636,143.282,4.45,4.07,7.27,4.06,88.29,3.66
Ah Qd Jc,2c,9c7c,0.004,21.66,3.56422,137.107,1.56,4.00,1.40,3.89,97.04,3.55
Ah Qd Jc,2c,9c8c,0.132,26.69,4.43681,138.536,12.69,4.71,21.50,4.78,65.81,4.27
Ah Qd Jc,2c,9c8d,0.008,10.04,1.10088,91.3415,1.03,1.17,43.81,1.48,55.16,0.80
Ah Qd Jc,2c,9c8h,0.008,10.05,1.0842,89.9361,0.94,1.19,41.45,1.49,57.61,0.79
Ah Qd Jc,2c,9c8s,0.007,10.05,1.11754,92.7046,1.05,1.13,48.34,1.45,50.61,0.80
Ah Qd Jc,2c,Tc7c,0.980,27.72,5.13954,154.504,41.38,5.13,55.75,5.17,2.87,4.61
Ah Qd Jc,2c,Tc8c,0.949,33.93,6.61942,162.581,75.13,6.61,24.40,6.66,0.48,5.91
Ah Qd Jc,2c,Tc9c,0.934,34.44,6.64126,160.681,76.08,6.63,23.41,6.68,0.50,5.98
Ah Qd Jc,2c,Tc8d,0.904,19.51,3.42668,146.385,83.92,3.43,14.47,3.51,1.60,2.69
Ah Qd Jc,2c,Tc9d,0.893,20.14,3.47366,143.748,84.51,3.47,13.93,3.57,1.56,2.70
Ah Qd Jc,2c,Tc8h,0.890,19.51,3.42801,146.413,87.56,3.43,10.79,3.49,1.65,2.69
Ah Qd Jc,2c,Tc9h,0.888,20.14,3.4736,143.704,85.07,3.48,13.23,3.52,1.70,2.71
Ah Qd Jc,2c,Tc8s,0.893,19.51,3.40545,145.494,77.47,3.40,21.06,3.48,1.47,2.69
Ah Qd Jc,2c,Tc9s,0.845,20.14,3.4551,142.97,79.09,3.45,19.43,3.54,1.48,2.71
Ah Qd Jc,2c,Qc7c,0.664,44.81,6.01823,111.93,13.96,5.89,25.76,5.94,60.28,6.08
Ah Qd Jc,2c,Qc8c,0.799,44.82,5.90686,109.823,43.10,5.91,23.60,5.89,33.29,5.92
Ah Qd Jc,2c,Qc9c,0.734,45.15,5.93862,109.616,36.38,5.92,33.48,5.92,30.14,5.99
Ah Qd Jc,2c,QcTc,0.374,51.34,7.01961,113.929,6.12,7.06,92.25,7.03,1.63,6.47
Ah Qd Jc,2c,Qc8d,0.535,30.36,2.22687,61.1151,2.35,2.50,3.03,2.60,94.63,2.21
Ah Qd Jc,2c,Qc9d,0.574,30.78,2.22817,60.3236,2.09,2.52,1.40,2.62,96.50,2.22
Ah Qd Jc,2c,QcTd,0.158,39.38,3.23307,68.4237,0.72,3.78,0.16,3.84,99.12,3.23
Ah Qd Jc,2c,QcJd,0.860,72.18,10.292,118.815,10.93,10.18,53.66,10.14,35.42,10.55
Ah Qd Jc,2c,Qc8h,0.404,30.32,2.16438,59.4822,2.01,2.51,2.69,2.61,95.30,2.14
Ah Qd Jc,2c,Qc9h,0.464,30.74,2.18601,59.2653,1.82,2.53,0.88,2.62,97.30,2.18
Ah Qd Jc,2c,QcTh,0.096,39.37,3.23137,68.3925,0.76,3.77,0.17,3.85,99.07,3.23
Ah Qd Jc,2c,QcJh,0.743,72.45,10.3765,119.351,8.53,10.26,55.33,10.22,36.13,10.65
Ah Qd Jc,2c,Qc8s,0.461,30.28,2.20896,60.7955,2.86,2.48,10.64,2.56,86.51,2.16
Ah Qd Jc,2c,Qc9s,0.481,30.71,2.26068,61.3495,2.47,2.50,7.43,2.59,90.10,2.23
Ah Qd Jc,2c,QcTs,0.133,39.33,3.19032,67.6018,0.73,3.77,0.17,3.84,99.10,3.18
Ah Qd Jc,2c,QcJs,0.858,72.19,10.3012,118.913,8.26,10.18,52.38,10.15,39.37,10.53
Ah Qd Jc,2c,Kc3c,0.816,30.43,5.6127,153.701,67.08,5.60,32.17,5.65,0.76,5.10
Ah Qd Jc,2c,Kc4c,0.825,30.43,5.61348,153.724,66.02,5.60,33.22,5.65,0.76,5.10
Ah Qd Jc,2c,Kc5c,0.867,30.39,5.59772,153.495,62.52,5.58,36.73,5.63,0.75,5.06
Ah Qd Jc,2c,Kc6c,0.600,30.41,5.54803,152.04,72.15,5.54,27.20,5.58,0.64,5.03
Ah Qd Jc,2c,Kc7c,0.894,30.74,5.56908,150.988,95.59,5.57,3.84,5.60,0.57,4.94
Ah Qd Jc,2c,Kc8c,0.928,31.08,5.51838,147.959,73.10,5.51,25.98,5.57,0.93,4.93
Ah Qd Jc,2c,Kc9c,0.912,31.69,5.56114,146.258,68.95,5.54,30.23,5.62,0.81,4.97
Ah Qd Jc,2c,KcTc,0.974,95.78,22.0857,192.152,99.10,22.09,0.87,21.79,0.03,21.32
Ah Qd Jc,2c,KcQc,0.569,53.80,7.52236,116.521,1.24,7.31,98.60,7.53,0.16,7.12
Ah Qd Jc,2c,Kc7d,0.130,14.69,2.20564,125.151,68.58,2.19,30.16,2.28,1.26,1.24
Ah Qd Jc,2c,Kc8d,0.252,15.12,2.20479,121.496,76.49,2.21,21.99,2.25,1.52,1.23
Ah Qd Jc,2c,Kc9d,0.296,15.88,2.23793,117.431,69.69,2.24,28.88,2.28,1.43,1.22
Ah Qd Jc,2c,KcTd,0.959,94.73,21.5579,189.634,81.96,21.58,17.98,21.46,0.06,20.69
Ah Qd Jc,2c,KcJd,0.282,34.09,3.53438,86.4011,91.59,3.57,3.45,3.60,4.96,2.83
Ah Qd Jc,2c,Kc7h,0.136,14.69,2.22704,126.32,62.86,2.21,35.90,2.30,1.24,1.24
Ah Qd Jc,2c,Kc8h,0.316,15.12,2.22672,122.7,58.23,2.23,39.98,2.27,1.79,1.23
Ah Qd Jc,2c,Kc9h,0.378,15.88,2.24269,117.664,67.41,2.25,31.01,2.29,1.58,1.23
Ah Qd Jc,2c,KcTh,0.963,94.74,21.5623,189.654,81.13,21.59,18.81,21.46,0.06,20.70
Ah Qd Jc,2c,KcJh,0.251,34.20,3.56587,86.8817,89.16,3.59,6.91,3.62,3.92,2.84
Ah Qd Jc,2c,KcQh,0.387,42.32,4.08811,80.4913,7.33,4.18,61.96,4.30,30.70,3.63
Ah Qd Jc,2c,Kc7s,0.156,14.68,2.20958,125.465,67.55,2.19,31.37,2.28,1.08,1.26
Ah Qd Jc,2c,Kc8s,0.176,15.10,2.17623,120.065,84.83,2.18,13.84,2.22,1.33,1.23
Ah Qd Jc,2c,Kc9s,0.208,15.87,2.21576,116.352,71.60,2.22,27.23,2.26,1.17,1.22
Ah Qd Jc,2c,KcTs,0.945,94.73,21.5445,189.528,81.00,21.57,18.94,21.45,0.06,20.67
Ah Qd Jc,2c,KcJs,0.406,34.10,3.5131,85.8534,77.06,3.57,14.10,3.61,8.84,2.85
Ah Qd Jc,2c,KcQs,0.534,42.32,4.04214,79.5904,7.73,4.18,55.57,4.30,36.70,3.63
Ah Qd Jc,2c,Ac3c,0.638,65.30,10.0055,127.68,75.58,10.01,23.65,9.97,0.77,10.67
Ah Qd Jc,2c,Ac4c,0.627,65.30,10.007,127.7,74.45,10.01,24.78,9.97,0.77,10.67
Ah Qd Jc,2c,Ac5c,0.652,65.64,10.0132,127.119,64.15,10.03,34.97,9.98,0.88,10.64
Ah Qd Jc,2c,Ac6c,0.792,66.17,10.0304,126.324,33.43,10.05,65.56,10.01,1.01,10.62
Ah Qd Jc,2c,Ac7c,0.795,67.51,10.193,125.821,7.21,10.13,92.33,10.19,0.46,10.79
Ah Qd Jc,2c,Ac8c,0.684,69.34,10.5029,126.221,7.42,10.44,91.76,10.50,0.82,11.06
Ah Qd Jc,2c,Ac9c,0.558,71.79,11.0228,127.95,2.64,10.87,96.90,11.02,0.46,11.63
Ah Qd Jc,2c,AcTc,0.493,79.21,12.9106,135.83,97.94,12.91,1.89,12.81,0.17,13.23
Ah Qd Jc,2c,AcQc,0.958,90.25,17.2183,158.987,67.42,17.26,32.45,17.14,0.13,17.83
Ah Qd Jc,2c,AcKc,0.838,84.37,13.5185,133.518,56.09,13.52,43.60,13.51,0.31,14.46
Ah Qd Jc,2c,Ac2d,0.274,78.66,11.73,124.269,91.34,11.72,6.21,11.62,2.45,12.40
Ah Qd Jc,2c,Ac3d,0.252,54.69,6.22268,94.8173,53.30,6.17,33.71,6.20,12.98,6.51
Ah Qd Jc,2c,Ac4d,0.233,54.69,6.22409,94.8399,52.54,6.17,34.13,6.20,13.33,6.51
Ah Qd Jc,2c,Ac5d,0.220,55.14,6.33602,95.75,25.52,6.18,33.89,6.21,40.59,6.54
Ah Qd Jc,2c,Ac6d,0.305,55.86,6.48927,96.8078,5.08,6.21,21.05,6.27,73.88,6.57
Ah Qd Jc,2c,Ac7d,0.341,57.65,6.7979,98.264,1.66,6.46,23.88,6.59,74.46,6.87
Ah Qd Jc,2c,Ac8d,0.375,60.12,7.27138,100.782,0.71,6.77,22.60,7.09,76.69,7.33
