Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,2c,6c5c,0.989,20.58,1.90694,154.41,28.74,1.91,59.68,1.91,11.57,1.91
Ah Qd Jc,2c,7c5c,0.993,21.13,1.89382,149.389,55.32,1.90,29.93,1.89,14.76,1.89
Ah Qd Jc,2c,7c6c,0.994,21.21,1.8854,148.159,43.62,1.89,35.48,1.89,20.90,1.88
Ah Qd Jc,2c,8c6c,0.995,22.44,1.91427,142.152,38.55,1.92,3.25,1.89,58.21,1.91
Ah Qd Jc,2c,8c7c,0.996,22.63,1.90682,140.416,16.14,1.91,1.92,1.87,81.94,1.91
Ah Qd Jc,2c,9c6c,0.995,23.68,1.92209,135.259,3.38,1.90,0.89,1.86,95.72,1.92
Ah Qd Jc,2c,9c7c,0.996,23.69,1.91434,134.681,3.15,1.88,0.45,1.84,96.40,1.92
Ah Qd Jc,2c,9c8c,0.868,27.96,2.36185,140.792,98.05,2.36,0.14,2.21,1.81,2.25
Ah Qd Jc,2c,9c8d,0.992,10.28,0.35751,57.9736,0.46,0.29,0.23,0.07,99.31,0.36
Ah Qd Jc,2c,9c8h,0.992,10.31,0.35482,57.3347,0.36,0.24,0.18,0.03,99.46,0.36
Ah Qd Jc,2c,9c8s,0.993,10.20,0.34928,57.091,0.33,0.22,0.17,0.00,99.50,0.35
Ah Qd Jc,2c,Tc7c,0.020,29.33,2.78255,158.095,99.28,2.78,0.21,2.63,0.51,2.52
Ah Qd Jc,2c,Tc8c,0.051,35.39,3.62464,170.683,99.56,3.63,0.11,3.48,0.33,3.28
Ah Qd Jc,2c,Tc9c,0.066,35.74,3.59448,167.626,99.51,3.60,0.13,3.45,0.36,3.25
Ah Qd Jc,2c,Tc8d,0.096,20.26,1.72735,142.094,95.38,1.73,0.69,1.71,3.93,1.67
Ah Qd Jc,2c,Tc9d,0.107,21.24,1.6996,133.379,94.44,1.70,0.57,1.66,4.98,1.66
Ah Qd Jc,2c,Tc8h,0.110,20.30,1.69877,139.442,87.79,1.70,0.79,1.67,11.42,1.67
Ah Qd Jc,2c,Tc9h,0.112,21.27,1.65857,129.947,71.59,1.66,1.20,1.62,27.21,1.65
Ah Qd Jc,2c,Tc8s,0.107,20.19,1.67767,138.472,84.02,1.68,0.76,1.65,15.22,1.66
Ah Qd Jc,2c,Tc9s,0.155,21.26,1.64726,129.157,79.36,1.65,0.90,1.61,19.74,1.64
Ah Qd Jc,2c,Qc7c,0.336,62.67,4.4886,119.372,0.40,4.30,16.06,4.49,83.54,4.49
