Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,6c5c,1.000,9.75,0.23586,40.3156,0.18,-0.14,99.82,0.24
Ah Qd Jc,7c5c,1.000,10.21,0.23201,37.8761,0.15,-0.22,99.85,0.23
Ah Qd Jc,7c6c,1.000,10.16,0.22549,36.9865,0.14,-0.29,99.86,0.23
Ah Qd Jc,8c6c,1.000,11.49,0.24269,35.1902,0.14,-0.25,99.86,0.24
Ah Qd Jc,8c7c,1.000,11.98,0.24106,33.5426,0.14,-0.28,99.86,0.24
Ah Qd Jc,9c6c,1.000,12.38,0.2474,33.3134,0.15,-0.21,99.85,0.25
Ah Qd Jc,9c7c,1.000,12.67,0.24521,32.2444,0.14,-0.26,99.86,0.25
Ah Qd Jc,9c8c,1.000,21.21,0.48812,38.3595,0.58,0.39,99.42,0.49
Ah Qd Jc,9c8d,1.000,17.84,0.28147,26.2894,0.19,-0.08,99.81,0.28
Ah Qd Jc,9c8h,1.000,17.85,0.28182,26.3179,0.19,-0.08,99.81,0.28
Ah Qd Jc,9c8s,1.000,17.78,0.27144,25.4394,0.18,-0.11,99.82,0.27
Ah Qd Jc,Tc7c,1.000,24.78,0.90433,60.8165,79.37,0.90,20.63,0.90
Ah Qd Jc,Tc8c,1.000,36.03,2.35668,109.017,27.16,2.36,72.84,2.36
Ah Qd Jc,Tc9c,1.000,36.75,2.39472,108.599,24.72,2.39,75.28,2.39
Ah Qd Jc,Tc8d,1.000,33.55,1.90395,94.5759,43.00,1.90,57.00,1.90
Ah Qd Jc,Tc9d,1.000,34.28,1.93315,93.9791,39.92,1.93,60.08,1.93
Ah Qd Jc,Tc8h,1.000,33.55,1.89238,93.9983,45.22,1.89,54.78,1.89
Ah Qd Jc,Tc9h,1.000,34.29,1.92206,93.4294,44.79,1.92,55.21,1.92
Ah Qd Jc,Tc8s,1.000,33.46,1.85663,92.4671,31.00,1.86,69.00,1.86
Ah Qd Jc,Tc9s,1.000,34.21,1.88845,91.9954,28.87,1.89,71.13,1.89
Ah Qd Jc,Qc7c,1.000,43.80,1.39095,52.9316,51.56,1.39,48.44,1.39
Ah Qd Jc,Qc8c,1.000,44.71,1.35125,50.3662,42.64,1.35,57.36,1.35
Ah Qd Jc,Qc9c,1.000,45.07,1.36736,50.565,52.51,1.37,47.49,1.37
Ah Qd Jc,QcTc,1.000,56.07,2.67344,79.4623,7.29,2.66,92.71,2.67
Ah Qd Jc,Qc8d,1.000,41.98,0.90188,35.8021,2.86,0.89,97.14,0.90
Ah Qd Jc,Qc9d,1.000,42.35,0.90158,35.4848,4.83,0.90,95.17,0.90
