Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,6c5c,1.000,9.75,0.23759,40.6108,0.18,0.82,99.82,0.24
Ah Qd Jc,7c5c,1.000,10.21,0.23356,38.1286,0.15,0.79,99.85,0.23
Ah Qd Jc,7c6c,1.000,10.16,0.22687,37.2126,0.14,0.72,99.86,0.23
Ah Qd Jc,8c6c,1.000,11.49,0.24404,35.3857,0.14,0.70,99.86,0.24
Ah Qd Jc,8c7c,1.000,11.98,0.24251,33.7438,0.14,0.77,99.86,0.24
Ah Qd Jc,9c6c,1.000,12.38,0.24882,33.5044,0.15,0.72,99.85,0.25
Ah Qd Jc,9c7c,1.000,12.67,0.24666,32.4356,0.14,0.78,99.86,0.25
Ah Qd Jc,9c8c,1.000,21.21,0.49317,38.7558,0.58,1.25,99.42,0.49
Ah Qd Jc,9c8d,1.000,17.84,0.28332,26.4619,0.19,0.91,99.81,0.28
Ah Qd Jc,9c8h,1.000,17.85,0.2837,26.4935,0.19,0.92,99.81,0.28
Ah Qd Jc,9c8s,1.000,17.78,0.27321,25.6056,0.18,0.89,99.82,0.27
Ah Qd Jc,Tc7c,1.000,24.78,1.55056,104.276,79.37,1.72,20.63,0.90
Ah Qd Jc,Tc8c,1.000,36.03,2.34783,108.607,27.16,2.32,72.84,2.36
Ah Qd Jc,Tc9c,1.000,36.75,2.37967,107.917,24.72,2.33,75.28,2.39
Ah Qd Jc,Tc8d,1.000,33.55,2.08003,103.322,43.00,2.31,57.00,1.90
Ah Qd Jc,Tc9d,1.000,34.28,2.07654,100.95,39.92,2.29,60.08,1.93
Ah Qd Jc,Tc8h,1.000,33.55,2.11509,105.061,45.22,2.38,54.78,1.89
Ah Qd Jc,Tc9h,1.000,34.29,2.11813,102.96,44.79,2.36,55.21,1.92
Ah Qd Jc,Tc8s,1.000,33.46,1.96524,97.8762,31.00,2.21,69.00,1.86
