Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,6c5c,1.000,9.75,-0.00025,-0.04197,0.18,-0.14,99.82,0.00
Ah Qd Jc,7c5c,1.000,10.21,-0.0004,-0.06535,0.15,-0.22,99.85,0.00
Ah Qd Jc,7c6c,1.000,10.16,-0.00047,-0.07674,0.14,-0.29,99.86,0.00
Ah Qd Jc,8c6c,1.000,11.49,-0.00053,-0.07713,0.14,-0.25,99.86,0.00
Ah Qd Jc,8c7c,1.000,11.98,-0.00057,-0.07947,0.14,-0.28,99.86,0.00
Ah Qd Jc,9c6c,1.000,12.38,-0.00047,-0.06341,0.15,-0.21,99.85,0.00
Ah Qd Jc,9c7c,1.000,12.67,-0.00056,-0.07333,0.14,-0.26,99.86,0.00
Ah Qd Jc,9c8c,1.000,21.21,0.0024,0.18848,0.58,0.39,99.42,0.00
Ah Qd Jc,9c8d,1.000,17.84,-0.00061,-0.05708,0.19,-0.08,99.81,0.00
Ah Qd Jc,9c8h,1.000,17.85,-0.00057,-0.05283,0.19,-0.08,99.81,0.00
Ah Qd Jc,9c8s,1.000,17.78,-0.00069,-0.06451,0.18,-0.11,99.82,0.00
Ah Qd Jc,Tc7c,1.000,24.78,0.91252,61.3671,79.37,0.90,20.63,0.94
Ah Qd Jc,Tc8c,1.000,36.03,3.02873,140.105,27.16,2.36,72.84,3.28
Ah Qd Jc,Tc9c,1.000,36.75,3.03902,137.818,24.72,2.39,75.28,3.25
Ah Qd Jc,Tc8d,1.000,33.55,1.94865,96.7962,43.00,1.90,57.00,1.98
Ah Qd Jc,Tc9d,1.000,34.28,2.02396,98.3936,39.92,1.93,60.08,2.08
Ah Qd Jc,Tc8h,1.000,33.55,1.84592,91.6902,45.22,1.89,54.78,1.81
Ah Qd Jc,Tc9h,1.000,34.29,1.94384,94.488,44.79,1.92,55.21,1.96
Ah Qd Jc,Tc8s,1.000,33.46,1.89909,94.5815,31.00,1.86,69.00,1.92
Ah Qd Jc,Tc9s,1.000,34.21,1.95277,95.1288,28.87,1.89,71.13,1.98
Ah Qd Jc,Qc7c,1.000,43.80,1.19475,45.4654,51.56,1.39,48.44,0.99
Ah Qd Jc,Qc8c,1.000,44.71,1.03163,38.4528,42.64,1.35,57.36,0.79
Ah Qd Jc,Qc9c,1.000,45.07,1.14401,42.3055,52.52,1.37,47.48,0.90
Ah Qd Jc,QcTc,1.000,56.07,2.76909,82.3053,7.29,2.66,92.71,2.78
Ah Qd Jc,Qc8d,1.000,41.98,0.02864,1.137,2.86,0.89,97.14,0.00
Ah Qd Jc,Qc9d,1.000,42.35,0.04703,1.85088,4.83,0.90,95.17,0.00
Ah Qd Jc,QcTd,1.000,54.23,1.95276,60.0135,9.85,2.14,90.15,1.93
Ah Qd Jc,QcJd,1.000,71.69,6.71689,156.147,37.66,6.03,62.34,7.13
Ah Qd Jc,Qc8h,1.000,41.94,0.02186,0.8686,2.21,0.88,97.79,0.00
Ah Qd Jc,Qc9h,1.000,42.30,0.03891,1.53302,4.00,0.90,96.00,0.00
Ah Qd Jc,QcTh,1.000,54.22,1.93395,59.4489,12.01,2.14,87.99,1.91
Ah Qd Jc,QcJh,1.000,71.93,6.8068,157.717,35.21,6.10,64.79,7.19
Ah Qd Jc,Qc8s,1.000,41.82,0.01926,0.76753,1.89,0.86,98.11,0.00
Ah Qd Jc,Qc9s,1.000,42.20,0.02823,1.11519,2.87,0.87,97.13,0.00
Ah Qd Jc,QcTs,1.000,54.15,1.94594,59.8946,9.04,2.11,90.96,1.93
Ah Qd Jc,QcJs,1.000,71.63,6.65771,154.912,41.15,6.04,58.85,7.09
Ah Qd Jc,Kc2c,1.000,27.42,0.92439,56.1817,53.22,0.86,46.78,0.99
Ah Qd Jc,Kc3c,1.000,27.43,0.93479,56.793,54.60,0.86,45.40,1.02
Ah Qd Jc,Kc4c,1.000,27.44,0.94618,57.463,56.75,0.87,43.25,1.05
Ah Qd Jc,Kc5c,1.000,27.39,0.92664,56.3786,59.49,0.85,40.51,1.04
Ah Qd Jc,Kc6c,1.000,27.35,0.62414,38.0392,43.90,0.79,56.10,0.50
Ah Qd Jc,Kc7c,1.000,27.82,0.6253,37.4642,38.87,0.78,61.13,0.53
Ah Qd Jc,Kc8c,1.000,28.44,0.95179,55.7798,52.47,0.81,47.53,1.10
Ah Qd Jc,Kc9c,1.000,29.31,1.02831,58.4697,44.46,0.85,55.54,1.17
Ah Qd Jc,KcTc,1.000,92.00,17.3277,313.925,27.68,15.03,72.32,18.21
Ah Qd Jc,KcQc,1.000,57.23,3.51096,102.241,7.89,2.87,92.11,3.57
Ah Qd Jc,Kc7d,1.000,24.78,0.00262,0.17595,0.44,0.36,99.56,0.00
Ah Qd Jc,Kc8d,1.000,25.44,0.00251,0.16462,0.48,0.35,99.52,0.00
Ah Qd Jc,Kc9d,1.000,26.33,0.00322,0.20378,0.57,0.38,99.43,0.00
Ah Qd Jc,KcTd,1.000,91.84,16.8154,305.173,42.50,14.88,57.50,18.25
Ah Qd Jc,KcJd,1.000,49.01,1.25061,42.5307,7.00,1.69,93.00,1.22
Ah Qd Jc,Kc7h,1.000,24.77,0.00271,0.18253,0.45,0.36,99.55,0.00
Ah Qd Jc,Kc8h,1.000,25.43,0.00267,0.17472,0.50,0.35,99.50,0.00
Ah Qd Jc,Kc9h,1.000,26.32,0.00339,0.21482,0.61,0.38,99.39,0.00
Ah Qd Jc,KcTh,1.000,91.82,17.0167,308.878,36.62,14.88,63.38,18.25
Ah Qd Jc,KcJh,1.000,49.13,1.37199,46.5469,8.99,1.71,91.01,1.34
Ah Qd Jc,KcQh,1.000,55.40,2.12384,63.895,15.38,2.32,84.62,2.09
Ah Qd Jc,Kc7s,1.000,24.69,0.00461,0.31116,0.64,0.42,99.36,0.00
Ah Qd Jc,Kc8s,1.000,25.33,0.0024,0.158,0.44,0.34,99.56,0.00
Ah Qd Jc,Kc9s,1.000,26.24,0.00303,0.19239,0.52,0.36,99.48,0.00
Ah Qd Jc,KcTs,1.000,91.70,16.8759,306.732,36.46,14.83,63.54,18.05
Ah Qd Jc,KcJs,1.000,48.88,1.36728,46.6202,6.72,1.66,93.28,1.35
Ah Qd Jc,KcQs,1.000,55.29,2.07968,62.6946,13.21,2.30,86.79,2.05
Ah Qd Jc,Ac2c,1.000,61.23,2.97064,80.854,19.78,3.01,80.22,2.96
Ah Qd Jc,Ac3c,1.000,61.26,3.0032,81.7005,19.55,3.02,80.45,3.00
Ah Qd Jc,Ac4c,1.000,61.29,3.03844,82.619,19.97,3.03,80.03,3.04
Ah Qd Jc,Ac5c,1.000,61.29,3.00372,81.6853,30.37,3.03,69.63,2.99
Ah Qd Jc,Ac6c,1.000,61.16,2.95914,80.6386,40.75,3.04,59.25,2.90
Ah Qd Jc,Ac7c,1.000,61.80,3.17669,85.6677,53.18,3.18,46.82,3.17
Ah Qd Jc,Ac8c,1.000,63.69,3.55198,92.9555,33.03,3.44,66.97,3.61
Ah Qd Jc,Ac9c,1.000,65.35,4.03178,102.82,18.43,3.80,81.57,4.08
Ah Qd Jc,AcTc,1.000,75.46,7.14536,157.82,48.90,6.03,51.10,8.21
Ah Qd Jc,AcQc,1.000,83.96,11.5997,230.256,31.48,10.00,68.52,12.33
Ah Qd Jc,AcKc,1.000,80.47,8.21996,170.246,55.38,7.27,44.62,9.39
Ah Qd Jc,Ac2d,1.000,59.20,2.29653,64.6519,17.70,2.29,82.30,2.30
Ah Qd Jc,Ac3d,1.000,59.23,2.32245,65.3486,17.30,2.30,82.70,2.33
Ah Qd Jc,Ac4d,1.000,59.26,2.33663,65.7146,17.85,2.31,82.15,2.34
Ah Qd Jc,Ac5d,1.000,59.27,2.19617,61.7572,14.32,2.32,85.68,2.18
Ah Qd Jc,Ac6d,1.000,59.16,1.92282,54.1732,8.25,2.33,91.75,1.89
Ah Qd Jc,Ac7d,1.000,59.84,2.23897,62.3626,8.76,2.47,91.24,2.22
Ah Qd Jc,Ac8d,1.000,61.89,2.77221,74.6584,6.54,2.77,93.46,2.77
Ah Qd Jc,Ac9d,1.000,63.64,3.2564,85.2752,9.29,3.15,90.71,3.27
Ah Qd Jc,AcTd,1.000,74.43,6.38773,143.028,22.76,5.48,77.24,6.65
Ah Qd Jc,AcJd,1.000,80.64,9.45059,195.332,34.77,8.52,65.23,9.95
Ah Qd Jc,AcKd,1.000,79.65,7.82363,163.716,32.32,6.82,67.68,8.30
Ah Qd Jc,Ac2h,1.000,59.19,2.2168,62.4198,17.93,2.29,82.07,2.20
Ah Qd Jc,Ac3h,1.000,59.22,2.2339,62.8696,17.97,2.30,82.03,2.22
Ah Qd Jc,Ac4h,1.000,59.25,2.25161,63.336,18.27,2.31,81.73,2.24
Ah Qd Jc,Ac5h,1.000,59.26,2.17936,61.2969,17.78,2.31,82.22,2.15
Ah Qd Jc,Ac6h,1.000,59.14,1.99829,56.3109,13.39,2.33,86.61,1.95
Ah Qd Jc,Ac7h,1.000,59.83,2.26957,63.2276,12.30,2.47,87.70,2.24
Ah Qd Jc,Ac8h,1.000,61.77,2.77844,74.9682,9.30,2.75,90.70,2.78
Ah Qd Jc,Ac9h,1.000,63.54,3.22832,84.6855,12.86,3.13,87.14,3.24
Ah Qd Jc,AcTh,1.000,74.43,6.41896,143.741,26.38,5.47,73.62,6.76
Ah Qd Jc,AcJh,1.000,80.80,9.63477,198.736,31.04,8.56,68.96,10.12
Ah Qd Jc,AcQh,1.000,83.10,10.1543,203.66,56.75,9.42,43.25,11.11
Ah Qd Jc,AcKh,1.000,79.65,7.66439,160.375,40.57,6.80,59.43,8.25
Ah Qd Jc,Ac2s,1.000,59.10,2.12431,59.9068,31.09,2.27,68.91,2.06
Ah Qd Jc,Ac3s,1.000,59.13,2.13484,60.1734,31.03,2.28,68.97,2.07
Ah Qd Jc,Ac4s,1.000,59.16,2.15511,60.7141,30.58,2.29,69.42,2.10
Ah Qd Jc,Ac5s,1.000,59.15,2.19706,61.9047,31.14,2.29,68.86,2.15
Ah Qd Jc,Ac6s,1.000,59.02,1.9614,55.3858,18.41,2.31,81.59,1.88
Ah Qd Jc,Ac7s,1.000,59.70,2.2756,63.5247,15.30,2.45,84.70,2.24
Ah Qd Jc,Ac8s,1.000,61.61,2.65303,71.764,11.46,2.73,88.54,2.64
Ah Qd Jc,Ac9s,1.000,63.40,3.13047,82.2984,14.02,3.10,85.98,3.13
Ah Qd Jc,AcTs,1.000,74.34,6.43284,144.229,26.57,5.47,73.43,6.78
Ah Qd Jc,AcJs,1.000,80.58,9.51999,196.908,33.87,8.54,66.13,10.02
Ah Qd Jc,AcQs,1.000,83.01,10.162,204.032,56.77,9.44,43.23,11.11
Ah Qd Jc,AcKs,1.000,79.44,7.33339,153.859,61.71,6.79,38.29,8.21
Ah Qd Jc,2d2c,1.000,18.56,0.00363,0.32616,0.91,0.36,99.09,0.00
Ah Qd Jc,3d3c,1.000,18.70,0.00377,0.33638,0.95,0.37,99.05,0.00
Ah Qd Jc,4d4c,1.000,18.85,0.00396,0.35057,0.99,0.37,99.01,0.00
Ah Qd Jc,5d5c,1.000,18.70,0.00277,0.24718,0.73,0.34,99.27,0.00
Ah Qd Jc,6d6c,1.000,18.94,0.00077,0.06759,0.30,0.20,99.70,0.00
Ah Qd Jc,6d5d,1.000,9.73,-0.0003,-0.05185,0.17,-0.16,99.83,0.00
Ah Qd Jc,7d7c,1.000,21.19,0.00032,0.02508,0.24,0.12,99.76,0.00
Ah Qd Jc,7d5d,1.000,10.19,-0.00046,-0.07594,0.15,-0.25,99.85,0.00
Ah Qd Jc,7d6d,1.000,10.14,-0.00051,-0.0842,0.13,-0.32,99.87,0.00
Ah Qd Jc,8d8c,1.000,24.23,-0.0002,-0.01368,0.21,0.02,99.79,0.00
Ah Qd Jc,8d6d,1.000,11.47,-0.00058,-0.08419,0.14,-0.28,99.86,0.00
Ah Qd Jc,8d7d,1.000,11.95,-0.00064,-0.08882,0.13,-0.31,99.87,0.00
Ah Qd Jc,9d8c,1.000,17.84,-0.00061,-0.05734,0.19,-0.08,99.81,0.00
Ah Qd Jc,9d9c,1.000,26.89,0.00001,0.00046,0.23,0.09,99.77,0.00
Ah Qd Jc,9d6d,1.000,12.36,-0.00054,-0.07289,0.15,-0.24,99.85,0.00
Ah Qd Jc,9d7d,1.000,12.65,-0.00063,-0.08331,0.13,-0.30,99.87,0.00
Ah Qd Jc,9d8d,1.000,21.19,0.0017,0.13395,0.48,0.35,99.52,0.00
Ah Qd Jc,9d8h,1.000,17.85,-0.0006,-0.05602,0.19,-0.09,99.81,0.00
Ah Qd Jc,9d8s,1.000,17.78,-0.00072,-0.06721,0.18,-0.12,99.82,0.00
Ah Qd Jc,Td8c,1.000,33.55,1.92524,95.6285,39.64,1.90,60.36,1.94
Ah Qd Jc,Td9c,1.000,34.29,2.00922,97.6722,37.58,1.93,62.42,2.05
Ah Qd Jc,TdTc,1.000,42.44,2.6254,103.093,20.92,1.34,79.08,2.97
Ah Qd Jc,Td7d,1.000,24.76,0.73859,49.7119,71.74,0.89,28.26,0.36
Ah Qd Jc,Td8d,1.000,36.01,3.03431,140.432,29.38,2.34,70.62,3.33
Ah Qd Jc,Td9d,1.000,36.74,3.01672,136.865,27.90,2.38,72.10,3.26
Ah Qd Jc,Td8h,1.000,33.55,1.84488,91.6385,43.66,1.89,56.34,1.81
Ah Qd Jc,Td9h,1.000,34.29,1.93442,94.0304,41.54,1.92,58.46,1.94
Ah Qd Jc,Td8s,1.000,33.46,1.8692,93.0932,30.53,1.86,69.47,1.87
Ah Qd Jc,Td9s,1.000,34.21,1.93525,94.2751,27.53,1.89,72.47,1.95
Ah Qd Jc,Jd8c,1.000,35.93,0.00565,0.26187,0.75,0.55,99.25,0.00
Ah Qd Jc,Jd9c,1.000,36.32,0.00685,0.31428,0.90,0.56,99.10,0.00
Ah Qd Jc,JdTc,1.000,47.76,1.27519,44.4969,16.57,1.61,83.43,1.21
Ah Qd Jc,Jd7d,1.000,38.16,0.87081,38.0301,50.06,1.02,49.94,0.73
Ah Qd Jc,Jd8d,1.000,38.76,0.7606,32.7088,54.58,0.95,45.42,0.53
Ah Qd Jc,Jd9d,1.000,39.13,0.85235,36.2996,57.00,0.97,43.00,0.69
Ah Qd Jc,JdTd,1.000,49.98,1.94686,64.9156,5.58,2.12,94.42,1.94
Ah Qd Jc,Jd8h,1.000,35.87,0.00515,0.23953,0.70,0.54,99.30,0.00
Ah Qd Jc,Jd9h,1.000,36.26,0.00644,0.29598,0.86,0.56,99.14,0.00
Ah Qd Jc,JdTh,1.000,47.76,1.29299,45.1258,20.28,1.61,79.72,1.21
Ah Qd Jc,Jd8s,1.000,35.76,0.00438,0.20398,0.58,0.51,99.42,0.00
Ah Qd Jc,Jd9s,1.000,36.16,0.00528,0.24331,0.69,0.53,99.31,0.00
Ah Qd Jc,JdTs,1.000,47.70,1.23437,43.1338,22.00,1.59,78.00,1.13
Ah Qd Jc,Kd7c,1.000,24.78,0.00255,0.17177,0.44,0.36,99.56,0.00
Ah Qd Jc,Kd8c,1.000,25.44,0.00258,0.16927,0.51,0.36,99.49,0.00
