Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah Qd Jc,6c5c,0.998,9.75,0,-0.00016,0.07,0.05,0.00,-0.84,99.92,0.00
Ah Qd Jc,7c5c,0.998,10.21,-0.00006,-0.00919,0.07,-0.03,0.00,-0.87,99.92,0.00
Ah Qd Jc,7c6c,0.999,10.16,-0.00007,-0.0115,0.07,-0.05,0.00,-0.98,99.93,0.00
Ah Qd Jc,8c6c,0.999,11.49,-0.00018,-0.02625,0.07,-0.20,0.00,-0.97,99.93,0.00
Ah Qd Jc,8c7c,0.999,11.98,-0.00019,-0.02665,0.07,-0.22,0.00,-0.86,99.93,0.00
Ah Qd Jc,9c6c,0.998,12.38,-0.00015,-0.02075,0.07,-0.17,0.00,-0.77,99.92,0.00
Ah Qd Jc,9c7c,0.999,12.67,-0.00019,-0.02525,0.07,-0.22,0.00,-0.79,99.92,0.00
Ah Qd Jc,9c8c,0.994,21.21,0.00015,0.01186,0.14,0.12,0.01,-0.11,99.85,0.00
Ah Qd Jc,9c8d,0.998,17.84,-0.00046,-0.0425,0.08,-0.54,0.01,-0.50,99.92,0.00
Ah Qd Jc,9c8h,0.998,17.85,-0.00042,-0.03946,0.08,-0.51,0.01,-0.51,99.92,0.00
Ah Qd Jc,9c8s,0.998,17.78,-0.0005,-0.04682,0.08,-0.59,0.01,-0.50,99.91,0.00
Ah Qd Jc,Tc7c,0.206,24.78,0.94263,63.3926,36.77,1.52,44.77,0.86,18.46,0.00
Ah Qd Jc,Tc8c,0.728,36.03,3.27965,151.712,83.27,3.43,16.65,2.54,0.07,0.00
Ah Qd Jc,Tc9c,0.753,36.75,3.25057,147.411,68.14,3.50,31.79,2.72,0.07,0.00
Ah Qd Jc,Tc8d,0.570,33.55,1.98218,98.4618,42.32,2.53,57.55,1.58,0.13,0.00
Ah Qd Jc,Tc9d,0.601,34.28,2.08399,101.312,49.79,2.43,50.09,1.75,0.12,0.00
Ah Qd Jc,Tc8h,0.548,33.55,1.80768,89.791,29.77,2.38,70.09,1.57,0.14,0.00
Ah Qd Jc,Tc9h,0.552,34.29,1.96108,95.3262,34.77,2.34,65.10,1.76,0.12,0.00
Ah Qd Jc,Tc8s,0.690,33.46,1.91838,95.5424,44.86,2.35,55.01,1.57,0.13,0.00
Ah Qd Jc,Tc9s,0.711,34.21,1.97903,96.4081,41.53,2.31,58.34,1.75,0.12,0.00
Ah Qd Jc,Qc7c,0.484,43.80,0.98602,37.5223,20.11,1.65,79.48,0.82,0.41,0.00
Ah Qd Jc,Qc8c,0.574,44.71,0.79407,29.5979,0.63,1.68,99.01,0.79,0.35,0.00
Ah Qd Jc,Qc9c,0.475,45.07,0.89722,33.1791,6.25,1.67,93.43,0.85,0.32,0.00
Ah Qd Jc,QcTc,0.927,56.07,2.77752,82.5556,28.59,3.36,71.35,2.55,0.06,0.00
Ah Qd Jc,Qc8d,0.971,41.98,0.00326,0.12931,0.21,0.85,0.67,0.22,99.12,0.00
Ah Qd Jc,Qc9d,0.952,42.35,0.00395,0.15539,0.23,0.88,0.83,0.24,98.94,0.00
Ah Qd Jc,QcTd,0.901,54.23,1.9328,59.4,16.83,2.45,83.05,1.83,0.11,0.00
Ah Qd Jc,QcJd,0.623,71.69,7.13208,165.799,21.01,7.26,78.97,7.10,0.02,0.00
Ah Qd Jc,Qc8h,0.978,41.94,0.00245,0.09723,0.17,0.82,0.52,0.21,99.31,0.00
Ah Qd Jc,Qc9h,0.960,42.30,0.00313,0.12312,0.19,0.85,0.68,0.23,99.14,0.00
Ah Qd Jc,QcTh,0.880,54.22,1.90646,58.6038,12.82,2.73,87.07,1.79,0.11,0.00
Ah Qd Jc,QcJh,0.648,71.93,7.18979,166.591,1.52,7.62,98.47,7.18,0.01,0.00
Ah Qd Jc,Qc8s,0.981,41.82,0.00319,0.1273,0.22,0.81,0.62,0.23,99.16,0.00
Ah Qd Jc,Qc9s,0.971,42.20,0.00348,0.13744,0.22,0.84,0.72,0.23,99.06,0.00
Ah Qd Jc,QcTs,0.910,54.15,1.92926,59.381,13.07,2.57,86.82,1.84,0.11,0.00
Ah Qd Jc,QcJs,0.589,71.63,7.08924,164.952,25.32,7.26,74.66,7.03,0.02,0.00
Ah Qd Jc,Kc2c,0.468,27.42,0.9938,60.4003,28.13,1.61,70.74,0.77,1.12,0.00
Ah Qd Jc,Kc3c,0.454,27.43,1.01908,61.9136,30.26,1.60,68.64,0.78,1.11,0.00
Ah Qd Jc,Kc4c,0.432,27.44,1.05074,63.8135,33.42,1.60,65.49,0.79,1.09,0.00
Ah Qd Jc,Kc5c,0.405,27.39,1.03599,63.0312,33.74,1.58,64.96,0.77,1.30,0.00
Ah Qd Jc,Kc6c,0.561,27.35,0.49635,30.2507,9.91,1.67,76.17,0.43,13.93,0.00
Ah Qd Jc,Kc7c,0.611,27.82,0.52524,31.4694,12.42,1.55,80.11,0.42,7.47,0.00
Ah Qd Jc,Kc8c,0.475,28.44,1.1032,64.6532,76.94,1.25,21.42,0.64,1.64,0.00
Ah Qd Jc,Kc9c,0.555,29.31,1.1718,66.629,76.30,1.30,22.78,0.78,0.92,0.00
Ah Qd Jc,KcTc,0.723,92.00,18.2064,329.845,82.48,18.20,17.52,18.26,0.00,0.00
Ah Qd Jc,KcQc,0.921,57.23,3.56551,103.829,85.20,3.70,14.74,2.82,0.05,0.00
Ah Qd Jc,Kc7d,0.996,24.78,0.00104,0.07026,0.19,0.57,0.03,-0.06,99.78,0.00
Ah Qd Jc,Kc8d,0.995,25.44,0.00085,0.05564,0.20,0.45,0.05,-0.10,99.75,0.00
Ah Qd Jc,Kc9d,0.994,26.33,0.00107,0.06752,0.22,0.49,0.08,0.01,99.71,0.00
Ah Qd Jc,KcTd,0.575,91.84,18.2455,331.126,71.18,18.32,28.81,18.07,0.00,0.00
Ah Qd Jc,KcJd,0.930,49.01,1.21759,41.408,7.51,2.59,92.35,1.11,0.14,0.00
Ah Qd Jc,Kc7h,0.996,24.77,0.0011,0.07375,0.17,0.65,0.03,-0.09,99.80,0.00
Ah Qd Jc,Kc8h,0.995,25.43,0.00089,0.05851,0.19,0.49,0.04,-0.10,99.77,0.00
Ah Qd Jc,Kc9h,0.994,26.32,0.00106,0.06689,0.21,0.51,0.07,0.01,99.72,0.00
Ah Qd Jc,KcTh,0.634,91.82,18.253,331.317,78.93,18.29,21.07,18.10,0.00,0.00
Ah Qd Jc,KcJh,0.910,49.13,1.33846,45.4091,14.04,2.53,85.83,1.15,0.13,0.00
Ah Qd Jc,KcQh,0.846,55.40,2.08784,62.8121,9.46,2.78,90.45,2.02,0.09,0.00
Ah Qd Jc,Kc7s,0.994,24.69,0.00191,0.12916,0.20,0.94,0.03,0.12,99.77,0.00
Ah Qd Jc,Kc8s,0.996,25.33,0.00091,0.06018,0.21,0.45,0.04,-0.08,99.75,0.00
Ah Qd Jc,Kc9s,0.995,26.24,0.00114,0.07249,0.22,0.52,0.07,0.01,99.71,0.00
Ah Qd Jc,KcTs,0.635,91.70,18.0507,328.085,66.55,18.08,33.44,18.00,0.00,0.00
Ah Qd Jc,KcJs,0.933,48.88,1.34616,45.9,17.78,2.75,82.09,1.04,0.14,0.00
Ah Qd Jc,KcQs,0.868,55.29,2.04673,61.7012,18.44,2.60,81.46,1.92,0.10,0.00
Ah Qd Jc,Ac2c,0.802,61.23,2.96034,80.5736,12.38,3.26,87.55,2.92,0.07,0.00
Ah Qd Jc,Ac3c,0.804,61.26,2.99846,81.5715,10.78,3.25,89.15,2.97,0.07,0.00
Ah Qd Jc,Ac4c,0.800,61.29,3.03974,82.6543,9.79,3.24,90.14,3.02,0.07,0.00
Ah Qd Jc,Ac5c,0.696,61.29,2.99074,81.3321,10.64,3.17,89.29,2.97,0.07,0.00
Ah Qd Jc,Ac6c,0.593,61.16,2.90123,79.0604,5.08,3.42,94.85,2.88,0.07,0.00
Ah Qd Jc,Ac7c,0.468,61.80,3.16859,85.4494,0.81,3.68,99.13,3.17,0.06,0.00
Ah Qd Jc,Ac8c,0.670,63.69,3.60541,94.3537,0.19,4.29,99.76,3.61,0.05,0.00
Ah Qd Jc,Ac9c,0.816,65.35,4.08357,104.141,0.27,4.84,99.69,4.08,0.03,0.00
Ah Qd Jc,AcTc,0.511,75.46,8.21089,181.354,88.66,8.34,11.32,7.24,0.01,0.00
Ah Qd Jc,AcQc,0.685,83.96,12.3346,244.843,86.38,12.41,13.62,11.85,0.01,0.00
Ah Qd Jc,AcKc,0.446,80.47,9.39328,194.547,48.80,10.02,51.19,8.80,0.01,0.00
Ah Qd Jc,Ac2d,0.823,59.20,2.2969,64.6624,28.33,2.41,71.44,2.26,0.22,0.00
Ah Qd Jc,Ac3d,0.827,59.23,2.32619,65.4538,24.28,2.40,75.50,2.31,0.22,0.00
Ah Qd Jc,Ac4d,0.822,59.26,2.34152,65.8522,22.34,2.39,77.45,2.33,0.21,0.00
Ah Qd Jc,Ac5d,0.857,59.27,2.1761,61.193,13.93,2.32,85.86,2.16,0.21,0.00
Ah Qd Jc,Ac6d,0.918,59.16,1.88637,53.1462,0.82,2.55,99.00,1.88,0.18,0.00
Ah Qd Jc,Ac7d,0.912,59.84,2.21702,61.751,0.49,2.85,99.38,2.22,0.13,0.00
Ah Qd Jc,Ac8d,0.935,61.89,2.77237,74.6627,0.13,3.39,99.77,2.77,0.10,0.00
Ah Qd Jc,Ac9d,0.907,63.64,3.26753,85.5668,0.14,3.81,99.79,3.27,0.07,0.00
Ah Qd Jc,AcTd,0.772,74.43,6.65444,149,1.71,7.42,98.28,6.64,0.02,0.00
Ah Qd Jc,AcJd,0.652,80.64,9.94518,205.554,1.82,10.56,98.18,9.93,0.00,0.00
Ah Qd Jc,AcKd,0.677,79.65,8.30276,173.742,0.92,9.57,99.07,8.29,0.01,0.00
Ah Qd Jc,Ac2h,0.821,59.19,2.20058,61.963,17.28,2.47,82.50,2.15,0.23,0.00
Ah Qd Jc,Ac3h,0.820,59.22,2.21943,62.4624,16.78,2.46,83.00,2.18,0.22,0.00
Ah Qd Jc,Ac4h,0.817,59.25,2.23861,62.9706,15.47,2.44,84.31,2.21,0.22,0.00
