Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah Qd Jc,6c5c,0.998,9.26,0.00047,0.08381,0.07,0.72,0.00,-1.38,99.92,0.00
Ah Qd Jc,7c5c,0.998,9.89,0.00042,0.07093,0.07,0.67,0.00,-1.39,99.92,0.00
Ah Qd Jc,7c6c,0.999,9.75,0.00031,0.05346,0.07,0.56,0.00,-1.48,99.93,0.00
Ah Qd Jc,8c6c,0.999,11.03,0.00035,0.05239,0.07,0.60,0.00,-1.41,99.93,0.00
Ah Qd Jc,8c7c,0.999,11.78,0.00037,0.05261,0.07,0.62,0.00,-1.38,99.93,0.00
Ah Qd Jc,9c6c,0.998,11.75,0.00041,0.05808,0.07,0.67,0.00,-1.36,99.92,0.00
Ah Qd Jc,9c7c,0.999,12.32,0.00041,0.05535,0.07,0.65,0.00,-1.35,99.92,0.00
Ah Qd Jc,9c8c,0.994,20.83,0.00208,0.16625,0.14,1.56,0.01,-0.53,99.85,0.00
Ah Qd Jc,9c8d,0.998,17.51,0.00085,0.08059,0.08,1.13,0.01,-0.84,99.92,0.00
Ah Qd Jc,9c8h,0.998,17.43,0.00076,0.07238,0.08,1.05,0.01,-0.87,99.92,0.00
Ah Qd Jc,9c8s,0.998,17.65,0.00091,0.08569,0.08,1.20,0.01,-0.82,99.91,0.00
Ah Qd Jc,Tc7c,0.206,24.21,0.65027,44.7607,36.77,1.75,44.77,0.01,18.46,0.00
Ah Qd Jc,Tc8c,0.728,35.36,2.52677,119.085,83.27,2.72,16.65,1.56,0.07,0.00
Ah Qd Jc,Tc9c,0.753,36.01,2.36971,109.68,68.14,2.72,31.79,1.63,0.07,0.00
Ah Qd Jc,Tc8d,0.570,32.88,1.62266,82.245,42.32,2.56,57.55,0.94,0.13,0.00
Ah Qd Jc,Tc9d,0.601,33.53,1.83112,91.0247,49.79,2.67,50.09,1.00,0.12,0.00
Ah Qd Jc,Tc8h,0.548,32.80,1.38653,70.4565,29.77,2.52,70.09,0.91,0.14,0.00
Ah Qd Jc,Tc9h,0.552,33.49,1.54705,76.9929,34.77,2.62,65.10,0.97,0.12,0.00
Ah Qd Jc,Tc8s,0.690,33.00,1.67488,84.5957,44.86,2.58,55.01,0.94,0.13,0.00
Ah Qd Jc,Tc9s,0.711,33.52,1.66954,83.0155,41.53,2.63,58.34,0.99,0.12,0.00
Ah Qd Jc,Qc7c,0.484,40.32,0.7189,29.7178,20.11,2.17,79.48,0.36,0.41,0.00
Ah Qd Jc,Qc8c,0.574,41.59,0.43496,17.4287,0.63,2.32,99.01,0.42,0.35,0.00
Ah Qd Jc,Qc9c,0.475,41.88,0.5701,22.6855,6.25,2.34,93.43,0.45,0.32,0.00
Ah Qd Jc,QcTc,0.927,52.08,1.93091,61.7943,28.59,2.29,71.35,1.79,0.06,0.00
Ah Qd Jc,Qc8d,0.971,38.92,0.00343,0.14709,0.21,1.92,0.67,-0.09,99.12,0.00
Ah Qd Jc,Qc9d,0.952,39.22,0.00369,0.1567,0.23,1.96,0.83,-0.09,98.94,0.00
Ah Qd Jc,QcTd,0.901,49.99,1.19103,39.7053,16.83,2.03,83.05,1.02,0.11,0.00
Ah Qd Jc,QcJd,0.623,66.86,5.79608,144.485,21.01,6.25,78.97,5.68,0.02,0.00
Ah Qd Jc,Qc8h,0.978,38.62,0.0025,0.10798,0.17,1.93,0.52,-0.14,99.31,0.00
Ah Qd Jc,Qc9h,0.960,38.99,0.00293,0.12538,0.19,1.99,0.68,-0.11,99.14,0.00
Ah Qd Jc,QcTh,0.880,49.90,1.10398,36.8763,12.82,1.71,87.07,1.02,0.11,0.00
Ah Qd Jc,QcJh,0.648,67.16,5.79554,143.828,1.52,6.06,98.47,5.79,0.01,0.00
Ah Qd Jc,Qc8s,0.981,38.98,0.00372,0.15892,0.22,1.96,0.62,-0.09,99.16,0.00
Ah Qd Jc,Qc9s,0.971,39.20,0.00356,0.1515,0.22,1.96,0.72,-0.09,99.06,0.00
Ah Qd Jc,QcTs,0.910,50.10,1.13479,37.7509,13.07,1.87,86.82,1.03,0.11,0.00
Ah Qd Jc,QcJs,0.589,66.87,5.84938,145.786,25.32,6.28,74.66,5.70,0.02,0.00
Ah Qd Jc,Kc2c,0.468,26.26,0.62023,39.3602,28.13,1.82,70.74,0.15,1.12,0.00
Ah Qd Jc,Kc3c,0.454,26.27,0.65961,41.8414,30.26,1.83,68.64,0.16,1.11,0.00
Ah Qd Jc,Kc4c,0.432,26.29,0.71646,45.4289,33.42,1.83,65.49,0.16,1.09,0.00
Ah Qd Jc,Kc5c,0.405,26.22,0.71059,45.1714,33.74,1.82,64.96,0.15,1.30,0.00
Ah Qd Jc,Kc6c,0.561,26.07,0.15909,10.1721,9.91,1.52,76.17,0.01,13.93,0.00
Ah Qd Jc,Kc7c,0.611,26.76,0.23636,14.7229,12.42,1.67,80.11,0.04,7.47,0.00
Ah Qd Jc,Kc8c,0.475,27.44,1.66342,101.043,76.94,2.12,21.42,0.13,1.64,0.00
Ah Qd Jc,Kc9c,0.555,28.09,1.71877,101.995,76.30,2.19,22.78,0.20,0.92,0.00
Ah Qd Jc,KcTc,0.723,89.89,17.4121,322.852,82.48,17.11,17.52,18.85,0.00,0.00
Ah Qd Jc,KcQc,0.921,52.69,2.45405,77.6236,85.20,2.54,14.74,1.99,0.05,0.00
Ah Qd Jc,Kc7d,0.996,23.76,0.00247,0.17341,0.19,1.38,0.03,-0.33,99.78,0.00
Ah Qd Jc,Kc8d,0.995,24.53,0.00322,0.21861,0.20,1.68,0.05,-0.27,99.75,0.00
Ah Qd Jc,Kc9d,0.994,25.20,0.00357,0.23625,0.22,1.74,0.08,-0.23,99.71,0.00
Ah Qd Jc,KcTd,0.575,89.66,17.352,322.557,71.18,16.85,28.81,18.60,0.00,0.00
Ah Qd Jc,KcJd,0.930,47.44,0.9633,33.8449,7.51,1.98,92.35,0.88,0.14,0.00
Ah Qd Jc,Kc7h,0.996,23.67,0.00218,0.1537,0.17,1.31,0.03,-0.34,99.80,0.00
Ah Qd Jc,Kc8h,0.995,24.39,0.00297,0.20282,0.19,1.62,0.04,-0.30,99.77,0.00
Ah Qd Jc,Kc9h,0.994,25.11,0.00331,0.21992,0.21,1.70,0.07,-0.25,99.72,0.00
Ah Qd Jc,KcTh,0.634,89.63,17.2291,320.361,78.93,16.86,21.07,18.60,0.00,0.00
Ah Qd Jc,KcJh,0.910,47.54,1.05907,37.1299,14.04,2.01,85.83,0.90,0.13,0.00
Ah Qd Jc,KcQh,0.846,50.69,1.31467,43.2298,9.46,2.13,90.45,1.23,0.09,0.00
Ah Qd Jc,Kc7s,0.994,24.13,0.00221,0.15247,0.20,1.14,0.03,-0.24,99.77,0.00
Ah Qd Jc,Kc8s,0.996,24.74,0.00349,0.23525,0.21,1.71,0.04,-0.26,99.75,0.00
Ah Qd Jc,Kc9s,0.995,25.23,0.00366,0.24179,0.22,1.75,0.07,-0.23,99.71,0.00
Ah Qd Jc,KcTs,0.635,89.53,17.2704,321.488,66.55,16.67,33.44,18.48,0.00,0.00
Ah Qd Jc,KcJs,0.933,47.42,1.02445,36.0066,17.78,1.77,82.09,0.86,0.14,0.00
Ah Qd Jc,KcQs,0.868,50.67,1.42593,46.9061,18.44,2.36,81.46,1.22,0.10,0.00
Ah Qd Jc,Ac2c,0.802,55.29,1.66465,50.1779,12.38,2.73,87.55,1.51,0.07,0.00
Ah Qd Jc,Ac3c,0.804,55.32,1.65932,49.9895,10.78,2.76,89.15,1.53,0.07,0.00
Ah Qd Jc,Ac4c,0.800,55.35,1.65818,49.927,9.79,2.77,90.14,1.54,0.07,0.00
Ah Qd Jc,Ac5c,0.696,55.30,1.67656,50.5303,10.64,2.86,89.29,1.54,0.07,0.00
