Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah Qd Jc,6c5c,0.998,9.26,-0.00274,-0.49281,0.07,-3.69,0.00,-1.38,99.92,0.00
Ah Qd Jc,7c5c,0.998,9.89,-0.00271,-0.45677,0.07,-3.73,0.00,-1.39,99.92,0.00
Ah Qd Jc,7c6c,0.999,9.75,-0.0027,-0.46188,0.07,-3.99,0.00,-1.48,99.93,0.00
Ah Qd Jc,8c6c,0.999,11.03,-0.00272,-0.41084,0.07,-3.93,0.00,-1.41,99.93,0.00
Ah Qd Jc,8c7c,0.999,11.78,-0.00279,-0.3942,0.07,-3.87,0.00,-1.38,99.93,0.00
Ah Qd Jc,9c6c,0.998,11.75,-0.00272,-0.38642,0.07,-3.77,0.00,-1.36,99.92,0.00
Ah Qd Jc,9c7c,0.999,12.32,-0.00276,-0.37297,0.07,-3.75,0.00,-1.35,99.92,0.00
Ah Qd Jc,9c8c,0.994,20.83,-0.00374,-0.29888,0.14,-2.68,0.01,-0.53,99.85,0.00
Ah Qd Jc,9c8d,0.998,17.51,-0.00277,-0.26358,0.08,-3.43,0.01,-0.84,99.92,0.00
Ah Qd Jc,9c8h,0.998,17.43,-0.00271,-0.25871,0.08,-3.45,0.01,-0.87,99.92,0.00
Ah Qd Jc,9c8s,0.998,17.65,-0.0027,-0.25459,0.08,-3.31,0.01,-0.82,99.91,0.00
Ah Qd Jc,Tc7c,0.206,24.21,-0.76576,-52.7108,36.77,-2.10,44.77,0.01,18.46,0.00
Ah Qd Jc,Tc8c,0.728,35.36,1.39395,65.6955,83.27,1.36,16.65,1.56,0.07,0.00
Ah Qd Jc,Tc9c,0.753,36.01,1.59344,73.7508,68.14,1.58,31.79,1.63,0.07,0.00
Ah Qd Jc,Tc8d,0.570,32.88,0.26224,13.2915,42.32,-0.66,57.55,0.94,0.13,0.00
Ah Qd Jc,Tc9d,0.601,33.53,0.23209,11.5373,49.79,-0.54,50.09,1.00,0.12,0.00
Ah Qd Jc,Tc8h,0.548,32.80,0.42768,21.7326,29.77,-0.70,70.09,0.91,0.14,0.00
Ah Qd Jc,Tc9h,0.552,33.49,0.42267,21.0353,34.77,-0.61,65.10,0.97,0.12,0.00
Ah Qd Jc,Tc8s,0.690,33.00,0.21655,10.9376,44.86,-0.67,55.01,0.94,0.13,0.00
Ah Qd Jc,Tc9s,0.711,33.52,0.30761,15.2956,41.53,-0.65,58.34,0.99,0.12,0.00
Ah Qd Jc,Qc7c,0.484,40.32,-0.03612,-1.49329,20.11,-1.58,79.48,0.36,0.41,0.00
Ah Qd Jc,Qc8c,0.574,41.59,0.41152,16.4894,0.63,-1.37,99.01,0.42,0.35,0.00
Ah Qd Jc,Qc9c,0.475,41.88,0.34327,13.6593,6.25,-1.29,93.43,0.45,0.32,0.00
Ah Qd Jc,QcTc,0.927,52.08,1.42701,45.6682,28.59,0.53,71.35,1.79,0.06,0.00
Ah Qd Jc,Qc8d,0.971,38.92,-0.00496,-0.21259,0.21,-2.05,0.67,-0.09,99.12,0.00
Ah Qd Jc,Qc9d,0.952,39.22,-0.00507,-0.21529,0.23,-1.92,0.83,-0.09,98.94,0.00
Ah Qd Jc,QcTd,0.901,49.99,0.63794,21.2668,16.83,-1.26,83.05,1.02,0.11,0.00
Ah Qd Jc,QcJd,0.623,66.86,5.81523,144.963,21.01,6.34,78.97,5.68,0.02,0.00
Ah Qd Jc,Qc8h,0.978,38.62,-0.00405,-0.17483,0.17,-2.01,0.52,-0.14,99.31,0.00
Ah Qd Jc,Qc9h,0.960,38.99,-0.00434,-0.18548,0.19,-1.92,0.68,-0.11,99.14,0.00
Ah Qd Jc,QcTh,0.880,49.90,0.71017,23.7219,12.82,-1.36,87.07,1.02,0.11,0.00
Ah Qd Jc,QcJh,0.648,67.16,5.81547,144.322,1.52,7.37,98.47,5.79,0.01,0.00
Ah Qd Jc,Qc8s,0.981,38.98,-0.00487,-0.20802,0.22,-1.98,0.62,-0.09,99.16,0.00
Ah Qd Jc,Qc9s,0.971,39.20,-0.00492,-0.20938,0.22,-1.97,0.72,-0.09,99.06,0.00
Ah Qd Jc,QcTs,0.910,50.10,0.74557,24.8029,13.07,-1.11,86.82,1.03,0.11,0.00
Ah Qd Jc,QcJs,0.589,66.87,5.92164,147.587,25.32,6.57,74.66,5.70,0.02,0.00
Ah Qd Jc,Kc2c,0.468,26.26,-0.50989,-32.3578,28.13,-2.20,70.74,0.15,1.12,0.00
Ah Qd Jc,Kc3c,0.454,26.27,-0.55612,-35.2772,30.26,-2.19,68.64,0.16,1.11,0.00
Ah Qd Jc,Kc4c,0.432,26.29,-0.62732,-39.7766,33.42,-2.19,65.49,0.16,1.09,0.00
Ah Qd Jc,Kc5c,0.405,26.22,-0.6683,-42.4826,33.74,-2.26,64.96,0.15,1.30,0.00
Ah Qd Jc,Kc6c,0.561,26.07,-0.25414,-16.2496,9.91,-2.65,76.17,0.01,13.93,0.00
Ah Qd Jc,Kc7c,0.611,26.76,-0.28031,-17.4604,12.42,-2.49,80.11,0.04,7.47,0.00
Ah Qd Jc,Kc8c,0.475,27.44,-1.5442,-93.801,76.94,-2.04,21.42,0.13,1.64,0.00
Ah Qd Jc,Kc9c,0.555,28.09,-1.39945,-83.0456,76.30,-1.89,22.78,0.20,0.92,0.00
Ah Qd Jc,KcTc,0.723,89.89,21.9111,406.273,82.48,22.56,17.52,18.85,0.00,0.00
Ah Qd Jc,KcQc,0.921,52.69,1.1764,37.2106,85.20,1.04,14.74,1.99,0.05,0.00
Ah Qd Jc,Kc7d,0.996,23.76,-0.00622,-0.43645,0.19,-3.30,0.03,-0.33,99.78,0.00
Ah Qd Jc,Kc8d,0.995,24.53,-0.00592,-0.40222,0.20,-2.90,0.05,-0.27,99.75,0.00
Ah Qd Jc,Kc9d,0.994,25.20,-0.00611,-0.40392,0.22,-2.75,0.08,-0.23,99.71,0.00
Ah Qd Jc,KcTd,0.575,89.66,21.4826,399.34,71.18,22.65,28.81,18.60,0.00,0.00
Ah Qd Jc,KcJd,0.930,47.44,0.70213,24.6687,7.51,-1.49,92.35,0.88,0.14,0.00
Ah Qd Jc,Kc7h,0.996,23.67,-0.00575,-0.40459,0.17,-3.27,0.03,-0.34,99.80,0.00
Ah Qd Jc,Kc8h,0.995,24.39,-0.00555,-0.37892,0.19,-2.85,0.04,-0.30,99.77,0.00
Ah Qd Jc,Kc9h,0.994,25.11,-0.0059,-0.39141,0.21,-2.78,0.07,-0.25,99.72,0.00
Ah Qd Jc,KcTh,0.634,89.63,21.6489,402.544,78.93,22.46,21.07,18.60,0.00,0.00
Ah Qd Jc,KcJh,0.910,47.54,0.57624,20.2023,14.04,-1.43,85.83,0.90,0.13,0.00
Ah Qd Jc,KcQh,0.846,50.69,0.98572,32.4132,9.46,-1.35,90.45,1.23,0.09,0.00
