Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,6c5c,1.000,13.01,0.91433,117.152,0.62,-1.51,99.38,0.93
Ah Qd Jc,7c6c,1.000,13.26,0.87033,109.39,0.55,-1.65,99.45,0.88
Ah Qd Jc,8c7c,1.000,14.32,0.85638,99.6692,0.47,-1.57,99.53,0.87
Ah Qd Jc,9c8c,1.000,23.50,1.13854,80.7337,0.73,-1.15,99.27,1.16
Ah Qd Jc,Tc8c,1.000,39.25,3.71629,157.795,45.09,4.45,54.91,3.11
Ah Qd Jc,Tc9c,1.000,40.02,3.67025,152.837,47.15,4.28,52.85,3.13
Ah Qd Jc,Qc8c,1.000,53.14,0.88882,27.8766,47.46,-0.27,52.54,1.94
Ah Qd Jc,Qc9c,1.000,53.59,1.36633,42.4909,27.70,-0.20,72.30,1.97
Ah Qd Jc,QcTc,1.000,63.48,3.29097,86.4092,10.19,4.82,89.81,3.12
Ah Qd Jc,QcTd,1.000,62.01,2.62322,70.5054,6.52,2.38,93.48,2.64
Ah Qd Jc,QcJd,1.000,74.14,6.38234,143.479,26.09,8.33,73.91,5.70
Ah Qd Jc,QcTh,1.000,62.00,2.62472,70.5535,5.93,2.34,94.07,2.64
Ah Qd Jc,QcJh,1.000,74.13,6.10395,137.232,21.07,7.76,78.93,5.66
Ah Qd Jc,QcTs,1.000,61.94,2.72641,73.3584,7.18,4.06,92.82,2.62
Ah Qd Jc,QcJs,1.000,74.09,6.4141,144.29,27.46,8.21,72.54,5.73
Ah Qd Jc,Kc2c,1.000,33.70,0.97257,48.1007,45.86,0.28,54.14,1.56
Ah Qd Jc,Kc3c,1.000,33.84,1.05582,51.9998,44.75,0.44,55.25,1.56
Ah Qd Jc,Kc4c,1.000,33.98,1.17206,57.4839,43.73,0.68,56.27,1.56
Ah Qd Jc,Kc5c,1.000,34.06,1.19128,58.2886,43.78,0.75,56.22,1.54
Ah Qd Jc,Kc6c,1.000,34.19,1.61523,78.7343,42.57,1.74,57.43,1.52
Ah Qd Jc,Kc7c,1.000,34.45,0.74037,35.8155,47.41,-0.09,52.59,1.49
Ah Qd Jc,Kc8c,1.000,35.27,1.25918,59.5014,16.40,0.24,83.60,1.46
Ah Qd Jc,Kc9c,1.000,36.33,1.25613,57.621,12.41,-0.34,87.59,1.48
Ah Qd Jc,KcTc,1.000,92.39,15.3173,276.302,60.90,16.57,39.10,13.36
Ah Qd Jc,KcQc,1.000,64.88,3.58844,92.1804,11.61,5.62,88.39,3.32
Ah Qd Jc,KcTd,1.000,92.26,14.927,269.659,47.80,16.75,52.20,13.26
Ah Qd Jc,KcJd,1.000,57.07,2.23235,65.1979,10.29,2.38,89.71,2.22
Ah Qd Jc,KcTh,1.000,92.25,14.9607,270.297,49.18,16.71,50.82,13.26
Ah Qd Jc,KcJh,1.000,57.05,2.2598,66.0127,6.29,2.83,93.71,2.22
Ah Qd Jc,KcQh,1.000,63.39,3.08349,81.0672,19.48,4.22,80.52,2.81
Ah Qd Jc,KcTs,1.000,92.15,15.0306,271.838,51.01,16.76,48.99,13.23
Ah Qd Jc,KcJs,1.000,56.97,2.23204,65.3025,13.49,2.49,86.51,2.19
Ah Qd Jc,KcQs,1.000,63.31,2.96201,77.9817,15.19,3.89,84.81,2.80
Ah Qd Jc,Ac2c,1.000,66.20,3.24423,81.6773,28.40,3.62,71.60,3.09
Ah Qd Jc,Ac3c,1.000,66.22,3.25833,82.0113,29.06,3.65,70.94,3.10
Ah Qd Jc,Ac4c,1.000,66.23,3.27743,82.4709,29.96,3.68,70.04,3.11
Ah Qd Jc,Ac5c,1.000,66.17,3.37206,84.9279,38.60,3.80,61.40,3.10
Ah Qd Jc,Ac6c,1.000,66.24,3.51817,88.5266,36.85,4.20,63.15,3.12
Ah Qd Jc,Ac7c,1.000,66.55,3.2869,82.3129,26.16,3.58,73.84,3.18
Ah Qd Jc,Ac8c,1.000,68.06,3.41237,83.5609,7.42,3.73,92.58,3.39
Ah Qd Jc,Ac9c,1.000,68.96,3.62063,87.5025,10.97,3.96,89.03,3.58
Ah Qd Jc,AcTc,1.000,76.67,6.62648,144.057,41.07,8.50,58.93,5.32
Ah Qd Jc,Ac2d,1.000,64.46,1.83299,47.394,29.09,0.27,70.91,2.47
Ah Qd Jc,Ac3d,1.000,64.48,1.86116,48.1098,28.56,0.32,71.44,2.48
Ah Qd Jc,Ac4d,1.000,64.49,1.88895,48.8151,28.04,0.36,71.96,2.48
Ah Qd Jc,Ac5d,1.000,64.45,2.06482,53.3975,20.33,0.42,79.67,2.49
Ah Qd Jc,Ac6d,1.000,64.53,2.27738,58.8188,14.97,0.99,85.03,2.50
Ah Qd Jc,Ac7d,1.000,64.88,2.39812,61.6007,12.59,1.12,87.41,2.58
Ah Qd Jc,Ac8d,1.000,66.51,2.81874,70.6345,2.75,2.84,97.25,2.82
Ah Qd Jc,Ac9d,1.000,67.47,3.02591,74.7485,3.43,3.06,96.57,3.02
Ah Qd Jc,AcTd,1.000,75.73,5.35942,117.944,18.25,7.63,81.75,4.85
Ah Qd Jc,AcJd,1.000,80.26,7.87584,163.55,21.86,10.35,78.14,7.18
Ah Qd Jc,Ac2h,1.000,64.45,1.95151,50.4622,24.79,0.37,75.21,2.47
Ah Qd Jc,Ac3h,1.000,64.47,1.99013,51.4474,24.07,0.45,75.93,2.48
Ah Qd Jc,Ac4h,1.000,64.49,2.02555,52.3492,23.53,0.54,76.47,2.48
Ah Qd Jc,Ac5h,1.000,64.44,2.12426,54.9388,19.66,0.66,80.34,2.48
Ah Qd Jc,Ac6h,1.000,64.53,2.37136,61.2506,16.48,1.72,83.52,2.50
Ah Qd Jc,Ac7h,1.000,64.82,2.47752,63.6977,16.56,2.01,83.44,2.57
Ah Qd Jc,Ac8h,1.000,66.51,2.82977,70.9076,2.97,3.22,97.03,2.82
Ah Qd Jc,Ac9h,1.000,67.47,3.03973,75.0865,4.14,3.41,95.86,3.02
Ah Qd Jc,AcTh,1.000,75.73,5.49403,120.907,22.31,7.74,77.69,4.85
Ah Qd Jc,AcJh,1.000,80.27,7.99945,166.088,26.31,10.42,73.69,7.14
Ah Qd Jc,Ac2s,1.000,64.39,1.91066,49.4567,30.32,0.65,69.68,2.46
Ah Qd Jc,Ac3s,1.000,64.41,1.96088,50.7431,29.04,0.73,70.96,2.46
Ah Qd Jc,Ac4s,1.000,64.42,2.00295,51.8181,28.04,0.80,71.96,2.47
Ah Qd Jc,Ac5s,1.000,64.36,2.10557,54.5256,23.06,0.89,76.94,2.47
Ah Qd Jc,Ac6s,1.000,64.43,2.28086,59.0046,20.09,1.47,79.91,2.48
Ah Qd Jc,Ac7s,1.000,64.70,2.51492,64.7845,17.16,2.32,82.84,2.56
Ah Qd Jc,Ac8s,1.000,66.40,2.81647,70.694,2.38,2.84,97.62,2.82
Ah Qd Jc,Ac9s,1.000,67.36,3.01918,74.7034,3.37,3.09,96.63,3.02
Ah Qd Jc,AcTs,1.000,75.66,5.68599,125.252,26.52,7.99,73.48,4.85
Ah Qd Jc,AcJs,1.000,80.21,8.04331,167.126,25.34,10.42,74.66,7.24
Ah Qd Jc,6d6c,1.000,28.38,0.42611,25.0278,23.31,-1.53,76.69,1.02
Ah Qd Jc,6d5d,1.000,13.01,0.91386,117.053,0.61,-1.50,99.39,0.93
Ah Qd Jc,7d7c,1.000,29.55,0.6621,37.3428,13.04,-1.49,86.96,0.99
Ah Qd Jc,7d6d,1.000,13.26,0.86853,109.136,0.53,-1.61,99.47,0.88
Ah Qd Jc,8d8c,1.000,32.62,0.94914,48.4984,0.61,-1.29,99.39,0.96
Ah Qd Jc,8d7d,1.000,14.32,0.84998,98.9221,0.45,-1.56,99.55,0.86
Ah Qd Jc,9d9c,1.000,34.85,1.03485,49.4878,0.45,-1.29,99.55,1.05
Ah Qd Jc,9d8d,1.000,23.50,1.13019,80.1384,0.66,-1.08,99.34,1.14
Ah Qd Jc,TdTc,1.000,49.59,1.76071,59.1808,47.34,1.59,52.66,1.92
Ah Qd Jc,Td8d,1.000,39.25,3.67402,155.997,45.06,4.36,54.94,3.11
Ah Qd Jc,Td9d,1.000,40.02,3.65762,152.308,47.35,4.25,52.65,3.13
Ah Qd Jc,JdTc,1.000,55.58,1.4123,42.3482,38.89,0.32,61.11,2.11
Ah Qd Jc,Jd8d,1.000,46.70,0.67842,24.2137,40.87,-0.64,59.13,1.59
Ah Qd Jc,Jd9d,1.000,47.15,0.94088,33.2589,29.69,-0.63,70.31,1.60
Ah Qd Jc,JdTd,1.000,57.42,2.91628,84.6531,20.90,4.07,79.10,2.61
Ah Qd Jc,JdTh,1.000,55.58,1.30232,39.0533,41.92,0.19,58.08,2.11
Ah Qd Jc,JdTs,1.000,55.52,1.52804,45.8665,34.03,0.45,65.97,2.09
Ah Qd Jc,KdTc,1.000,92.26,14.933,269.767,48.42,16.71,51.58,13.26
Ah Qd Jc,KdQc,1.000,63.41,2.98194,78.3766,14.54,3.99,85.46,2.81
Ah Qd Jc,Kd2d,1.000,33.71,0.9658,47.7501,46.96,0.30,53.04,1.56
Ah Qd Jc,Kd3d,1.000,33.85,1.04625,51.5109,45.75,0.44,54.25,1.56
Ah Qd Jc,Kd4d,1.000,33.99,1.16601,57.1683,44.49,0.67,55.51,1.56
Ah Qd Jc,Kd5d,1.000,34.07,1.20031,58.7108,44.63,0.78,55.37,1.54
Ah Qd Jc,Kd6d,1.000,34.20,1.6167,78.7795,43.07,1.74,56.93,1.52
Ah Qd Jc,Kd7d,1.000,34.46,0.65507,31.6816,52.51,-0.10,47.49,1.49
Ah Qd Jc,Kd8d,1.000,35.28,1.16932,55.2401,19.24,-0.05,80.76,1.46
Ah Qd Jc,Kd9d,1.000,36.34,1.25007,57.3279,13.38,-0.22,86.62,1.48
Ah Qd Jc,KdTd,1.000,92.39,15.2994,275.979,60.60,16.56,39.40,13.36
Ah Qd Jc,KdJd,1.000,58.92,2.88412,81.5828,12.88,3.82,87.12,2.75
Ah Qd Jc,KdTh,1.000,92.25,14.9254,269.66,48.32,16.70,51.68,13.26
Ah Qd Jc,KdJh,1.000,57.06,2.25504,65.869,6.42,2.70,93.58,2.22
Ah Qd Jc,KdQh,1.000,63.40,3.04639,80.085,16.85,4.23,83.15,2.81
Ah Qd Jc,KdTs,1.000,92.15,14.9786,270.899,49.76,16.75,50.24,13.23
Ah Qd Jc,KdJs,1.000,56.97,2.22919,65.2146,13.31,2.45,86.69,2.20
Ah Qd Jc,KdQs,1.000,63.31,2.94516,77.5315,12.14,4.03,87.86,2.80
Ah Qd Jc,Ad2c,1.000,64.46,1.87112,48.3799,27.78,0.31,72.22,2.47
Ah Qd Jc,Ad3c,1.000,64.48,1.89426,48.9652,27.46,0.35,72.54,2.48
Ah Qd Jc,Ad4c,1.000,64.49,1.92059,49.6329,26.98,0.40,73.02,2.48
Ah Qd Jc,Ad5c,1.000,64.45,2.08314,53.8713,19.78,0.46,80.22,2.48
Ah Qd Jc,Ad6c,1.000,64.53,2.30725,59.5902,15.02,1.20,84.98,2.50
Ah Qd Jc,Ad7c,1.000,64.88,2.42819,62.373,12.12,1.33,87.88,2.58
Ah Qd Jc,Ad8c,1.000,66.51,2.81628,70.5728,2.67,2.96,97.33,2.81
Ah Qd Jc,Ad9c,1.000,67.47,3.02303,74.6775,3.41,3.09,96.59,3.02
Ah Qd Jc,AdTc,1.000,75.73,5.40151,118.87,18.85,7.73,81.15,4.86
Ah Qd Jc,Ad2d,1.000,66.21,3.23248,81.3721,24.73,3.64,75.27,3.10
Ah Qd Jc,Ad3d,1.000,66.22,3.24414,81.6445,25.29,3.65,74.71,3.11
Ah Qd Jc,Ad4d,1.000,66.24,3.2603,82.0302,26.01,3.68,73.99,3.11
Ah Qd Jc,Ad5d,1.000,66.18,3.34646,84.2733,35.44,3.78,64.56,3.11
Ah Qd Jc,Ad6d,1.000,66.24,3.48045,87.5669,32.36,4.22,67.64,3.12
Ah Qd Jc,Ad7d,1.000,66.56,3.3267,83.3014,25.98,3.71,74.02,3.19
Ah Qd Jc,Ad8d,1.000,68.07,3.42053,83.7525,6.67,3.73,93.33,3.40
Ah Qd Jc,Ad9d,1.000,68.97,3.63879,87.9328,10.59,4.02,89.41,3.59
Ah Qd Jc,AdTd,1.000,76.67,6.48621,140.996,36.02,8.53,63.98,5.34
Ah Qd Jc,Ad2h,1.000,64.45,1.95157,50.4637,25.93,0.47,74.07,2.47
Ah Qd Jc,Ad3h,1.000,64.47,1.98835,51.4012,25.40,0.56,74.60,2.48
Ah Qd Jc,Ad4h,1.000,64.49,2.02887,52.4351,25.03,0.67,74.97,2.48
Ah Qd Jc,Ad5h,1.000,64.44,2.13787,55.2907,20.79,0.83,79.21,2.48
Ah Qd Jc,Ad6h,1.000,64.53,2.42108,62.5349,17.74,2.06,82.26,2.50
Ah Qd Jc,Ad7h,1.000,64.82,2.48332,63.8468,17.31,2.07,82.69,2.57
Ah Qd Jc,Ad8h,1.000,66.51,2.8291,70.891,3.04,3.25,96.96,2.82
Ah Qd Jc,Ad9h,1.000,67.47,3.04168,75.1347,4.32,3.43,95.68,3.02
Ah Qd Jc,AdTh,1.000,75.73,5.54856,122.107,23.18,7.84,76.82,4.86
Ah Qd Jc,AdJh,1.000,80.27,7.99788,166.063,25.60,10.31,74.40,7.20
Ah Qd Jc,Ad2s,1.000,64.39,1.93097,49.9823,30.52,0.73,69.48,2.46
Ah Qd Jc,Ad3s,1.000,64.41,1.98017,51.2424,29.39,0.82,70.61,2.46
Ah Qd Jc,Ad4s,1.000,64.42,2.02411,52.3655,28.38,0.90,71.62,2.47
Ah Qd Jc,Ad5s,1.000,64.36,2.12311,54.9799,23.43,1.00,76.57,2.47
Ah Qd Jc,Ad6s,1.000,64.43,2.34326,60.6189,21.29,1.83,78.71,2.48
Ah Qd Jc,Ad7s,1.000,64.70,2.5264,65.0801,17.16,2.39,82.84,2.55
Ah Qd Jc,Ad8s,1.000,66.40,2.81642,70.6926,2.46,2.91,97.54,2.81
Ah Qd Jc,Ad9s,1.000,67.36,3.02174,74.7667,3.59,3.15,96.41,3.02
Ah Qd Jc,AdTs,1.000,75.66,5.7167,125.929,26.50,8.09,73.50,4.86
Ah Qd Jc,AdJs,1.000,80.21,8.14779,169.306,27.87,10.34,72.13,7.30
Ah Qd Jc,6h6c,1.000,28.37,0.5809,34.1278,17.00,-1.55,83.00,1.02
Ah Qd Jc,6h6d,1.000,28.37,0.62548,36.7464,15.20,-1.56,84.80,1.02
Ah Qd Jc,6h5h,1.000,13.08,0.92817,118.31,0.56,-1.53,99.44,0.94
Ah Qd Jc,7h7c,1.000,29.60,0.80855,45.5323,6.89,-1.55,93.11,0.98
Ah Qd Jc,7h7d,1.000,29.60,0.83983,47.2951,5.63,-1.52,94.37,0.98
Ah Qd Jc,7h6h,1.000,13.36,0.88444,110.37,0.51,-1.70,99.49,0.90
Ah Qd Jc,8h8c,1.000,32.61,0.94693,48.3995,0.60,-1.31,99.40,0.96
