Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,6c5c,1.000,13.01,0.00594,0.76148,0.62,0.78,99.38,0.00
Ah Qd Jc,7c6c,1.000,13.26,0.00503,0.63168,0.55,0.72,99.45,0.00
Ah Qd Jc,8c7c,1.000,14.32,0.0042,0.48905,0.47,0.69,99.53,0.00
Ah Qd Jc,9c8c,1.000,23.50,0.00958,0.67954,0.73,1.04,99.27,0.00
Ah Qd Jc,Tc8c,1.000,39.25,3.43868,146.007,45.09,3.11,54.91,3.71
Ah Qd Jc,Tc9c,1.000,40.02,3.47134,144.553,47.15,3.12,52.85,3.78
Ah Qd Jc,Qc8c,1.000,53.14,1.56986,49.2365,47.46,1.94,52.54,1.24
Ah Qd Jc,Qc9c,1.000,53.59,1.50559,46.8218,27.70,1.97,72.30,1.33
Ah Qd Jc,QcTc,1.000,63.48,3.1808,83.5166,10.19,3.12,89.81,3.19
Ah Qd Jc,QcTd,1.000,62.01,2.08573,56.059,6.52,2.64,93.48,2.05
Ah Qd Jc,QcJd,1.000,74.14,6.91179,155.382,26.09,5.70,73.91,7.34
Ah Qd Jc,QcTh,1.000,62.00,2.10321,56.5352,5.93,2.64,94.07,2.07
Ah Qd Jc,QcJh,1.000,74.13,6.82426,153.426,21.07,5.66,78.93,7.13
Ah Qd Jc,QcTs,1.000,61.94,2.30122,61.918,7.18,2.62,92.82,2.28
Ah Qd Jc,QcJs,1.000,74.09,7.00473,157.576,27.46,5.73,72.54,7.49
Ah Qd Jc,Kc2c,1.000,33.70,1.48661,73.524,45.86,1.56,54.14,1.43
Ah Qd Jc,Kc3c,1.000,33.84,1.49354,73.5575,44.75,1.56,55.25,1.44
Ah Qd Jc,Kc4c,1.000,33.98,1.49684,73.4129,43.73,1.56,56.27,1.45
Ah Qd Jc,Kc5c,1.000,34.06,1.45045,70.9697,43.78,1.54,56.22,1.38
Ah Qd Jc,Kc6c,1.000,34.19,1.59225,77.6141,42.57,1.52,57.43,1.64
Ah Qd Jc,Kc7c,1.000,34.45,1.39035,67.2582,47.41,1.49,52.59,1.30
Ah Qd Jc,Kc8c,1.000,35.27,0.53691,25.3714,16.40,1.46,83.60,0.36
Ah Qd Jc,Kc9c,1.000,36.33,0.55619,25.5134,12.41,1.48,87.59,0.43
Ah Qd Jc,KcTc,1.000,92.39,14.2097,256.323,60.90,13.36,39.10,15.53
Ah Qd Jc,KcQc,1.000,64.88,3.66599,94.1724,11.61,3.32,88.39,3.71
Ah Qd Jc,KcTd,1.000,92.26,15.0062,271.09,47.80,13.26,52.20,16.60
Ah Qd Jc,KcJd,1.000,57.07,1.27094,37.1189,10.29,2.22,89.71,1.16
Ah Qd Jc,KcTh,1.000,92.25,14.9513,270.127,49.18,13.26,50.82,16.58
Ah Qd Jc,KcJh,1.000,57.05,1.1687,34.1396,6.29,2.22,93.71,1.10
