Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah Qd Jc,6c5c,0.994,13.01,0.00115,0.14721,0.06,1.81,0.02,-0.12,99.92,0.00
Ah Qd Jc,7c6c,0.995,13.26,0.00111,0.1395,0.06,1.74,0.02,-0.08,99.92,0.00
Ah Qd Jc,8c7c,0.995,14.32,0.00097,0.11254,0.06,1.70,0.02,-0.22,99.92,0.00
Ah Qd Jc,9c8c,0.993,23.50,0.00205,0.14516,0.09,2.16,0.04,0.25,99.87,0.00
Ah Qd Jc,Tc8c,0.549,39.25,3.70603,157.359,10.78,5.18,89.16,3.53,0.06,0.00
Ah Qd Jc,Tc9c,0.528,40.02,3.7804,157.423,12.05,5.22,87.88,3.59,0.06,0.00
Ah Qd Jc,Qc8c,0.525,53.14,1.23862,38.8474,1.47,3.35,96.94,1.23,1.59,0.00
Ah Qd Jc,Qc9c,0.723,53.59,1.32911,41.3333,1.30,3.37,97.45,1.32,1.25,0.00
Ah Qd Jc,QcTc,0.898,63.48,3.18783,83.7011,12.00,4.45,87.91,3.02,0.08,0.00
Ah Qd Jc,QcTd,0.935,62.01,2.04719,55.0232,0.19,3.92,99.65,2.05,0.17,0.00
Ah Qd Jc,QcJd,0.739,74.14,7.34052,165.02,6.76,7.43,93.23,7.33,0.01,0.00
Ah Qd Jc,QcTh,0.941,62.00,2.06941,55.6266,0.18,3.92,99.66,2.07,0.16,0.00
Ah Qd Jc,QcJh,0.789,74.13,7.13447,160.401,1.22,7.34,98.77,7.13,0.01,0.00
Ah Qd Jc,QcTs,0.928,61.94,2.27626,61.2466,0.19,3.97,99.65,2.28,0.17,0.00
Ah Qd Jc,QcJs,0.725,74.09,7.48604,168.404,5.29,7.50,94.70,7.49,0.01,0.00
Ah Qd Jc,Kc2c,0.541,33.70,1.42781,70.6158,6.22,3.83,79.93,1.49,13.86,0.00
Ah Qd Jc,Kc3c,0.553,33.84,1.44288,71.0623,6.41,3.83,79.78,1.50,13.81,0.00
Ah Qd Jc,Kc4c,0.563,33.98,1.45052,71.1412,6.48,3.83,79.76,1.51,13.76,0.00
Ah Qd Jc,Kc5c,0.562,34.06,1.38357,67.6974,6.03,3.59,83.63,1.40,10.34,0.00
Ah Qd Jc,Kc6c,0.574,34.19,1.64497,80.1838,11.53,3.39,82.56,1.52,5.91,0.00
Ah Qd Jc,Kc7c,0.526,34.45,1.29954,62.8649,3.15,3.14,85.28,1.41,11.57,0.00
Ah Qd Jc,Kc8c,0.836,35.27,0.35662,16.8518,1.96,2.97,23.73,1.26,74.31,0.00
Ah Qd Jc,Kc9c,0.876,36.33,0.42564,19.5249,1.83,3.01,29.83,1.24,68.34,0.00
Ah Qd Jc,KcTc,0.391,92.39,15.5289,280.12,79.19,15.15,20.80,16.96,0.00,0.00
Ah Qd Jc,KcQc,0.884,64.88,3.7115,95.3414,12.25,4.53,87.68,3.60,0.07,0.00
Ah Qd Jc,KcTd,0.522,92.26,16.6041,299.955,9.25,15.07,90.75,16.76,0.00,0.00
Ah Qd Jc,KcJd,0.897,57.07,1.16246,33.9508,0.39,3.90,99.36,1.15,0.25,0.00
Ah Qd Jc,KcTh,0.508,92.25,16.5841,299.627,9.95,15.08,90.04,16.75,0.00,0.00
Ah Qd Jc,KcJh,0.937,57.05,1.09824,32.0815,0.47,3.87,99.27,1.09,0.26,0.00
Ah Qd Jc,KcQh,0.805,63.39,2.90779,76.4478,1.96,4.10,97.90,2.89,0.13,0.00
Ah Qd Jc,KcTs,0.490,92.15,16.5585,299.472,10.31,15.02,89.69,16.74,0.00,0.00
Ah Qd Jc,KcJs,0.865,56.97,1.28491,37.5925,4.84,3.89,94.90,1.16,0.26,0.00
Ah Qd Jc,KcQs,0.848,63.31,2.98106,78.4832,1.94,4.05,97.93,2.96,0.13,0.00
Ah Qd Jc,Ac2c,0.716,66.20,2.8529,71.8251,9.75,4.36,90.12,2.69,0.12,0.00
