Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Ah Qd Jc,5c4c,1.000,7.59,2.80347,153.879,92.06,2.81,7.94,2.70
Ah Qd Jc,6c5c,1.000,6.04,1.77636,122.612,8.73,1.68,91.27,1.79
Ah Qd Jc,7c6c,1.000,6.29,1.54166,102.126,1.17,1.11,98.83,1.55
Ah Qd Jc,8c7c,1.000,8.33,1.60717,80.4323,0.88,1.05,99.12,1.61
Ah Qd Jc,9c8c,1.000,17.79,3.29136,77.0933,0.65,2.51,99.35,3.30
Ah Qd Jc,Tc8c,1.000,33.78,12.8109,158.006,83.89,12.81,16.11,12.81
Ah Qd Jc,Tc9c,1.000,35.15,12.5072,148.275,53.59,12.51,46.41,12.51
Ah Qd Jc,Qc9c,1.000,45.40,8.42688,77.3331,0.35,7.19,99.65,8.43
Ah Qd Jc,QcTc,1.000,54.84,12.2309,92.9266,0.66,11.56,99.34,12.24
Ah Qd Jc,QcJd,1.000,68.50,20.838,126.756,46.72,20.84,53.28,20.83
Ah Qd Jc,QcJh,1.000,68.55,20.8924,126.994,30.67,20.88,69.33,20.90
Ah Qd Jc,QcJs,1.000,68.48,20.8243,126.702,53.23,20.83,46.77,20.82
Ah Qd Jc,Kc9c,1.000,23.46,5.32698,94.6241,77.81,5.33,22.19,5.30
Ah Qd Jc,KcTc,1.000,89.39,42.606,198.589,99.01,42.61,0.99,42.20
Ah Qd Jc,KcQc,1.000,56.92,11.932,87.3457,4.47,11.91,95.53,11.93
Ah Qd Jc,KcJd,1.000,49.60,9.18342,77.1424,5.22,9.12,94.78,9.19
Ah Qd Jc,KcJh,1.000,49.64,9.19349,77.1645,15.11,9.19,84.89,9.19
Ah Qd Jc,KcQh,1.000,55.33,10.7467,80.929,5.09,10.75,94.91,10.75
Ah Qd Jc,KcJs,1.000,49.56,9.14654,76.8903,6.09,9.12,93.91,9.15
Ah Qd Jc,KcQs,1.000,55.18,10.6448,80.3776,4.28,10.62,95.72,10.65
Ah Qd Jc,Ac2c,1.000,60.35,13.7409,94.87,5.41,13.69,94.59,13.74
Ah Qd Jc,Ac3c,1.000,60.35,13.7412,94.8715,5.42,13.69,94.58,13.74
Ah Qd Jc,Ac4c,1.000,60.35,13.7467,94.91,5.75,13.71,94.25,13.75
Ah Qd Jc,Ac5c,1.000,60.35,13.7473,94.9138,5.56,13.71,94.44,13.75
