Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Ah Qd Jc,5c4c,1.000,7.59,3.70564,203.399,92.06,3.79,7.94,2.70
Ah Qd Jc,6c5c,1.000,6.04,1.87893,129.691,8.73,2.85,91.27,1.79
Ah Qd Jc,7c6c,1.000,6.29,1.55609,103.082,1.17,2.34,98.83,1.55
Ah Qd Jc,8c7c,1.000,8.33,1.618,80.9742,0.88,2.28,99.12,1.61
Ah Qd Jc,9c8c,1.000,17.79,3.29273,77.1254,0.65,2.72,99.35,3.30
Ah Qd Jc,Tc8c,1.000,33.78,12.7389,157.118,83.89,12.73,16.11,12.81
Ah Qd Jc,Tc9c,1.000,35.15,12.668,150.18,53.59,12.81,46.41,12.51
Ah Qd Jc,Qc9c,1.000,45.40,8.4286,77.3489,0.35,7.67,99.65,8.43
Ah Qd Jc,QcTc,1.000,54.84,12.2336,92.9477,0.66,11.98,99.34,12.24
Ah Qd Jc,QcJd,1.000,68.50,20.8116,126.596,46.72,20.79,53.28,20.83
Ah Qd Jc,QcJh,1.000,68.55,20.8768,126.899,30.67,20.83,69.33,20.90
Ah Qd Jc,QcJs,1.000,68.48,20.8207,126.68,53.23,20.82,46.77,20.82
Ah Qd Jc,Kc9c,1.000,23.46,5.88126,104.47,77.81,6.05,22.19,5.30
Ah Qd Jc,KcTc,1.000,89.39,41.7886,194.779,99.01,41.78,0.99,42.20
Ah Qd Jc,KcQc,1.000,56.92,11.9607,87.5557,4.47,12.56,95.53,11.93
Ah Qd Jc,KcJd,1.000,49.60,9.18769,77.1783,5.22,9.20,94.78,9.19
Ah Qd Jc,KcJh,1.000,49.64,9.18624,77.1037,15.11,9.14,84.89,9.19
Ah Qd Jc,KcQh,1.000,55.33,10.779,81.1718,5.09,11.38,94.91,10.75
Ah Qd Jc,KcJs,1.000,49.56,9.14606,76.8862,6.09,9.11,93.91,9.15
Ah Qd Jc,KcQs,1.000,55.18,10.6804,80.6464,4.28,11.45,95.72,10.65
Ah Qd Jc,Ac2c,1.000,60.35,13.7453,94.8998,5.41,13.77,94.59,13.74
Ah Qd Jc,Ac3c,1.000,60.35,13.7455,94.9014,5.42,13.77,94.58,13.74
Ah Qd Jc,Ac4c,1.000,60.35,13.7509,94.939,5.75,13.79,94.25,13.75
Ah Qd Jc,Ac5c,1.000,60.35,13.7511,94.94,5.56,13.78,94.44,13.75
