Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Ah Qd Jc,5c4c,1.000,7.59,-5.98265,-328.381,92.06,-6.73,7.94,2.70
Ah Qd Jc,6c5c,1.000,6.04,0.93097,64.2595,8.73,-8.01,91.27,1.79
Ah Qd Jc,7c6c,1.000,6.29,1.43355,94.9642,1.17,-8.14,98.83,1.55
Ah Qd Jc,8c7c,1.000,8.33,1.53098,76.6193,0.88,-7.65,99.12,1.61
Ah Qd Jc,9c8c,1.000,17.79,3.25444,76.2285,0.65,-3.15,99.35,3.30
Ah Qd Jc,Tc8c,1.000,33.78,17.7177,218.525,83.89,18.66,16.11,12.81
Ah Qd Jc,Tc9c,1.000,35.15,12.1019,143.47,53.59,11.75,46.41,12.51
Ah Qd Jc,Qc9c,1.000,45.40,8.3997,77.0837,0.35,-0.51,99.65,8.43
Ah Qd Jc,QcTc,1.000,54.84,12.2546,93.1069,0.66,15.18,99.34,12.24
Ah Qd Jc,QcJd,1.000,68.50,24.7822,150.749,46.72,29.29,53.28,20.83
Ah Qd Jc,QcJh,1.000,68.55,22.9684,139.613,30.67,27.65,69.33,20.90
Ah Qd Jc,QcJs,1.000,68.48,24.484,148.969,53.23,27.70,46.77,20.82
Ah Qd Jc,Kc9c,1.000,23.46,-1.96681,-34.9368,77.81,-4.04,22.19,5.30
Ah Qd Jc,KcTc,1.000,89.39,56.2819,262.333,99.01,56.42,0.99,42.20
Ah Qd Jc,KcQc,1.000,56.92,12.0805,88.4331,4.47,15.23,95.53,11.93
Ah Qd Jc,KcJd,1.000,49.60,8.7881,73.8217,5.22,1.54,94.78,9.19
Ah Qd Jc,KcJh,1.000,49.64,8.05972,67.6484,15.11,1.69,84.89,9.19
Ah Qd Jc,KcQh,1.000,55.33,10.7811,81.188,5.09,11.43,94.91,10.75
Ah Qd Jc,KcJs,1.000,49.56,8.69317,73.079,6.09,1.67,93.91,9.15
Ah Qd Jc,KcQs,1.000,55.18,10.7062,80.8413,4.28,12.06,95.72,10.65
Ah Qd Jc,Ac2c,1.000,60.35,13.4084,92.5743,5.41,7.54,94.59,13.74
Ah Qd Jc,Ac3c,1.000,60.35,13.4081,92.5723,5.42,7.54,94.58,13.74
Ah Qd Jc,Ac4c,1.000,60.35,13.3925,92.4646,5.75,7.55,94.25,13.75
Ah Qd Jc,Ac5c,1.000,60.35,13.4039,92.5428,5.56,7.54,94.44,13.75
Ah Qd Jc,Ac6c,1.000,59.70,12.7239,88.8024,13.30,7.63,86.70,13.51
Ah Qd Jc,Ac7c,1.000,59.55,12.8981,90.2546,10.40,7.72,89.60,13.50
Ah Qd Jc,Ac8c,1.000,59.70,13.2645,92.5777,2.64,7.55,97.36,13.42
Ah Qd Jc,Ac9c,1.000,58.94,13.2286,93.5235,1.40,7.92,98.60,13.30
Ah Qd Jc,AcTc,1.000,71.09,19.352,113.431,3.78,26.13,96.22,19.09
Ah Qd Jc,AcQc,1.000,81.33,41.6012,213.12,99.31,41.68,0.69,30.60
Ah Qd Jc,AcKc,1.000,76.85,27.3656,148.38,38.43,35.00,61.57,22.60
Ah Qd Jc,AcTd,1.000,70.05,18.3071,108.892,2.81,24.93,97.19,18.12
Ah Qd Jc,AcJd,1.000,78.21,36.1755,192.725,97.59,36.40,2.41,27.07
Ah Qd Jc,AcKd,1.000,76.13,23.4681,128.438,14.41,33.71,85.59,21.74
Ah Qd Jc,AcTh,1.000,69.85,18.1842,108.469,2.74,25.12,97.26,17.99
Ah Qd Jc,AcJh,1.000,78.19,35.7263,190.371,97.37,35.96,2.63,27.04
Ah Qd Jc,AcQh,1.000,80.53,40.2318,208.156,98.98,40.34,1.02,29.84
Ah Qd Jc,AcKh,1.000,76.10,24.0123,131.481,18.12,34.33,81.88,21.73
Ah Qd Jc,AcTs,1.000,69.86,18.1793,108.431,2.82,24.87,97.18,17.98
Ah Qd Jc,AcJs,1.000,78.13,36.2165,193.145,97.71,36.43,2.29,27.00
Ah Qd Jc,AcQs,1.000,80.26,40.0278,207.792,99.07,40.12,0.93,29.64
Ah Qd Jc,AcKs,1.000,75.87,23.2505,127.684,13.53,34.11,86.47,21.55
Ah Qd Jc,2d2c,1.000,8.53,-3.01763,-147.35,67.10,-5.97,32.90,3.00
Ah Qd Jc,3d3c,1.000,8.53,-3.02174,-147.551,67.12,-5.97,32.88,3.00
Ah Qd Jc,4d4c,1.000,8.53,-2.84906,-139.119,65.86,-5.88,34.14,3.00
Ah Qd Jc,5d5c,1.000,8.53,-2.7265,-133.134,64.66,-5.86,35.34,3.00
Ah Qd Jc,5d4d,1.000,7.59,-5.9732,-327.911,90.40,-6.89,9.60,2.70
Ah Qd Jc,6d6c,1.000,8.82,2.31613,109.455,2.45,-7.66,97.55,2.57
Ah Qd Jc,6d5d,1.000,6.04,1.08469,74.8842,7.10,-8.13,92.90,1.79
Ah Qd Jc,7d7c,1.000,12.72,2.42773,79.5019,1.10,-7.99,98.90,2.54
Ah Qd Jc,7d6d,1.000,6.29,1.44202,95.5151,1.11,-8.26,98.89,1.55
Ah Qd Jc,8d8c,1.000,18.62,2.6064,58.3112,0.47,-6.16,99.53,2.65
Ah Qd Jc,8d7d,1.000,8.33,1.53236,76.6761,0.84,-7.73,99.16,1.61
Ah Qd Jc,9d9c,1.000,28.12,3.70913,54.9634,0.14,-7.72,99.86,3.73
Ah Qd Jc,9d8d,1.000,17.78,3.24372,76.0137,0.62,-3.24,99.38,3.28
Ah Qd Jc,TdTc,1.000,44.88,8.88979,82.5256,0.73,0.65,99.27,8.95
Ah Qd Jc,Td8d,1.000,33.76,17.4449,215.32,80.89,18.56,19.11,12.72
Ah Qd Jc,Td9d,1.000,35.12,12.0014,142.378,49.47,11.56,50.53,12.43
Ah Qd Jc,Jd9d,1.000,41.45,7.4856,75.2497,0.66,0.18,99.34,7.53
Ah Qd Jc,JdTd,1.000,49.80,11.6773,97.6983,22.23,13.99,77.77,11.01
Ah Qd Jc,KdQc,1.000,54.95,10.5977,80.3635,3.16,9.40,96.84,10.64
Ah Qd Jc,KdKc,1.000,55.81,10.8116,80.7165,10.03,9.87,89.97,10.92
Ah Qd Jc,Kd9d,1.000,23.42,-0.87535,-15.5736,64.61,-4.24,35.39,5.27
Ah Qd Jc,KdTd,1.000,89.39,57.0451,265.911,99.38,57.14,0.62,42.14
Ah Qd Jc,KdJd,1.000,51.25,11.0988,90.2419,18.60,14.15,81.40,10.40
Ah Qd Jc,KdJh,1.000,49.23,8.76054,74.1473,4.22,1.08,95.78,9.10
Ah Qd Jc,KdQh,1.000,54.95,10.3043,78.1401,4.41,3.36,95.59,10.62
Ah Qd Jc,KdJs,1.000,49.15,8.82763,74.8333,2.86,1.20,97.14,9.05
Ah Qd Jc,KdQs,1.000,54.80,10.5451,80.1805,3.09,11.10,96.91,10.53
Ah Qd Jc,AdTc,1.000,70.12,18.3431,108.991,2.99,24.64,97.01,18.15
Ah Qd Jc,AdQc,1.000,80.41,40.5241,209.999,99.06,40.63,0.94,29.76
Ah Qd Jc,AdKc,1.000,76.18,23.9406,130.951,17.49,33.92,82.51,21.83
Ah Qd Jc,AdAc,1.000,92.94,44.656,200.191,3.35,63.07,96.65,44.02
Ah Qd Jc,Ad2d,1.000,60.37,13.446,92.8099,5.01,7.55,94.99,13.76
Ah Qd Jc,Ad3d,1.000,60.37,13.4455,92.806,5.02,7.55,94.98,13.76
Ah Qd Jc,Ad4d,1.000,60.37,13.4201,92.6307,5.52,7.55,94.48,13.76
Ah Qd Jc,Ad5d,1.000,60.37,13.4317,92.711,5.35,7.53,94.65,13.77
Ah Qd Jc,Ad6d,1.000,59.72,12.7532,88.9761,12.97,7.61,87.03,13.52
Ah Qd Jc,Ad7d,1.000,59.57,12.8937,90.1888,10.64,7.71,89.36,13.51
Ah Qd Jc,Ad8d,1.000,59.70,13.2706,92.6249,2.66,7.55,97.34,13.43
Ah Qd Jc,Ad9d,1.000,58.95,13.2413,93.5934,1.36,7.89,98.64,13.32
Ah Qd Jc,AdTd,1.000,71.09,19.302,113.129,2.95,25.81,97.05,19.10
Ah Qd Jc,AdJd,1.000,79.16,36.8224,193.818,98.82,36.93,1.18,27.88
Ah Qd Jc,AdKd,1.000,76.87,27.3565,148.276,37.72,35.22,62.28,22.60
Ah Qd Jc,AdTh,1.000,69.91,18.2124,108.544,2.74,24.88,97.26,18.02
Ah Qd Jc,AdJh,1.000,78.19,36.1015,192.393,96.99,36.38,3.01,27.01
Ah Qd Jc,AdQh,1.000,80.58,40.1879,207.808,99.00,40.29,1.00,29.86
Ah Qd Jc,AdKh,1.000,76.14,24.0121,131.405,17.73,34.42,82.27,21.77
