Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,6c5c,1.000,5.83,0.35082,100.364,0.63,0.19,99.37,0.35
Ah Qd Jc,7c6c,1.000,6.13,0.31398,85.3319,0.32,0.02,99.68,0.31
Ah Qd Jc,8c7c,1.000,8.37,0.33989,67.6768,0.38,0.09,99.62,0.34
Ah Qd Jc,9c8c,1.000,16.76,0.75147,74.7259,0.77,0.61,99.23,0.75
Ah Qd Jc,Tc8c,1.000,33.02,3.17168,160.076,97.94,3.17,2.06,3.14
Ah Qd Jc,Tc9c,1.000,33.75,3.19365,157.707,89.96,3.19,10.04,3.19
Ah Qd Jc,Qc8c,1.000,40.68,1.66828,68.3485,4.82,1.66,95.18,1.67
Ah Qd Jc,Qc9c,1.000,40.64,1.59487,65.4055,24.24,1.60,75.76,1.59
Ah Qd Jc,QcTc,1.000,48.62,2.59341,88.8926,93.63,2.59,6.37,2.57
Ah Qd Jc,QcTd,1.000,46.15,2.06092,74.4333,36.57,2.06,63.43,2.06
Ah Qd Jc,QcJd,1.000,61.85,4.53028,122.079,60.29,4.53,39.71,4.53
Ah Qd Jc,QcTh,1.000,46.11,2.05506,74.2778,28.58,2.05,71.42,2.06
Ah Qd Jc,QcJh,1.000,62.03,4.54664,122.16,32.83,4.55,67.17,4.55
Ah Qd Jc,QcTs,1.000,45.99,2.02973,73.5533,17.24,2.02,82.76,2.03
Ah Qd Jc,QcJs,1.000,61.92,4.55864,122.706,66.83,4.56,33.17,4.56
Ah Qd Jc,Kc8c,1.000,20.65,1.35686,109.526,95.16,1.36,4.84,1.33
Ah Qd Jc,Kc9c,1.000,21.36,1.35613,105.819,90.03,1.36,9.97,1.34
Ah Qd Jc,KcTc,1.000,87.78,12.1517,230.717,91.01,12.15,8.99,12.15
Ah Qd Jc,KcQc,1.000,52.08,2.70704,86.6316,23.36,2.70,76.64,2.71
Ah Qd Jc,KcTd,1.000,88.01,12.1898,230.84,95.80,12.19,4.20,12.18
Ah Qd Jc,KcJd,1.000,43.65,1.82571,69.7078,43.13,1.83,56.87,1.83
Ah Qd Jc,KcTh,1.000,87.97,12.1873,230.893,95.59,12.19,4.41,12.18
Ah Qd Jc,KcJh,1.000,43.87,1.8364,69.7601,33.95,1.84,66.05,1.84
Ah Qd Jc,KcQh,1.000,50.38,2.28592,75.6163,25.79,2.29,74.21,2.29
Ah Qd Jc,KcTs,1.000,87.84,12.0919,229.421,94.36,12.09,5.64,12.09
Ah Qd Jc,KcJs,1.000,43.75,1.79328,68.3149,18.16,1.79,81.84,1.79
Ah Qd Jc,KcQs,1.000,50.25,2.2529,74.7168,13.89,2.25,86.11,2.25
