Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,6c5c,1.000,5.83,0.35693,102.11,0.63,1.16,99.37,0.35
Ah Qd Jc,7c6c,1.000,6.13,0.3171,86.1807,0.32,1.01,99.68,0.31
Ah Qd Jc,8c7c,1.000,8.37,0.34342,68.3802,0.38,1.01,99.62,0.34
Ah Qd Jc,9c8c,1.000,16.76,0.75326,74.9036,0.77,0.85,99.23,0.75
Ah Qd Jc,Tc8c,1.000,33.02,3.2001,161.511,97.94,3.20,2.06,3.14
Ah Qd Jc,Tc9c,1.000,33.75,3.25272,160.624,89.96,3.26,10.04,3.19
Ah Qd Jc,Qc8c,1.000,40.68,1.68248,68.9302,4.82,1.96,95.18,1.67
Ah Qd Jc,Qc9c,1.000,40.64,1.62551,66.662,24.24,1.72,75.76,1.59
Ah Qd Jc,QcTc,1.000,48.62,2.49597,85.5528,93.63,2.49,6.37,2.57
Ah Qd Jc,QcTd,1.000,46.15,2.07101,74.7974,36.57,2.09,63.43,2.06
Ah Qd Jc,QcJd,1.000,61.85,4.41466,118.963,60.29,4.34,39.71,4.53
Ah Qd Jc,QcTh,1.000,46.11,2.08386,75.3188,28.58,2.15,71.42,2.06
Ah Qd Jc,QcJh,1.000,62.03,4.49701,120.826,32.83,4.39,67.17,4.55
Ah Qd Jc,QcTs,1.000,45.99,2.03481,73.7375,17.24,2.05,82.76,2.03
Ah Qd Jc,QcJs,1.000,61.92,4.43243,119.309,66.83,4.37,33.17,4.56
Ah Qd Jc,Kc8c,1.000,20.65,1.63563,132.028,95.16,1.65,4.84,1.33
Ah Qd Jc,Kc9c,1.000,21.36,1.67496,130.697,90.03,1.71,9.97,1.34
Ah Qd Jc,KcTc,1.000,87.78,11.8413,224.824,91.01,11.81,8.99,12.15
Ah Qd Jc,KcQc,1.000,52.08,2.70522,86.5737,23.36,2.69,76.64,2.71
Ah Qd Jc,KcTd,1.000,88.01,11.8848,225.064,95.80,11.87,4.20,12.18
Ah Qd Jc,KcJd,1.000,43.65,1.88859,72.1089,43.13,1.97,56.87,1.83
Ah Qd Jc,KcTh,1.000,87.97,11.9065,225.574,95.59,11.89,4.41,12.18
Ah Qd Jc,KcJh,1.000,43.87,1.91127,72.604,33.95,2.06,66.05,1.84
Ah Qd Jc,KcQh,1.000,50.38,2.32357,76.8616,25.79,2.43,74.21,2.29
Ah Qd Jc,KcTs,1.000,87.84,11.7912,223.716,94.36,11.77,5.64,12.09
Ah Qd Jc,KcJs,1.000,43.75,1.81652,69.2002,18.16,1.92,81.84,1.79
Ah Qd Jc,KcQs,1.000,50.25,2.26091,74.9826,13.89,2.31,86.11,2.25
Ah Qd Jc,Ac2c,1.000,51.40,2.36599,76.716,22.97,2.45,77.03,2.34
Ah Qd Jc,Ac3c,1.000,51.40,2.36592,76.7137,23.00,2.45,77.00,2.34
Ah Qd Jc,Ac4c,1.000,51.40,2.366,76.7163,23.02,2.45,76.98,2.34
Ah Qd Jc,Ac5c,1.000,51.40,2.36626,76.7246,22.81,2.45,77.19,2.34
Ah Qd Jc,Ac6c,1.000,50.16,2.28895,76.0475,7.34,2.38,92.66,2.28
Ah Qd Jc,Ac7c,1.000,50.17,2.29215,76.1454,6.67,2.38,93.33,2.29
Ah Qd Jc,Ac8c,1.000,50.70,2.27737,74.8636,10.27,2.34,89.73,2.27
Ah Qd Jc,Ac9c,1.000,50.67,2.2465,73.8921,66.91,2.28,33.09,2.18
Ah Qd Jc,AcTc,1.000,61.04,3.55132,96.9622,4.08,3.56,95.92,3.55
Ah Qd Jc,AcQc,1.000,78.26,7.43321,158.312,24.81,7.17,75.19,7.52
Ah Qd Jc,AcKc,1.000,69.70,4.7166,112.782,43.88,4.52,56.12,4.87
Ah Qd Jc,Ac9d,1.000,48.32,1.71106,59.017,3.38,1.84,96.62,1.71
Ah Qd Jc,AcTd,1.000,59.51,3.16603,88.6731,3.26,3.24,96.74,3.16
Ah Qd Jc,AcJd,1.000,69.61,5.29684,126.819,7.14,4.99,92.86,5.32
Ah Qd Jc,AcKd,1.000,68.28,4.45178,108.658,9.87,4.23,90.13,4.48
Ah Qd Jc,Ac9h,1.000,48.34,1.71037,58.9756,3.28,1.82,96.72,1.71
Ah Qd Jc,AcTh,1.000,59.23,3.12959,88.0696,2.97,3.19,97.03,3.13
Ah Qd Jc,AcJh,1.000,69.40,5.23071,125.62,4.59,4.93,95.41,5.25
Ah Qd Jc,AcQh,1.000,77.00,7.10094,153.699,10.55,6.80,89.45,7.14
Ah Qd Jc,AcKh,1.000,68.32,4.45187,108.603,7.21,4.21,92.79,4.47
Ah Qd Jc,Ac9s,1.000,48.29,1.70771,58.9426,2.82,1.83,97.18,1.70
Ah Qd Jc,AcTs,1.000,59.08,3.11293,87.8238,3.92,3.24,96.08,3.11
Ah Qd Jc,AcJs,1.000,69.23,5.19684,125.117,9.65,4.91,90.35,5.23
Ah Qd Jc,AcQs,1.000,76.81,7.0715,153.437,10.07,6.75,89.93,7.11
Ah Qd Jc,AcKs,1.000,68.20,4.43273,108.328,6.52,4.12,93.48,4.45
Ah Qd Jc,2d2c,1.000,8.55,0.78862,153.765,20.94,1.42,79.06,0.62
Ah Qd Jc,3d3c,1.000,8.55,0.7895,153.938,21.08,1.42,78.92,0.62
Ah Qd Jc,4d4c,1.000,8.55,0.78979,153.993,21.09,1.42,78.91,0.62
Ah Qd Jc,5d5c,1.000,8.55,0.78709,153.468,20.56,1.43,79.44,0.62
Ah Qd Jc,6d6c,1.000,8.82,0.6072,114.741,0.54,1.34,99.46,0.60
Ah Qd Jc,6d5d,1.000,5.85,0.36002,102.589,0.61,1.16,99.39,0.36
Ah Qd Jc,7d7c,1.000,13.64,0.61484,75.1478,0.50,1.34,99.50,0.61
Ah Qd Jc,7d6d,1.000,6.16,0.32209,87.2017,0.31,1.01,99.69,0.32
Ah Qd Jc,8d8c,1.000,19.03,0.60042,52.5928,0.51,1.28,99.49,0.60
Ah Qd Jc,8d7d,1.000,8.39,0.34676,68.8649,0.38,1.02,99.62,0.34
Ah Qd Jc,9d9c,1.000,24.35,0.67706,46.3389,0.30,1.17,99.70,0.68
Ah Qd Jc,9d8d,1.000,16.78,0.75342,74.8116,0.86,0.84,99.14,0.75
Ah Qd Jc,TdTc,1.000,38.13,1.75392,76.6552,37.81,1.94,62.19,1.64
Ah Qd Jc,Td8d,1.000,33.02,3.22004,162.538,98.01,3.22,1.99,3.13
Ah Qd Jc,Td9d,1.000,33.74,3.24888,160.474,90.95,3.25,9.05,3.19
Ah Qd Jc,JdTc,1.000,41.81,1.97952,78.9087,59.91,2.07,40.09,1.84
Ah Qd Jc,Jd8d,1.000,37.08,1.54412,69.4008,4.19,2.04,95.81,1.52
Ah Qd Jc,Jd9d,1.000,37.04,1.57654,70.9379,24.48,1.99,75.52,1.44
Ah Qd Jc,JdTd,1.000,43.89,2.50377,95.0832,95.24,2.51,4.76,2.36
Ah Qd Jc,JdTh,1.000,41.71,1.94587,77.7447,44.64,2.09,55.36,1.83
Ah Qd Jc,JdTs,1.000,41.67,1.92953,77.1795,47.37,2.07,52.63,1.80
Ah Qd Jc,KdTc,1.000,87.97,11.9444,226.296,95.45,11.93,4.55,12.21
Ah Qd Jc,KdQc,1.000,49.82,2.23722,74.8421,16.75,2.25,83.25,2.24
Ah Qd Jc,KdKc,1.000,52.83,2.47718,78.1458,0.89,2.57,99.11,2.48
Ah Qd Jc,Kd8d,1.000,20.73,1.58989,127.805,90.26,1.62,9.74,1.30
Ah Qd Jc,Kd9d,1.000,21.45,1.54115,119.727,68.15,1.64,31.85,1.32
Ah Qd Jc,KdTd,1.000,87.73,11.8728,225.568,91.70,11.85,8.30,12.16
Ah Qd Jc,KdJd,1.000,45.97,2.3401,84.8478,79.80,2.35,20.20,2.31
Ah Qd Jc,KdTh,1.000,87.92,11.9692,226.903,94.86,11.96,5.14,12.20
Ah Qd Jc,KdJh,1.000,43.85,1.90554,72.4249,25.76,2.12,74.24,1.83
Ah Qd Jc,KdQh,1.000,50.01,2.29391,76.4436,23.74,2.44,76.26,2.25
Ah Qd Jc,KdTs,1.000,87.79,11.8528,225.019,93.28,11.83,6.72,12.10
Ah Qd Jc,KdJs,1.000,43.73,1.83113,69.7943,14.62,2.07,85.38,1.79
Ah Qd Jc,KdQs,1.000,49.88,2.22796,74.4414,13.75,2.31,86.25,2.21
Ah Qd Jc,Ad9c,1.000,48.31,1.70715,58.9016,3.48,1.83,96.52,1.70
Ah Qd Jc,AdTc,1.000,59.47,3.16224,88.6177,1.92,3.17,98.08,3.16
Ah Qd Jc,AdQc,1.000,77.18,7.18253,155.093,11.65,6.94,88.35,7.22
Ah Qd Jc,AdKc,1.000,68.50,4.46798,108.716,15.68,4.25,84.32,4.51
Ah Qd Jc,AdAc,1.000,89.63,11.0666,205.785,51.65,10.77,48.35,11.39
Ah Qd Jc,Ad2d,1.000,51.34,2.34619,76.1665,23.13,2.40,76.87,2.33
Ah Qd Jc,Ad3d,1.000,51.34,2.34624,76.168,23.11,2.40,76.89,2.33
Ah Qd Jc,Ad4d,1.000,51.34,2.34628,76.1693,23.14,2.40,76.86,2.33
Ah Qd Jc,Ad5d,1.000,51.34,2.34703,76.1937,23.03,2.41,76.97,2.33
Ah Qd Jc,Ad6d,1.000,50.10,2.27515,75.688,7.08,2.34,92.92,2.27
Ah Qd Jc,Ad7d,1.000,50.11,2.27875,75.7989,6.46,2.35,93.54,2.27
Ah Qd Jc,Ad8d,1.000,50.64,2.26255,74.4718,10.42,2.29,89.58,2.26
Ah Qd Jc,Ad9d,1.000,50.61,2.20774,72.7112,66.69,2.23,33.31,2.17
Ah Qd Jc,AdTd,1.000,60.99,3.54458,96.8627,10.02,3.54,89.98,3.54
Ah Qd Jc,AdJd,1.000,71.04,5.65292,132.623,14.14,5.38,85.86,5.70
Ah Qd Jc,AdKd,1.000,69.49,4.71282,113.028,44.10,4.54,55.90,4.85
Ah Qd Jc,Ad9h,1.000,48.32,1.70717,58.8893,3.35,1.83,96.65,1.70
Ah Qd Jc,AdTh,1.000,59.21,3.1274,88.0367,2.46,3.20,97.54,3.13
Ah Qd Jc,AdJh,1.000,69.42,5.24439,125.909,3.23,4.94,96.77,5.25
Ah Qd Jc,AdQh,1.000,77.09,7.11344,153.797,17.14,6.85,82.86,7.17
Ah Qd Jc,AdKh,1.000,68.31,4.45786,108.763,7.48,4.25,92.52,4.47
Ah Qd Jc,Ad9s,1.000,48.27,1.70444,58.8535,2.86,1.83,97.14,1.70
Ah Qd Jc,AdTs,1.000,59.06,3.11023,87.7749,2.97,3.25,97.03,3.11
Ah Qd Jc,AdJs,1.000,69.25,5.21813,125.593,5.91,4.93,94.09,5.24
Ah Qd Jc,AdQs,1.000,76.90,7.0786,153.422,17.25,6.80,82.75,7.14
Ah Qd Jc,AdKs,1.000,68.19,4.43706,108.448,6.92,4.15,93.08,4.46
Ah Qd Jc,2h2c,1.000,8.55,0.76625,149.392,18.19,1.43,81.81,0.62
Ah Qd Jc,2h2d,1.000,8.55,0.77464,151.037,19.13,1.44,80.87,0.62
Ah Qd Jc,3h3c,1.000,8.55,0.76589,149.321,18.16,1.43,81.84,0.62
Ah Qd Jc,3h3d,1.000,8.55,0.77404,150.92,19.10,1.44,80.90,0.62
Ah Qd Jc,4h4c,1.000,8.55,0.76609,149.36,18.17,1.43,81.83,0.62
Ah Qd Jc,4h4d,1.000,8.55,0.77545,151.195,19.24,1.44,80.76,0.62
Ah Qd Jc,5h5c,1.000,8.55,0.76477,149.103,17.82,1.43,82.18,0.62
Ah Qd Jc,5h5d,1.000,8.55,0.77011,150.154,18.37,1.44,81.63,0.62
Ah Qd Jc,6h6c,1.000,8.86,0.60599,113.932,0.54,1.36,99.46,0.60
Ah Qd Jc,6h6d,1.000,8.86,0.60617,113.974,0.56,1.37,99.44,0.60
Ah Qd Jc,6h5h,1.000,5.94,0.40123,112.568,0.61,1.22,99.39,0.40
Ah Qd Jc,7h7c,1.000,13.67,0.61451,74.939,0.50,1.36,99.50,0.61
Ah Qd Jc,7h7d,1.000,13.67,0.61452,74.9415,0.52,1.37,99.48,0.61
Ah Qd Jc,7h6h,1.000,6.26,0.35898,95.6008,0.31,1.07,99.69,0.36
Ah Qd Jc,8h8c,1.000,19.03,0.59212,51.8661,0.54,1.27,99.46,0.59
Ah Qd Jc,8h8d,1.000,19.03,0.59104,51.7729,0.57,1.31,99.43,0.59
Ah Qd Jc,8h7h,1.000,8.49,0.3762,73.8298,0.39,1.07,99.61,0.37
Ah Qd Jc,9h9c,1.000,24.35,0.67222,46.0083,0.30,1.17,99.70,0.67
Ah Qd Jc,9h9d,1.000,24.35,0.6714,45.9539,0.31,1.21,99.69,0.67
Ah Qd Jc,9h8h,1.000,16.86,0.76928,76.0565,0.83,0.88,99.17,0.77
Ah Qd Jc,ThTc,1.000,38.44,1.79147,77.6793,44.16,1.96,55.84,1.66
Ah Qd Jc,ThTd,1.000,38.38,1.74506,75.7788,29.00,1.99,71.00,1.64
Ah Qd Jc,Th8h,1.000,33.16,3.24309,163.015,96.80,3.25,3.20,3.12
Ah Qd Jc,Th9h,1.000,33.88,3.26833,160.802,79.36,3.30,20.64,3.16
Ah Qd Jc,JhTc,1.000,42.12,2.03675,80.6018,56.23,2.17,43.77,1.86
Ah Qd Jc,JhTd,1.000,41.74,2.00551,80.0768,48.10,2.18,51.90,1.84
Ah Qd Jc,JhJd,1.000,83.99,9.09651,180.511,27.48,8.89,72.52,9.17
Ah Qd Jc,Jh8h,1.000,37.51,1.59085,70.6791,4.37,2.13,95.63,1.57
Ah Qd Jc,Jh9h,1.000,37.47,1.60491,71.3832,19.23,2.08,80.77,1.49
Ah Qd Jc,JhTh,1.000,44.50,2.55278,95.6102,86.80,2.58,13.20,2.39
Ah Qd Jc,JhTs,1.000,41.98,1.94988,77.4212,38.40,2.16,61.60,1.82
Ah Qd Jc,QhTc,1.000,46.82,2.15325,76.6442,29.43,2.25,70.57,2.11
Ah Qd Jc,QhQc,1.000,88.02,11.0468,209.172,56.80,10.93,43.20,11.19
Ah Qd Jc,QhTd,1.000,46.46,2.1535,77.2556,49.03,2.22,50.97,2.09
Ah Qd Jc,QhJd,1.000,62.05,4.49637,120.772,27.12,4.36,72.88,4.55
Ah Qd Jc,Qh8h,1.000,41.22,1.77968,71.9526,9.91,2.06,90.09,1.75
Ah Qd Jc,Qh9h,1.000,41.18,1.74455,70.6023,33.91,1.87,66.09,1.68
Ah Qd Jc,QhTh,1.000,48.69,2.5151,86.0999,65.94,2.48,34.06,2.57
Ah Qd Jc,QhJh,1.000,63.77,4.91162,128.374,94.38,4.90,5.62,5.07
Ah Qd Jc,QhTs,1.000,46.31,2.09322,75.3404,25.60,2.20,74.40,2.06
Ah Qd Jc,QhJs,1.000,62.12,4.51493,121.129,37.94,4.43,62.06,4.57
Ah Qd Jc,KhTc,1.000,87.97,11.9501,226.398,95.86,11.94,4.14,12.20
Ah Qd Jc,KhQc,1.000,49.87,2.27731,76.112,25.25,2.36,74.75,2.25
Ah Qd Jc,KhKc,1.000,52.90,2.48125,78.1738,1.42,2.60,98.58,2.48
Ah Qd Jc,KhTd,1.000,87.96,11.9509,226.451,95.64,11.94,4.36,12.19
Ah Qd Jc,KhJd,1.000,43.63,1.90835,72.8934,35.06,2.06,64.94,1.83
Ah Qd Jc,KhKd,1.000,52.51,2.44656,77.6501,1.61,2.63,98.39,2.44
Ah Qd Jc,Kh8h,1.000,20.90,1.68779,134.577,92.16,1.71,7.84,1.44
Ah Qd Jc,Kh9h,1.000,21.60,1.67428,129.159,76.68,1.74,23.32,1.45
Ah Qd Jc,KhTh,1.000,87.69,11.9394,226.918,90.58,11.91,9.42,12.20
Ah Qd Jc,KhJh,1.000,46.28,2.43375,87.6435,79.55,2.44,20.45,2.40
Ah Qd Jc,KhQh,1.000,52.17,2.77313,88.6,11.19,2.90,88.81,2.76
Ah Qd Jc,KhTs,1.000,87.79,11.8444,224.859,94.35,11.83,5.65,12.09
Ah Qd Jc,KhJs,1.000,43.73,1.82317,69.4812,12.07,2.02,87.93,1.80
Ah Qd Jc,KhQs,1.000,49.93,2.29003,76.4426,21.28,2.52,78.72,2.23
Ah Qd Jc,2s2c,1.000,8.51,0.71018,139.04,12.29,1.45,87.71,0.61
Ah Qd Jc,2s2d,1.000,8.51,0.71269,139.539,12.64,1.45,87.36,0.61
Ah Qd Jc,2s2h,1.000,8.51,0.70894,138.794,12.23,1.46,87.77,0.60
Ah Qd Jc,3s3c,1.000,8.51,0.71025,139.053,12.30,1.45,87.70,0.61
Ah Qd Jc,3s3d,1.000,8.51,0.71252,139.507,12.64,1.45,87.36,0.61
Ah Qd Jc,3s3h,1.000,8.51,0.70875,138.756,12.21,1.46,87.79,0.60
Ah Qd Jc,4s4c,1.000,8.51,0.70998,139,12.27,1.45,87.73,0.61
Ah Qd Jc,4s4d,1.000,8.51,0.71274,139.549,12.64,1.45,87.36,0.61
Ah Qd Jc,4s4h,1.000,8.51,0.70873,138.753,12.22,1.46,87.78,0.60
Ah Qd Jc,5s5c,1.000,8.51,0.7114,139.279,12.34,1.45,87.66,0.61
Ah Qd Jc,5s5d,1.000,8.51,0.71291,139.583,12.57,1.45,87.43,0.61
Ah Qd Jc,5s5h,1.000,8.51,0.70938,138.879,12.17,1.46,87.83,0.60
Ah Qd Jc,6s6c,1.000,8.81,0.59254,112.057,0.48,1.33,99.52,0.59
Ah Qd Jc,6s6d,1.000,8.81,0.59273,112.107,0.50,1.34,99.50,0.59
Ah Qd Jc,6s6h,1.000,8.79,0.5913,112.056,0.49,1.34,99.51,0.59
Ah Qd Jc,6s5s,1.000,2.23,0.07414,55.5028,0.28,0.81,99.72,0.07
Ah Qd Jc,7s7c,1.000,13.62,0.60001,73.4408,0.45,1.33,99.55,0.60
Ah Qd Jc,7s7d,1.000,13.62,0.60012,73.4611,0.46,1.34,99.54,0.60
Ah Qd Jc,7s7h,1.000,13.60,0.59922,73.437,0.46,1.34,99.54,0.60
Ah Qd Jc,7s6s,1.000,2.52,0.05907,39.0078,0.18,0.65,99.82,0.06
Ah Qd Jc,8s8c,1.000,18.99,0.57891,50.8206,0.46,1.21,99.54,0.58
Ah Qd Jc,8s8d,1.000,18.98,0.57938,50.8632,0.48,1.27,99.52,0.58
Ah Qd Jc,8s8h,1.000,18.98,0.57191,50.2071,0.50,1.26,99.50,0.57
Ah Qd Jc,8s7s,1.000,4.81,0.07937,27.482,0.20,0.62,99.80,0.08
Ah Qd Jc,9s9c,1.000,24.32,0.66418,45.5257,0.28,1.12,99.72,0.66
Ah Qd Jc,9s9d,1.000,24.31,0.66329,45.4651,0.28,1.18,99.72,0.66
Ah Qd Jc,9s9h,1.000,24.31,0.65786,45.0935,0.29,1.17,99.71,0.66
Ah Qd Jc,9s8s,1.000,13.56,0.44645,54.8657,0.35,0.42,99.65,0.45
Ah Qd Jc,TsTc,1.000,38.46,1.75195,75.9261,28.80,2.03,71.20,1.64
Ah Qd Jc,TsTd,1.000,38.40,1.68059,72.9401,12.18,2.05,87.82,1.63
Ah Qd Jc,TsTh,1.000,38.72,1.6907,72.7814,11.21,2.05,88.79,1.64
Ah Qd Jc,Ts8s,1.000,30.62,2.82873,153.946,88.32,2.85,11.68,2.69
Ah Qd Jc,Ts9s,1.000,31.35,2.8375,150.85,53.80,2.91,46.20,2.75
Ah Qd Jc,JsTc,1.000,42.06,1.92786,76.3961,41.70,2.09,58.30,1.81
Ah Qd Jc,JsTd,1.000,41.68,1.9429,77.6839,39.06,2.17,60.94,1.80
Ah Qd Jc,JsJd,1.000,83.87,9.05001,179.847,27.03,8.80,72.97,9.14
Ah Qd Jc,JsTh,1.000,41.96,1.90872,75.807,25.72,2.22,74.28,1.80
Ah Qd Jc,JsJh,1.000,83.79,9.01093,179.227,26.09,8.78,73.91,9.09
Ah Qd Jc,Js8s,1.000,34.51,1.10184,53.208,0.50,1.53,99.50,1.10
Ah Qd Jc,Js9s,1.000,34.49,1.00705,48.6607,0.62,1.48,99.38,1.00
Ah Qd Jc,JsTs,1.000,42.01,1.8202,72.2144,34.77,1.88,65.23,1.79
Ah Qd Jc,QsTc,1.000,46.76,2.07505,73.9671,14.08,2.18,85.92,2.06
Ah Qd Jc,QsQc,1.000,87.89,10.9481,207.616,61.75,10.81,38.25,11.17
Ah Qd Jc,QsTd,1.000,46.39,2.0394,73.2689,18.02,2.08,81.98,2.03
Ah Qd Jc,QsJd,1.000,61.92,4.42987,119.23,43.90,4.31,56.10,4.52
Ah Qd Jc,QsTh,1.000,46.36,2.09012,75.1432,22.52,2.30,77.48,2.03
Ah Qd Jc,QsJh,1.000,62.11,4.49572,120.64,25.76,4.37,74.24,4.54
Ah Qd Jc,QsQh,1.000,87.76,10.9085,207.174,65.71,10.80,34.29,11.11
Ah Qd Jc,Qs8s,1.000,38.32,1.2448,54.1448,0.61,1.31,99.39,1.24
Ah Qd Jc,Qs9s,1.000,38.30,1.15383,50.2153,0.84,1.14,99.16,1.15
Ah Qd Jc,QsTs,1.000,46.29,1.97093,70.9686,54.56,1.93,45.44,2.02
Ah Qd Jc,QsJs,1.000,61.84,4.38008,118.047,90.06,4.36,9.94,4.55
Ah Qd Jc,KsTc,1.000,87.85,11.719,222.328,94.54,11.70,5.46,12.05
Ah Qd Jc,KsQc,1.000,49.79,2.20198,73.7111,23.46,2.11,76.54,2.23
Ah Qd Jc,KsKc,1.000,52.75,2.45893,77.6935,0.85,2.63,99.15,2.46
Ah Qd Jc,KsTd,1.000,87.84,11.7245,222.464,94.15,11.71,5.85,12.04
Ah Qd Jc,KsJd,1.000,43.64,1.8224,69.6015,18.87,1.88,81.13,1.81
Ah Qd Jc,KsKd,1.000,52.36,2.4222,77.1033,0.86,2.59,99.14,2.42
Ah Qd Jc,KsTh,1.000,87.80,11.7416,222.89,94.04,11.72,5.96,12.03
Ah Qd Jc,KsJh,1.000,43.86,1.84687,70.1754,15.72,1.99,84.28,1.82
Ah Qd Jc,KsQh,1.000,49.98,2.2203,74.0383,24.60,2.15,75.40,2.24
Ah Qd Jc,KsKh,1.000,52.43,2.42777,77.1792,1.42,2.66,98.58,2.42
Ah Qd Jc,Ks8s,1.000,17.60,0.96266,91.1829,39.82,1.05,60.18,0.90
Ah Qd Jc,Ks9s,1.000,18.30,0.92091,83.8526,11.56,1.05,88.44,0.90
Ah Qd Jc,KsTs,1.000,87.35,11.5472,220.323,87.88,11.50,12.12,11.87
Ah Qd Jc,KsJs,1.000,43.80,1.79934,68.4633,50.40,1.80,49.60,1.80
Ah Qd Jc,KsQs,1.000,49.85,2.19627,73.4309,10.01,2.07,89.99,2.21
Ah Qd Jc,As9c,1.000,47.97,1.65951,57.6634,18.99,1.72,81.01,1.65
Ah Qd Jc,AsTc,1.000,59.09,3.10703,87.6382,2.46,3.15,97.54,3.11
Ah Qd Jc,AsQc,1.000,76.96,7.14176,154.657,10.39,6.85,89.61,7.18
Ah Qd Jc,AsKc,1.000,68.15,4.36735,106.813,25.56,4.14,74.44,4.44
Ah Qd Jc,AsAc,1.000,89.53,11.0812,206.277,51.85,10.78,48.15,11.40
Ah Qd Jc,As9d,1.000,47.96,1.65843,57.6293,17.21,1.72,82.79,1.65
Ah Qd Jc,AsTd,1.000,59.10,3.11086,87.7229,4.07,3.21,95.93,3.11
Ah Qd Jc,AsJd,1.000,69.28,5.24133,126.087,7.48,4.95,92.52,5.26
Ah Qd Jc,AsKd,1.000,67.92,4.36779,107.18,18.78,4.16,81.22,4.42
Ah Qd Jc,AsAd,1.000,89.54,11.0904,206.427,51.78,10.79,48.22,11.41
Ah Qd Jc,As9h,1.000,47.98,1.65367,57.4476,13.51,1.71,86.49,1.64
Ah Qd Jc,AsTh,1.000,58.82,3.07455,87.1179,3.28,3.19,96.72,3.07
Ah Qd Jc,AsJh,1.000,69.07,5.17584,124.897,4.90,4.89,95.10,5.19
Ah Qd Jc,AsQh,1.000,76.86,7.06622,153.23,17.24,6.76,82.76,7.13
Ah Qd Jc,AsKh,1.000,67.97,4.38263,107.469,10.47,4.14,89.53,4.41
Ah Qd Jc,As2s,1.000,48.66,1.82591,62.5398,9.36,1.89,90.64,1.82
Ah Qd Jc,As3s,1.000,48.66,1.8258,62.5358,9.35,1.89,90.65,1.82
Ah Qd Jc,As4s,1.000,48.66,1.82585,62.5376,9.34,1.89,90.66,1.82
Ah Qd Jc,As5s,1.000,48.66,1.82726,62.5859,8.92,1.89,91.08,1.82
Ah Qd Jc,As6s,1.000,47.36,1.7845,62.7961,1.66,1.79,98.34,1.78
Ah Qd Jc,As7s,1.000,47.35,1.78624,62.8705,1.62,1.79,98.38,1.79
