Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,6c5c,1.000,5.83,0.33803,96.7046,0.63,-1.85,99.37,0.35
Ah Qd Jc,7c6c,1.000,6.13,0.30801,83.7104,0.32,-1.87,99.68,0.31
Ah Qd Jc,8c7c,1.000,8.37,0.33271,66.2471,0.38,-1.77,99.62,0.34
Ah Qd Jc,9c8c,1.000,16.76,0.73949,73.5337,0.77,-0.94,99.23,0.75
Ah Qd Jc,Tc8c,1.000,33.02,3.97318,200.528,97.94,3.99,2.06,3.14
Ah Qd Jc,Tc9c,1.000,33.75,3.87976,191.588,89.96,3.96,10.04,3.19
Ah Qd Jc,Qc8c,1.000,40.68,1.57716,64.6154,4.82,-0.23,95.18,1.67
Ah Qd Jc,Qc9c,1.000,40.64,1.16897,47.9392,24.24,-0.16,75.76,1.59
Ah Qd Jc,QcTc,1.000,48.62,3.60752,123.652,93.63,3.68,6.37,2.57
Ah Qd Jc,QcTd,1.000,46.15,2.27283,82.0866,36.57,2.64,63.43,2.06
Ah Qd Jc,QcJd,1.000,61.85,5.61326,151.263,60.29,6.33,39.71,4.53
Ah Qd Jc,QcTh,1.000,46.11,1.68334,60.8426,28.58,0.75,71.42,2.06
Ah Qd Jc,QcJh,1.000,62.03,4.99689,134.257,32.83,5.92,67.17,4.55
Ah Qd Jc,QcTs,1.000,45.99,2.15038,77.9254,17.24,2.72,82.76,2.03
Ah Qd Jc,QcJs,1.000,61.92,5.16941,139.146,66.83,5.47,33.17,4.56
Ah Qd Jc,Kc8c,1.000,20.65,0.4581,36.9781,95.16,0.41,4.84,1.33
Ah Qd Jc,Kc9c,1.000,21.36,0.68694,53.6021,90.03,0.61,9.97,1.34
Ah Qd Jc,KcTc,1.000,87.78,14.8274,281.52,91.01,15.09,8.99,12.15
Ah Qd Jc,KcQc,1.000,52.08,2.85898,91.4944,23.36,3.35,76.64,2.71
Ah Qd Jc,KcTd,1.000,88.01,15.2799,289.359,95.80,15.42,4.20,12.18
Ah Qd Jc,KcJd,1.000,43.65,2.42788,92.6993,43.13,3.22,56.87,1.83
Ah Qd Jc,KcTh,1.000,87.97,15.1821,287.631,95.59,15.32,4.41,12.18
Ah Qd Jc,KcJh,1.000,43.87,2.1976,83.4812,33.95,2.90,66.05,1.84
Ah Qd Jc,KcQh,1.000,50.38,2.61924,86.6421,25.79,3.58,74.21,2.29
Ah Qd Jc,KcTs,1.000,87.84,14.9417,283.49,94.36,15.11,5.64,12.09
Ah Qd Jc,KcJs,1.000,43.75,1.8021,68.6512,18.16,1.84,81.84,1.79
Ah Qd Jc,KcQs,1.000,50.25,2.4762,82.1224,13.89,3.86,86.11,2.25
Ah Qd Jc,Ac2c,1.000,51.40,1.944,63.0331,22.97,0.62,77.03,2.34
