Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ac Qs Jh,6c5c,1.000,5.89,0.20588,58.2694,0.17,-1.86,99.83,0.21
Ac Qs Jh,7c6c,1.000,6.19,0.18599,50.0439,0.13,-1.90,99.87,0.19
Ac Qs Jh,8c7c,1.000,8.41,0.20476,40.5833,0.14,-1.87,99.86,0.21
Ac Qs Jh,9c8c,1.000,16.60,0.37851,37.9949,0.22,-1.52,99.78,0.38
Ac Qs Jh,Tc8c,1.000,32.86,2.83551,143.812,50.57,3.28,49.43,2.38
Ac Qs Jh,Tc9c,1.000,33.51,2.83676,141.104,45.83,3.32,54.17,2.43
Ac Qs Jh,Jc8c,1.000,37.19,0.8954,40.1301,0.70,-1.06,99.30,0.91
Ac Qs Jh,Jc9c,1.000,37.19,0.77746,34.8455,1.62,-1.07,98.38,0.81
Ac Qs Jh,JcTc,1.000,43.99,1.35099,51.1897,30.61,0.69,69.39,1.64
Ac Qs Jh,JcTd,1.000,41.45,0.36438,14.6512,28.53,-1.21,71.47,0.99
Ac Qs Jh,JcTh,1.000,41.56,0.52509,21.0585,22.51,-1.20,77.49,1.03
Ac Qs Jh,JcTs,1.000,41.22,0.45824,18.529,25.80,-1.18,74.20,1.03
Ac Qs Jh,Qc8c,1.000,41.09,0.99395,40.3148,1.09,-1.00,98.91,1.02
Ac Qs Jh,Qc9c,1.000,41.09,0.79014,32.0491,6.47,-1.02,93.53,0.92
Ac Qs Jh,QcTc,1.000,48.35,1.89388,65.2873,14.83,2.54,85.17,1.78
Ac Qs Jh,QcJc,1.000,62.57,4.57892,121.96,38.98,5.50,61.02,3.99
Ac Qs Jh,QcTd,1.000,46.00,0.73322,26.5665,18.13,-1.06,81.87,1.13
Ac Qs Jh,QcJd,1.000,60.85,3.30164,90.4243,17.67,3.15,82.33,3.33
Ac Qs Jh,QcTh,1.000,46.47,0.81644,29.2793,16.59,-1.00,83.41,1.18
Ac Qs Jh,QcTs,1.000,46.10,0.72694,26.2821,20.21,-1.00,79.79,1.16
Ac Qs Jh,QcJs,1.000,60.82,3.341,91.5583,21.22,3.30,78.78,3.35
Ac Qs Jh,Kc8c,1.000,20.56,0.05268,4.27136,46.61,-0.80,53.39,0.80
Ac Qs Jh,Kc9c,1.000,21.20,0.21047,16.5502,38.93,-0.73,61.07,0.81
Ac Qs Jh,KcTc,1.000,87.04,12.758,244.296,10.09,15.64,89.91,12.44
Ac Qs Jh,KcJc,1.000,46.20,1.89097,68.2197,18.93,2.74,81.07,1.69
Ac Qs Jh,KcQc,1.000,52.11,2.02624,64.8091,3.59,3.00,96.41,1.99
Ac Qs Jh,KcTd,1.000,87.23,13.2685,253.522,36.20,14.95,63.80,12.32
Ac Qs Jh,KcJd,1.000,43.69,0.83887,31.9998,5.99,-1.03,94.01,0.96
Ac Qs Jh,KcQd,1.000,49.91,1.20607,40.2748,6.01,-0.45,93.99,1.31
Ac Qs Jh,KcTh,1.000,87.41,13.9029,265.095,47.68,15.54,52.32,12.41
Ac Qs Jh,KcQh,1.000,49.86,1.19071,39.8045,8.32,-0.45,91.68,1.34
Ac Qs Jh,KcTs,1.000,87.41,13.9048,265.132,47.65,15.53,52.35,12.42
Ac Qs Jh,KcJs,1.000,43.60,0.52169,19.9435,24.60,-0.89,75.40,0.98
Ac Qs Jh,2d2c,1.000,8.42,0.3628,71.8336,0.36,-1.61,99.64,0.37
