Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ac Qs Jh,6c5c,0.998,5.69,-0.00136,-0.39781,0.07,-1.88,0.01,-1.27,99.93,0.00
Ac Qs Jh,7c6c,0.999,6.05,-0.00136,-0.37399,0.06,-2.23,0.01,-1.32,99.94,0.00
Ac Qs Jh,8c7c,0.999,8.43,-0.00136,-0.26899,0.06,-2.14,0.01,-1.32,99.93,0.00
Ac Qs Jh,9c8c,0.998,16.27,-0.00132,-0.13498,0.10,-1.24,0.01,-0.83,99.89,0.00
Ac Qs Jh,Tc8c,0.494,32.06,1.604,83.3767,80.04,1.61,19.88,1.60,0.08,0.00
Ac Qs Jh,Tc9c,0.542,32.62,1.79474,91.707,76.81,1.80,23.11,1.79,0.08,0.00
Ac Qs Jh,Jc8c,0.993,37.27,-0.00139,-0.0623,0.13,-0.49,0.47,-0.16,99.40,0.00
Ac Qs Jh,Jc9c,0.984,38.51,-0.00129,-0.05582,0.20,-0.26,0.68,-0.11,99.12,0.00
Ac Qs Jh,JcTc,0.694,43.68,0.86866,33.1457,70.46,0.87,29.37,0.87,0.17,0.00
Ac Qs Jh,JcTd,0.715,41.03,-0.00011,-0.00436,9.54,-0.01,59.50,0.00,30.96,0.00
Ac Qs Jh,JcTh,0.775,41.36,0.00051,0.02062,8.58,-0.01,81.32,0.00,10.09,0.00
Ac Qs Jh,JcTs,0.742,41.08,0.00038,0.01529,5.26,-0.02,88.90,0.00,5.84,0.00
Ac Qs Jh,Qc8c,0.989,40.72,-0.00107,-0.04375,0.36,-0.25,4.33,0.00,95.31,0.00
Ac Qs Jh,Qc9c,0.935,41.94,0.00053,0.02122,1.00,-0.02,52.74,0.00,46.26,0.00
Ac Qs Jh,QcTc,0.852,47.14,0.96831,34.2372,55.02,0.97,44.84,0.97,0.15,0.00
Ac Qs Jh,QcJc,0.610,57.81,3.02163,87.1065,67.86,3.02,32.10,3.02,0.04,0.00
Ac Qs Jh,QcTd,0.819,44.93,0.01955,0.72514,20.29,0.02,75.92,0.02,3.79,0.00
Ac Qs Jh,QcJd,0.823,55.89,2.02503,60.3892,11.54,2.03,88.40,2.03,0.06,0.00
Ac Qs Jh,QcTh,0.834,45.38,0.04049,1.48729,4.45,0.03,94.27,0.04,1.28,0.00
Ac Qs Jh,QcTs,0.798,45.00,0.01798,0.66616,6.81,0.01,91.12,0.02,2.07,0.00
Ac Qs Jh,QcJs,0.788,55.99,2.07169,61.6708,6.67,2.07,93.27,2.07,0.06,0.00
Ac Qs Jh,Kc8c,0.534,19.66,0.0033,0.27967,1.78,-0.06,85.73,0.01,12.49,0.00
Ac Qs Jh,Kc9c,0.611,20.51,0.14585,11.8503,36.25,0.15,61.78,0.15,1.98,0.00
Ac Qs Jh,KcTc,0.899,83.89,15.6407,310.726,82.38,15.64,17.61,15.64,0.01,0.00
Ac Qs Jh,KcJc,0.811,47.52,1.02749,36.0387,96.66,1.03,3.23,1.02,0.12,0.00
Ac Qs Jh,KcQc,0.964,51.93,1.28411,41.2134,30.77,1.29,69.12,1.28,0.11,0.00
Ac Qs Jh,KcTd,0.638,84.60,15.4953,305.259,71.02,15.50,28.97,15.50,0.01,0.00
Ac Qs Jh,KcJd,0.940,45.23,0.02343,0.86338,3.34,0.02,91.01,0.02,5.65,0.00
Ac Qs Jh,KcQd,0.940,49.94,0.2967,9.90142,7.37,0.30,92.16,0.30,0.47,0.00
Ac Qs Jh,KcTh,0.523,84.75,15.7678,310.073,59.00,15.77,40.99,15.77,0.01,0.00
Ac Qs Jh,KcQh,0.917,49.96,0.31353,10.4591,8.98,0.31,90.59,0.31,0.43,0.00
