Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ac Qs Jh,6c5c,0.998,5.89,-0.00077,-0.21826,0.07,-1.03,0.01,-1.11,99.93,0.00
Ac Qs Jh,7c6c,0.999,6.19,-0.00084,-0.22588,0.06,-1.33,0.01,-1.27,99.94,0.00
Ac Qs Jh,8c7c,0.999,8.41,-0.00083,-0.1646,0.06,-1.25,0.01,-1.31,99.93,0.00
Ac Qs Jh,9c8c,0.998,16.60,-0.0008,-0.08016,0.10,-0.70,0.01,-0.87,99.89,0.00
Ac Qs Jh,Tc8c,0.494,32.86,3.63555,184.388,80.04,3.92,19.88,2.51,0.08,0.00
Ac Qs Jh,Tc9c,0.542,33.51,3.65289,181.7,76.81,3.92,23.11,2.79,0.08,0.00
Ac Qs Jh,Jc8c,0.993,37.19,0.00057,0.02536,0.13,0.80,0.47,-0.10,99.40,0.00
Ac Qs Jh,Jc9c,0.984,37.19,0.00079,0.03539,0.20,0.79,0.68,-0.12,99.12,0.00
Ac Qs Jh,JcTc,0.694,43.99,1.83211,69.4194,70.46,2.14,29.37,1.11,0.17,0.00
Ac Qs Jh,JcTd,0.715,41.45,0.20399,8.20218,9.54,1.27,59.50,0.14,30.96,0.00
Ac Qs Jh,JcTh,0.775,41.56,0.17687,7.09335,8.58,1.22,81.32,0.09,10.09,0.00
Ac Qs Jh,JcTs,0.742,41.22,0.20124,8.1372,5.26,1.24,88.90,0.15,5.84,0.00
Ac Qs Jh,Qc8c,0.989,41.09,0.01414,0.57349,0.36,1.26,4.33,0.22,95.31,0.00
Ac Qs Jh,Qc9c,0.935,41.09,0.02894,1.17402,1.00,1.21,52.74,0.03,46.26,0.00
Ac Qs Jh,QcTc,0.852,48.35,1.68862,58.2112,55.02,2.10,44.84,1.19,0.15,0.00
Ac Qs Jh,QcJc,0.610,62.57,5.57418,148.469,67.86,6.01,32.10,4.67,0.04,0.00
Ac Qs Jh,QcTd,0.819,46.00,0.42553,15.418,20.29,1.33,75.92,0.21,3.79,0.00
Ac Qs Jh,QcJd,0.823,60.85,3.83834,105.123,11.54,4.95,88.40,3.70,0.06,0.00
Ac Qs Jh,QcTh,0.834,46.47,0.37853,13.575,4.45,1.37,94.27,0.34,1.28,0.00
Ac Qs Jh,QcTs,0.798,46.10,0.29336,10.606,6.81,1.34,91.12,0.22,2.07,0.00
Ac Qs Jh,QcJs,0.788,60.82,3.69828,101.349,6.67,5.17,93.27,3.60,0.06,0.00
Ac Qs Jh,Kc8c,0.534,20.56,0.0239,1.93756,1.78,1.87,85.73,-0.01,12.49,0.00
Ac Qs Jh,Kc9c,0.611,21.20,0.60632,47.677,36.25,1.69,61.78,-0.01,1.98,0.00
Ac Qs Jh,KcTc,0.899,87.04,16.0129,306.621,82.38,16.00,17.61,16.06,0.01,0.00
Ac Qs Jh,KcJc,0.811,46.20,1.74319,62.8882,96.66,1.77,3.23,0.93,0.12,0.00
Ac Qs Jh,KcQc,0.964,52.11,2.11459,67.6349,30.77,3.41,69.12,1.54,0.11,0.00
Ac Qs Jh,KcTd,0.638,87.23,15.7181,300.327,71.02,15.70,28.97,15.76,0.01,0.00
Ac Qs Jh,KcJd,0.940,43.69,0.07118,2.7153,3.34,1.32,91.01,0.03,5.65,0.00
Ac Qs Jh,KcQd,0.940,49.91,0.55144,18.4146,7.37,1.64,92.16,0.47,0.47,0.00
Ac Qs Jh,KcTh,0.523,87.41,16.082,306.645,59.00,16.04,40.99,16.15,0.01,0.00
Ac Qs Jh,KcQh,0.917,49.86,0.71233,23.8126,8.98,1.90,90.59,0.60,0.43,0.00
Ac Qs Jh,KcTs,0.523,87.41,16.0956,306.905,62.38,16.07,37.61,16.14,0.01,0.00
Ac Qs Jh,KcJs,0.754,43.60,0.30739,11.7512,21.62,1.29,74.80,0.04,3.59,0.00
Ac Qs Jh,2d2c,0.996,8.42,-0.00065,-0.12839,0.10,-0.60,0.01,-0.79,99.89,0.00
Ac Qs Jh,3d3c,0.996,8.42,-0.00065,-0.12811,0.10,-0.60,0.01,-0.79,99.89,0.00
Ac Qs Jh,4d4c,0.996,8.42,-0.00065,-0.12837,0.10,-0.60,0.01,-0.79,99.89,0.00
Ac Qs Jh,5d5c,0.996,8.42,-0.00065,-0.12817,0.10,-0.60,0.01,-0.79,99.89,0.00
Ac Qs Jh,6d6c,0.998,8.71,-0.0008,-0.15407,0.07,-1.07,0.01,-0.84,99.92,0.00
Ac Qs Jh,6d5d,0.999,2.19,-0.00108,-0.82218,0.05,-1.94,0.00,-1.57,99.94,0.00
Ac Qs Jh,7d7c,0.998,13.44,-0.0008,-0.09959,0.07,-1.07,0.01,-0.84,99.92,0.00
Ac Qs Jh,7d6d,0.999,2.49,-0.0011,-0.73451,0.04,-2.27,0.00,-1.62,99.95,0.00
Ac Qs Jh,8d8c,0.998,18.67,-0.00085,-0.07608,0.07,-1.07,0.01,-0.90,99.92,0.00
Ac Qs Jh,8d7d,0.999,4.76,-0.00112,-0.39244,0.05,-2.21,0.00,-1.58,99.95,0.00
Ac Qs Jh,9d9c,0.998,23.40,-0.00106,-0.0756,0.09,-1.09,0.01,-1.02,99.90,0.00
Ac Qs Jh,9d8d,0.999,13.33,-0.00126,-0.15765,0.07,-1.70,0.01,-1.25,99.92,0.00
Ac Qs Jh,TdTc,0.913,37.72,0.59639,26.3512,18.04,3.14,1.83,1.64,80.14,0.00
Ac Qs Jh,Td8d,0.592,30.32,2.61607,143.809,58.78,3.36,41.06,1.57,0.16,0.00
Ac Qs Jh,Td9d,0.635,30.96,2.89701,155.934,56.79,3.35,43.08,2.31,0.13,0.00
Ac Qs Jh,JdTc,0.733,41.43,0.08719,3.50742,1.89,1.48,26.80,0.22,71.31,0.00
Ac Qs Jh,JdJc,0.888,82.73,10.8529,218.643,8.37,11.85,91.62,10.76,0.01,0.00
Ac Qs Jh,Jd8d,0.998,34.21,-0.00025,-0.01203,0.09,-0.11,0.02,-0.63,99.89,0.00
Ac Qs Jh,Jd9d,0.998,34.21,-0.00026,-0.01247,0.10,-0.07,0.03,-0.69,99.87,0.00
Ac Qs Jh,JdTd,0.918,41.48,0.21095,8.47539,12.55,1.28,19.49,0.26,67.96,0.00
Ac Qs Jh,JdTh,0.768,41.50,0.08736,3.50867,2.65,1.36,28.41,0.18,68.94,0.00
Ac Qs Jh,JdTs,0.688,41.16,0.1371,5.55221,1.87,1.07,49.72,0.24,48.41,0.00
Ac Qs Jh,QdTc,0.838,46.01,0.19045,6.89893,6.75,1.48,60.71,0.15,32.54,0.00
