Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 9d 2h,6c5c,1.000,13.30,0.06017,7.53801,0.06,0.40,99.94,0.06
Jh 9d 2h,7c6c,1.000,13.49,0.05698,7.03969,0.06,0.40,99.94,0.06
Jh 9d 2h,8c7c,1.000,25.39,0.16342,10.7257,0.13,0.94,99.87,0.16
Jh 9d 2h,9c7c,1.000,51.69,1.3668,44.0671,0.13,0.56,99.87,1.37
Jh 9d 2h,9c8c,1.000,52.51,1.30278,41.3462,0.12,1.48,99.88,1.30
Jh 9d 2h,Tc7c,1.000,26.29,0.20676,13.1052,0.19,1.51,99.81,0.20
Jh 9d 2h,Tc8c,1.000,37.66,2.2434,99.2963,0.31,2.13,99.69,2.24
Jh 9d 2h,Tc9c,1.000,55.13,1.56783,47.4003,0.12,1.05,99.88,1.57
Jh 9d 2h,Jc8c,1.000,60.83,2.83885,77.7854,0.13,1.25,99.87,2.84
Jh 9d 2h,Jc9c,1.000,81.60,13.3122,271.886,0.44,11.15,99.56,13.32
Jh 9d 2h,JcTc,1.000,62.24,2.91785,78.1349,0.14,1.73,99.86,2.92
Jh 9d 2h,JcTd,1.000,62.44,2.96834,79.2333,0.14,1.83,99.86,2.97
Jh 9d 2h,JcTh,1.000,64.83,3.50973,90.2259,0.16,1.97,99.84,3.51
Jh 9d 2h,JcTs,1.000,62.27,2.91788,78.0999,0.14,1.78,99.86,2.92
Jh 9d 2h,Qc6c,1.000,15.42,0.09421,10.1854,0.08,0.76,99.92,0.09
Jh 9d 2h,Qc7c,1.000,15.55,0.09192,9.85192,0.08,0.84,99.92,0.09
Jh 9d 2h,Qc8c,1.000,26.24,0.196,12.4507,0.17,1.41,99.83,0.19
Jh 9d 2h,Qc9c,1.000,54.97,1.66848,50.5853,0.11,1.59,99.89,1.67
Jh 9d 2h,QcTc,1.000,40.22,1.92225,79.6534,0.28,2.14,99.72,1.92
Jh 9d 2h,QcJc,1.000,66.04,3.88912,98.1483,0.17,2.54,99.83,3.89
Jh 9d 2h,QcTd,1.000,40.28,1.96193,81.1713,0.28,2.25,99.72,1.96
Jh 9d 2h,QcJd,1.000,66.02,3.90386,98.5596,0.16,2.78,99.84,3.91
Jh 9d 2h,QcTh,1.000,42.79,2.48411,96.7585,0.37,2.38,99.63,2.48
Jh 9d 2h,QcTs,1.000,40.20,1.92557,79.8363,0.28,2.25,99.72,1.92
Jh 9d 2h,QcJs,1.000,66.04,3.88924,98.1514,0.17,2.54,99.83,3.89
Jh 9d 2h,Kc2c,1.000,40.24,0.32676,13.5353,0.26,1.37,99.74,0.32
Jh 9d 2h,Kc3c,1.000,15.54,0.0743,7.96629,0.07,0.70,99.93,0.07
Jh 9d 2h,Kc4c,1.000,15.85,0.07438,7.82265,0.07,0.70,99.93,0.07
Jh 9d 2h,Kc5c,1.000,16.15,0.07354,7.58812,0.07,0.73,99.93,0.07
Jh 9d 2h,Kc6c,1.000,16.49,0.07042,7.11656,0.07,0.82,99.93,0.07
Jh 9d 2h,Kc7c,1.000,17.65,0.07505,7.08609,0.07,0.91,99.93,0.07
Jh 9d 2h,Kc8c,1.000,18.16,0.08041,7.37988,0.07,0.95,99.93,0.08
Jh 9d 2h,Kc9c,1.000,54.48,1.42366,43.5543,0.13,1.78,99.87,1.42
Jh 9d 2h,KcTc,1.000,31.27,0.24349,12.979,0.27,1.46,99.73,0.24
Jh 9d 2h,KcJc,1.000,68.02,4.52686,110.923,0.19,3.14,99.81,4.53
Jh 9d 2h,KcQc,1.000,34.75,0.4416,21.1827,0.27,1.62,99.73,0.44
Jh 9d 2h,Kc8d,1.000,18.22,0.08277,7.57378,0.08,0.98,99.92,0.08
Jh 9d 2h,KcTd,1.000,31.30,0.26346,14.0267,0.29,1.55,99.71,0.26
Jh 9d 2h,KcJd,1.000,68.00,4.54369,111.368,0.19,3.23,99.81,4.55
Jh 9d 2h,KcQd,1.000,34.82,0.46545,22.2784,0.27,1.60,99.73,0.46
Jh 9d 2h,Kc8h,1.000,21.11,0.11041,8.71738,0.09,1.01,99.91,0.11
Jh 9d 2h,Kc9h,1.000,56.86,2.00235,58.6962,0.13,1.18,99.87,2.00
Jh 9d 2h,KcTh,1.000,34.15,0.71318,34.8028,0.24,1.27,99.76,0.71
Jh 9d 2h,KcQh,1.000,37.87,1.01776,44.7916,0.31,1.30,99.69,1.02
Jh 9d 2h,Kc8s,1.000,18.16,0.08042,7.38073,0.07,0.95,99.93,0.08
Jh 9d 2h,Kc9s,1.000,54.49,1.41993,43.432,0.13,1.79,99.87,1.42
Jh 9d 2h,KcTs,1.000,31.22,0.24272,12.956,0.27,1.53,99.73,0.24
Jh 9d 2h,KcJs,1.000,68.02,4.52688,110.924,0.19,3.14,99.81,4.53
Jh 9d 2h,KcQs,1.000,34.75,0.4416,21.1823,0.27,1.62,99.73,0.44
Jh 9d 2h,Ac2c,1.000,39.11,0.26365,11.2358,0.19,1.10,99.81,0.26
Jh 9d 2h,Ac3c,1.000,21.47,0.05601,4.34754,0.06,0.22,99.94,0.06
Jh 9d 2h,Ac4c,1.000,21.79,0.05632,4.30896,0.06,0.29,99.94,0.06
Jh 9d 2h,Ac5c,1.000,22.33,0.05677,4.23721,0.06,0.36,99.94,0.06
Jh 9d 2h,Ac6c,1.000,21.86,0.05038,3.84211,0.06,0.57,99.94,0.05
Jh 9d 2h,Ac7c,1.000,23.63,0.05731,4.04222,0.06,0.64,99.94,0.06
Jh 9d 2h,Ac8c,1.000,25.74,0.06962,4.50836,0.06,0.64,99.94,0.07
Jh 9d 2h,Ac9c,1.000,55.07,1.91242,57.88,0.11,0.72,99.89,1.91
Jh 9d 2h,AcTc,1.000,30.72,0.11578,6.28079,0.08,0.93,99.92,0.12
Jh 9d 2h,Ac2d,1.000,39.13,0.28193,12.0087,0.18,1.09,99.82,0.28
Jh 9d 2h,Ac3d,1.000,21.40,0.05637,4.38944,0.06,0.40,99.94,0.06
Jh 9d 2h,Ac4d,1.000,21.72,0.05673,4.35328,0.06,0.46,99.94,0.06
Jh 9d 2h,Ac5d,1.000,22.26,0.0569,4.25963,0.06,0.49,99.94,0.06
Jh 9d 2h,Ac6d,1.000,21.79,0.05016,3.83693,0.06,0.59,99.94,0.05
Jh 9d 2h,Ac7d,1.000,23.57,0.05787,4.09135,0.06,0.69,99.94,0.06
Jh 9d 2h,Ac8d,1.000,25.67,0.06936,4.50336,0.06,0.67,99.94,0.07
Jh 9d 2h,AcTd,1.000,30.78,0.11787,6.38244,0.08,0.93,99.92,0.12
Jh 9d 2h,AcJd,1.000,70.75,6.02413,141.914,0.35,4.83,99.65,6.03
Jh 9d 2h,Ac3h,1.000,23.86,0.0737,5.14785,0.07,0.47,99.93,0.07
Jh 9d 2h,Ac4h,1.000,24.24,0.07429,5.10844,0.07,0.50,99.93,0.07
Jh 9d 2h,Ac5h,1.000,24.83,0.07558,5.07265,0.07,0.49,99.93,0.08
Jh 9d 2h,Ac6h,1.000,24.45,0.06963,4.74569,0.07,0.68,99.93,0.07
Jh 9d 2h,Ac7h,1.000,26.27,0.07998,5.07448,0.07,0.63,99.93,0.08
Jh 9d 2h,Ac8h,1.000,28.40,0.09429,5.53299,0.07,0.52,99.93,0.09
Jh 9d 2h,Ac9h,1.000,57.50,2.46519,71.4526,0.14,1.11,99.86,2.47
Jh 9d 2h,AcTh,1.000,33.74,0.1494,7.38031,0.12,0.88,99.88,0.15
Jh 9d 2h,Ac2s,1.000,39.06,0.24256,10.3503,0.18,1.21,99.82,0.24
Jh 9d 2h,Ac3s,1.000,21.34,0.05605,4.37734,0.06,0.19,99.94,0.06
Jh 9d 2h,Ac4s,1.000,21.65,0.05639,4.34027,0.06,0.26,99.94,0.06
Jh 9d 2h,Ac5s,1.000,22.20,0.05669,4.25636,0.06,0.33,99.94,0.06
Jh 9d 2h,Ac6s,1.000,21.72,0.04988,3.82642,0.06,0.54,99.94,0.05
Jh 9d 2h,Ac7s,1.000,23.51,0.0562,3.98464,0.06,0.61,99.94,0.06
