Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 8d 2h,6c5c,1.000,16.97,1.4927,146.605,79.84,1.54,20.16,1.31
Jh 8d 2h,7c5c,1.000,17.32,1.39222,133.973,68.54,1.45,31.46,1.27
Jh 8d 2h,7c6c,1.000,17.63,1.3476,127.389,57.85,1.42,42.15,1.24
Jh 8d 2h,8c6c,1.000,59.61,3.39551,94.9394,86.08,3.40,13.92,3.36
Jh 8d 2h,8c7c,1.000,60.40,3.35907,92.6965,71.97,3.37,28.03,3.34
Jh 8d 2h,9c6c,1.000,18.41,1.53892,139.291,49.10,1.74,50.90,1.35
Jh 8d 2h,9c7c,1.000,29.57,2.66466,150.2,66.76,2.73,33.24,2.53
Jh 8d 2h,9c8c,1.000,63.00,3.55265,93.9826,24.90,3.71,75.10,3.50
Jh 8d 2h,9c8h,1.000,65.00,3.86677,99.1449,47.16,3.92,52.84,3.82
Jh 8d 2h,9c8s,1.000,63.05,3.54776,93.7874,22.28,3.71,77.72,3.50
Jh 8d 2h,Tc7c,1.000,28.07,2.53492,150.508,79.26,2.61,20.74,2.23
Jh 8d 2h,Tc8c,1.000,63.68,3.68276,96.3937,35.19,3.92,64.81,3.55
Jh 8d 2h,Tc9c,1.000,42.02,4.33649,171.997,86.77,4.34,13.23,4.30
Jh 8d 2h,Tc9d,1.000,42.08,4.41425,174.84,81.17,4.43,18.83,4.34
Jh 8d 2h,Tc8h,1.000,65.72,3.98848,101.148,39.53,4.17,60.47,3.87
Jh 8d 2h,Tc9h,1.000,44.54,4.69177,175.567,85.49,4.70,14.51,4.66
Jh 8d 2h,Tc8s,1.000,63.72,3.6687,95.9536,30.83,3.93,69.17,3.55
Jh 8d 2h,Tc9s,1.000,41.99,4.39538,174.446,85.08,4.41,14.92,4.31
Jh 8d 2h,Jc7c,1.000,70.86,4.97246,116.957,2.83,5.00,97.17,4.97
Jh 8d 2h,Jc8c,1.000,86.77,9.6384,185.133,99.61,9.64,0.39,9.50
Jh 8d 2h,Jc9c,1.000,71.93,5.08849,117.908,48.08,5.16,51.92,5.03
Jh 8d 2h,JcTc,1.000,73.00,5.38171,122.862,53.98,5.50,46.02,5.24
Jh 8d 2h,Jc9d,1.000,72.18,5.11209,118.047,28.70,5.22,71.30,5.07
Jh 8d 2h,JcTd,1.000,73.18,5.38765,122.708,39.48,5.56,60.52,5.28
Jh 8d 2h,Jc8h,1.000,88.10,9.67482,183.022,99.15,9.68,0.85,9.63
Jh 8d 2h,Jc9h,1.000,74.19,5.44505,122.329,45.07,5.54,54.93,5.36
Jh 8d 2h,JcTh,1.000,75.42,5.78353,127.8,59.69,5.89,40.31,5.63
Jh 8d 2h,Jc8s,1.000,86.90,9.6415,184.925,99.62,9.64,0.38,9.52
Jh 8d 2h,Jc9s,1.000,72.00,5.09952,118.04,49.88,5.17,50.12,5.03
Jh 8d 2h,JcTs,1.000,73.00,5.38303,122.892,54.61,5.50,45.39,5.24
Jh 8d 2h,Qc7c,1.000,18.55,1.59887,143.664,43.59,1.77,56.41,1.46
Jh 8d 2h,Qc8c,1.000,63.39,3.68402,96.8659,49.61,3.77,50.39,3.60
Jh 8d 2h,Qc9c,1.000,31.61,3.00244,158.307,79.57,3.04,20.43,2.86
Jh 8d 2h,QcTc,1.000,34.43,3.20397,155.114,70.17,3.26,29.83,3.07
Jh 8d 2h,QcJc,1.000,75.89,5.98768,131.496,51.75,6.03,48.25,5.94
Jh 8d 2h,Qc9d,1.000,31.62,3.06386,161.486,63.65,3.16,36.35,2.89
Jh 8d 2h,QcTd,1.000,34.50,3.16517,152.919,71.43,3.19,28.57,3.11
Jh 8d 2h,QcJd,1.000,75.78,5.94341,130.709,33.91,5.98,66.09,5.92
Jh 8d 2h,Qc8h,1.000,65.57,4.02687,102.362,58.89,4.08,41.11,3.94
Jh 8d 2h,Qc9h,1.000,34.43,3.37157,163.228,82.28,3.41,17.72,3.21
Jh 8d 2h,QcTh,1.000,37.42,3.67578,163.7,87.61,3.70,12.39,3.51
Jh 8d 2h,Qc8s,1.000,63.43,3.68686,96.8706,47.35,3.79,52.65,3.60
Jh 8d 2h,Qc9s,1.000,31.55,3.0679,162.08,71.83,3.15,28.17,2.86
Jh 8d 2h,QcTs,1.000,34.43,3.2057,155.197,70.65,3.26,29.35,3.07
Jh 8d 2h,QcJs,1.000,75.89,5.98696,131.48,51.69,6.03,48.31,5.94
Jh 8d 2h,Kc2c,1.000,50.73,2.7666,90.8858,75.56,2.80,24.44,2.66
