Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 8d 2h,2c,6c5c,0.798,4.88,0.29122,49.702,0.53,0.10,0.16,-0.25,99.31,0.29
Jh 8d 2h,2c,7c5c,0.685,5.06,0.29094,47.9615,0.35,-0.05,0.12,-0.32,99.52,0.29
Jh 8d 2h,2c,7c6c,0.578,5.09,0.24636,40.3515,0.24,-0.25,0.09,-0.53,99.67,0.25
Jh 8d 2h,2c,8c6c,0.861,42.04,3.78243,74.9796,0.08,2.99,0.14,2.95,99.78,3.78
Jh 8d 2h,2c,8c7c,0.720,41.99,3.77943,75.0051,0.08,2.93,0.13,2.88,99.79,3.78
Jh 8d 2h,2c,9c6c,0.491,5.80,0.32191,46.2159,0.23,-0.16,0.12,-0.34,99.65,0.32
Jh 8d 2h,2c,9c7c,0.668,13.48,1.84374,113.942,0.48,1.74,0.27,1.34,99.25,1.85
Jh 8d 2h,2c,9c8c,0.249,44.32,4.07257,76.5712,0.11,3.10,0.11,3.36,99.79,4.07
Jh 8d 2h,2c,9c8h,0.472,44.17,4.05235,76.4545,0.15,3.59,0.15,3.35,99.71,4.05
Jh 8d 2h,2c,9c8s,0.223,44.28,4.05959,76.3956,0.10,2.95,0.10,3.30,99.80,4.06
Jh 8d 2h,2c,Tc7c,0.793,13.75,1.81015,109.672,23.06,1.81,0.40,1.35,76.53,1.81
Jh 8d 2h,2c,Tc8c,0.352,44.81,4.16783,77.5033,0.09,3.02,0.09,3.38,99.81,4.17
Jh 8d 2h,2c,Tc9c,0.868,23.37,4.10165,146.235,95.53,4.11,0.46,3.82,4.01,4.04
Jh 8d 2h,2c,Tc9d,0.812,23.21,4.05011,145.423,34.57,4.05,0.82,3.81,64.61,4.05
Jh 8d 2h,2c,Tc8h,0.395,44.65,4.14322,77.3278,0.12,3.50,0.12,3.37,99.75,4.14
Jh 8d 2h,2c,Tc9h,0.855,23.60,4.25221,150.175,97.66,4.25,0.31,3.97,2.03,4.17
Jh 8d 2h,2c,Tc8s,0.308,44.77,4.1546,77.3261,0.09,2.86,0.09,3.32,99.82,4.16
Jh 8d 2h,2c,Tc9s,0.851,23.20,4.05549,145.648,31.15,4.05,0.87,3.81,67.99,4.06
Jh 8d 2h,2c,Jc7c,0.028,68.03,9.11323,111.64,0.35,8.79,0.24,8.76,99.41,9.12
Jh 8d 2h,2c,Jc8c,0.996,83.59,14.5661,145.21,99.41,14.57,0.23,14.48,0.36,14.04
Jh 8d 2h,2c,Jc9c,0.481,68.16,8.99191,109.935,0.47,8.82,0.52,8.80,99.01,8.99
