Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 8d 2h,2c,6c5c,0.798,4.18,0.02474,4.92989,0.53,-0.87,0.16,-1.25,99.31,0.03
Jh 8d 2h,2c,7c5c,0.685,4.22,-0.16799,-33.2091,0.35,-1.09,0.12,-1.38,99.52,-0.16
Jh 8d 2h,2c,7c6c,0.578,4.20,-0.15602,-30.9641,0.24,-1.37,0.09,-1.66,99.67,-0.15
Jh 8d 2h,2c,8c6c,0.861,39.09,2.83105,60.3545,0.08,2.18,0.14,2.14,99.78,2.83
Jh 8d 2h,2c,8c7c,0.720,38.81,2.81637,60.4806,0.08,2.07,0.13,2.02,99.79,2.82
Jh 8d 2h,2c,9c6c,0.491,5.70,0.3636,53.1241,0.23,-1.21,0.12,-1.41,99.65,0.37
Jh 8d 2h,2c,9c7c,0.668,13.35,1.82189,113.739,0.48,0.79,0.27,0.37,99.25,1.83
Jh 8d 2h,2c,9c8c,0.249,41.29,3.51312,70.8995,0.11,2.29,0.11,2.58,99.79,3.52
Jh 8d 2h,2c,9c8h,0.472,41.14,3.31223,67.0919,0.15,2.83,0.15,2.58,99.71,3.31
Jh 8d 2h,2c,9c8s,0.223,41.23,3.49594,70.6644,0.10,2.13,0.10,2.51,99.80,3.50
Jh 8d 2h,2c,Tc7c,0.793,13.86,1.84719,111.037,23.06,0.90,0.40,0.41,76.53,2.14
Jh 8d 2h,2c,Tc8c,0.352,41.67,3.88507,77.6865,0.09,2.23,0.09,2.63,99.81,3.89
Jh 8d 2h,2c,Tc9c,0.868,23.76,3.45959,121.347,95.53,3.44,0.46,3.13,4.01,3.93
Jh 8d 2h,2c,Tc9d,0.812,23.59,3.78109,133.575,34.57,3.39,0.82,3.12,64.61,4.00
Jh 8d 2h,2c,Tc8h,0.395,41.51,4.18112,83.935,0.12,2.76,0.12,2.63,99.75,4.18
Jh 8d 2h,2c,Tc9h,0.855,24.07,3.57893,123.888,97.66,3.57,0.31,3.26,2.03,4.03
Jh 8d 2h,2c,Tc8s,0.308,41.61,3.87768,77.6659,0.09,2.06,0.09,2.55,99.82,3.88
Jh 8d 2h,2c,Tc9s,0.851,23.58,3.77025,133.262,31.15,3.38,0.87,3.11,67.99,3.96
Jh 8d 2h,2c,Jc7c,0.028,66.85,8.69957,108.439,0.35,8.47,0.24,8.44,99.41,8.70
Jh 8d 2h,2c,Jc8c,0.996,84.02,14.8156,146.954,99.41,14.82,0.23,14.72,0.36,14.30
Jh 8d 2h,2c,Jc9c,0.481,66.87,8.58717,107.008,0.47,8.52,0.52,8.50,99.01,8.59
Jh 8d 2h,2c,JcTc,0.540,68.55,8.91232,108.347,0.20,8.72,1.04,8.93,98.76,8.91
Jh 8d 2h,2c,Jc9d,0.287,67.05,8.57427,106.572,0.36,8.55,0.65,8.52,98.99,8.57
Jh 8d 2h,2c,JcTd,0.395,68.73,8.924,108.2,0.18,8.75,1.17,8.93,98.65,8.92
Jh 8d 2h,2c,Jc8h,0.991,84.97,14.7791,144.94,98.90,14.78,0.51,14.63,0.59,14.60
Jh 8d 2h,2c,Jc9h,0.451,67.10,8.58168,106.58,0.45,8.58,0.45,8.54,99.09,8.58
Jh 8d 2h,2c,JcTh,0.597,69.21,9.04269,108.884,0.18,8.81,0.66,8.99,99.16,9.04
Jh 8d 2h,2c,Jc8s,0.996,84.09,14.9142,147.807,99.48,14.92,0.20,14.74,0.32,14.32
Jh 8d 2h,2c,Jc9s,0.499,67.00,8.59928,106.955,0.45,8.54,0.56,8.53,98.98,8.60
Jh 8d 2h,2c,JcTs,0.546,68.55,8.91219,108.343,0.20,8.72,1.04,8.93,98.76,8.91
Jh 8d 2h,2c,Qc7c,0.436,9.73,1.03926,89.0486,0.42,-0.10,0.16,-0.33,99.43,1.05
Jh 8d 2h,2c,Qc8c,0.496,45.08,4.34553,80.3283,0.18,3.64,0.11,3.55,99.71,4.35
Jh 8d 2h,2c,Qc9c,0.796,18.24,1.99702,91.2603,88.56,1.93,0.54,1.57,10.91,2.54
Jh 8d 2h,2c,QcTc,0.701,18.60,2.45021,109.767,23.36,2.05,0.52,1.66,76.12,2.58
Jh 8d 2h,2c,QcJc,0.518,73.71,10.2782,116.199,0.17,10.04,0.38,10.16,99.45,10.28
Jh 8d 2h,2c,Qc9d,0.637,18.26,2.52386,115.165,3.57,1.94,0.35,1.56,96.09,2.55
Jh 8d 2h,2c,QcTd,0.714,18.61,2.50712,112.265,26.29,2.13,0.48,1.72,73.23,2.65
Jh 8d 2h,2c,QcJd,0.339,73.40,10.1818,115.598,0.17,9.95,0.38,10.08,99.46,10.18
Jh 8d 2h,2c,Qc8h,0.589,45.12,4.78978,88.4551,0.21,3.90,0.13,3.46,99.66,4.79
Jh 8d 2h,2c,Qc9h,0.823,18.83,2.39638,106.047,35.47,2.03,0.52,1.64,64.01,2.61
Jh 8d 2h,2c,QcTh,0.876,19.23,2.51066,108.8,48.55,2.30,0.46,1.85,50.99,2.72
Jh 8d 2h,2c,Qc8s,0.474,45.04,4.48792,83.0319,0.16,3.50,0.10,3.52,99.73,4.49
Jh 8d 2h,2c,Qc9s,0.718,18.23,2.49394,113.974,2.43,1.93,0.37,1.57,97.20,2.51
Jh 8d 2h,2c,QcTs,0.707,18.60,2.4332,109.01,26.57,2.05,0.52,1.66,72.90,2.58
Jh 8d 2h,2c,QcJs,0.517,73.71,10.2736,116.153,0.17,10.04,0.38,10.16,99.45,10.27
Jh 8d 2h,2c,Kc3c,0.124,10.37,0.35051,28.1592,96.99,0.35,0.21,0.03,2.80,0.54
Jh 8d 2h,2c,Kc4c,0.145,10.37,0.34926,28.0624,96.97,0.34,0.21,0.03,2.82,0.53
Jh 8d 2h,2c,Kc5c,0.126,10.39,0.35076,28.1363,97.07,0.35,0.20,0.03,2.73,0.48
Jh 8d 2h,2c,Kc6c,0.108,10.54,0.31329,24.7709,1.37,0.10,0.49,-0.22,98.13,0.32
Jh 8d 2h,2c,Kc7c,0.557,10.67,0.30607,23.9043,0.69,-0.13,0.27,-0.32,99.04,0.31
Jh 8d 2h,2c,Kc8c,0.509,46.31,4.13004,74.3249,0.21,3.94,0.15,3.89,99.65,4.13
Jh 8d 2h,2c,Kc9c,0.906,11.83,0.88927,62.6468,12.98,0.20,1.11,-0.01,85.91,1.01
Jh 8d 2h,2c,KcTc,0.793,12.20,1.05745,72.2468,0.48,0.13,0.35,0.02,99.16,1.07
Jh 8d 2h,2c,KcJc,0.884,78.15,11.6741,124.482,0.35,11.70,0.83,11.59,98.82,11.67
Jh 8d 2h,2c,KcQc,0.953,15.30,1.51666,82.612,43.07,1.34,0.66,1.03,56.27,1.66
Jh 8d 2h,2c,Kc7d,0.207,10.67,0.19877,15.5235,0.91,-0.13,0.34,-0.32,98.76,0.20
Jh 8d 2h,2c,Kc9d,0.904,11.85,0.96196,67.6431,7.11,0.21,0.86,-0.01,92.02,1.03
Jh 8d 2h,2c,KcTd,0.940,12.18,1.0636,72.7568,0.40,0.22,0.30,0.09,99.30,1.07
Jh 8d 2h,2c,KcJd,0.766,77.86,11.5839,123.982,0.35,11.62,0.82,11.51,98.83,11.58
Jh 8d 2h,2c,KcQd,0.960,15.23,1.62941,89.1317,9.54,1.36,0.61,1.05,89.85,1.66
Jh 8d 2h,2c,Kc7h,0.817,10.31,0.63848,51.6143,19.14,0.06,0.65,-0.20,80.21,0.78
Jh 8d 2h,2c,Kc8h,0.763,46.52,4.09568,73.3698,0.22,4.10,0.15,3.82,99.63,4.10
Jh 8d 2h,2c,Kc9h,0.971,12.21,0.63214,43.1472,28.43,0.23,1.53,0.05,70.03,0.81
Jh 8d 2h,2c,KcTh,0.941,12.62,1.04854,69.2247,0.90,0.47,0.85,0.26,98.25,1.06
Jh 8d 2h,2c,KcQh,0.937,15.28,1.34216,73.1989,78.62,1.31,1.18,1.13,20.20,1.47
Jh 8d 2h,2c,Kc7s,0.359,10.67,0.29597,23.1159,0.69,-0.13,0.27,-0.32,99.04,0.30
Jh 8d 2h,2c,Kc8s,0.478,46.28,4.11599,74.1193,0.20,3.90,0.14,3.87,99.66,4.12
Jh 8d 2h,2c,Kc9s,0.765,11.83,0.89416,62.996,12.31,0.20,1.10,-0.01,86.58,1.00
Jh 8d 2h,2c,KcTs,0.790,12.20,1.0584,72.3169,0.48,0.13,0.35,0.02,99.17,1.07
Jh 8d 2h,2c,KcJs,0.888,78.15,11.6739,124.483,0.35,11.70,0.83,11.59,98.82,11.67
Jh 8d 2h,2c,KcQs,0.952,15.30,1.51372,82.4517,43.92,1.34,0.66,1.03,55.42,1.66
Jh 8d 2h,2c,Ac3c,0.709,16.15,0.34964,18.0469,56.74,0.43,0.38,-0.14,42.87,0.25
Jh 8d 2h,2c,Ac4c,0.692,16.15,0.34686,17.9013,55.29,0.43,0.38,-0.14,44.33,0.25
Jh 8d 2h,2c,Ac5c,0.418,16.20,0.44467,22.8764,90.69,0.47,0.33,-0.14,8.98,0.25
Jh 8d 2h,2c,Ac6c,0.025,16.46,0.2189,11.0836,0.50,0.21,0.18,-0.35,99.32,0.22
Jh 8d 2h,2c,Ac7c,0.057,16.60,0.18609,9.34151,0.41,0.09,0.17,-0.24,99.42,0.19
Jh 8d 2h,2c,Ac8c,0.545,48.93,4.67509,79.6165,0.57,4.70,0.29,4.40,99.14,4.68
Jh 8d 2h,2c,Ac9c,0.081,19.76,0.67368,28.4101,0.40,0.53,0.20,0.14,99.40,0.68
Jh 8d 2h,2c,AcTc,0.212,23.79,2.13618,74.8147,0.16,0.66,0.13,0.26,99.70,2.14
Jh 8d 2h,2c,AcJc,0.975,84.42,13.8956,137.164,58.95,13.91,2.45,13.78,38.60,13.89
Jh 8d 2h,2c,AcQc,0.295,31.05,3.28962,88.2816,0.26,2.10,0.12,1.23,99.63,3.30
Jh 8d 2h,2c,AcKc,0.009,31.22,2.01199,53.712,0.38,2.19,0.16,1.30,99.46,2.01
Jh 8d 2h,2c,Ac2d,0.574,92.58,22.7667,204.934,99.73,22.77,0.25,22.19,0.02,19.46
Jh 8d 2h,2c,Ac3d,0.527,16.15,0.34611,17.8643,54.94,0.43,0.38,-0.14,44.68,0.25
Jh 8d 2h,2c,Ac4d,0.511,16.15,0.33656,17.3695,49.81,0.43,0.38,-0.14,49.81,0.25
Jh 8d 2h,2c,Ac5d,0.251,16.04,0.30004,15.5897,42.18,0.41,0.35,-0.20,57.47,0.22
Jh 8d 2h,2c,Ac6d,0.018,16.46,0.2177,11.0231,0.49,0.21,0.18,-0.35,99.33,0.22
Jh 8d 2h,2c,Ac7d,0.041,16.27,0.15381,7.87822,0.50,0.08,0.20,-0.25,99.30,0.15
Jh 8d 2h,2c,Ac9d,0.129,19.51,0.64545,27.5738,0.49,0.54,0.19,0.14,99.33,0.65
Jh 8d 2h,2c,AcTd,0.474,23.66,2.18139,76.8401,0.17,0.75,0.13,0.31,99.70,2.19
Jh 8d 2h,2c,AcJd,0.952,84.00,13.7865,136.778,57.11,13.80,2.36,13.68,40.54,13.78
Jh 8d 2h,2c,AcQd,0.206,30.86,3.27452,88.438,0.27,2.10,0.12,1.21,99.62,3.28
Jh 8d 2h,2c,AcKd,0.008,31.25,2.35626,62.8372,0.49,2.26,0.18,1.48,99.33,2.36
Jh 8d 2h,2c,Ac3h,0.941,15.94,0.40398,21.115,42.34,0.40,0.40,-0.15,57.25,0.41
Jh 8d 2h,2c,Ac4h,0.915,15.92,0.40141,21.0091,49.50,0.40,0.41,-0.15,50.10,0.41
Jh 8d 2h,2c,Ac5h,0.887,15.52,0.71534,38.4091,21.67,0.36,0.36,-0.23,77.97,0.82
