Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 8d 2h,2c,6c5c,0.798,6.98,0.81385,97.1749,0.53,3.07,0.16,2.81,99.31,0.80
Jh 8d 2h,2c,7c5c,0.685,7.23,0.64591,74.4121,0.35,2.98,0.12,2.77,99.52,0.63
Jh 8d 2h,2c,7c6c,0.578,7.25,0.68544,78.7885,0.24,2.85,0.09,2.65,99.67,0.68
Jh 8d 2h,2c,8c6c,0.861,55.74,5.97862,89.3873,0.08,5.42,0.14,5.39,99.78,5.98
Jh 8d 2h,2c,8c7c,0.720,55.83,5.89852,88.0376,0.08,5.39,0.13,5.35,99.79,5.90
Jh 8d 2h,2c,9c6c,0.491,8.46,1.0329,101.687,0.23,3.05,0.12,2.92,99.65,1.03
Jh 8d 2h,2c,9c7c,0.668,16.56,2.46323,123.925,0.48,4.48,0.27,4.19,99.25,2.45
Jh 8d 2h,2c,9c8c,0.249,58.19,6.52021,93.3677,0.11,5.63,0.11,5.82,99.79,6.52
Jh 8d 2h,2c,9c8h,0.472,58.04,6.58118,94.493,0.15,5.97,0.15,5.80,99.71,6.58
Jh 8d 2h,2c,9c8s,0.223,58.23,6.52318,93.3513,0.10,5.54,0.10,5.79,99.80,6.52
Jh 8d 2h,2c,Tc7c,0.793,16.71,2.90328,144.82,23.06,4.52,0.40,4.18,76.53,2.41
Jh 8d 2h,2c,Tc8c,0.352,58.68,6.35597,90.269,0.09,5.56,0.09,5.82,99.81,6.36
Jh 8d 2h,2c,Tc9c,0.868,26.39,6.21619,196.297,95.53,6.30,0.46,6.09,4.01,4.30
Jh 8d 2h,2c,Tc9d,0.812,26.29,5.02499,159.31,34.57,6.27,0.82,6.10,64.61,4.34
Jh 8d 2h,2c,Tc8h,0.395,58.52,6.18928,88.1428,0.12,5.89,0.12,5.81,99.75,6.19
Jh 8d 2h,2c,Tc9h,0.855,26.60,6.40643,200.7,97.66,6.45,0.31,6.24,2.03,4.37
Jh 8d 2h,2c,Tc8s,0.308,58.72,6.35091,90.1309,0.09,5.46,0.09,5.79,99.82,6.35
Jh 8d 2h,2c,Tc9s,0.851,26.28,4.92734,156.24,31.15,6.27,0.87,6.09,67.99,4.30
Jh 8d 2h,2c,Jc7c,0.028,75.35,11.0539,122.247,0.35,9.68,0.24,9.66,99.41,11.06
Jh 8d 2h,2c,Jc8c,0.996,86.75,13.7985,132.556,99.41,13.79,0.23,13.74,0.36,15.49
Jh 8d 2h,2c,Jc9c,0.481,75.70,11.3795,125.268,0.47,9.74,0.52,9.73,99.01,11.40
Jh 8d 2h,2c,JcTc,0.540,76.70,11.4854,124.786,0.20,9.86,1.04,10.00,98.76,11.50
Jh 8d 2h,2c,Jc9d,0.287,75.84,11.2654,123.779,0.36,9.77,0.65,9.74,98.99,11.28
Jh 8d 2h,2c,JcTd,0.395,76.77,11.4237,124.009,0.18,9.87,1.17,9.99,98.65,11.44
Jh 8d 2h,2c,Jc8h,0.991,87.34,13.7875,131.549,98.90,13.78,0.51,13.70,0.59,15.74
Jh 8d 2h,2c,Jc9h,0.451,76.03,11.1886,122.633,0.45,9.81,0.45,9.78,99.09,11.20
Jh 8d 2h,2c,JcTh,0.597,77.19,11.5095,124.253,0.18,9.93,0.66,10.05,99.16,11.52
Jh 8d 2h,2c,Jc8s,0.996,86.79,13.8589,133.063,99.48,13.85,0.20,13.76,0.32,15.50
Jh 8d 2h,2c,Jc9s,0.499,75.83,11.3972,125.256,0.45,9.76,0.56,9.75,98.98,11.41
Jh 8d 2h,2c,JcTs,0.546,76.70,11.484,124.767,0.20,9.86,1.04,10.00,98.76,11.50
Jh 8d 2h,2c,Qc7c,0.436,12.03,1.80858,125.321,0.42,3.67,0.16,3.51,99.43,1.80
Jh 8d 2h,2c,Qc8c,0.496,60.28,6.62936,91.6407,0.18,6.36,0.11,6.30,99.71,6.63
Jh 8d 2h,2c,Qc9c,0.796,20.60,4.93739,199.73,88.56,5.18,0.54,4.93,10.91,2.98
Jh 8d 2h,2c,QcTc,0.701,21.33,3.49608,136.586,23.36,5.22,0.52,4.95,76.12,2.96
Jh 8d 2h,2c,QcJc,0.518,80.26,12.7673,132.554,0.17,10.69,0.38,10.77,99.45,12.78
