Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 8d 2h,2c,6c5c,0.202,9.76,1.62464,277.441,0.37,1.39,98.54,1.63,1.09,1.59
Jh 8d 2h,2c,7c5c,0.315,10.24,1.6727,272.223,0.43,1.45,98.88,1.67,0.69,1.62
Jh 8d 2h,2c,7c6c,0.422,10.26,1.71129,277.882,0.46,1.57,98.60,1.71,0.94,1.65
Jh 8d 2h,2c,8c6c,0.139,77.64,4.91017,105.407,0.10,4.21,0.40,4.78,99.50,4.91
Jh 8d 2h,2c,8c7c,0.280,77.80,4.91269,105.247,0.10,4.23,0.42,4.80,99.48,4.91
Jh 8d 2h,2c,9c6c,0.509,11.46,1.85275,269.497,0.39,1.61,99.36,1.85,0.24,1.76
Jh 8d 2h,2c,9c7c,0.332,20.32,2.47246,202.801,0.60,2.27,20.02,2.47,79.38,2.47
Jh 8d 2h,2c,9c8c,0.751,79.25,5.06072,106.427,0.11,4.45,0.43,4.95,99.46,5.06
Jh 8d 2h,2c,9c8h,0.528,78.48,4.9845,105.856,0.09,4.35,0.35,4.82,99.56,4.99
Jh 8d 2h,2c,9c8s,0.777,79.40,5.06883,106.403,0.11,4.45,0.43,4.95,99.46,5.07
Jh 8d 2h,2c,Tc7c,0.207,20.24,2.44177,201.073,0.62,2.25,97.92,2.44,1.46,2.42
Jh 8d 2h,2c,Tc8c,0.648,79.33,5.07682,106.656,0.10,4.46,0.41,4.95,99.49,5.08
Jh 8d 2h,2c,Tc9c,0.132,29.41,3.31381,187.812,0.70,3.16,97.59,3.32,1.71,3.30
Jh 8d 2h,2c,Tc9d,0.188,29.37,3.3355,189.255,0.64,3.16,98.23,3.34,1.14,3.31
Jh 8d 2h,2c,Tc8h,0.605,78.57,4.99941,106.054,0.09,4.36,0.34,4.82,99.57,5.00
Jh 8d 2h,2c,Tc9h,0.145,29.60,3.38743,190.708,0.58,3.24,98.55,3.39,0.87,3.35
Jh 8d 2h,2c,Tc8s,0.692,79.48,5.08493,106.631,0.10,4.46,0.40,4.96,99.49,5.09
Jh 8d 2h,2c,Tc9s,0.149,29.40,3.31537,187.974,0.67,3.15,97.69,3.32,1.63,3.30
Jh 8d 2h,2c,Jc7c,0.972,83.67,5.98073,119.14,0.17,5.50,99.34,5.98,0.50,5.89
Jh 8d 2h,2c,Jc8c,0.004,88.08,7.89823,149.447,0.35,7.60,99.61,7.90,0.04,7.06
Jh 8d 2h,2c,Jc9c,0.519,83.99,5.88566,116.792,0.44,5.61,83.07,5.89,16.49,5.88
Jh 8d 2h,2c,JcTc,0.460,83.99,5.89293,116.933,0.37,5.58,92.36,5.89,7.26,5.89
Jh 8d 2h,2c,Jc9d,0.713,84.06,5.90725,117.129,0.45,5.64,83.35,5.91,16.20,5.91
Jh 8d 2h,2c,JcTd,0.605,84.05,5.91473,117.284,0.38,5.59,85.87,5.92,13.75,5.91
Jh 8d 2h,2c,Jc8h,0.009,88.39,8.0461,151.712,0.43,7.80,99.53,8.05,0.04,7.18
Jh 8d 2h,2c,Jc9h,0.549,84.35,5.94647,117.497,0.36,5.60,84.34,5.95,15.30,5.95
Jh 8d 2h,2c,JcTh,0.403,84.36,5.95169,117.582,0.32,5.57,86.97,5.95,12.71,5.95
Jh 8d 2h,2c,Jc8s,0.004,88.29,7.92001,149.514,0.35,7.62,99.61,7.92,0.04,7.07
Jh 8d 2h,2c,Jc9s,0.501,84.00,5.88649,116.801,0.44,5.61,80.96,5.89,18.60,5.88
Jh 8d 2h,2c,JcTs,0.454,83.99,5.89284,116.931,0.37,5.58,92.02,5.89,7.61,5.89
Jh 8d 2h,2c,Qc7c,0.564,13.41,1.99965,248.51,0.87,1.90,98.69,2.00,0.44,1.93
Jh 8d 2h,2c,Qc8c,0.504,80.22,5.27718,109.639,0.21,4.79,94.79,5.28,4.99,5.28
Jh 8d 2h,2c,Qc9c,0.204,22.46,2.70305,200.591,0.70,2.52,25.15,2.70,74.15,2.70
Jh 8d 2h,2c,QcTc,0.299,22.65,2.6625,195.874,0.88,2.51,64.55,2.66,34.57,2.66
Jh 8d 2h,2c,QcJc,0.482,84.65,6.12626,120.619,0.27,5.76,99.37,6.13,0.35,6.07
Jh 8d 2h,2c,Qc9d,0.363,22.40,2.71433,201.959,0.71,2.54,34.84,2.72,64.45,2.72
Jh 8d 2h,2c,QcTd,0.286,22.62,2.66718,196.495,0.93,2.52,44.34,2.67,54.74,2.67
Jh 8d 2h,2c,QcJd,0.661,84.55,6.0863,119.972,0.27,5.73,99.33,6.09,0.39,6.03
Jh 8d 2h,2c,Qc8h,0.411,79.82,5.24535,109.526,0.22,4.76,22.91,5.25,76.87,5.25
Jh 8d 2h,2c,Qc9h,0.177,22.60,2.7921,205.9,0.79,2.68,98.20,2.79,1.01,2.75
Jh 8d 2h,2c,QcTh,0.124,22.77,2.77372,203.045,1.43,2.73,97.49,2.77,1.09,2.73
Jh 8d 2h,2c,Qc8s,0.526,80.34,5.28315,109.599,0.22,4.80,90.38,5.28,9.41,5.28
Jh 8d 2h,2c,Qc9s,0.282,22.43,2.70311,200.816,0.72,2.53,44.60,2.70,54.68,2.70
Jh 8d 2h,2c,QcTs,0.293,22.66,2.66242,195.863,0.88,2.51,62.81,2.66,36.31,2.66
Jh 8d 2h,2c,QcJs,0.483,84.65,6.12516,120.601,0.27,5.76,99.37,6.13,0.35,6.07
Jh 8d 2h,2c,Kc3c,0.876,16.87,1.74759,172.66,0.53,1.56,97.47,1.75,2.00,1.73
Jh 8d 2h,2c,Kc4c,0.855,16.88,1.75159,172.924,0.53,1.56,97.35,1.75,2.12,1.74
Jh 8d 2h,2c,Kc5c,0.874,16.55,1.72128,173.357,0.61,1.53,86.12,1.72,13.28,1.72
Jh 8d 2h,2c,Kc6c,0.892,16.36,1.72635,175.921,0.75,1.56,21.82,1.73,77.42,1.73
Jh 8d 2h,2c,Kc7c,0.443,16.98,1.78235,174.958,1.04,1.67,93.80,1.78,5.16,1.78
Jh 8d 2h,2c,Kc8c,0.491,80.60,5.35484,110.723,0.22,4.85,85.82,5.36,13.96,5.36
Jh 8d 2h,2c,Kc9c,0.094,18.83,1.95321,172.836,0.57,1.76,98.99,1.95,0.44,1.91
Jh 8d 2h,2c,KcTc,0.207,19.28,1.95265,168.824,0.72,1.77,76.01,1.95,23.27,1.95
Jh 8d 2h,2c,KcJc,0.116,84.98,6.33219,124.183,0.25,5.91,99.63,6.33,0.12,6.19
Jh 8d 2h,2c,KcQc,0.047,21.94,2.07548,157.672,1.31,1.98,85.61,2.08,13.08,2.07
Jh 8d 2h,2c,Kc7d,0.793,16.74,1.74289,173.564,0.93,1.61,42.75,1.74,56.33,1.74
Jh 8d 2h,2c,Kc9d,0.096,18.76,1.9549,173.657,0.55,1.75,98.81,1.96,0.64,1.92
Jh 8d 2h,2c,KcTd,0.060,19.22,1.95617,169.605,0.75,1.80,40.10,1.96,59.15,1.96
Jh 8d 2h,2c,KcJd,0.234,84.87,6.28452,123.418,0.25,5.86,99.61,6.29,0.14,6.14
Jh 8d 2h,2c,KcQd,0.040,21.84,2.05802,157.05,1.28,1.96,29.62,2.06,69.10,2.06
Jh 8d 2h,2c,Kc7h,0.183,17.46,1.84448,176.026,1.20,1.75,96.78,1.85,2.02,1.84
Jh 8d 2h,2c,Kc8h,0.237,80.46,5.35821,110.985,0.23,4.88,21.31,5.36,78.46,5.36
Jh 8d 2h,2c,Kc9h,0.029,18.92,2.05595,181.106,0.64,1.93,99.04,2.06,0.32,1.92
Jh 8d 2h,2c,KcTh,0.059,19.21,2.03496,176.546,1.64,2.00,97.46,2.04,0.90,2.01
Jh 8d 2h,2c,KcQh,0.063,21.80,2.1009,160.627,1.87,2.04,90.26,2.10,7.87,2.10
Jh 8d 2h,2c,Kc7s,0.641,16.78,1.75804,174.604,1.06,1.64,48.65,1.76,50.29,1.76
Jh 8d 2h,2c,Kc8s,0.522,80.72,5.36163,110.702,0.22,4.86,73.40,5.36,26.38,5.36
Jh 8d 2h,2c,Kc9s,0.235,18.82,1.95143,172.797,0.56,1.76,98.96,1.95,0.49,1.91
Jh 8d 2h,2c,KcTs,0.210,19.28,1.9528,168.837,0.72,1.77,76.20,1.95,23.08,1.95
Jh 8d 2h,2c,KcJs,0.112,84.98,6.33165,124.176,0.25,5.91,99.63,6.33,0.12,6.19
Jh 8d 2h,2c,KcQs,0.048,21.94,2.07525,157.654,1.30,1.98,87.39,2.08,11.31,2.07
Jh 8d 2h,2c,Ac3c,0.291,41.44,2.08352,83.7931,0.21,1.55,69.63,2.08,30.17,2.08
Jh 8d 2h,2c,Ac4c,0.308,41.45,2.08757,83.9324,0.21,1.56,67.07,2.09,32.73,2.09
Jh 8d 2h,2c,Ac5c,0.582,41.22,2.07716,83.9802,0.17,1.52,1.10,2.06,98.72,2.08
Jh 8d 2h,2c,Ac6c,0.975,41.69,2.12798,85.0777,0.18,1.55,1.04,2.11,98.78,2.13
Jh 8d 2h,2c,Ac7c,0.943,42.37,2.18946,86.1337,0.22,1.67,16.11,2.19,83.67,2.19
Jh 8d 2h,2c,Ac8c,0.455,84.14,5.69972,112.9,0.32,5.34,6.10,5.70,93.58,5.70
Jh 8d 2h,2c,Ac9c,0.919,50.82,2.69555,88.398,0.09,1.86,0.21,2.51,99.70,2.70
Jh 8d 2h,2c,AcTc,0.788,55.92,3.00778,89.6476,0.11,2.10,0.19,2.92,99.71,3.01
Jh 8d 2h,2c,AcJc,0.025,89.64,7.33135,136.313,0.60,7.12,99.35,7.33,0.05,6.95
Jh 8d 2h,2c,AcQc,0.705,64.89,3.69682,94.9503,0.11,2.68,15.04,3.70,84.86,3.70
Jh 8d 2h,2c,AcKc,0.991,64.30,3.64309,94.4327,0.10,2.51,0.05,3.62,99.85,3.64
Jh 8d 2h,2c,Ac2d,0.426,95.62,10.2257,178.238,3.85,10.20,96.11,10.23,0.04,8.88
Jh 8d 2h,2c,Ac3d,0.473,41.45,2.08796,83.9511,0.21,1.56,62.78,2.09,37.01,2.09
Jh 8d 2h,2c,Ac4d,0.489,41.46,2.09232,84.1014,0.21,1.56,61.41,2.09,38.38,2.09
Jh 8d 2h,2c,Ac5d,0.749,41.24,2.08306,84.1872,0.19,1.52,16.78,2.08,83.03,2.08
Jh 8d 2h,2c,Ac6d,0.982,41.69,2.13115,85.1906,0.19,1.55,2.18,2.13,97.62,2.13
Jh 8d 2h,2c,Ac7d,0.959,42.19,2.17053,85.7529,0.22,1.64,11.99,2.17,87.79,2.17
Jh 8d 2h,2c,Ac9d,0.871,50.56,2.66907,87.9862,0.09,1.83,0.20,2.47,99.71,2.67
Jh 8d 2h,2c,AcTd,0.526,55.64,2.98507,89.4193,0.10,2.07,0.18,2.89,99.72,2.99
Jh 8d 2h,2c,AcJd,0.048,89.07,7.14779,133.75,0.63,6.96,99.30,7.15,0.07,6.84
Jh 8d 2h,2c,AcQd,0.794,64.60,3.67018,94.6858,0.11,2.66,4.51,3.67,95.39,3.67
Jh 8d 2h,2c,AcKd,0.992,64.48,3.65416,94.4529,0.09,2.53,3.48,3.65,96.42,3.66
Jh 8d 2h,2c,Ac3h,0.059,41.89,2.17847,86.6808,0.12,1.69,98.17,2.18,1.71,2.12
Jh 8d 2h,2c,Ac4h,0.085,41.87,2.18274,86.8754,0.12,1.67,98.17,2.18,1.71,2.12
Jh 8d 2h,2c,Ac5h,0.113,42.03,2.154,85.4166,0.17,1.63,96.52,2.16,3.31,2.14
Jh 8d 2h,2c,Ac6h,0.469,42.88,2.22787,86.5934,0.22,1.73,93.40,2.23,6.38,2.23
Jh 8d 2h,2c,Ac7h,0.250,43.10,2.26989,87.7793,0.22,1.79,97.73,2.27,2.05,2.27
Jh 8d 2h,2c,Ac8h,0.215,83.99,5.71544,113.417,0.37,5.39,21.45,5.72,78.18,5.72
Jh 8d 2h,2c,Ac9h,0.535,51.02,2.71208,88.5995,0.11,1.98,0.25,2.57,99.65,2.71
Jh 8d 2h,2c,AcTh,0.671,56.10,3.02516,89.8819,0.12,2.23,0.26,2.98,99.62,3.03
Jh 8d 2h,2c,AcQh,0.767,64.74,3.69759,95.1865,0.11,2.72,32.73,3.70,67.16,3.70
Jh 8d 2h,2c,AcKh,0.713,65.90,3.79575,96.0004,0.11,2.82,0.07,3.79,99.82,3.80
Jh 8d 2h,2c,Ac2s,0.269,95.66,10.2289,178.224,4.33,10.21,95.63,10.23,0.04,8.89
Jh 8d 2h,2c,Ac3s,0.291,41.44,2.08432,83.8217,0.21,1.55,58.14,2.09,41.66,2.09
Jh 8d 2h,2c,Ac4s,0.308,41.46,2.08855,83.9673,0.21,1.56,55.46,2.09,44.33,2.09
Jh 8d 2h,2c,Ac5s,0.582,41.22,2.07767,84.0006,0.17,1.52,1.09,2.06,98.74,2.08
Jh 8d 2h,2c,Ac6s,0.975,41.69,2.12817,85.0843,0.18,1.55,1.04,2.11,98.79,2.13
Jh 8d 2h,2c,Ac7s,0.943,42.37,2.1903,86.1594,0.22,1.67,15.81,2.19,83.97,2.19
Jh 8d 2h,2c,Ac8s,0.454,84.14,5.70029,112.907,0.32,5.34,6.81,5.70,92.86,5.70
Jh 8d 2h,2c,Ac9s,0.920,50.82,2.6952,88.3927,0.09,1.86,0.21,2.51,99.70,2.70
Jh 8d 2h,2c,AcTs,0.788,55.92,3.00749,89.6376,0.11,2.10,0.19,2.92,99.71,3.01
Jh 8d 2h,2c,AcJs,0.025,89.42,7.30435,136.147,0.62,7.10,99.33,7.31,0.06,6.93
Jh 8d 2h,2c,AcQs,0.705,64.89,3.69758,94.9645,0.11,2.68,14.99,3.70,84.91,3.70
Jh 8d 2h,2c,AcKs,0.991,64.52,3.66054,94.5535,0.09,2.54,5.18,3.66,94.72,3.66
Jh 8d 2h,2c,3d3c,0.356,64.62,3.71138,95.7278,0.09,2.59,20.98,3.71,78.94,3.71
Jh 8d 2h,2c,4d4c,0.551,65.33,3.74968,95.653,0.09,2.61,3.59,3.75,96.32,3.75
Jh 8d 2h,2c,5d5c,0.882,65.76,3.79484,96.1765,0.08,2.57,0.22,3.76,99.70,3.80
