Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 8d 2h,6c5c,1.000,16.96,0.70578,69.3602,0.98,0.61,99.02,0.71
Jh 8d 2h,7c5c,1.000,17.31,0.68023,65.5051,0.66,0.53,99.34,0.68
Jh 8d 2h,7c6c,1.000,17.62,0.6564,62.0932,0.73,0.53,99.27,0.66
Jh 8d 2h,8c6c,1.000,59.56,2.64921,74.1279,35.88,2.65,64.12,2.65
Jh 8d 2h,8c7c,1.000,60.35,2.60321,71.8903,12.19,2.60,87.81,2.60
Jh 8d 2h,9c6c,1.000,18.40,0.77949,70.6154,0.87,0.67,99.13,0.78
Jh 8d 2h,9c7c,1.000,29.55,1.80353,101.727,89.20,1.80,10.80,1.80
Jh 8d 2h,9c8c,1.000,62.96,2.81457,74.5108,22.14,2.81,77.86,2.81
Jh 8d 2h,9c8h,1.000,64.96,3.22582,82.766,46.63,3.23,53.37,3.23
Jh 8d 2h,9c8s,1.000,63.00,2.8129,74.4147,19.79,2.81,80.21,2.81
Jh 8d 2h,Tc7c,1.000,28.05,1.46683,87.159,95.77,1.47,4.23,1.44
Jh 8d 2h,Tc8c,1.000,63.63,2.88927,75.6802,28.61,2.89,71.39,2.89
Jh 8d 2h,Tc9c,1.000,42.00,3.54611,140.726,43.38,3.55,56.62,3.55
Jh 8d 2h,Tc9d,1.000,42.06,3.60484,142.86,66.51,3.60,33.49,3.60
Jh 8d 2h,Tc8h,1.000,65.68,3.28244,83.2993,18.76,3.28,81.24,3.28
Jh 8d 2h,Tc9h,1.000,44.52,3.9315,147.194,72.77,3.93,27.23,3.93
Jh 8d 2h,Tc8s,1.000,63.68,2.88774,75.5837,23.77,2.89,76.23,2.89
Jh 8d 2h,Tc9s,1.000,41.97,3.55034,140.987,57.60,3.55,42.40,3.55
Jh 8d 2h,Jc7c,1.000,70.81,4.47832,105.414,4.50,4.46,95.50,4.48
Jh 8d 2h,Jc8c,1.000,86.75,9.75387,187.404,59.81,9.75,40.19,9.75
