Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 8d 2h,6c5c,1.000,16.96,0.71044,69.8186,0.98,1.08,99.02,0.71
Jh 8d 2h,7c5c,1.000,17.31,0.68409,65.8771,0.66,1.12,99.34,0.68
Jh 8d 2h,7c6c,1.000,17.62,0.66033,62.4653,0.73,1.07,99.27,0.66
Jh 8d 2h,8c6c,1.000,59.56,2.6415,73.912,35.88,2.63,64.12,2.65
Jh 8d 2h,8c7c,1.000,60.35,2.60055,71.8169,12.19,2.58,87.81,2.60
Jh 8d 2h,9c6c,1.000,18.40,0.78545,71.1548,0.87,1.35,99.13,0.78
Jh 8d 2h,9c7c,1.000,29.55,2.23873,126.273,89.20,2.29,10.80,1.80
Jh 8d 2h,9c8c,1.000,62.96,2.83844,75.1428,22.14,2.92,77.86,2.81
Jh 8d 2h,9c8h,1.000,64.96,3.19914,82.0815,46.63,3.17,53.37,3.23
Jh 8d 2h,9c8s,1.000,63.00,2.83858,75.0941,19.79,2.94,80.21,2.81
Jh 8d 2h,Tc7c,1.000,28.05,2.22718,132.338,95.77,2.26,4.23,1.44
Jh 8d 2h,Tc8c,1.000,63.63,2.96148,77.5716,28.61,3.14,71.39,2.89
Jh 8d 2h,Tc9c,1.000,42.00,3.49016,138.506,43.38,3.42,56.62,3.55
Jh 8d 2h,Tc9d,1.000,42.06,3.62832,143.791,66.51,3.64,33.49,3.60
Jh 8d 2h,Tc8h,1.000,65.68,3.30666,83.9139,18.76,3.41,81.24,3.28
Jh 8d 2h,Tc9h,1.000,44.52,3.90119,146.059,72.77,3.89,27.23,3.93
Jh 8d 2h,Tc8s,1.000,63.68,2.94705,77.1361,23.77,3.14,76.23,2.89
Jh 8d 2h,Tc9s,1.000,41.97,3.57789,142.082,57.60,3.60,42.40,3.55
Jh 8d 2h,Jc7c,1.000,70.81,4.47454,105.325,4.50,4.37,95.50,4.48
Jh 8d 2h,Jc8c,1.000,86.75,9.35474,179.735,59.81,9.09,40.19,9.75
Jh 8d 2h,Jc9c,1.000,71.88,4.46103,103.443,44.04,4.35,55.96,4.55
Jh 8d 2h,JcTc,1.000,72.95,4.78823,109.391,46.17,4.78,53.83,4.79
Jh 8d 2h,Jc9d,1.000,72.12,4.55886,105.347,25.22,4.47,74.78,4.59
Jh 8d 2h,JcTd,1.000,73.13,4.83783,110.262,40.76,4.85,59.24,4.83
Jh 8d 2h,Jc8h,1.000,88.08,9.56924,181.08,56.24,9.29,43.76,9.93
Jh 8d 2h,Jc9h,1.000,74.14,4.92729,110.771,20.72,4.75,79.28,4.97
Jh 8d 2h,JcTh,1.000,75.38,5.25635,116.226,37.42,5.23,62.58,5.27
Jh 8d 2h,Jc8s,1.000,86.87,9.36654,179.7,61.56,9.11,38.44,9.78
Jh 8d 2h,Jc9s,1.000,71.95,4.47013,103.545,44.08,4.36,55.92,4.55
Jh 8d 2h,JcTs,1.000,72.95,4.78816,109.389,46.14,4.78,53.86,4.79
Jh 8d 2h,Qc7c,1.000,18.54,0.82872,74.5153,1.58,1.47,98.42,0.82
Jh 8d 2h,Qc8c,1.000,63.34,3.04324,80.0753,39.64,3.20,60.36,2.94
Jh 8d 2h,Qc9c,1.000,31.59,2.33269,123.063,60.55,2.48,39.45,2.11
Jh 8d 2h,QcTc,1.000,34.41,2.48472,120.337,51.02,2.69,48.98,2.27
Jh 8d 2h,QcJc,1.000,75.85,5.53845,121.705,51.95,5.44,48.05,5.64
Jh 8d 2h,Qc9d,1.000,31.60,2.60874,137.576,81.54,2.71,18.46,2.15
Jh 8d 2h,QcTd,1.000,34.48,2.55899,123.676,58.76,2.73,41.24,2.32
Jh 8d 2h,QcJd,1.000,75.74,5.53624,121.83,43.79,5.43,56.21,5.62
Jh 8d 2h,Qc8h,1.000,65.52,3.40423,86.5909,30.53,3.52,69.47,3.35
Jh 8d 2h,Qc9h,1.000,34.41,2.60123,125.997,47.71,2.78,52.29,2.44
Jh 8d 2h,QcTh,1.000,37.41,2.80911,125.15,46.85,2.96,53.15,2.68
Jh 8d 2h,Qc8s,1.000,63.39,3.03868,79.898,36.91,3.20,63.09,2.94
Jh 8d 2h,Qc9s,1.000,31.53,2.48755,131.494,67.19,2.67,32.81,2.11
Jh 8d 2h,QcTs,1.000,34.41,2.48568,120.384,51.37,2.69,48.63,2.27
Jh 8d 2h,QcJs,1.000,75.85,5.53796,121.694,51.83,5.44,48.17,5.64
Jh 8d 2h,Kc2c,1.000,50.70,2.2584,74.2364,67.66,2.39,32.34,1.98
Jh 8d 2h,Kc3c,1.000,20.67,0.71133,57.3459,0.98,1.13,99.02,0.71
Jh 8d 2h,Kc4c,1.000,20.74,0.7105,57.0975,1.02,1.14,98.98,0.71
Jh 8d 2h,Kc5c,1.000,20.89,0.69758,55.6587,0.99,1.14,99.01,0.69
Jh 8d 2h,Kc6c,1.000,21.38,0.68599,53.4794,0.99,1.22,99.01,0.68
Jh 8d 2h,Kc7c,1.000,23.12,0.69472,50.0771,1.41,1.35,98.59,0.69
Jh 8d 2h,Kc8c,1.000,63.07,3.0246,79.9248,26.17,3.08,73.83,3.00
Jh 8d 2h,Kc9c,1.000,26.68,0.979,61.1504,9.38,1.66,90.62,0.91
Jh 8d 2h,KcTc,1.000,29.32,1.3993,79.5337,46.61,1.78,53.39,1.07
Jh 8d 2h,KcJc,1.000,77.50,6.29194,135.312,37.85,6.14,62.15,6.38
Jh 8d 2h,KcQc,1.000,32.82,1.6744,85.0245,85.41,1.73,14.59,1.37
Jh 8d 2h,Kc7d,1.000,23.08,0.70029,50.579,1.22,1.39,98.78,0.69
Jh 8d 2h,Kc9d,1.000,26.65,1.00404,62.7878,10.36,1.69,89.64,0.93
Jh 8d 2h,KcTd,1.000,29.37,1.53141,86.9024,62.06,1.79,37.94,1.11
Jh 8d 2h,KcJd,1.000,77.39,6.30593,135.803,24.59,6.13,75.41,6.36
Jh 8d 2h,KcQd,1.000,32.86,1.70226,86.3265,88.32,1.74,11.68,1.38
Jh 8d 2h,Kc7h,1.000,25.97,0.8877,56.9686,6.12,1.55,93.88,0.84
Jh 8d 2h,Kc8h,1.000,65.34,3.4089,86.9587,40.09,3.41,59.91,3.41
Jh 8d 2h,Kc9h,1.000,29.65,1.73381,97.4595,80.33,1.88,19.67,1.13
