Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 8d 2h,6c5c,0.990,15.87,0.00026,0.02727,0.11,0.32,0.01,-1.00,99.87,0.00
Jh 8d 2h,7c5c,0.993,16.03,0.00038,0.03936,0.11,0.44,0.01,-1.00,99.88,0.00
Jh 8d 2h,7c6c,0.993,16.43,0.0003,0.02997,0.11,0.36,0.01,-0.99,99.88,0.00
Jh 8d 2h,8c6c,0.641,52.29,1.48063,47.1919,47.64,1.90,52.24,1.10,0.13,0.00
Jh 8d 2h,8c7c,0.878,53.30,1.14076,35.6708,18.23,1.72,81.63,1.01,0.14,0.00
Jh 8d 2h,9c6c,0.991,16.52,0.00058,0.05807,0.12,0.59,0.01,-0.95,99.87,0.00
Jh 8d 2h,9c7c,0.108,27.13,2.07935,127.751,94.17,2.16,5.66,0.80,0.16,0.00
Jh 8d 2h,9c8c,0.779,55.09,1.13052,34.2022,3.83,2.08,96.04,1.09,0.13,0.00
Jh 8d 2h,9c8h,0.534,57.87,2.06501,59.4715,45.66,2.42,54.26,1.77,0.08,0.00
Jh 8d 2h,9c8s,0.802,55.09,1.12909,34.1581,3.74,2.08,96.13,1.09,0.13,0.00
Jh 8d 2h,Tc7c,0.042,25.27,0.24471,16.1401,0.09,1.75,99.00,0.25,0.91,0.00
Jh 8d 2h,Tc8c,0.714,55.41,1.20956,36.3843,6.95,2.55,92.93,1.11,0.13,0.00
Jh 8d 2h,Tc9c,0.566,38.63,3.1027,133.85,49.52,3.29,50.43,2.92,0.05,0.00
Jh 8d 2h,Tc9d,0.335,38.69,3.25701,140.307,42.58,3.63,57.37,2.99,0.05,0.00
Jh 8d 2h,Tc8h,0.812,58.15,1.89119,54.2013,16.24,2.72,83.68,1.73,0.08,0.00
Jh 8d 2h,Tc9h,0.272,41.04,3.7674,152.997,60.70,4.01,39.26,3.40,0.04,0.00
Jh 8d 2h,Tc8s,0.762,55.41,1.24387,37.4151,9.37,2.55,90.50,1.11,0.13,0.00
Jh 8d 2h,Tc9s,0.424,38.56,3.25376,140.62,51.89,3.57,48.06,2.91,0.05,0.00
Jh 8d 2h,Jc7c,0.955,61.54,2.87322,77.8177,0.18,2.90,99.78,2.87,0.04,0.00
Jh 8d 2h,Jc8c,0.402,82.10,11.9498,242.589,75.42,11.88,24.57,12.17,0.01,0.00
Jh 8d 2h,Jc9c,0.560,62.74,3.01337,80.0539,0.35,3.27,99.61,3.01,0.04,0.00
Jh 8d 2h,JcTc,0.538,63.85,3.40087,88.7757,10.24,3.98,89.72,3.34,0.04,0.00
Jh 8d 2h,Jc9d,0.748,62.99,3.07549,81.3693,1.07,3.31,98.89,3.07,0.04,0.00
Jh 8d 2h,JcTd,0.592,63.96,3.40074,88.6126,5.35,3.93,94.62,3.37,0.04,0.00
Jh 8d 2h,Jc8h,0.438,83.43,11.5522,230.763,99.11,11.55,0.88,12.31,0.01,0.00
Jh 8d 2h,Jc9h,0.793,65.02,3.63524,93.179,2.75,3.22,97.21,3.65,0.03,0.00
Jh 8d 2h,JcTh,0.626,66.35,4.0007,100.495,10.27,3.85,89.70,4.02,0.03,0.00
Jh 8d 2h,Jc8s,0.384,82.40,12.0617,243.957,86.77,12.03,13.22,12.25,0.01,0.00
Jh 8d 2h,Jc9s,0.559,62.78,3.02997,80.4429,6.08,3.28,93.87,3.02,0.04,0.00
Jh 8d 2h,JcTs,0.539,63.85,3.40695,88.9344,11.15,3.98,88.81,3.34,0.04,0.00
Jh 8d 2h,Qc7c,0.984,17.23,0.00074,0.07174,0.13,0.66,0.01,-0.83,99.86,0.00
Jh 8d 2h,Qc8c,0.604,55.12,1.23084,37.2146,1.91,2.51,97.98,1.21,0.12,0.00
Jh 8d 2h,Qc9c,0.395,29.24,1.35328,77.1383,28.95,2.05,70.90,1.07,0.15,0.00
Jh 8d 2h,QcTc,0.490,32.77,1.33352,67.8288,17.86,2.41,82.00,1.10,0.14,0.00
Jh 8d 2h,QcJc,0.480,67.55,4.61251,113.807,0.93,4.94,99.06,4.61,0.01,0.00
Jh 8d 2h,Qc9d,0.185,29.19,1.12308,64.1176,1.39,2.43,98.47,1.11,0.13,0.00
Jh 8d 2h,QcTd,0.412,32.82,1.1592,58.8678,1.85,2.34,98.02,1.14,0.13,0.00
