Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 9d 2h,6c5c,1.000,14.88,0.34462,38.6079,0.22,-0.05,99.78,0.35
Jh 9d 2h,7c6c,1.000,14.89,0.34092,38.1549,0.20,-0.09,99.80,0.34
Jh 9d 2h,8c7c,1.000,26.64,0.80526,50.387,0.80,0.69,99.20,0.81
Jh 9d 2h,9c8c,1.000,59.03,2.48687,70.2174,0.38,2.25,99.62,2.49
Jh 9d 2h,Tc8c,1.000,40.47,2.74646,113.102,2.68,2.71,97.32,2.75
Jh 9d 2h,Tc9c,1.000,62.53,2.97393,79.2637,0.29,2.67,99.71,2.97
Jh 9d 2h,Jc8c,1.000,68.58,4.12455,100.241,0.86,4.02,99.14,4.13
Jh 9d 2h,Jc9c,1.000,84.09,10.453,207.181,4.72,10.42,95.28,10.45
Jh 9d 2h,JcTc,1.000,71.08,4.53051,106.224,1.26,4.46,98.74,4.53
Jh 9d 2h,JcTd,1.000,71.17,4.55667,106.715,1.01,4.46,98.99,4.56
Jh 9d 2h,JcTh,1.000,73.40,4.99242,113.367,1.86,4.94,98.14,4.99
Jh 9d 2h,JcTs,1.000,71.08,4.53054,106.224,1.26,4.46,98.74,4.53
Jh 9d 2h,Qc8c,1.000,31.17,0.96206,51.4357,5.33,0.93,94.67,0.96
Jh 9d 2h,Qc9c,1.000,63.59,3.25031,85.1866,0.30,2.94,99.70,3.25
Jh 9d 2h,QcTc,1.000,45.55,2.8541,104.439,2.67,2.81,97.33,2.86
Jh 9d 2h,QcJc,1.000,73.31,5.12522,116.522,1.59,5.06,98.41,5.13
Jh 9d 2h,QcTd,1.000,45.62,2.88378,105.359,2.16,2.84,97.84,2.88
Jh 9d 2h,QcJd,1.000,73.39,5.16243,117.239,1.33,5.09,98.67,5.16
Jh 9d 2h,QcTh,1.000,48.16,3.30524,114.393,2.99,3.27,97.01,3.31
Jh 9d 2h,QcTs,1.000,45.55,2.85405,104.437,2.67,2.81,97.33,2.86
Jh 9d 2h,QcJs,1.000,73.31,5.12521,116.521,1.59,5.06,98.41,5.13
Jh 9d 2h,Kc2c,1.000,47.20,1.50027,52.9736,1.22,1.42,98.78,1.50
Jh 9d 2h,Kc3c,1.000,22.31,0.40827,30.4976,0.25,0.04,99.75,0.41
