Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 9d 2h,6c5c,1.000,14.88,0.00019,0.02113,0.22,-0.05,99.78,0.00
Jh 9d 2h,7c6c,1.000,14.89,0.00003,0.00322,0.20,-0.09,99.80,0.00
Jh 9d 2h,8c7c,1.000,26.64,0.01139,0.7125,0.80,0.69,99.20,0.01
Jh 9d 2h,9c8c,1.000,59.03,2.5171,71.0709,0.38,2.25,99.62,2.52
Jh 9d 2h,Tc8c,1.000,40.47,2.86664,118.052,2.68,2.71,97.32,2.87
Jh 9d 2h,Tc9c,1.000,62.53,3.27519,87.2932,0.29,2.67,99.71,3.28
Jh 9d 2h,Jc8c,1.000,68.58,4.50771,109.553,0.86,4.02,99.14,4.51
Jh 9d 2h,Jc9c,1.000,84.09,12.4446,246.654,4.72,10.42,95.28,12.54
Jh 9d 2h,JcTc,1.000,71.08,5.22898,122.6,1.26,4.46,98.74,5.24
Jh 9d 2h,JcTd,1.000,71.17,5.27184,123.464,1.01,4.46,98.99,5.28
Jh 9d 2h,JcTh,1.000,73.40,5.90865,134.172,1.86,4.94,98.14,5.93
Jh 9d 2h,JcTs,1.000,71.08,5.22903,122.601,1.26,4.46,98.74,5.24
Jh 9d 2h,Qc8c,1.000,31.17,0.2222,11.8798,5.33,0.93,94.67,0.18
Jh 9d 2h,Qc9c,1.000,63.59,3.57007,93.5672,0.30,2.94,99.70,3.57
Jh 9d 2h,QcTc,1.000,45.55,2.7591,100.962,2.67,2.81,97.33,2.76
Jh 9d 2h,QcJc,1.000,73.31,5.88339,133.758,1.59,5.06,98.41,5.90
Jh 9d 2h,QcTd,1.000,45.62,2.58822,94.5609,2.16,2.84,97.84,2.58
Jh 9d 2h,QcJd,1.000,73.39,5.91217,134.265,1.33,5.09,98.67,5.92
Jh 9d 2h,QcTh,1.000,48.16,3.69373,127.839,2.99,3.27,97.01,3.71
Jh 9d 2h,QcTs,1.000,45.55,2.75923,100.967,2.67,2.81,97.33,2.76
Jh 9d 2h,QcJs,1.000,73.31,5.88306,133.751,1.59,5.06,98.41,5.90
Jh 9d 2h,Kc2c,1.000,47.20,1.35029,47.6779,1.22,1.42,98.78,1.35
Jh 9d 2h,Kc3c,1.000,22.31,0.00049,0.03657,0.25,0.04,99.75,0.00
Jh 9d 2h,Kc4c,1.000,22.48,0.00053,0.03917,0.25,0.05,99.75,0.00
Jh 9d 2h,Kc5c,1.000,22.68,0.00049,0.03609,0.25,0.05,99.75,0.00
Jh 9d 2h,Kc6c,1.000,23.10,0.00049,0.03552,0.25,0.05,99.75,0.00
Jh 9d 2h,Kc7c,1.000,24.66,0.00043,0.02934,0.24,0.06,99.76,0.00
Jh 9d 2h,Kc8c,1.000,26.25,0.00094,0.0597,0.29,0.17,99.71,0.00
Jh 9d 2h,Kc9c,1.000,64.05,3.62122,94.2311,0.29,3.05,99.71,3.62
Jh 9d 2h,KcTc,1.000,40.76,0.87033,35.5867,2.51,1.35,97.49,0.86
Jh 9d 2h,KcJc,1.000,74.08,6.14626,138.285,1.42,5.39,98.58,6.16
Jh 9d 2h,KcQc,1.000,42.71,1.14358,44.623,1.60,1.51,98.40,1.14
Jh 9d 2h,KcTd,1.000,40.83,0.87384,35.6655,2.88,1.38,97.12,0.86
Jh 9d 2h,KcJd,1.000,74.17,6.1823,138.928,1.26,5.42,98.74,6.19
Jh 9d 2h,KcQd,1.000,42.80,1.12082,43.645,1.52,1.53,98.48,1.11
Jh 9d 2h,KcTh,1.000,43.58,1.65221,63.1891,1.61,1.76,98.39,1.65
Jh 9d 2h,KcQh,1.000,45.77,2.04033,74.2986,2.31,2.05,97.69,2.04
Jh 9d 2h,KcTs,1.000,40.76,0.87037,35.5884,2.51,1.35,97.49,0.86
Jh 9d 2h,KcJs,1.000,74.08,6.1463,138.286,1.42,5.39,98.58,6.16
Jh 9d 2h,KcQs,1.000,42.71,1.14336,44.6146,1.60,1.51,98.40,1.14
Jh 9d 2h,Ac2c,1.000,47.15,1.20212,42.4957,1.13,1.34,98.87,1.20
Jh 9d 2h,Ac3c,1.000,31.72,0.00072,0.03789,0.23,-0.06,99.77,0.00
Jh 9d 2h,Ac4c,1.000,31.89,0.00076,0.03988,0.23,-0.05,99.77,0.00
Jh 9d 2h,Ac5c,1.000,32.47,0.00078,0.03984,0.22,-0.05,99.78,0.00
Jh 9d 2h,Ac6c,1.000,32.49,0.00027,0.0137,0.19,-0.14,99.81,0.00
Jh 9d 2h,Ac7c,1.000,34.83,0.00029,0.01377,0.18,-0.12,99.82,0.00
Jh 9d 2h,Ac8c,1.000,37.73,0.00109,0.04828,0.23,0.04,99.77,0.00
Jh 9d 2h,Ac9c,1.000,64.83,3.85944,99.2171,0.49,3.39,99.51,3.86
Jh 9d 2h,AcTc,1.000,43.51,0.04295,1.64523,0.51,0.52,99.49,0.04
Jh 9d 2h,Ac2d,1.000,47.21,1.20255,42.4517,1.22,1.38,98.78,1.20
Jh 9d 2h,Ac3d,1.000,31.78,0.00077,0.04036,0.23,-0.06,99.77,0.00
Jh 9d 2h,Ac4d,1.000,31.95,0.00082,0.04267,0.23,-0.05,99.77,0.00
Jh 9d 2h,Ac5d,1.000,32.55,0.00079,0.04025,0.23,-0.04,99.77,0.00
Jh 9d 2h,Ac6d,1.000,32.53,0.00025,0.01273,0.19,-0.13,99.81,0.00
Jh 9d 2h,Ac7d,1.000,34.89,0.00033,0.0159,0.19,-0.11,99.81,0.00
Jh 9d 2h,Ac8d,1.000,37.82,0.00116,0.05105,0.23,0.06,99.77,0.00
Jh 9d 2h,AcTd,1.000,43.59,0.05046,1.92935,0.60,0.55,99.40,0.05
Jh 9d 2h,AcJd,1.000,75.29,7.00452,155.048,4.19,6.11,95.81,7.04
Jh 9d 2h,Ac3h,1.000,34.01,0.00182,0.08911,0.30,0.10,99.70,0.00
Jh 9d 2h,Ac4h,1.000,34.22,0.00192,0.09346,0.30,0.12,99.70,0.00
Jh 9d 2h,Ac5h,1.000,34.96,0.00223,0.10612,0.32,0.16,99.68,0.00
Jh 9d 2h,Ac6h,1.000,35.12,0.00155,0.07375,0.29,0.12,99.71,0.00
Jh 9d 2h,Ac7h,1.000,37.49,0.00208,0.0926,0.28,0.16,99.72,0.00
Jh 9d 2h,Ac8h,1.000,40.40,0.00536,0.22108,0.42,0.37,99.58,0.00
Jh 9d 2h,Ac9h,1.000,67.29,4.65276,115.237,0.88,3.99,99.12,4.66
Jh 9d 2h,AcTh,1.000,46.33,0.75741,27.248,0.59,0.92,99.41,0.76
Jh 9d 2h,Ac2s,1.000,47.15,1.20183,42.4852,1.13,1.34,98.87,1.20
Jh 9d 2h,Ac3s,1.000,31.72,0.00072,0.03789,0.23,-0.06,99.77,0.00
Jh 9d 2h,Ac4s,1.000,31.89,0.00076,0.03988,0.23,-0.05,99.77,0.00
Jh 9d 2h,Ac5s,1.000,32.47,0.00078,0.03984,0.22,-0.05,99.78,0.00
Jh 9d 2h,Ac6s,1.000,32.49,0.00027,0.01363,0.19,-0.14,99.81,0.00
Jh 9d 2h,Ac7s,1.000,34.83,0.00028,0.01342,0.18,-0.12,99.82,0.00
Jh 9d 2h,Ac8s,1.000,37.73,0.00109,0.04826,0.23,0.04,99.77,0.00
Jh 9d 2h,Ac9s,1.000,64.83,3.85952,99.2191,0.49,3.39,99.51,3.86
Jh 9d 2h,AcTs,1.000,43.51,0.04278,1.63849,0.51,0.52,99.49,0.04
Jh 9d 2h,AcJs,1.000,75.19,6.79923,150.704,3.90,6.05,96.10,6.83
Jh 9d 2h,6d6c,1.000,46.29,0.26705,9.6158,0.64,0.98,99.36,0.26
Jh 9d 2h,6d5d,1.000,18.70,0.00269,0.23992,0.41,0.33,99.59,0.00
Jh 9d 2h,7d7c,1.000,48.81,0.55707,19.0205,0.37,1.00,99.63,0.56
Jh 9d 2h,7d6d,1.000,18.71,0.00196,0.17432,0.33,0.27,99.67,0.00
Jh 9d 2h,8d8c,1.000,52.64,1.26359,40.009,0.51,1.36,99.49,1.26
Jh 9d 2h,8d7d,1.000,29.88,0.79198,44.1777,3.76,1.02,96.24,0.78
Jh 9d 2h,TdTc,1.000,65.63,3.9276,99.7444,0.47,3.31,99.53,3.93
Jh 9d 2h,Td8d,1.000,43.04,3.66291,141.832,3.56,3.24,96.44,3.68
Jh 9d 2h,JdTc,1.000,71.16,5.26029,123.206,1.09,4.48,98.91,5.27
Jh 9d 2h,Jd8d,1.000,70.05,5.17866,123.22,1.46,4.60,98.54,5.19
Jh 9d 2h,JdTd,1.000,72.40,5.98949,137.885,3.44,5.03,96.56,6.02
Jh 9d 2h,JdTh,1.000,73.47,5.90132,133.871,1.64,4.96,98.36,5.92
Jh 9d 2h,JdTs,1.000,71.16,5.26029,123.206,1.09,4.48,98.91,5.27
Jh 9d 2h,QdTc,1.000,45.63,2.58126,94.2884,2.05,2.84,97.95,2.58
Jh 9d 2h,QdJc,1.000,73.40,5.90113,134.001,1.21,5.07,98.79,5.91
Jh 9d 2h,Qd8d,1.000,34.36,1.10097,53.4026,4.10,1.33,95.90,1.09
Jh 9d 2h,QdTd,1.000,48.02,4.32197,150.021,5.07,3.45,94.93,4.37
Jh 9d 2h,QdJd,1.000,74.55,6.68792,149.525,4.23,5.61,95.77,6.74
Jh 9d 2h,QdTh,1.000,48.24,3.47391,120.03,2.47,3.29,97.53,3.48
Jh 9d 2h,QdTs,1.000,45.63,2.58126,94.2886,2.05,2.84,97.95,2.58
Jh 9d 2h,QdJs,1.000,73.40,5.90113,134.001,1.21,5.07,98.79,5.91
Jh 9d 2h,KdTc,1.000,40.88,0.89093,36.3271,2.27,1.38,97.73,0.88
Jh 9d 2h,KdJc,1.000,74.21,6.18804,138.973,1.01,5.41,98.99,6.20
Jh 9d 2h,KdQc,1.000,42.84,1.15025,44.7533,1.43,1.54,98.57,1.14
Jh 9d 2h,Kd2d,1.000,49.93,2.25488,75.2663,0.95,2.13,99.05,2.26
Jh 9d 2h,Kd3d,1.000,26.03,0.00448,0.28692,0.57,0.44,99.43,0.00
Jh 9d 2h,Kd4d,1.000,26.20,0.00465,0.29551,0.59,0.45,99.41,0.00
Jh 9d 2h,Kd5d,1.000,26.40,0.00439,0.277,0.56,0.44,99.44,0.00
Jh 9d 2h,Kd6d,1.000,26.79,0.00438,0.2727,0.55,0.44,99.45,0.00
Jh 9d 2h,Kd7d,1.000,28.26,0.00407,0.24024,0.50,0.45,99.50,0.00
Jh 9d 2h,Kd8d,1.000,29.79,0.00563,0.31508,0.67,0.53,99.33,0.00
Jh 9d 2h,KdTd,1.000,43.58,1.6812,64.2945,1.87,1.95,98.13,1.68
Jh 9d 2h,KdJd,1.000,75.37,6.97616,154.257,3.66,6.00,96.34,7.01
Jh 9d 2h,KdQd,1.000,45.54,2.04854,74.9699,2.54,2.18,97.46,2.05
Jh 9d 2h,KdTh,1.000,43.69,1.73082,66.0221,1.57,1.80,98.43,1.73
Jh 9d 2h,KdQh,1.000,45.89,2.14894,78.0424,1.95,2.08,98.05,2.15
Jh 9d 2h,KdTs,1.000,40.88,0.89093,36.3271,2.27,1.38,97.73,0.88
Jh 9d 2h,KdJs,1.000,74.21,6.18806,138.973,1.01,5.41,98.99,6.20
Jh 9d 2h,KdQs,1.000,42.84,1.15029,44.7547,1.43,1.54,98.57,1.14
Jh 9d 2h,Ad2c,1.000,47.28,1.19928,42.279,1.24,1.37,98.76,1.20
Jh 9d 2h,Ad3c,1.000,31.80,0.00078,0.04092,0.24,-0.04,99.76,0.00
Jh 9d 2h,Ad4c,1.000,31.97,0.00084,0.04362,0.24,-0.03,99.76,0.00
Jh 9d 2h,Ad5c,1.000,32.55,0.00083,0.04271,0.24,-0.03,99.76,0.00
Jh 9d 2h,Ad6c,1.000,32.57,0.00032,0.01657,0.21,-0.10,99.79,0.00
Jh 9d 2h,Ad7c,1.000,34.93,0.00035,0.01662,0.20,-0.09,99.80,0.00
Jh 9d 2h,Ad8c,1.000,37.83,0.00122,0.05367,0.24,0.09,99.76,0.00
Jh 9d 2h,Ad9c,1.000,64.98,3.92941,100.79,0.47,3.40,99.53,3.93
Jh 9d 2h,AdTc,1.000,43.63,0.01351,0.51603,0.59,0.56,99.41,0.01
Jh 9d 2h,AdJc,1.000,75.34,6.98503,154.526,3.31,6.09,96.69,7.02
Jh 9d 2h,Ad2d,1.000,49.98,2.26889,75.6632,1.65,2.14,98.35,2.27
Jh 9d 2h,Ad3d,1.000,35.04,0.01518,0.72186,1.16,0.51,98.84,0.01
Jh 9d 2h,Ad4d,1.000,35.21,0.01679,0.7947,1.19,0.52,98.81,0.01
Jh 9d 2h,Ad5d,1.000,35.77,0.11377,5.30085,1.08,0.52,98.92,0.11
Jh 9d 2h,Ad6d,1.000,35.77,0.00709,0.33048,0.62,0.42,99.38,0.00
Jh 9d 2h,Ad7d,1.000,37.98,0.08496,3.72853,0.55,0.45,99.45,0.08
Jh 9d 2h,Ad8d,1.000,40.77,0.40525,16.5678,0.58,0.63,99.42,0.40
Jh 9d 2h,AdTd,1.000,46.28,1.03315,37.2064,0.40,1.14,99.60,1.03
Jh 9d 2h,Ad3h,1.000,34.09,0.00191,0.09332,0.32,0.13,99.68,0.00
Jh 9d 2h,Ad4h,1.000,34.30,0.00201,0.0975,0.32,0.14,99.68,0.00
Jh 9d 2h,Ad5h,1.000,35.04,0.00233,0.11068,0.34,0.18,99.66,0.00
Jh 9d 2h,Ad6h,1.000,35.21,0.00166,0.07866,0.32,0.15,99.68,0.00
Jh 9d 2h,Ad7h,1.000,37.58,0.00226,0.1004,0.30,0.19,99.70,0.00
Jh 9d 2h,Ad8h,1.000,40.50,0.00563,0.23156,0.47,0.41,99.53,0.00
Jh 9d 2h,Ad9h,1.000,67.44,4.75372,117.484,0.77,4.00,99.23,4.76
Jh 9d 2h,AdTh,1.000,46.45,0.98944,35.5057,0.75,0.95,99.25,0.99
Jh 9d 2h,Ad2s,1.000,47.28,1.19928,42.2791,1.24,1.37,98.76,1.20
Jh 9d 2h,Ad3s,1.000,31.80,0.00078,0.04092,0.24,-0.04,99.76,0.00
Jh 9d 2h,Ad4s,1.000,31.97,0.00084,0.04362,0.24,-0.03,99.76,0.00
Jh 9d 2h,Ad5s,1.000,32.55,0.00083,0.04271,0.24,-0.03,99.76,0.00
Jh 9d 2h,Ad6s,1.000,32.57,0.00032,0.01657,0.21,-0.10,99.79,0.00
Jh 9d 2h,Ad7s,1.000,34.93,0.00035,0.01662,0.20,-0.09,99.80,0.00
Jh 9d 2h,Ad8s,1.000,37.83,0.00122,0.05367,0.24,0.09,99.76,0.00
Jh 9d 2h,Ad9s,1.000,64.98,3.9295,100.792,0.47,3.40,99.53,3.93
Jh 9d 2h,AdTs,1.000,43.63,0.01351,0.51603,0.59,0.56,99.41,0.01
