Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 9d 2h,6c5c,0.998,13.94,-0.00143,-0.17064,0.09,-1.45,0.01,-1.33,99.90,0.00
Jh 9d 2h,7c6c,0.998,13.68,-0.00141,-0.17196,0.08,-1.52,0.01,-1.28,99.90,0.00
Jh 9d 2h,8c7c,0.992,24.32,-0.00119,-0.08161,0.34,-0.28,0.11,-0.23,99.55,0.00
Jh 9d 2h,9c8c,0.996,52.30,1.20152,38.2905,0.33,1.20,99.55,1.20,0.12,0.00
Jh 9d 2h,Tc8c,0.973,37.71,2.02022,89.2908,32.94,2.02,66.99,2.02,0.07,0.00
Jh 9d 2h,Tc9c,0.997,55.57,1.69323,50.7795,0.05,1.54,99.87,1.69,0.08,0.00
Jh 9d 2h,Jc8c,0.991,62.09,3.06807,82.3602,0.58,3.06,99.37,3.07,0.04,0.00
Jh 9d 2h,Jc9c,0.953,80.21,12.2752,255.059,98.59,12.28,1.40,12.27,0.01,0.00
Jh 9d 2h,JcTc,0.987,64.53,3.52,90.9099,1.75,3.52,98.21,3.52,0.03,0.00
Jh 9d 2h,JcTd,0.990,64.63,3.55526,91.6804,0.30,3.50,99.67,3.56,0.03,0.00
Jh 9d 2h,JcTh,0.981,67.01,4.10287,102.048,10.15,4.10,89.82,4.10,0.03,0.00
Jh 9d 2h,JcTs,0.987,64.53,3.52005,90.9109,1.72,3.52,98.25,3.52,0.03,0.00
Jh 9d 2h,Qc8c,0.947,29.28,-0.00094,-0.05376,1.60,-0.04,26.85,0.00,71.55,0.00
Jh 9d 2h,Qc9c,0.997,56.51,2.01567,59.4521,0.04,1.91,99.89,2.02,0.07,0.00
Jh 9d 2h,QcTc,0.973,43.45,2.08396,79.9352,17.78,2.08,82.16,2.09,0.07,0.00
Jh 9d 2h,QcJc,0.984,67.41,4.34679,107.476,2.19,4.35,97.79,4.35,0.02,0.00
Jh 9d 2h,QcTd,0.978,43.57,2.1222,81.1864,1.65,2.12,98.29,2.12,0.06,0.00
Jh 9d 2h,QcJd,0.987,67.51,4.39653,108.536,0.53,4.33,99.45,4.40,0.02,0.00
Jh 9d 2h,QcTh,0.970,46.18,2.65198,95.702,46.67,2.65,53.27,2.65,0.05,0.00
