Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 9d 2h,6c5c,0.998,14.88,0.00031,0.03463,0.09,0.46,0.01,-0.66,99.90,0.00
Jh 9d 2h,7c6c,0.998,14.89,0.00022,0.02433,0.08,0.37,0.01,-0.66,99.90,0.00
Jh 9d 2h,8c7c,0.992,26.64,0.00585,0.36579,0.34,1.59,0.11,0.37,99.55,0.00
Jh 9d 2h,9c8c,0.996,59.03,2.5181,71.0991,0.33,3.12,99.55,2.52,0.12,0.00
Jh 9d 2h,Tc8c,0.973,40.47,2.87109,118.235,32.94,3.54,66.99,2.54,0.07,0.00
Jh 9d 2h,Tc9c,0.997,62.53,3.27697,87.3406,0.05,3.48,99.87,3.28,0.08,0.00
Jh 9d 2h,Jc8c,0.991,68.58,4.51197,109.657,0.58,4.76,99.37,4.51,0.04,0.00
Jh 9d 2h,Jc9c,0.953,84.09,12.5447,248.639,98.59,12.55,1.40,12.43,0.01,0.00
Jh 9d 2h,JcTc,0.987,71.08,5.23887,122.832,1.75,5.48,98.21,5.24,0.03,0.00
Jh 9d 2h,JcTd,0.990,71.17,5.28017,123.659,0.30,5.47,99.67,5.28,0.03,0.00
Jh 9d 2h,JcTh,0.981,73.40,5.92703,134.59,10.15,6.59,89.82,5.85,0.03,0.00
Jh 9d 2h,JcTs,0.987,71.08,5.23892,122.833,1.72,5.48,98.25,5.24,0.03,0.00
Jh 9d 2h,Qc8c,0.947,31.17,0.18211,9.73642,1.60,1.76,26.85,0.57,71.55,0.00
Jh 9d 2h,Qc9c,0.997,63.59,3.57193,93.616,0.04,4.02,99.89,3.57,0.07,0.00
Jh 9d 2h,QcTc,0.973,45.55,2.7576,100.908,17.78,3.85,82.16,2.52,0.07,0.00
Jh 9d 2h,QcJc,0.984,73.31,5.89665,134.06,2.19,6.84,97.79,5.88,0.02,0.00
Jh 9d 2h,QcTd,0.978,45.62,2.58274,94.3609,1.65,3.94,98.29,2.56,0.06,0.00
Jh 9d 2h,QcJd,0.987,73.39,5.92329,134.518,0.53,6.87,99.45,5.92,0.02,0.00
Jh 9d 2h,QcTh,0.970,48.16,3.70684,128.292,46.67,4.37,53.27,3.13,0.05,0.00
Jh 9d 2h,QcTs,0.973,45.55,2.75774,100.913,17.81,3.84,82.13,2.52,0.07,0.00
Jh 9d 2h,QcJs,0.984,73.31,5.89631,134.052,2.16,6.84,97.81,5.88,0.02,0.00
Jh 9d 2h,Kc2c,0.988,47.20,1.34941,47.6466,12.02,2.25,87.69,1.23,0.29,0.00
Jh 9d 2h,Kc3c,0.997,22.31,0.00038,0.02867,0.08,0.57,0.01,-0.63,99.90,0.00
Jh 9d 2h,Kc4c,0.997,22.48,0.00039,0.02893,0.08,0.57,0.01,-0.59,99.90,0.00
Jh 9d 2h,Kc5c,0.997,22.68,0.00036,0.0265,0.08,0.53,0.01,-0.58,99.90,0.00
Jh 9d 2h,Kc6c,0.997,23.10,0.00037,0.02685,0.08,0.54,0.01,-0.58,99.90,0.00
Jh 9d 2h,Kc7c,0.998,24.66,0.0003,0.02007,0.08,0.45,0.01,-0.49,99.90,0.00
Jh 9d 2h,Kc8c,0.997,26.25,0.00045,0.02845,0.09,0.57,0.02,-0.40,99.89,0.00
Jh 9d 2h,Kc9c,0.997,64.05,3.62287,94.2739,0.03,4.06,99.90,3.63,0.06,0.00
Jh 9d 2h,KcTc,0.975,40.76,0.85807,35.0855,3.12,2.19,96.57,0.82,0.31,0.00
Jh 9d 2h,KcJc,0.986,74.08,6.15717,138.53,0.84,7.04,99.15,6.15,0.02,0.00
Jh 9d 2h,KcQc,0.984,42.71,1.13769,44.3933,9.59,2.46,90.20,1.00,0.21,0.00
Jh 9d 2h,KcTd,0.971,40.83,0.85881,35.052,1.07,2.23,98.63,0.85,0.30,0.00
Jh 9d 2h,KcJd,0.987,74.17,6.19203,139.146,0.64,7.01,99.35,6.19,0.01,0.00
Jh 9d 2h,KcQd,0.985,42.80,1.11455,43.4007,7.30,2.53,92.50,1.01,0.20,0.00
Jh 9d 2h,KcTh,0.984,43.58,1.65045,63.1216,20.95,2.64,78.90,1.39,0.15,0.00
Jh 9d 2h,KcQh,0.977,45.77,2.04014,74.2918,29.45,2.92,70.44,1.67,0.11,0.00
Jh 9d 2h,KcTs,0.975,40.76,0.85811,35.087,3.14,2.19,96.55,0.82,0.31,0.00
Jh 9d 2h,KcJs,0.986,74.08,6.15721,138.531,0.84,7.05,99.15,6.15,0.02,0.00
Jh 9d 2h,KcQs,0.984,42.71,1.13747,44.3847,9.58,2.46,90.22,1.00,0.21,0.00
Jh 9d 2h,Ac2c,0.989,47.15,1.20051,42.4387,8.80,2.33,90.96,1.09,0.24,0.00
Jh 9d 2h,Ac3c,0.998,31.72,0.00087,0.04546,0.12,0.84,0.03,-0.36,99.86,0.00
Jh 9d 2h,Ac4c,0.998,31.89,0.00089,0.04636,0.12,0.84,0.03,-0.33,99.86,0.00
Jh 9d 2h,Ac5c,0.998,32.47,0.00089,0.0458,0.12,0.83,0.03,-0.30,99.85,0.00
Jh 9d 2h,Ac6c,0.998,32.49,0.00053,0.02722,0.11,0.58,0.02,-0.34,99.87,0.00
Jh 9d 2h,Ac7c,0.998,34.83,0.00052,0.02469,0.11,0.55,0.03,-0.24,99.87,0.00
Jh 9d 2h,Ac8c,0.998,37.73,0.001,0.04401,0.13,0.77,0.03,-0.09,99.83,0.00
Jh 9d 2h,Ac9c,0.995,64.83,3.86176,99.2767,0.03,4.49,99.92,3.86,0.06,0.00
Jh 9d 2h,AcTc,0.995,43.51,0.04052,1.55202,0.37,1.42,9.35,0.38,90.28,0.00
Jh 9d 2h,Ac2d,0.988,47.21,1.2004,42.3758,8.11,2.38,91.65,1.10,0.23,0.00
Jh 9d 2h,Ac3d,0.998,31.78,0.0009,0.04729,0.12,0.85,0.03,-0.35,99.86,0.00
Jh 9d 2h,Ac4d,0.998,31.95,0.00093,0.04826,0.12,0.86,0.03,-0.32,99.85,0.00
Jh 9d 2h,Ac5d,0.998,32.55,0.00089,0.04536,0.12,0.83,0.03,-0.30,99.86,0.00
