Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 9d 2h,6c5c,0.998,13.94,0.00026,0.03107,0.09,0.50,0.01,-1.33,99.90,0.00
Jh 9d 2h,7c6c,0.998,13.68,0.00018,0.02134,0.08,0.41,0.01,-1.28,99.90,0.00
Jh 9d 2h,8c7c,0.992,24.32,0.00314,0.21553,0.34,0.99,0.11,-0.23,99.55,0.00
Jh 9d 2h,9c8c,0.996,52.30,1.20465,38.39,0.33,2.15,99.55,1.20,0.12,0.00
Jh 9d 2h,Tc8c,0.973,37.71,2.41931,106.93,32.94,3.23,66.99,2.02,0.07,0.00
Jh 9d 2h,Tc9c,0.997,55.57,1.69373,50.7945,0.05,2.63,99.87,1.69,0.08,0.00
Jh 9d 2h,Jc8c,0.991,62.09,3.07195,82.4644,0.58,3.73,99.37,3.07,0.04,0.00
Jh 9d 2h,Jc9c,0.953,80.21,11.9144,247.563,98.59,11.91,1.40,12.27,0.01,0.00
Jh 9d 2h,JcTc,0.987,64.53,3.53998,91.426,1.75,4.66,98.21,3.52,0.03,0.00
Jh 9d 2h,JcTd,0.990,64.63,3.55852,91.7644,0.30,4.59,99.67,3.56,0.03,0.00
Jh 9d 2h,JcTh,0.981,67.01,4.17017,103.722,10.15,4.77,89.82,4.10,0.03,0.00
Jh 9d 2h,JcTs,0.987,64.53,3.53967,91.4178,1.72,4.66,98.25,3.52,0.03,0.00
Jh 9d 2h,Qc8c,0.947,29.28,0.0297,1.69037,1.60,1.87,26.85,0.00,71.55,0.00
Jh 9d 2h,Qc9c,0.997,56.51,2.01597,59.4608,0.04,2.61,99.89,2.02,0.07,0.00
Jh 9d 2h,QcTc,0.973,43.45,2.26211,86.7685,17.78,3.09,82.16,2.09,0.07,0.00
Jh 9d 2h,QcJc,0.984,67.41,4.3521,107.608,2.19,4.59,97.79,4.35,0.02,0.00
