Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Jh 9d 2h,5c4c,1.000,12.11,3.346,115.142,92.01,3.35,7.99,3.34
Jh 9d 2h,6c5c,1.000,11.90,2.81386,98.5254,97.41,2.82,2.59,2.63
Jh 9d 2h,7c6c,1.000,11.93,2.27215,79.3256,47.17,2.27,52.83,2.27
Jh 9d 2h,8c7c,1.000,24.48,6.44073,109.64,5.00,6.34,95.00,6.45
Jh 9d 2h,9c8c,1.000,51.99,10.5125,84.2584,20.18,10.52,79.82,10.51
Jh 9d 2h,Tc8c,1.000,37.01,13.8492,155.923,40.19,13.85,59.81,13.85
Jh 9d 2h,Tc9c,1.000,55.47,11.279,84.7283,1.80,11.09,98.20,11.28
Jh 9d 2h,Jc9c,1.000,84.62,35.6435,175.508,99.53,35.65,0.47,34.70
Jh 9d 2h,JcTc,1.000,63.29,15.2548,100.43,14.64,15.26,85.36,15.25
Jh 9d 2h,Qc9c,1.000,53.88,10.8561,83.9564,0.96,10.39,99.04,10.86
Jh 9d 2h,QcTc,1.000,38.82,14.8336,159.2,29.31,14.83,70.69,14.83
Jh 9d 2h,QcJc,1.000,68.03,17.7242,108.549,4.93,17.71,95.07,17.72
Jh 9d 2h,QcJd,1.000,68.28,17.9148,109.32,3.61,17.87,96.39,17.92
Jh 9d 2h,QcJs,1.000,68.16,17.7631,108.594,4.66,17.75,95.34,17.76
Jh 9d 2h,Kc9c,1.000,53.37,10.7098,83.6066,23.01,10.71,76.99,10.71
Jh 9d 2h,KcTc,1.000,28.63,9.35206,136.125,44.93,9.35,55.07,9.35
Jh 9d 2h,KcJc,1.000,71.23,20.5977,120.487,37.27,20.60,62.73,20.60
Jh 9d 2h,KcQc,1.000,30.73,9.59137,130.039,74.24,9.59,25.76,9.60
Jh 9d 2h,KcJd,1.000,71.39,20.7889,121.338,21.08,20.77,78.92,20.79
Jh 9d 2h,KcQd,1.000,30.72,9.8708,133.882,86.83,9.87,13.17,9.84
