Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Jh 9d 2h,5c4c,1.000,12.11,5.60185,192.77,92.01,5.80,7.99,3.34
Jh 9d 2h,6c5c,1.000,11.90,5.38132,188.423,97.41,5.45,2.59,2.63
Jh 9d 2h,7c6c,1.000,11.93,3.24978,113.457,47.17,4.34,52.83,2.27
Jh 9d 2h,8c7c,1.000,24.48,6.57003,111.841,5.00,8.93,95.00,6.45
Jh 9d 2h,9c8c,1.000,51.99,10.5169,84.2936,20.18,10.54,79.82,10.51
Jh 9d 2h,Tc8c,1.000,37.01,14.2113,160,40.19,14.75,59.81,13.85
Jh 9d 2h,Tc9c,1.000,55.47,11.2816,84.7473,1.80,11.24,98.20,11.28
Jh 9d 2h,Jc9c,1.000,84.62,33.225,163.599,99.53,33.22,0.47,34.70
Jh 9d 2h,JcTc,1.000,63.29,15.3313,100.933,14.64,15.78,85.36,15.25
Jh 9d 2h,Qc9c,1.000,53.88,10.8607,83.992,0.96,10.87,99.04,10.86
Jh 9d 2h,QcTc,1.000,38.82,14.9818,160.791,29.31,15.34,70.69,14.83
Jh 9d 2h,QcJc,1.000,68.03,17.7418,108.656,4.93,18.07,95.07,17.72
Jh 9d 2h,QcJd,1.000,68.28,17.9276,109.398,3.61,18.23,96.39,17.92
Jh 9d 2h,QcJs,1.000,68.16,17.7806,108.701,4.66,18.12,95.34,17.76
Jh 9d 2h,Kc9c,1.000,53.37,10.8339,84.5753,23.01,11.25,76.99,10.71
Jh 9d 2h,KcTc,1.000,28.63,10.0356,146.074,44.93,10.87,55.07,9.35
Jh 9d 2h,KcJc,1.000,71.23,20.3669,119.137,37.27,19.98,62.73,20.60
Jh 9d 2h,KcQc,1.000,30.73,10.488,142.195,74.24,10.80,25.76,9.60
Jh 9d 2h,KcJd,1.000,71.39,20.7699,121.227,21.08,20.68,78.92,20.79
Jh 9d 2h,KcQd,1.000,30.72,10.9496,148.514,86.83,11.12,13.17,9.84
Jh 9d 2h,KcQh,1.000,33.81,12.5794,155.032,68.79,12.98,31.21,11.70
Jh 9d 2h,KcJs,1.000,71.30,20.4351,119.416,34.11,20.07,65.89,20.62
Jh 9d 2h,KcQs,1.000,30.70,10.5193,142.757,72.16,10.87,27.84,9.60
Jh 9d 2h,Ac2c,1.000,37.80,6.67269,73.5487,0.97,6.83,99.03,6.67
Jh 9d 2h,Ac3c,1.000,15.35,3.5238,95.6226,59.27,4.16,40.73,2.60
Jh 9d 2h,Ac4c,1.000,15.35,3.48822,94.6572,55.99,4.19,44.01,2.59
Jh 9d 2h,Ac5c,1.000,15.35,3.53408,95.9016,60.12,4.17,39.88,2.57
Jh 9d 2h,Ac6c,1.000,13.91,2.04894,61.3586,3.94,3.16,96.06,2.00
Jh 9d 2h,Ac7c,1.000,15.06,2.02954,56.141,3.14,3.37,96.86,1.99
Jh 9d 2h,Ac8c,1.000,16.96,2.75224,67.6014,4.49,4.73,95.51,2.66
Jh 9d 2h,Ac9c,1.000,52.81,10.165,80.2048,1.24,9.99,98.76,10.17
Jh 9d 2h,AcTc,1.000,22.70,3.79968,69.7449,29.98,5.07,70.02,3.25
Jh 9d 2h,AcJc,1.000,75.98,24.6439,135.141,63.59,24.31,36.41,25.23
Jh 9d 2h,AcQc,1.000,32.69,4.88164,62.2294,5.14,6.02,94.86,4.82
Jh 9d 2h,AcKc,1.000,38.49,5.90112,63.8892,2.49,6.59,97.51,5.88
Jh 9d 2h,AcTd,1.000,22.99,4.05147,73.4166,37.07,5.10,62.93,3.43
