Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Jh 9d 2h,5c4c,1.000,12.11,-4.80401,-165.315,92.01,-5.51,7.99,3.34
Jh 9d 2h,6c5c,1.000,11.90,-6.2901,-220.243,97.41,-6.53,2.59,2.63
Jh 9d 2h,7c6c,1.000,11.93,-2.4719,-86.2994,47.17,-7.79,52.83,2.27
Jh 9d 2h,8c7c,1.000,24.48,6.0021,102.173,5.00,-2.44,95.00,6.45
Jh 9d 2h,9c8c,1.000,51.99,10.6446,85.3168,20.18,11.17,79.82,10.51
Jh 9d 2h,Tc8c,1.000,37.01,12.5978,141.835,40.19,10.74,59.81,13.85
Jh 9d 2h,Tc9c,1.000,55.47,11.3003,84.8882,1.80,12.28,98.20,11.28
Jh 9d 2h,Jc9c,1.000,84.62,51.4359,253.269,99.53,51.52,0.47,34.70
Jh 9d 2h,JcTc,1.000,63.29,14.449,95.1247,14.64,9.76,85.36,15.25
Jh 9d 2h,Qc9c,1.000,53.88,10.8567,83.9611,0.96,10.46,99.04,10.86
Jh 9d 2h,QcTc,1.000,38.82,13.9937,150.186,29.31,11.97,70.69,14.83
Jh 9d 2h,QcJc,1.000,68.03,17.4916,107.124,4.93,13.00,95.07,17.72
Jh 9d 2h,QcJd,1.000,68.28,17.7402,108.254,3.61,13.04,96.39,17.92
Jh 9d 2h,QcJs,1.000,68.16,17.5417,107.24,4.66,12.99,95.34,17.76
Jh 9d 2h,Kc9c,1.000,53.37,10.5643,82.471,23.01,10.08,76.99,10.71
Jh 9d 2h,KcTc,1.000,28.63,4.98725,72.5927,44.93,-0.36,55.07,9.35
Jh 9d 2h,KcJc,1.000,71.23,23.8809,139.692,37.27,29.41,62.73,20.60
Jh 9d 2h,KcQc,1.000,30.73,4.23667,57.4406,74.24,2.38,25.76,9.60
Jh 9d 2h,KcJd,1.000,71.39,21.655,126.393,21.08,24.88,78.92,20.79
Jh 9d 2h,KcQd,1.000,30.72,2.38519,32.3513,86.83,1.25,13.17,9.84
Jh 9d 2h,KcQh,1.000,33.81,7.47067,92.0704,68.79,5.55,31.21,11.70
Jh 9d 2h,KcJs,1.000,71.30,23.4851,137.239,34.11,29.01,65.89,20.62
Jh 9d 2h,KcQs,1.000,30.70,3.7557,50.9684,72.16,1.50,27.84,9.60
Jh 9d 2h,Ac2c,1.000,37.80,6.5882,72.6174,0.97,-1.85,99.03,6.67
Jh 9d 2h,Ac3c,1.000,15.35,-1.45066,-39.3653,59.27,-4.24,40.73,2.60
Jh 9d 2h,Ac4c,1.000,15.35,-1.2868,-34.9188,55.99,-4.34,44.01,2.59
Jh 9d 2h,Ac5c,1.000,15.35,-1.43931,-39.0573,60.12,-4.10,39.88,2.57
Jh 9d 2h,Ac6c,1.000,13.91,1.6887,50.5705,3.94,-5.98,96.06,2.00
Jh 9d 2h,Ac7c,1.000,15.06,1.71789,47.5201,3.14,-6.56,96.86,1.99
Jh 9d 2h,Ac8c,1.000,16.96,2.28673,56.1675,4.49,-5.64,95.51,2.66
Jh 9d 2h,Ac9c,1.000,52.81,10.1864,80.3736,1.24,11.72,98.76,10.17
Jh 9d 2h,AcTc,1.000,22.70,0.45647,8.37877,29.98,-6.08,70.02,3.25
Jh 9d 2h,AcJc,1.000,75.98,31.3677,172.012,63.59,34.88,36.41,25.23
Jh 9d 2h,AcQc,1.000,32.69,4.46875,56.9661,5.14,-2.01,94.86,4.82
Jh 9d 2h,AcKc,1.000,38.49,5.7075,61.7929,2.49,-1.20,97.51,5.88
Jh 9d 2h,AcTd,1.000,22.99,-0.04586,-0.83098,37.07,-5.95,62.93,3.43
Jh 9d 2h,AcJd,1.000,76.04,32.3395,177.214,67.73,35.56,32.27,25.57
Jh 9d 2h,AcQd,1.000,32.94,1.91258,24.1905,40.85,-2.50,59.15,4.96
Jh 9d 2h,AcKd,1.000,38.67,5.64224,60.797,4.36,-1.24,95.64,5.96
Jh 9d 2h,AcTh,1.000,25.73,-1.43883,-23.3029,68.35,-4.23,31.65,4.58
Jh 9d 2h,AcQh,1.000,36.12,2.03493,23.4763,72.12,0.26,27.88,6.64
Jh 9d 2h,AcKh,1.000,41.68,5.00708,50.0605,43.96,1.48,56.04,7.77
Jh 9d 2h,AcTs,1.000,22.70,0.46015,8.44635,29.95,-6.08,70.05,3.26
Jh 9d 2h,AcJs,1.000,75.98,31.4273,172.342,64.23,34.87,35.77,25.24
Jh 9d 2h,AcQs,1.000,32.69,4.47204,57.0077,5.11,-2.01,94.89,4.82
Jh 9d 2h,AcKs,1.000,38.49,5.70808,61.798,2.48,-1.20,97.52,5.88
Jh 9d 2h,2d2c,1.000,86.30,52.6877,254.393,99.83,52.71,0.17,38.25
Jh 9d 2h,3d3c,1.000,32.57,-1.46577,-18.7503,79.14,-3.12,20.86,4.83
Jh 9d 2h,4d4c,1.000,32.57,-1.96394,-25.123,83.99,-3.27,16.01,4.86
Jh 9d 2h,5d5c,1.000,32.57,-1.75664,-22.4711,77.97,-3.63,22.03,4.88
Jh 9d 2h,5d4d,1.000,15.80,-3.45469,-91.0999,88.90,-4.45,11.10,4.54
Jh 9d 2h,6d6c,1.000,33.40,3.99273,49.8166,8.31,-4.89,91.69,4.80
Jh 9d 2h,6d5d,1.000,15.63,-5.02224,-133.885,96.27,-5.37,3.73,3.90
Jh 9d 2h,7d7c,1.000,37.95,5.25978,57.7554,2.14,-3.57,97.86,5.45
Jh 9d 2h,7d6d,1.000,15.69,-2.98133,-79.1629,65.24,-6.45,34.76,3.52
Jh 9d 2h,8d8c,1.000,45.27,7.12543,65.5807,1.67,-0.29,98.33,7.25
Jh 9d 2h,8d7d,1.000,27.63,7.51851,113.362,2.30,-0.95,97.70,7.72
Jh 9d 2h,TdTc,1.000,54.16,10.1127,77.7973,1.75,4.28,98.25,10.22
Jh 9d 2h,Td8d,1.000,39.56,14.5413,153.15,41.53,13.73,58.47,15.12
Jh 9d 2h,JdJc,1.000,93.38,61.0526,272.415,72.52,66.92,27.48,45.56
Jh 9d 2h,JdTd,1.000,65.17,16.9309,108.242,1.85,20.58,98.15,16.86
Jh 9d 2h,QdJc,1.000,68.39,17.6377,107.461,3.63,12.50,96.37,17.83
Jh 9d 2h,QdQc,1.000,74.56,35.4577,198.152,99.50,35.51,0.50,25.69
Jh 9d 2h,QdTd,1.000,41.44,15.7763,158.624,31.48,14.74,68.52,16.25
Jh 9d 2h,QdJd,1.000,69.70,19.3729,115.809,2.86,23.96,97.14,19.24
Jh 9d 2h,QdJs,1.000,68.39,17.6377,107.461,3.63,12.50,96.37,17.83
Jh 9d 2h,KdJc,1.000,71.44,21.9465,128.004,12.12,30.53,87.88,20.76
Jh 9d 2h,KdQc,1.000,30.78,2.31236,31.2998,87.43,1.24,12.57,9.74
Jh 9d 2h,KdKc,1.000,76.42,38.7403,211.229,99.66,38.78,0.34,27.62
Jh 9d 2h,KdTd,1.000,31.81,8.63943,113.147,23.15,1.26,76.85,10.86
Jh 9d 2h,KdJd,1.000,72.70,27.2729,156.318,46.63,33.15,53.37,22.14
Jh 9d 2h,KdQd,1.000,34.01,10.6007,129.872,55.37,9.96,44.63,11.40
Jh 9d 2h,KdQh,1.000,33.91,5.1844,63.7091,82.54,3.77,17.46,11.85
Jh 9d 2h,KdJs,1.000,71.44,21.9474,128.008,12.12,30.54,87.88,20.76
Jh 9d 2h,KdQs,1.000,30.78,2.31247,31.3013,87.43,1.24,12.57,9.74
Jh 9d 2h,AdTc,1.000,22.89,2.24366,40.836,15.41,-5.87,84.59,3.72
Jh 9d 2h,AdJc,1.000,76.34,31.1187,169.852,57.40,35.40,42.60,25.35
Jh 9d 2h,AdQc,1.000,33.23,4.7742,59.867,5.92,-1.78,94.08,5.19
Jh 9d 2h,AdKc,1.000,39.11,6.09112,64.8981,1.95,-0.73,98.05,6.23
Jh 9d 2h,AdAc,1.000,78.52,40.6374,215.653,99.80,40.66,0.20,31.13
Jh 9d 2h,Ad2d,1.000,41.30,8.87856,89.5763,0.49,1.50,99.51,8.92
Jh 9d 2h,Ad3d,1.000,19.11,-2.71949,-59.3068,89.17,-3.58,10.83,4.36
Jh 9d 2h,Ad4d,1.000,19.11,-2.78765,-60.7931,88.39,-3.73,11.61,4.35
Jh 9d 2h,Ad5d,1.000,19.11,-2.33326,-50.8839,88.51,-3.20,11.49,4.33
Jh 9d 2h,Ad6d,1.000,17.76,1.12865,26.482,28.93,-4.92,71.07,3.59
Jh 9d 2h,Ad7d,1.000,18.84,1.01235,22.3833,28.71,-5.42,71.29,3.60
Jh 9d 2h,Ad8d,1.000,20.64,1.66087,33.5348,29.09,-4.75,70.91,4.29
Jh 9d 2h,AdTd,1.000,26.33,-0.28141,-4.45372,57.59,-4.29,42.41,5.16
Jh 9d 2h,AdJd,1.000,77.42,36.9513,198.881,95.27,37.45,4.73,26.82
Jh 9d 2h,AdQd,1.000,36.33,6.61847,75.913,2.51,0.17,97.49,6.78
Jh 9d 2h,AdKd,1.000,42.06,7.85606,77.8194,1.06,1.05,98.94,7.93
Jh 9d 2h,AdTh,1.000,25.93,1.11932,17.9828,45.45,-3.54,54.55,5.01
Jh 9d 2h,AdQh,1.000,36.63,2.38709,27.1562,66.21,0.03,33.79,7.01
Jh 9d 2h,AdKh,1.000,42.25,7.28856,71.8734,11.48,1.64,88.52,8.02
Jh 9d 2h,AdTs,1.000,22.89,2.24373,40.8374,15.41,-5.87,84.59,3.72
Jh 9d 2h,AdJs,1.000,76.34,31.119,169.854,57.40,35.40,42.60,25.35
Jh 9d 2h,AdQs,1.000,33.23,4.77419,59.8668,5.92,-1.78,94.08,5.19
Jh 9d 2h,AdKs,1.000,39.11,6.09112,64.8982,1.95,-0.73,98.05,6.23
Jh 9d 2h,3h3c,1.000,35.12,3.58713,42.5635,23.17,-3.45,76.83,5.71
Jh 9d 2h,3h3d,1.000,35.15,3.75275,44.4848,21.72,-3.54,78.28,5.78
Jh 9d 2h,4h4c,1.000,35.12,2.82235,33.489,31.72,-3.46,68.28,5.74
Jh 9d 2h,4h4d,1.000,35.15,2.90123,34.391,30.98,-3.58,69.02,5.81
Jh 9d 2h,5h5c,1.000,35.12,2.88448,34.2263,29.97,-3.78,70.03,5.74
Jh 9d 2h,5h5d,1.000,35.15,3.14497,37.2802,27.54,-3.86,72.46,5.81
Jh 9d 2h,5h4h,1.000,41.62,15.2214,152.389,23.36,15.64,76.64,15.09
Jh 9d 2h,6h6c,1.000,35.98,4.52071,52.3587,11.56,-4.45,88.44,5.69
Jh 9d 2h,6h6d,1.000,36.01,4.8387,55.9851,9.20,-4.39,90.80,5.77
Jh 9d 2h,6h5h,1.000,41.52,15.3799,154.336,52.50,16.00,47.50,14.69
Jh 9d 2h,7h7c,1.000,40.42,6.22498,64.1641,2.19,-2.70,97.81,6.42
