Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 9d 2h,6c5c,1.000,14.11,0.91004,107.478,93.69,0.91,6.31,0.90
Jh 9d 2h,7c6c,1.000,14.13,0.78396,92.4408,41.01,0.78,58.99,0.78
Jh 9d 2h,8c7c,1.000,25.35,1.69732,111.588,62.09,1.70,37.91,1.70
Jh 9d 2h,9c8c,1.000,55.54,2.88664,86.6257,92.79,2.89,7.21,2.88
Jh 9d 2h,Tc8c,1.000,36.97,3.80735,171.663,80.14,3.81,19.86,3.81
Jh 9d 2h,Tc9c,1.000,58.90,3.0806,87.1648,59.34,3.08,40.66,3.08
Jh 9d 2h,Jc8c,1.000,62.23,3.58762,96.0778,59.73,3.59,40.27,3.59
Jh 9d 2h,Jc9c,1.000,83.41,9.25142,184.853,99.06,9.25,0.94,9.20
Jh 9d 2h,JcTc,1.000,63.40,3.60332,94.7233,35.54,3.60,64.46,3.60
Jh 9d 2h,JcTd,1.000,63.67,3.65181,95.5852,38.33,3.65,61.67,3.65
Jh 9d 2h,JcTh,1.000,66.09,4.07496,102.759,88.04,4.07,11.96,4.08
Jh 9d 2h,JcTs,1.000,63.52,3.60969,94.7069,38.91,3.61,61.09,3.61
Jh 9d 2h,Qc8c,1.000,25.03,1.86679,124.321,35.87,1.87,64.13,1.87
Jh 9d 2h,Qc9c,1.000,58.59,3.08323,87.7129,19.01,3.08,80.99,3.08
Jh 9d 2h,QcTc,1.000,38.69,3.77043,162.432,75.78,3.77,24.22,3.77
Jh 9d 2h,QcJc,1.000,67.66,4.27856,105.397,33.82,4.28,66.18,4.28
Jh 9d 2h,QcTd,1.000,38.67,3.81447,164.386,59.34,3.81,40.66,3.81
Jh 9d 2h,QcJd,1.000,67.94,4.33621,106.381,24.64,4.33,75.36,4.34
Jh 9d 2h,QcTh,1.000,41.24,4.42079,178.67,93.55,4.42,6.45,4.42
Jh 9d 2h,QcTs,1.000,38.58,3.78634,163.563,80.45,3.79,19.55,3.79
Jh 9d 2h,QcJs,1.000,67.82,4.29038,105.428,34.60,4.29,65.40,4.29
Jh 9d 2h,Kc8c,1.000,17.21,1.06263,102.909,50.64,1.06,49.36,1.06
Jh 9d 2h,Kc9c,1.000,57.05,2.91462,85.1435,32.63,2.91,67.37,2.91
Jh 9d 2h,KcTc,1.000,28.67,2.17841,126.655,34.98,2.18,65.02,2.18
Jh 9d 2h,KcJc,1.000,67.22,4.28461,106.232,37.20,4.28,62.80,4.28
