Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 9d 2h,6c5c,1.000,14.11,-0.9926,-117.228,93.69,-1.12,6.31,0.90
Jh 9d 2h,7c6c,1.000,14.13,-0.23721,-27.971,41.01,-1.71,58.99,0.78
Jh 9d 2h,8c7c,1.000,25.35,0.59098,38.8534,62.09,-0.08,37.91,1.70
Jh 9d 2h,9c8c,1.000,55.54,4.55368,136.652,92.79,4.68,7.21,2.88
Jh 9d 2h,Tc8c,1.000,36.97,3.68113,165.972,80.14,3.65,19.86,3.81
Jh 9d 2h,Tc9c,1.000,58.90,4.33696,122.713,59.34,5.20,40.66,3.08
Jh 9d 2h,Jc8c,1.000,62.23,4.72229,126.465,59.73,5.49,40.27,3.59
Jh 9d 2h,Jc9c,1.000,83.41,13.6038,271.818,99.06,13.65,0.94,9.20
Jh 9d 2h,JcTc,1.000,63.40,4.19928,110.39,35.54,5.28,64.46,3.60
Jh 9d 2h,JcTd,1.000,63.67,4.24532,111.12,38.33,5.20,61.67,3.65
Jh 9d 2h,JcTh,1.000,66.09,5.79475,146.127,88.04,6.03,11.96,4.08
Jh 9d 2h,JcTs,1.000,63.52,4.05018,106.264,38.91,4.74,61.09,3.61
Jh 9d 2h,Qc8c,1.000,25.03,1.30722,87.0558,35.87,0.31,64.13,1.87
Jh 9d 2h,Qc9c,1.000,58.59,3.45008,98.1493,19.01,5.01,80.99,3.08
Jh 9d 2h,QcTc,1.000,38.69,3.80994,164.134,75.78,3.82,24.22,3.77
Jh 9d 2h,QcJc,1.000,67.66,4.96199,122.232,33.82,6.30,66.18,4.28
Jh 9d 2h,QcTd,1.000,38.67,3.46095,149.151,59.34,3.22,40.66,3.81
Jh 9d 2h,QcJd,1.000,67.94,4.82352,118.337,24.64,6.31,75.36,4.34
Jh 9d 2h,QcTh,1.000,41.24,4.73615,191.415,93.55,4.76,6.45,4.42
Jh 9d 2h,QcTs,1.000,38.58,3.26183,140.905,80.45,3.13,19.55,3.79
Jh 9d 2h,QcJs,1.000,67.82,4.91856,120.864,34.60,6.11,65.40,4.29
Jh 9d 2h,Kc8c,1.000,17.21,0.01952,1.88996,50.64,-1.00,49.36,1.06
Jh 9d 2h,Kc9c,1.000,57.05,3.28786,96.0469,32.63,4.06,67.37,2.91
Jh 9d 2h,KcTc,1.000,28.67,1.82722,106.236,34.98,1.17,65.02,2.18
Jh 9d 2h,KcJc,1.000,67.22,4.67787,115.982,37.20,5.34,62.80,4.28
Jh 9d 2h,KcQc,1.000,33.48,1.73586,86.4104,72.01,1.44,27.99,2.50
Jh 9d 2h,KcTd,1.000,28.57,1.26053,73.5398,43.73,0.05,56.27,2.20
Jh 9d 2h,KcJd,1.000,67.52,4.5544,112.422,22.81,5.25,77.19,4.35
Jh 9d 2h,KcQd,1.000,33.60,1.59919,79.3328,73.24,1.24,26.76,2.59
Jh 9d 2h,KcTh,1.000,31.47,2.25586,119.478,83.21,2.17,16.79,2.68
Jh 9d 2h,KcQh,1.000,36.69,3.06338,139.163,88.63,3.05,11.37,3.15
Jh 9d 2h,KcTs,1.000,28.47,1.08222,63.3479,57.28,0.27,42.72,2.17
Jh 9d 2h,KcJs,1.000,67.38,4.62653,114.44,35.99,5.21,64.01,4.30
Jh 9d 2h,KcQs,1.000,33.48,1.73168,86.2022,72.10,1.43,27.90,2.50
Jh 9d 2h,Ac2c,1.000,44.26,2.03467,76.61,1.64,1.44,98.36,2.04
Jh 9d 2h,Ac3c,1.000,21.40,-0.11329,-8.82143,52.90,-1.03,47.10,0.91
Jh 9d 2h,Ac4c,1.000,21.40,-0.11377,-8.85879,52.89,-1.03,47.11,0.91
Jh 9d 2h,Ac5c,1.000,21.40,-0.34028,-26.4975,60.54,-1.15,39.46,0.90
Jh 9d 2h,Ac6c,1.000,20.37,0.65981,53.9948,2.46,-1.51,97.54,0.71
Jh 9d 2h,Ac7c,1.000,21.66,0.65643,50.5049,4.55,-1.64,95.45,0.77
Jh 9d 2h,Ac8c,1.000,23.23,-0.67418,-48.378,65.08,-1.50,34.92,0.86
Jh 9d 2h,Ac9c,1.000,56.14,2.76693,82.1404,3.85,3.69,96.15,2.73
Jh 9d 2h,AcTc,1.000,28.22,-0.44434,-26.2424,65.92,-1.20,34.08,1.02
Jh 9d 2h,AcJc,1.000,70.26,6.33727,150.325,58.75,7.20,41.25,5.11
Jh 9d 2h,AcQc,1.000,36.69,0.86747,39.4016,41.72,0.04,58.28,1.46
Jh 9d 2h,AcKc,1.000,43.37,1.72243,66.1927,2.23,0.15,97.77,1.76
Jh 9d 2h,AcTd,1.000,28.33,-0.82895,-48.7644,84.53,-1.17,15.47,1.05
Jh 9d 2h,AcJd,1.000,70.44,6.3155,149.428,53.93,7.29,46.07,5.18
Jh 9d 2h,AcQd,1.000,36.84,0.26773,12.1132,81.91,-0.01,18.09,1.53
Jh 9d 2h,AcKd,1.000,43.51,1.65331,63.3332,8.81,0.14,91.19,1.80
