Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 9d 2h,6c5c,1.000,14.10,0.36157,42.7383,0.31,-1.85,99.69,0.37
Jh 9d 2h,7c6c,1.000,14.11,0.34569,40.8209,0.23,-1.94,99.77,0.35
Jh 9d 2h,8c7c,1.000,25.30,0.64357,42.3961,10.86,-0.90,89.14,0.83
Jh 9d 2h,9c8c,1.000,55.40,2.75213,82.7988,52.54,3.29,47.46,2.15
Jh 9d 2h,Tc8c,1.000,36.90,2.87308,129.772,52.29,2.85,47.71,2.90
Jh 9d 2h,Tc9c,1.000,58.75,2.64612,75.0733,21.77,3.68,78.23,2.36
Jh 9d 2h,Jc8c,1.000,62.03,3.21279,86.324,20.36,4.39,79.64,2.91
Jh 9d 2h,Jc9c,1.000,83.31,10.4967,209.988,40.17,12.05,59.83,9.45
Jh 9d 2h,JcTc,1.000,63.20,3.39734,89.5936,35.82,4.29,64.18,2.90
Jh 9d 2h,JcTd,1.000,63.47,3.23657,84.9898,23.56,4.22,76.44,2.93
Jh 9d 2h,JcTh,1.000,65.89,3.86486,97.757,28.92,4.98,71.08,3.41
Jh 9d 2h,JcTs,1.000,63.32,3.22177,84.8025,24.29,4.23,75.71,2.90
Jh 9d 2h,Qc8c,1.000,24.96,0.05551,3.70667,46.14,-0.98,53.86,0.95
Jh 9d 2h,Qc9c,1.000,58.45,2.54068,72.4457,7.56,3.66,92.44,2.45
Jh 9d 2h,QcTc,1.000,38.62,2.80127,120.892,37.40,2.75,62.60,2.83
Jh 9d 2h,QcJc,1.000,67.46,4.09326,101.13,18.54,5.82,81.46,3.70
Jh 9d 2h,QcTd,1.000,38.60,2.76282,119.281,37.48,2.54,62.52,2.90
Jh 9d 2h,QcJd,1.000,67.74,4.05326,99.7238,13.03,6.04,86.97,3.76
Jh 9d 2h,QcTh,1.000,41.17,3.63722,147.255,50.65,3.84,49.35,3.43
Jh 9d 2h,QcTs,1.000,38.51,2.6545,114.878,43.71,2.41,56.29,2.85
Jh 9d 2h,QcJs,1.000,67.62,4.05855,100.031,16.79,5.80,83.21,3.71
Jh 9d 2h,Kc8c,1.000,17.18,0.4674,45.3414,0.35,-1.86,99.65,0.48
Jh 9d 2h,Kc9c,1.000,56.91,2.35121,68.8589,20.47,2.71,79.53,2.26
Jh 9d 2h,KcTc,1.000,28.62,0.87096,50.7234,21.39,-0.54,78.61,1.25
Jh 9d 2h,KcJc,1.000,67.00,3.98788,99.1974,27.37,4.83,72.63,3.67
Jh 9d 2h,KcQc,1.000,33.50,1.03346,51.4114,37.03,0.13,62.97,1.56
Jh 9d 2h,KcTd,1.000,28.52,0.14934,8.72874,58.10,-0.67,41.90,1.28
Jh 9d 2h,KcJd,1.000,67.30,4.02285,99.6197,23.03,5.00,76.97,3.73
Jh 9d 2h,KcQd,1.000,33.62,1.15212,57.1174,33.38,0.22,66.62,1.62
Jh 9d 2h,KcTh,1.000,31.41,1.35371,71.8208,34.83,0.77,65.17,1.66
Jh 9d 2h,KcQh,1.000,36.71,1.93143,87.6915,48.79,1.69,51.21,2.16
Jh 9d 2h,KcTs,1.000,28.42,0.0535,3.13702,62.91,-0.65,37.09,1.24
Jh 9d 2h,KcJs,1.000,67.16,3.97133,98.5584,26.98,4.76,73.02,3.68
Jh 9d 2h,KcQs,1.000,33.50,1.02883,51.1811,37.30,0.13,62.70,1.56
Jh 9d 2h,Ac2c,1.000,44.22,1.06219,40.0338,14.91,0.06,85.09,1.24
Jh 9d 2h,Ac3c,1.000,21.49,0.34775,26.9698,0.48,-1.26,99.52,0.36
Jh 9d 2h,Ac4c,1.000,21.49,0.34772,26.9679,0.48,-1.26,99.52,0.36
Jh 9d 2h,Ac5c,1.000,21.49,0.34204,26.5269,0.48,-1.31,99.52,0.35
Jh 9d 2h,Ac6c,1.000,20.46,0.25163,20.5003,0.20,-1.62,99.80,0.26
Jh 9d 2h,Ac7c,1.000,21.75,0.2898,22.2112,0.22,-1.74,99.78,0.29
Jh 9d 2h,Ac8c,1.000,23.30,0.32736,23.4118,0.28,-1.64,99.72,0.33
Jh 9d 2h,Ac9c,1.000,55.99,2.10585,62.6894,1.99,2.33,98.01,2.10
Jh 9d 2h,AcTc,1.000,28.27,0.41244,24.3127,0.42,-1.30,99.58,0.42
Jh 9d 2h,AcJc,1.000,70.03,5.04929,120.165,30.59,5.84,69.41,4.70
Jh 9d 2h,AcQc,1.000,36.70,0.53344,24.2267,8.31,-0.69,91.69,0.64
Jh 9d 2h,AcKc,1.000,43.33,0.75396,28.9983,9.77,-0.37,90.23,0.88
Jh 9d 2h,AcTd,1.000,28.38,0.43104,25.311,0.44,-1.31,99.56,0.44
Jh 9d 2h,AcJd,1.000,70.22,5.24125,124.407,32.48,6.20,67.52,4.78
Jh 9d 2h,AcQd,1.000,36.83,0.49321,22.3175,11.88,-0.78,88.12,0.67
Jh 9d 2h,AcKd,1.000,43.47,0.54992,21.0828,27.03,-0.42,72.97,0.91
Jh 9d 2h,Ac9h,1.000,58.18,2.51971,72.1875,7.16,3.11,92.84,2.47
Jh 9d 2h,AcTh,1.000,31.37,0.38748,20.5847,15.81,-0.82,84.19,0.61
Jh 9d 2h,AcQh,1.000,39.96,0.40883,17.052,52.76,-0.19,47.24,1.07
Jh 9d 2h,AcKh,1.000,46.65,1.2019,42.9377,22.05,0.17,77.95,1.49
Jh 9d 2h,Ac9s,1.000,55.99,2.10582,62.6888,1.99,2.33,98.01,2.10
Jh 9d 2h,AcTs,1.000,28.27,0.4124,24.3106,0.42,-1.30,99.58,0.42
Jh 9d 2h,AcJs,1.000,70.03,5.05034,120.19,30.60,5.84,69.40,4.70
Jh 9d 2h,AcQs,1.000,36.70,0.53374,24.2402,8.28,-0.69,91.72,0.64
Jh 9d 2h,AcKs,1.000,43.33,0.75388,28.9949,9.78,-0.37,90.22,0.88
Jh 9d 2h,2d2c,1.000,85.83,12.8328,249.192,61.40,14.26,38.60,10.56
