Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 9d 2h,6c5c,1.000,14.10,0.00092,0.10883,0.31,0.13,99.69,0.00
Jh 9d 2h,7c6c,1.000,14.11,0.0004,0.04728,0.23,0.05,99.77,0.00
Jh 9d 2h,8c7c,1.000,25.30,0.09965,6.56458,10.86,0.83,89.14,0.01
Jh 9d 2h,9c8c,1.000,55.40,2.45315,73.804,52.54,2.15,47.46,2.78
Jh 9d 2h,Tc8c,1.000,36.90,3.14503,142.055,52.29,2.90,47.71,3.41
Jh 9d 2h,Tc9c,1.000,58.75,2.40418,68.2092,21.77,2.36,78.23,2.42
Jh 9d 2h,Jc8c,1.000,62.03,3.29603,88.5604,20.36,2.91,79.64,3.39
Jh 9d 2h,Jc9c,1.000,83.31,10.9341,218.738,40.17,9.45,59.83,11.93
Jh 9d 2h,JcTc,1.000,63.20,3.23612,85.3419,35.82,2.90,64.18,3.42
Jh 9d 2h,JcTd,1.000,63.47,3.27713,86.0549,23.56,2.93,76.44,3.38
Jh 9d 2h,JcTh,1.000,65.89,4.14582,104.864,28.92,3.41,71.08,4.45
Jh 9d 2h,JcTs,1.000,63.32,3.26603,85.9676,24.29,2.90,75.71,3.38
Jh 9d 2h,Qc8c,1.000,24.96,0.44328,29.6017,46.14,0.95,53.86,0.01
Jh 9d 2h,Qc9c,1.000,58.45,2.50061,71.303,7.56,2.45,92.44,2.50
Jh 9d 2h,QcTc,1.000,38.62,2.69868,116.465,37.40,2.83,62.60,2.62
Jh 9d 2h,QcJc,1.000,67.46,4.26056,105.264,18.54,3.70,81.46,4.39
Jh 9d 2h,QcTd,1.000,38.60,2.59703,112.123,37.48,2.90,62.52,2.42
Jh 9d 2h,QcJd,1.000,67.74,4.40192,108.302,13.03,3.75,86.97,4.50
Jh 9d 2h,QcTh,1.000,41.17,3.76738,152.525,50.65,3.43,49.35,4.12
Jh 9d 2h,QcTs,1.000,38.51,2.63127,113.872,43.71,2.85,56.29,2.46
Jh 9d 2h,QcJs,1.000,67.62,4.27614,105.394,16.79,3.71,83.21,4.39
Jh 9d 2h,Kc8c,1.000,17.18,0.0014,0.13547,0.35,0.27,99.65,0.00
Jh 9d 2h,Kc9c,1.000,56.91,1.92328,56.3263,20.47,2.26,79.53,1.84
Jh 9d 2h,KcTc,1.000,28.62,0.52102,30.3431,21.39,1.25,78.61,0.32
Jh 9d 2h,KcJc,1.000,67.00,4.03738,100.429,27.37,3.67,72.63,4.18
Jh 9d 2h,KcQc,1.000,33.50,1.30022,64.6823,37.03,1.56,62.97,1.15
Jh 9d 2h,KcTd,1.000,28.52,0.89998,52.6013,58.10,1.28,41.90,0.37
Jh 9d 2h,KcJd,1.000,67.30,4.16305,103.091,23.03,3.73,76.97,4.29
Jh 9d 2h,KcQd,1.000,33.62,1.36449,67.6462,33.38,1.62,66.62,1.24
Jh 9d 2h,KcTh,1.000,31.41,1.45489,77.1888,34.83,1.67,65.17,1.34
Jh 9d 2h,KcQh,1.000,36.71,2.32952,105.766,48.79,2.16,51.21,2.49
Jh 9d 2h,KcTs,1.000,28.42,0.88825,52.0871,62.91,1.24,37.09,0.29
Jh 9d 2h,KcJs,1.000,67.16,4.00816,99.4725,26.98,3.68,73.02,4.13
Jh 9d 2h,KcQs,1.000,33.50,1.30246,64.7934,37.30,1.56,62.70,1.15
Jh 9d 2h,Ac2c,1.000,44.22,0.77541,29.2252,14.91,1.24,85.09,0.69
Jh 9d 2h,Ac3c,1.000,21.49,0.00156,0.12135,0.48,0.22,99.52,0.00
Jh 9d 2h,Ac4c,1.000,21.49,0.00156,0.12137,0.48,0.22,99.52,0.00
Jh 9d 2h,Ac5c,1.000,21.49,0.00152,0.11778,0.48,0.21,99.52,0.00
Jh 9d 2h,Ac6c,1.000,20.46,-0.00013,-0.01086,0.20,-0.08,99.80,0.00
Jh 9d 2h,Ac7c,1.000,21.75,0.00012,0.00945,0.22,-0.01,99.78,0.00
Jh 9d 2h,Ac8c,1.000,23.30,0.00055,0.03911,0.28,0.09,99.72,0.00
Jh 9d 2h,Ac9c,1.000,55.99,1.69457,50.4462,1.99,2.08,98.01,1.69
Jh 9d 2h,AcTc,1.000,28.27,0.00151,0.08923,0.42,0.27,99.58,0.00
Jh 9d 2h,AcJc,1.000,70.03,5.10064,121.387,30.59,4.70,69.41,5.28
Jh 9d 2h,AcQc,1.000,36.70,0.0556,2.52526,8.31,0.64,91.69,0.00
Jh 9d 2h,AcKc,1.000,43.33,0.17612,6.77366,9.77,0.88,90.23,0.10
Jh 9d 2h,AcTd,1.000,28.38,0.00175,0.10281,0.44,0.29,99.56,0.00
Jh 9d 2h,AcJd,1.000,70.22,5.169,122.692,32.48,4.78,67.52,5.36
Jh 9d 2h,AcQd,1.000,36.83,0.08091,3.6611,11.88,0.66,88.12,0.00
Jh 9d 2h,AcKd,1.000,43.47,0.33729,12.9311,27.03,0.91,72.97,0.13
Jh 9d 2h,Ac9h,1.000,58.18,2.36107,67.6426,7.16,2.48,92.84,2.35
Jh 9d 2h,AcTh,1.000,31.37,0.10166,5.40054,15.81,0.62,84.19,0.01
Jh 9d 2h,AcQh,1.000,39.96,0.95443,39.8083,52.76,1.07,47.24,0.82
Jh 9d 2h,AcKh,1.000,46.65,1.15149,41.1367,22.05,1.49,77.95,1.05
Jh 9d 2h,Ac9s,1.000,55.99,1.69435,50.4395,1.99,2.08,98.01,1.69
Jh 9d 2h,AcTs,1.000,28.27,0.00151,0.08924,0.42,0.27,99.58,0.00
Jh 9d 2h,AcJs,1.000,70.03,5.09922,121.353,30.60,4.70,69.40,5.27
Jh 9d 2h,AcQs,1.000,36.70,0.05544,2.51799,8.28,0.64,91.72,0.00
Jh 9d 2h,AcKs,1.000,43.33,0.17633,6.78185,9.78,0.88,90.22,0.10
Jh 9d 2h,2d2c,1.000,85.83,11.6257,225.751,61.40,10.56,38.60,13.33
Jh 9d 2h,3d3c,1.000,38.90,0.04582,1.96296,5.74,0.77,94.26,0.00
Jh 9d 2h,4d4c,1.000,38.90,0.04578,1.96154,5.74,0.77,94.26,0.00
Jh 9d 2h,5d5c,1.000,38.90,0.04453,1.90809,5.59,0.77,94.41,0.00
Jh 9d 2h,6d6c,1.000,40.47,0.00798,0.32852,1.00,0.69,99.00,0.00
Jh 9d 2h,6d5d,1.000,17.80,0.00563,0.52719,0.91,0.46,99.09,0.00
Jh 9d 2h,7d7c,1.000,45.00,0.01467,0.54328,1.44,0.88,98.56,0.00
