Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 9d 2h,6c5c,0.997,14.38,-0.0011,-0.12753,0.08,-1.27,0.01,-1.23,99.91,0.00
Jh 9d 2h,7c6c,0.998,14.05,-0.00109,-0.12903,0.07,-1.33,0.01,-1.22,99.92,0.00
Jh 9d 2h,8c7c,0.891,24.07,-0.00096,-0.06637,0.60,-0.13,0.08,-0.24,99.32,0.00
Jh 9d 2h,9c8c,0.475,50.76,0.9936,32.6268,96.56,0.99,3.35,0.99,0.09,0.00
Jh 9d 2h,Tc8c,0.477,34.42,2.35007,113.792,65.10,2.35,34.86,2.35,0.04,0.00
Jh 9d 2h,Tc9c,0.782,52.80,1.0053,31.7333,8.27,1.00,91.63,1.01,0.10,0.00
Jh 9d 2h,Jc8c,0.796,54.39,1.39608,42.7819,34.42,1.40,65.51,1.40,0.07,0.00
Jh 9d 2h,Jc9c,0.598,79.19,10.6966,225.111,99.21,10.70,0.78,10.69,0.01,0.00
Jh 9d 2h,JcTc,0.642,55.36,1.31517,39.5949,1.82,1.31,98.10,1.32,0.08,0.00
Jh 9d 2h,JcTd,0.764,55.41,1.32474,39.85,15.69,1.33,84.24,1.33,0.07,0.00
Jh 9d 2h,JcTh,0.711,57.61,1.89992,54.964,28.45,1.90,71.51,1.90,0.05,0.00
Jh 9d 2h,JcTs,0.757,55.40,1.30229,39.1789,7.57,1.30,92.36,1.30,0.08,0.00
Jh 9d 2h,Qc8c,0.539,22.45,-0.00105,-0.07817,0.65,-0.16,0.25,0.00,99.10,0.00
Jh 9d 2h,Qc9c,0.924,53.43,1.15476,36.0231,1.72,1.15,98.20,1.16,0.09,0.00
Jh 9d 2h,QcTc,0.626,35.66,1.97376,92.2468,25.90,1.97,74.05,1.98,0.05,0.00
Jh 9d 2h,QcJc,0.815,59.37,2.12283,59.5883,0.18,2.08,99.78,2.12,0.04,0.00
Jh 9d 2h,QcTd,0.625,35.51,2.01854,94.749,10.30,2.02,89.65,2.02,0.05,0.00
Jh 9d 2h,QcJd,0.870,59.59,2.19046,61.2696,0.19,2.16,99.77,2.19,0.04,0.00
Jh 9d 2h,QcTh,0.493,37.97,2.71039,118.981,71.01,2.71,28.95,2.71,0.04,0.00
Jh 9d 2h,QcTs,0.563,35.49,1.97611,92.7903,19.68,1.97,80.27,1.98,0.05,0.00
Jh 9d 2h,QcJs,0.832,59.39,2.12206,59.5537,0.18,2.09,99.78,2.12,0.04,0.00
Jh 9d 2h,Kc8c,0.997,16.30,-0.00107,-0.10928,0.08,-1.13,0.01,-1.15,99.91,0.00
Jh 9d 2h,Kc9c,0.795,51.55,0.89683,28.997,0.08,0.89,99.80,0.90,0.12,0.00
Jh 9d 2h,KcTc,0.786,26.19,0.25187,16.0294,0.22,0.19,99.29,0.25,0.49,0.00
Jh 9d 2h,KcJc,0.726,58.03,1.82991,52.5588,0.32,1.82,99.63,1.83,0.05,0.00
Jh 9d 2h,KcQc,0.630,33.20,0.66613,33.4418,10.86,0.66,88.97,0.67,0.17,0.00
Jh 9d 2h,KcTd,0.419,25.87,0.23828,15.3511,4.76,0.23,94.70,0.24,0.54,0.00
Jh 9d 2h,KcJd,0.770,58.07,1.83354,52.6262,0.12,1.83,99.82,1.83,0.05,0.00
Jh 9d 2h,KcQd,0.666,33.21,0.65849,33.0449,21.17,0.66,78.67,0.66,0.16,0.00
Jh 9d 2h,KcTh,0.652,28.55,0.67056,39.146,34.29,0.67,65.55,0.67,0.16,0.00
Jh 9d 2h,KcQh,0.512,36.47,1.35944,62.1331,64.69,1.36,35.23,1.36,0.08,0.00
Jh 9d 2h,KcTs,0.371,26.00,0.21885,14.026,1.79,0.21,97.56,0.22,0.65,0.00
Jh 9d 2h,KcJs,0.730,58.08,1.82473,52.3606,0.96,1.82,98.99,1.83,0.05,0.00
Jh 9d 2h,KcQs,0.627,33.20,0.66636,33.4533,11.02,0.66,88.81,0.67,0.17,0.00
Jh 9d 2h,Ac2c,0.851,44.63,0.37957,14.1757,0.11,0.09,99.67,0.38,0.22,0.00
Jh 9d 2h,Ac3c,0.995,23.80,-0.00106,-0.07394,0.09,-0.99,0.01,-1.05,99.89,0.00
Jh 9d 2h,Ac4c,0.995,23.80,-0.00106,-0.07393,0.09,-0.99,0.01,-1.05,99.89,0.00
Jh 9d 2h,Ac5c,0.995,23.80,-0.00105,-0.07384,0.09,-0.99,0.01,-1.06,99.89,0.00
Jh 9d 2h,Ac6c,0.998,22.93,-0.00107,-0.07812,0.07,-1.38,0.01,-1.06,99.92,0.00
Jh 9d 2h,Ac7c,0.998,23.85,-0.00104,-0.07297,0.08,-1.13,0.01,-1.05,99.91,0.00
Jh 9d 2h,Ac8c,0.997,25.03,-0.00105,-0.06971,0.09,-1.01,0.01,-0.98,99.90,0.00
Jh 9d 2h,Ac9c,0.980,50.53,0.80004,26.3909,0.08,0.72,99.80,0.80,0.12,0.00
