Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 9d 2h,6c5c,0.997,14.10,0.00051,0.06025,0.08,0.75,0.01,-0.93,99.91,0.00
Jh 9d 2h,7c6c,0.998,14.11,0.00029,0.03392,0.07,0.49,0.01,-0.99,99.92,0.00
Jh 9d 2h,8c7c,0.891,25.30,0.01042,0.68619,0.60,1.71,0.08,0.24,99.32,0.00
Jh 9d 2h,9c8c,0.475,55.40,2.78408,83.7599,96.56,2.81,3.35,2.18,0.09,0.00
Jh 9d 2h,Tc8c,0.477,36.90,3.40981,154.015,65.10,3.88,34.86,2.53,0.04,0.00
Jh 9d 2h,Tc9c,0.782,58.75,2.41685,68.5689,8.27,2.77,91.63,2.39,0.10,0.00
Jh 9d 2h,Jc8c,0.796,62.03,3.39451,91.2066,34.42,3.39,65.51,3.40,0.07,0.00
Jh 9d 2h,Jc9c,0.598,83.31,11.9313,238.687,99.21,11.93,0.78,11.82,0.01,0.00
Jh 9d 2h,JcTc,0.642,63.20,3.42341,90.2811,1.82,3.39,98.10,3.43,0.08,0.00
Jh 9d 2h,JcTd,0.764,63.47,3.3828,88.8297,15.69,3.55,84.24,3.36,0.07,0.00
Jh 9d 2h,JcTh,0.711,65.89,4.44538,112.441,28.45,4.79,71.51,4.31,0.05,0.00
Jh 9d 2h,JcTs,0.757,63.32,3.38471,89.0914,7.57,3.44,92.36,3.38,0.08,0.00
Jh 9d 2h,Qc8c,0.539,24.96,0.01243,0.82974,0.65,1.71,0.25,0.51,99.10,0.00
Jh 9d 2h,Qc9c,0.924,58.45,2.5047,71.4195,1.72,3.16,98.20,2.50,0.09,0.00
Jh 9d 2h,QcTc,0.626,38.62,2.61816,112.99,25.90,3.54,74.05,2.30,0.05,0.00
Jh 9d 2h,QcJc,0.815,67.46,4.38846,108.424,0.18,4.33,99.78,4.39,0.04,0.00
Jh 9d 2h,QcTd,0.625,38.60,2.41701,104.351,10.30,3.34,89.65,2.31,0.05,0.00
Jh 9d 2h,QcJd,0.870,67.74,4.49906,110.692,0.19,4.45,99.77,4.50,0.04,0.00
Jh 9d 2h,QcTh,0.493,41.17,4.1183,166.732,71.01,4.40,28.95,3.43,0.04,0.00
Jh 9d 2h,QcTs,0.563,38.51,2.46327,106.602,19.68,3.27,80.27,2.27,0.05,0.00
Jh 9d 2h,QcJs,0.832,67.62,4.39135,108.233,0.18,4.40,99.78,4.39,0.04,0.00
Jh 9d 2h,Kc8c,0.997,17.18,0.00047,0.046,0.08,0.65,0.01,-0.75,99.91,0.00
Jh 9d 2h,Kc9c,0.795,56.91,1.83663,53.7887,0.08,2.69,99.80,1.84,0.12,0.00
Jh 9d 2h,KcTc,0.786,28.62,0.32195,18.7501,0.22,1.62,99.29,0.32,0.49,0.00
Jh 9d 2h,KcJc,0.726,67.00,4.17538,103.861,0.32,3.96,99.63,4.18,0.05,0.00
Jh 9d 2h,KcQc,0.630,33.50,1.146,57.01,10.86,2.32,88.97,1.01,0.17,0.00
Jh 9d 2h,KcTd,0.419,28.52,0.36908,21.5717,4.76,1.58,94.70,0.31,0.54,0.00
Jh 9d 2h,KcJd,0.770,67.30,4.29219,106.289,0.12,3.94,99.82,4.29,0.05,0.00
Jh 9d 2h,KcQd,0.666,33.62,1.23733,61.342,21.17,2.25,78.67,0.97,0.16,0.00
Jh 9d 2h,KcTh,0.652,31.41,1.3424,71.2203,34.29,2.19,65.55,0.90,0.16,0.00
Jh 9d 2h,KcQh,0.512,36.71,2.49012,113.057,64.69,2.93,35.23,1.68,0.08,0.00
Jh 9d 2h,KcTs,0.371,28.42,0.29133,17.0834,1.79,1.57,97.56,0.27,0.65,0.00
Jh 9d 2h,KcJs,0.730,67.16,4.12979,102.491,0.96,3.96,98.99,4.13,0.05,0.00
Jh 9d 2h,KcQs,0.627,33.50,1.14788,57.1038,11.02,2.32,88.81,1.00,0.17,0.00
Jh 9d 2h,Ac2c,0.851,44.22,0.69426,26.1664,0.11,1.67,99.67,0.69,0.22,0.00
Jh 9d 2h,Ac3c,0.995,21.49,0.00053,0.0414,0.09,0.67,0.01,-0.91,99.89,0.00
Jh 9d 2h,Ac4c,0.995,21.49,0.00053,0.04134,0.09,0.67,0.01,-0.91,99.89,0.00
Jh 9d 2h,Ac5c,0.995,21.49,0.00052,0.04039,0.09,0.66,0.01,-0.90,99.89,0.00
Jh 9d 2h,Ac6c,0.998,20.46,0.00003,0.00268,0.07,0.17,0.01,-1.06,99.92,0.00
Jh 9d 2h,Ac7c,0.998,21.75,0.00015,0.01141,0.08,0.30,0.01,-0.98,99.91,0.00
Jh 9d 2h,Ac8c,0.997,23.30,0.0003,0.02169,0.09,0.43,0.01,-0.83,99.90,0.00
Jh 9d 2h,Ac9c,0.980,55.99,1.68681,50.2151,0.08,2.34,99.80,1.69,0.12,0.00
Jh 9d 2h,AcTc,0.996,28.27,0.00037,0.0217,0.10,0.47,0.02,-0.66,99.88,0.00
Jh 9d 2h,AcJc,0.694,70.03,5.27672,125.577,11.47,5.93,88.50,5.19,0.03,0.00
Jh 9d 2h,AcQc,0.917,36.70,0.00223,0.1015,0.17,1.17,0.19,0.10,99.64,0.00
Jh 9d 2h,AcKc,0.902,43.33,0.10037,3.86037,0.24,1.05,44.27,0.22,55.49,0.00
Jh 9d 2h,AcTd,0.996,28.38,0.00047,0.02772,0.11,0.52,0.02,-0.61,99.87,0.00
Jh 9d 2h,AcJd,0.675,70.22,5.35614,127.134,4.98,6.20,95.00,5.31,0.03,0.00
Jh 9d 2h,AcQd,0.881,36.83,0.00217,0.09819,0.17,1.25,0.19,-0.01,99.63,0.00
Jh 9d 2h,AcKd,0.730,43.47,0.12537,4.80641,0.26,1.25,61.87,0.20,37.87,0.00
Jh 9d 2h,Ac9h,0.928,58.18,2.35228,67.3908,10.73,2.79,89.19,2.30,0.08,0.00
Jh 9d 2h,AcTh,0.842,31.37,0.00522,0.27731,0.34,1.56,0.06,-0.15,99.60,0.00
Jh 9d 2h,AcQh,0.472,39.96,0.82073,34.2318,17.17,1.90,82.49,0.60,0.34,0.00
Jh 9d 2h,AcKh,0.779,46.65,1.05474,37.6803,0.06,2.27,99.79,1.06,0.15,0.00
Jh 9d 2h,Ac9s,0.980,55.99,1.68659,50.2084,0.08,2.34,99.80,1.69,0.12,0.00
Jh 9d 2h,AcTs,0.996,28.27,0.00037,0.02171,0.10,0.47,0.02,-0.66,99.88,0.00
Jh 9d 2h,AcJs,0.694,70.03,5.27471,125.529,11.25,5.93,88.72,5.19,0.03,0.00
Jh 9d 2h,AcQs,0.917,36.70,0.00223,0.10146,0.17,1.17,0.19,0.10,99.64,0.00
Jh 9d 2h,AcKs,0.902,43.33,0.10054,3.86679,0.24,1.05,44.35,0.22,55.41,0.00
Jh 9d 2h,2d2c,0.386,85.83,13.3288,258.823,80.41,13.46,19.58,12.80,0.01,0.00
Jh 9d 2h,3d3c,0.943,38.90,0.00192,0.08236,0.15,1.42,0.24,-0.09,99.61,0.00
Jh 9d 2h,4d4c,0.943,38.90,0.00192,0.08244,0.15,1.42,0.24,-0.09,99.61,0.00
Jh 9d 2h,5d5c,0.944,38.90,0.00191,0.08183,0.15,1.43,0.24,-0.09,99.61,0.00
Jh 9d 2h,6d6c,0.990,40.47,0.00101,0.04172,0.11,1.13,0.30,-0.08,99.59,0.00
Jh 9d 2h,6d5d,0.991,17.80,0.0015,0.14076,0.12,1.28,0.02,-0.45,99.86,0.00
Jh 9d 2h,7d7c,0.986,45.00,0.00199,0.07377,0.18,1.14,0.68,0.00,99.14,0.00
Jh 9d 2h,7d6d,0.995,17.84,0.00087,0.08096,0.11,0.89,0.01,-0.58,99.88,0.00
Jh 9d 2h,8d8c,0.988,50.09,0.01332,0.44331,0.24,1.35,2.17,0.47,97.60,0.00
Jh 9d 2h,8d7d,0.608,28.48,1.63368,95.6068,65.96,2.14,33.40,0.66,0.64,0.00
Jh 9d 2h,TdTc,0.977,57.09,1.49409,43.6148,0.09,1.87,99.67,1.50,0.25,0.00
Jh 9d 2h,Td8d,0.478,39.50,4.03144,170.082,70.72,4.39,29.25,3.16,0.03,0.00
Jh 9d 2h,JdTc,0.781,63.41,3.5737,93.9337,9.15,3.41,90.78,3.59,0.07,0.00
Jh 9d 2h,JdJc,0.628,91.30,17.058,311.404,99.59,17.06,0.41,17.83,0.00,0.00
Jh 9d 2h,Jd8d,0.657,63.83,4.22241,110.256,13.31,4.47,86.65,4.19,0.04,0.00
Jh 9d 2h,JdTd,0.577,64.95,4.26293,109.392,10.84,4.52,89.12,4.23,0.04,0.00
Jh 9d 2h,JdTh,0.677,65.98,4.48394,113.264,29.91,4.54,70.04,4.46,0.04,0.00
Jh 9d 2h,JdTs,0.782,63.41,3.57605,93.9954,8.12,3.42,91.81,3.59,0.07,0.00
Jh 9d 2h,QdTc,0.635,38.62,2.38472,102.923,8.14,3.35,91.82,2.30,0.05,0.00
Jh 9d 2h,QdJc,0.910,67.78,4.48544,110.299,0.18,4.46,99.78,4.49,0.04,0.00
Jh 9d 2h,QdQc,0.446,74.77,7.45092,166.094,22.74,8.20,77.25,7.23,0.02,0.00
Jh 9d 2h,Qd8d,0.495,28.33,1.18522,69.7384,21.88,2.27,77.75,0.88,0.36,0.00
Jh 9d 2h,QdTd,0.484,41.28,3.86484,156.043,73.92,4.14,26.04,3.10,0.04,0.00
Jh 9d 2h,QdJd,0.682,69.07,5.17635,124.909,0.95,5.61,99.02,5.17,0.03,0.00
Jh 9d 2h,QdTh,0.459,41.27,4.24665,171.498,68.01,4.60,31.96,3.49,0.04,0.00
Jh 9d 2h,QdTs,0.639,38.62,2.37886,102.671,7.60,3.34,92.35,2.30,0.05,0.00
Jh 9d 2h,QdJs,0.910,67.78,4.48567,110.304,0.18,4.46,99.78,4.49,0.04,0.00
Jh 9d 2h,KdTc,0.383,28.51,0.47481,27.7596,8.16,1.75,91.37,0.36,0.47,0.00
Jh 9d 2h,KdJc,0.770,67.32,4.12473,102.122,1.52,4.09,98.43,4.13,0.05,0.00
Jh 9d 2h,KdQc,0.656,33.63,1.33773,66.3033,23.10,2.31,76.74,1.05,0.16,0.00
Jh 9d 2h,KdKc,0.455,77.45,8.76014,188.502,28.69,9.21,71.30,8.58,0.01,0.00
Jh 9d 2h,Kd8d,0.929,21.01,0.00251,0.19932,0.18,1.42,0.03,-0.19,99.79,0.00
Jh 9d 2h,KdTd,0.607,31.84,1.22564,64.1631,13.60,2.34,86.27,1.05,0.13,0.00
Jh 9d 2h,KdJd,0.588,68.72,4.96873,120.51,3.88,5.35,96.08,4.96,0.03,0.00
Jh 9d 2h,KdQd,0.355,36.67,2.19797,99.8959,33.06,3.28,66.86,1.67,0.08,0.00
Jh 9d 2h,KdTh,0.730,31.50,1.19217,63.0803,19.31,2.34,80.54,0.92,0.15,0.00
Jh 9d 2h,KdQh,0.531,36.83,2.41023,109.066,58.61,2.93,41.32,1.68,0.07,0.00
Jh 9d 2h,KdTs,0.378,28.51,0.46484,27.1767,7.43,1.75,92.10,0.36,0.47,0.00
Jh 9d 2h,KdJs,0.770,67.32,4.12463,102.119,1.54,4.09,98.40,4.13,0.05,0.00
Jh 9d 2h,KdQs,0.655,33.63,1.33639,66.237,23.02,2.31,76.82,1.05,0.16,0.00
Jh 9d 2h,Ad9c,0.976,56.15,1.79139,53.1748,0.08,2.46,99.80,1.79,0.12,0.00
Jh 9d 2h,AdTc,0.995,28.36,0.00066,0.03894,0.11,0.73,0.02,-0.61,99.87,0.00
Jh 9d 2h,AdJc,0.790,70.22,5.26037,124.856,1.28,5.89,98.69,5.25,0.03,0.00
Jh 9d 2h,AdQc,0.953,36.83,0.00247,0.11198,0.16,1.42,0.17,0.13,99.67,0.00
Jh 9d 2h,AdKc,0.921,43.49,0.0336,1.28768,0.22,1.28,8.56,0.36,91.22,0.00
Jh 9d 2h,AdAc,0.481,79.02,8.87296,187.147,17.10,9.16,82.89,8.81,0.01,0.00
Jh 9d 2h,Ad2d,0.818,47.08,1.61243,57.0866,0.04,2.57,99.88,1.61,0.08,0.00
Jh 9d 2h,Ad3d,0.507,25.16,0.00488,0.323,0.33,1.52,0.05,-0.21,99.62,0.00
Jh 9d 2h,Ad4d,0.506,25.16,0.00488,0.32302,0.33,1.52,0.05,-0.20,99.62,0.00
Jh 9d 2h,Ad5d,0.441,25.16,0.0048,0.31789,0.33,1.50,0.05,-0.20,99.62,0.00
Jh 9d 2h,Ad6d,0.991,24.21,0.00162,0.11139,0.16,1.07,0.02,-0.39,99.82,0.00
Jh 9d 2h,Ad7d,0.983,25.44,0.00237,0.15551,0.22,1.16,0.03,-0.35,99.75,0.00
Jh 9d 2h,Ad8d,0.805,26.91,0.00432,0.26754,0.32,1.38,0.05,-0.14,99.63,0.00
Jh 9d 2h,AdTd,0.311,31.58,0.01018,0.53705,0.77,1.33,0.17,-0.05,99.06,0.00
Jh 9d 2h,AdJd,0.424,71.73,6.82262,158.524,90.65,6.90,9.33,6.08,0.02,0.00
Jh 9d 2h,AdQd,0.636,39.80,0.47662,19.9588,0.14,2.02,99.56,0.48,0.30,0.00
Jh 9d 2h,AdKd,0.942,46.16,1.06123,38.3161,0.04,1.97,99.83,1.06,0.13,0.00
