Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 9d 2h,6c5c,0.997,14.38,-0.00307,-0.35584,0.08,-3.77,0.01,-1.23,99.91,0.00
Jh 9d 2h,7c6c,0.998,14.05,-0.00291,-0.34559,0.07,-3.78,0.01,-1.22,99.92,0.00
Jh 9d 2h,8c7c,0.891,24.07,-0.01473,-1.02015,0.60,-2.44,0.08,-0.24,99.32,0.00
Jh 9d 2h,9c8c,0.475,50.76,-0.53469,-17.5575,96.56,-0.59,3.35,0.99,0.09,0.00
Jh 9d 2h,Tc8c,0.477,34.42,1.48151,71.7359,65.10,1.02,34.86,2.35,0.04,0.00
Jh 9d 2h,Tc9c,0.782,52.80,0.87562,27.64,8.27,-0.56,91.63,1.01,0.10,0.00
Jh 9d 2h,Jc8c,0.796,54.39,0.68105,20.8703,34.42,-0.68,65.51,1.40,0.07,0.00
Jh 9d 2h,Jc9c,0.598,79.19,13.5952,286.112,99.21,13.62,0.78,10.69,0.01,0.00
Jh 9d 2h,JcTc,0.642,55.36,1.27753,38.4616,1.82,-0.76,98.10,1.32,0.08,0.00
Jh 9d 2h,JcTd,0.764,55.41,1.22161,36.7478,15.69,0.67,84.24,1.33,0.07,0.00
Jh 9d 2h,JcTh,0.711,57.61,2.44715,70.795,28.45,3.83,71.51,1.90,0.05,0.00
Jh 9d 2h,JcTs,0.757,55.40,1.20335,36.2023,7.57,-0.01,92.36,1.30,0.08,0.00
Jh 9d 2h,Qc8c,0.539,22.45,-0.01471,-1.0918,0.65,-2.25,0.25,0.00,99.10,0.00
Jh 9d 2h,Qc9c,0.924,53.43,1.1254,35.1075,1.72,-0.56,98.20,1.16,0.09,0.00
Jh 9d 2h,QcTc,0.626,35.66,1.53465,71.7243,25.90,0.28,74.05,1.98,0.05,0.00
Jh 9d 2h,QcJc,0.815,59.37,2.11963,59.4984,0.18,0.31,99.78,2.12,0.04,0.00
Jh 9d 2h,QcTd,0.625,35.51,1.83645,86.2018,10.30,0.25,89.65,2.02,0.05,0.00
Jh 9d 2h,QcJd,0.870,59.59,2.18699,61.1724,0.19,0.36,99.77,2.19,0.04,0.00
Jh 9d 2h,QcTh,0.493,37.97,1.59497,70.0164,71.01,1.14,28.95,2.71,0.04,0.00
Jh 9d 2h,QcTs,0.563,35.49,1.62506,76.3065,19.68,0.19,80.27,1.98,0.05,0.00
Jh 9d 2h,QcJs,0.832,59.39,2.11879,59.4621,0.18,0.31,99.78,2.12,0.04,0.00
Jh 9d 2h,Kc8c,0.997,16.30,-0.00309,-0.31546,0.08,-3.51,0.01,-1.15,99.91,0.00
Jh 9d 2h,Kc9c,0.795,51.55,0.89519,28.9441,0.08,-1.12,99.80,0.90,0.12,0.00
Jh 9d 2h,KcTc,0.786,26.19,0.24712,15.727,0.22,-1.98,99.29,0.25,0.49,0.00
Jh 9d 2h,KcJc,0.726,58.03,1.82276,52.3534,0.32,-0.42,99.63,1.83,0.05,0.00
Jh 9d 2h,KcQc,0.630,33.20,0.47843,24.0185,10.86,-1.06,88.97,0.67,0.17,0.00
Jh 9d 2h,KcTd,0.419,25.87,0.12664,8.15891,4.76,-2.11,94.70,0.24,0.54,0.00
Jh 9d 2h,KcJd,0.770,58.07,1.83073,52.5456,0.12,-0.46,99.82,1.83,0.05,0.00
Jh 9d 2h,KcQd,0.666,33.21,0.26472,13.2845,21.17,-1.20,78.67,0.66,0.16,0.00
Jh 9d 2h,KcTh,0.652,28.55,-0.09208,-5.37565,34.29,-1.55,65.55,0.67,0.16,0.00
Jh 9d 2h,KcQh,0.512,36.47,0.21514,9.83281,64.69,-0.41,35.23,1.36,0.08,0.00
Jh 9d 2h,KcTs,0.371,26.00,0.1772,11.3568,1.79,-2.11,97.56,0.22,0.65,0.00
Jh 9d 2h,KcJs,0.730,58.08,1.8032,51.7427,0.96,-0.42,98.99,1.83,0.05,0.00
Jh 9d 2h,KcQs,0.627,33.20,0.47522,23.8575,11.02,-1.07,88.81,0.67,0.17,0.00
Jh 9d 2h,Ac2c,0.851,44.63,0.37701,14.0799,0.11,-2.17,99.67,0.38,0.22,0.00
Jh 9d 2h,Ac3c,0.995,23.80,-0.00331,-0.23193,0.09,-3.37,0.01,-1.05,99.89,0.00
Jh 9d 2h,Ac4c,0.995,23.80,-0.00331,-0.23196,0.09,-3.37,0.01,-1.05,99.89,0.00
Jh 9d 2h,Ac5c,0.995,23.80,-0.00332,-0.23266,0.09,-3.39,0.01,-1.06,99.89,0.00
Jh 9d 2h,Ac6c,0.998,22.93,-0.0028,-0.20339,0.07,-3.80,0.01,-1.06,99.92,0.00
Jh 9d 2h,Ac7c,0.998,23.85,-0.00304,-0.21243,0.08,-3.53,0.01,-1.05,99.91,0.00
