Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Kh Qd 2h,6c5c,1.000,10.86,0.15181,23.3018,0.10,-0.82,99.90,0.15
Kh Qd 2h,7c6c,1.000,9.96,0.1041,17.4122,0.09,-0.95,99.91,0.11
Kh Qd 2h,8c7c,1.000,10.63,0.10972,17.208,0.09,-0.93,99.91,0.11
Kh Qd 2h,9c7c,1.000,11.05,0.10436,15.7372,0.09,-0.99,99.91,0.11
Kh Qd 2h,9c8c,1.000,11.41,0.1139,16.6417,0.09,-0.96,99.91,0.11
Kh Qd 2h,Tc7c,1.000,12.92,0.1961,25.3029,0.11,-0.67,99.89,0.20
Kh Qd 2h,Tc8c,1.000,13.28,0.20541,25.7866,0.11,-0.65,99.89,0.21
Kh Qd 2h,Tc9c,1.000,23.27,0.45761,32.7783,0.22,0.01,99.78,0.46
Kh Qd 2h,Jc8c,1.000,14.35,0.23803,27.6368,0.12,-0.56,99.88,0.24
Kh Qd 2h,Jc9c,1.000,24.58,0.50228,34.0575,0.26,0.12,99.74,0.50
Kh Qd 2h,JcTc,1.000,38.21,2.25568,98.3912,0.34,1.96,99.66,2.26
Kh Qd 2h,JcTd,1.000,38.24,2.27262,99.0408,0.32,1.96,99.68,2.27
Kh Qd 2h,JcTh,1.000,40.79,2.62802,107.37,0.37,2.36,99.63,2.63
Kh Qd 2h,JcTs,1.000,38.18,2.25254,98.3269,0.34,1.96,99.66,2.25
Kh Qd 2h,Qc6c,1.000,57.17,2.075,60.4875,0.19,1.56,99.81,2.08
Kh Qd 2h,Qc7c,1.000,57.09,2.05463,59.9851,0.19,1.54,99.81,2.06
Kh Qd 2h,Qc8c,1.000,56.92,1.99431,58.3923,0.19,1.48,99.81,2.00
Kh Qd 2h,Qc9c,1.000,57.20,1.86593,54.3715,0.19,1.36,99.81,1.87
Kh Qd 2h,QcTc,1.000,59.26,1.99334,56.061,0.19,1.48,99.81,1.99
Kh Qd 2h,QcJc,1.000,61.15,2.30274,62.7651,0.18,1.78,99.82,2.30
Kh Qd 2h,QcTd,1.000,59.35,2.01963,56.7109,0.19,1.50,99.81,2.02
Kh Qd 2h,QcJd,1.000,61.23,2.33109,63.4494,0.18,1.79,99.82,2.33
Kh Qd 2h,QcTh,1.000,61.60,2.44739,66.2224,0.18,1.91,99.82,2.45
Kh Qd 2h,QcJh,1.000,63.66,2.86229,74.9389,0.17,2.30,99.83,2.86
Kh Qd 2h,QcTs,1.000,59.28,1.99109,55.977,0.19,1.48,99.81,1.99
Kh Qd 2h,QcJs,1.000,61.15,2.30271,62.7644,0.18,1.78,99.82,2.30
Kh Qd 2h,Kc2c,1.000,78.31,7.84176,166.894,0.65,7.68,99.35,7.84
Kh Qd 2h,Kc3c,1.000,65.75,3.50489,88.8414,0.22,3.07,99.78,3.51
Kh Qd 2h,Kc4c,1.000,65.75,3.50371,88.8114,0.22,3.07,99.78,3.50
Kh Qd 2h,Kc5c,1.000,65.75,3.50469,88.8362,0.22,3.07,99.78,3.51
Kh Qd 2h,Kc6c,1.000,65.73,3.48654,88.4047,0.23,3.06,99.77,3.49
Kh Qd 2h,Kc7c,1.000,65.66,3.46913,88.0542,0.24,3.05,99.76,3.47
Kh Qd 2h,Kc8c,1.000,65.54,3.3687,85.6687,0.25,2.97,99.75,3.37
Kh Qd 2h,Kc9c,1.000,66.05,3.34592,84.4249,0.24,2.93,99.76,3.35
Kh Qd 2h,KcTc,1.000,68.41,3.784,92.1952,0.23,3.36,99.77,3.78
Kh Qd 2h,KcJc,1.000,70.45,4.33923,102.656,0.26,3.96,99.74,4.34
Kh Qd 2h,KcQc,1.000,82.97,9.67343,194.313,1.20,9.58,98.80,9.67
Kh Qd 2h,Kc8d,1.000,65.64,3.39804,86.279,0.24,2.99,99.76,3.40
Kh Qd 2h,Kc9d,1.000,66.25,3.38627,85.1892,0.23,2.96,99.77,3.39
Kh Qd 2h,KcTd,1.000,68.60,3.83122,93.0793,0.22,3.39,99.78,3.83
Kh Qd 2h,KcJd,1.000,70.54,4.37551,103.379,0.25,3.97,99.75,4.38
Kh Qd 2h,Kc8h,1.000,67.82,3.85646,94.7768,0.25,3.47,99.75,3.86
Kh Qd 2h,Kc9h,1.000,68.39,3.81731,93.0258,0.26,3.45,99.74,3.82
Kh Qd 2h,KcTh,1.000,70.81,4.31824,101.633,0.26,3.93,99.74,4.32
Kh Qd 2h,KcJh,1.000,72.90,4.92645,112.633,0.31,4.60,99.69,4.93
Kh Qd 2h,KcQh,1.000,85.04,10.1091,198.133,1.29,10.02,98.71,10.11
Kh Qd 2h,Kc8s,1.000,65.54,3.36868,85.668,0.25,2.97,99.75,3.37
Kh Qd 2h,Kc9s,1.000,66.09,3.34683,84.3997,0.24,2.93,99.76,3.35
Kh Qd 2h,KcTs,1.000,68.45,3.78601,92.1847,0.23,3.36,99.77,3.79
Kh Qd 2h,KcJs,1.000,70.45,4.33927,102.657,0.26,3.96,99.74,4.34
Kh Qd 2h,KcQs,1.000,82.97,9.67327,194.31,1.20,9.58,98.80,9.67
Kh Qd 2h,Ac2c,1.000,36.02,0.49257,22.7908,0.28,0.13,99.72,0.49
Kh Qd 2h,Ac3c,1.000,19.39,0.16822,14.4573,0.10,-0.82,99.90,0.17
Kh Qd 2h,Ac4c,1.000,19.72,0.16961,14.3383,0.10,-0.82,99.90,0.17
Kh Qd 2h,Ac5c,1.000,20.28,0.1703,13.9988,0.10,-0.81,99.90,0.17
Kh Qd 2h,Ac6c,1.000,19.69,0.14995,12.6913,0.09,-0.90,99.91,0.15
Kh Qd 2h,Ac7c,1.000,20.55,0.15563,12.6234,0.09,-0.90,99.91,0.16
Kh Qd 2h,Ac8c,1.000,21.47,0.1698,13.1798,0.09,-0.86,99.91,0.17
Kh Qd 2h,Ac9c,1.000,23.55,0.18895,13.3717,0.09,-0.91,99.91,0.19
Kh Qd 2h,AcTc,1.000,37.20,0.65107,29.1666,0.37,0.38,99.63,0.65
Kh Qd 2h,Ac2d,1.000,36.02,0.49649,22.9701,0.29,0.14,99.71,0.50
Kh Qd 2h,Ac3d,1.000,19.31,0.17016,14.6882,0.09,-0.84,99.91,0.17
Kh Qd 2h,Ac4d,1.000,19.63,0.17163,14.57,0.09,-0.83,99.91,0.17
Kh Qd 2h,Ac5d,1.000,20.20,0.1722,14.2107,0.09,-0.82,99.91,0.17
Kh Qd 2h,Ac6d,1.000,19.61,0.15091,12.8253,0.09,-0.93,99.91,0.15
Kh Qd 2h,Ac7d,1.000,20.48,0.15572,12.6734,0.09,-0.92,99.91,0.16
Kh Qd 2h,Ac8d,1.000,21.43,0.1706,13.2712,0.09,-0.89,99.91,0.17
Kh Qd 2h,Ac9d,1.000,23.61,0.19363,13.6659,0.09,-0.90,99.91,0.19
Kh Qd 2h,AcTd,1.000,37.28,0.66749,29.8437,0.37,0.40,99.63,0.67
Kh Qd 2h,AcJd,1.000,41.27,0.96847,39.1086,0.28,0.62,99.72,0.97
Kh Qd 2h,Ac3h,1.000,21.73,0.21225,16.2798,0.11,-0.63,99.89,0.21
Kh Qd 2h,Ac4h,1.000,22.12,0.21456,16.1661,0.11,-0.63,99.89,0.22
Kh Qd 2h,Ac5h,1.000,22.74,0.21781,15.966,0.11,-0.62,99.89,0.22
Kh Qd 2h,Ac6h,1.000,22.25,0.1995,14.942,0.11,-0.69,99.89,0.20
Kh Qd 2h,Ac7h,1.000,23.22,0.21025,15.0879,0.11,-0.66,99.89,0.21
Kh Qd 2h,Ac8h,1.000,24.34,0.2312,15.8339,0.11,-0.61,99.89,0.23
Kh Qd 2h,Ac9h,1.000,26.51,0.26499,16.6599,0.11,-0.62,99.89,0.27
Kh Qd 2h,AcTh,1.000,39.97,1.00398,41.8681,0.36,0.73,99.64,1.00
Kh Qd 2h,AcJh,1.000,44.02,1.35622,51.3465,0.35,1.06,99.65,1.36
Kh Qd 2h,Ac2s,1.000,35.95,0.48526,22.4943,0.28,0.11,99.72,0.49
Kh Qd 2h,Ac3s,1.000,19.24,0.16853,14.5956,0.09,-0.86,99.91,0.17
Kh Qd 2h,Ac4s,1.000,19.57,0.16995,14.474,0.09,-0.85,99.91,0.17
Kh Qd 2h,Ac5s,1.000,20.13,0.17072,14.1339,0.09,-0.85,99.91,0.17
Kh Qd 2h,Ac6s,1.000,19.55,0.14883,12.6902,0.09,-0.94,99.91,0.15
Kh Qd 2h,Ac7s,1.000,20.41,0.15385,12.566,0.09,-0.93,99.91,0.15
Kh Qd 2h,Ac8s,1.000,21.33,0.16996,13.2773,0.09,-0.89,99.91,0.17
Kh Qd 2h,Ac9s,1.000,23.55,0.18895,13.3716,0.09,-0.91,99.91,0.19
Kh Qd 2h,AcTs,1.000,37.20,0.65095,29.1611,0.37,0.38,99.63,0.65
Kh Qd 2h,AcJs,1.000,41.18,0.96584,39.0858,0.28,0.61,99.72,0.97
Kh Qd 2h,6d6c,1.000,36.18,0.41196,18.9762,0.16,-0.20,99.84,0.41
Kh Qd 2h,6d5d,1.000,14.70,0.28236,32.0086,0.13,-0.48,99.87,0.28
